日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2004-01-23,5.738,5.8684,5.112,5.2685,259173,-0.2087,-3.81
2004-01-26,5.2946,5.3207,4.6947,5.2685,176061,0.0,0.0
2004-01-27,5.3103,5.9467,5.3051,5.7437,137525,0.4747,9.01
2004-01-28,5.7902,5.9467,5.3729,5.5607,134697,-0.1826,-3.18
2004-01-29,5.5554,5.7119,5.3676,5.4407,144710,-0.1201,-2.16
2004-01-30,5.4928,5.5502,5.2685,5.4772,60457,0.0365,0.67
2004-02-02,5.6024,5.931,5.4615,5.8423,141525,0.3653,6.67
2004-02-03,5.7797,6.7813,5.7171,6.2017,169328,0.3599,6.16
2004-02-04,6.2701,6.2701,5.738,6.0197,141656,-0.1823,-2.94
2004-02-05,6.1553,6.2596,6.0249,6.2284,137241,0.2089,3.47
2004-02-06,6.1553,6.2596,5.6389,6.1136,134751,-0.1146,-1.84
2004-02-09,6.1553,6.3901,5.8684,6.3379,144435,0.2244,3.67
2004-02-10,6.3431,6.3901,6.1553,6.2805,106926,-0.0577,-0.91
2004-02-11,6.2727,6.5199,6.2649,6.5199,239130,0.2399,3.82
2004-02-12,6.3118,6.8126,6.3118,6.7604,766821,0.24,3.68
2004-02-13,6.2075,6.823,6.1866,6.51,103955,-0.2501,-3.7
2004-02-17,6.5153,6.5518,6.2649,6.2857,93476,-0.2246,-3.45
2004-02-18,6.317,6.317,5.9988,6.0771,86028,-0.2087,-3.32
2004-02-19,6.004,6.2962,6.004,6.2544,82044,0.1774,2.92
2004-02-20,6.2075,6.2596,6.0614,6.2336,28753,-0.0206,-0.33
2004-02-23,6.2596,6.2596,5.9727,6.0614,61349,-0.172,-2.76
2004-02-24,5.9988,6.051,5.2425,5.4668,165616,-0.5946,-9.81
2004-02-25,5.3468,5.6024,5.3155,5.5502,96924,0.0836,1.53
2004-02-26,5.6806,5.6806,5.5294,5.6024,31822,0.0522,0.94
2004-02-27,5.6024,5.618,5.5528,5.6024,57895,0.0,0.0
2004-03-01,5.6858,5.9988,5.5711,5.9206,39240,0.3182,5.68
2004-03-02,6.004,6.0979,5.7432,5.9102,53183,-0.0107,-0.18
2004-03-03,5.9727,5.9988,5.5346,5.9727,70274,0.0626,1.06
2004-03-04,5.8815,6.2544,5.7641,6.051,67722,0.2727,4.72
2004-03-05,6.0458,6.1762,5.9988,6.1032,90333,-0.1514,-2.42
2004-03-08,6.1814,6.1814,5.811,5.8371,20031,-0.2661,-4.36
2004-03-09,5.8163,5.8945,5.5711,5.8945,59049,0.0572,0.98
2004-03-10,5.9102,5.9102,5.6389,5.6702,25076,-0.2246,-3.81
2004-03-11,5.5502,5.8632,5.352,5.8163,93066,0.1463,2.58
2004-03-12,5.7224,5.8945,5.6337,5.6911,34842,-0.125,-2.15
2004-03-15,5.5502,5.8945,5.3207,5.4876,80411,-0.2032,-3.57
2004-03-16,5.352,5.7171,5.352,5.5502,22762,0.0626,1.14
2004-03-17,5.545,5.6911,5.4302,5.4772,25779,-0.0733,-1.32
