日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-09-27,9.63,9.65,9.63,9.65,700400,0.0,0.0
2021-09-28,9.65,9.65,9.65,9.65,98,0.0,0.0
2021-09-29,9.65,9.65,9.65,9.65,1,0.0,0.0
2021-10-01,9.73,9.8,9.73,9.8,498,0.15,1.5544
2021-10-04,9.775,9.775,9.775,9.775,1226,-0.025,-0.2551
2021-10-05,9.8454,9.8454,9.775,9.775,203,0.0,0.0
2021-10-06,9.68,9.77,9.68,9.7,5903,-0.075,-0.7673
2021-10-07,9.74,9.74,9.74,9.74,50032,0.04,0.4124
2021-10-08,9.74,9.74,9.74,9.74,7,0.0,0.0
2021-10-11,9.74,9.74,9.74,9.74,2,0.0,0.0
2021-10-12,9.74,9.74,9.74,9.74,207,0.0,0.0
2021-10-13,9.74,9.74,9.74,9.74,9,0.0,0.0
2021-10-14,9.7738,9.7738,9.7738,9.7738,434,0.0338,0.347
2021-10-15,9.75,9.75,9.75,9.75,6949,-0.0238,-0.2435
2021-10-18,9.72,9.72,9.72,9.72,347,-0.03,-0.3077
2021-10-19,9.73,9.73,9.69,9.69,1751,-0.03,-0.3086
2021-10-20,9.69,9.69,9.69,9.69,39,0.0,0.0
2021-10-21,9.7401,9.75,9.7401,9.75,2525,0.06,0.6192
2021-10-22,9.75,9.75,9.75,9.75,11,0.0,0.0
2021-10-25,9.76,9.78,9.73,9.73,1241,-0.02,-0.2051
2021-10-26,9.73,9.73,9.73,9.73,117,0.0,0.0
2021-10-27,9.725,9.725,9.725,9.725,134,-0.005,-0.0514
2021-10-28,9.725,9.725,9.725,9.725,111,0.0,0.0
2021-10-29,9.73,9.73,9.73,9.73,111,0.005,0.0514
2021-11-01,9.74,9.74,9.74,9.74,82040,0.01,0.1028
2021-11-02,9.73,9.73,9.73,9.73,58806,-0.01,-0.1027
2021-11-03,9.71,9.73,9.71,9.73,5805,0.0,0.0
2021-11-04,9.73,9.74,9.72,9.74,8500,0.01,0.1028
2021-11-05,9.75,9.75,9.75,9.75,100,0.01,0.1027
2021-11-08,9.73,9.76,9.68,9.68,180565,-0.07,-0.7179
2021-11-09,9.7099,9.71,9.67,9.67,9425,-0.01,-0.1033
2021-11-10,9.69,9.72,9.66,9.71,117420,0.04,0.4137
2021-11-11,9.7,9.71,9.7,9.71,519,0.0,0.0
2021-11-12,9.7,9.7,9.6997,9.6997,621,-0.0103,-0.1061
2021-11-15,9.7393,9.77,9.7393,9.74,10492,0.0403,0.4155
2021-11-16,9.74,9.74,9.74,9.74,4,0.0,0.0
2021-11-17,9.74,9.74,9.74,9.74,4,0.0,0.0
2021-11-18,9.75,9.75,9.74,9.74,2806,0.0,0.0
2021-11-19,9.8,9.8,9.73,9.73,1613,-0.01,-0.1027
2021-11-22,9.72,9.75,9.72,9.75,12814,0.02,0.2055
2021-11-23,9.74,9.75,9.72,9.72,501257,-0.03,-0.3077
2021-11-24,9.75,9.75,9.75,9.75,106,0.03,0.3086
2021-11-26,9.75,9.75,9.75,9.75,5,0.0,0.0
2021-11-29,9.74,9.74,9.72,9.72,3456,-0.03,-0.3077
2021-11-30,9.7,9.7,9.7,9.7,1000203,-0.02,-0.2058
2021-12-01,9.7,9.7,9.7,9.7,3,0.0,0.0
2021-12-02,9.7,9.7,9.7,9.7,12,0.0,0.0
2021-12-03,9.75,9.75,9.73,9.73,688,0.03,0.3093
2021-12-06,9.75,9.75,9.73,9.73,709,0.0,0.0
2021-12-07,9.73,9.73,9.73,9.73,11202,0.0,0.0
2021-12-08,9.73,9.73,9.73,9.73,3,0.0,0.0
2021-12-09,9.74,9.86,9.74,9.86,9417,0.13,1.34
2021-12-10,9.73,9.73,9.73,9.73,318,-0.13,-1.3185
2021-12-13,9.73,9.73,9.73,9.73,3,0.0,0.0
2021-12-14,9.75,9.75,9.715,9.715,26604,-0.015,-0.15
2021-12-15,9.71,9.71,9.7,9.7,34286,-0.015,-0.1544
2021-12-16,9.71,9.71,9.7,9.7,203,0.0,0.0
2021-12-17,9.7,9.7,9.7,9.7,8,0.0,0.0
2021-12-20,9.72,9.73,9.68,9.7,53066,0.0,0.0
2021-12-21,9.68,9.68,9.68,9.68,328,-0.02,-0.2062
2021-12-22,9.74,9.74,9.74,9.74,1166,0.06,0.6198
2021-12-23,9.74,9.74,9.74,9.74,6,0.0,0.0
2021-12-27,9.73,9.73,9.71,9.71,10302,-0.03,-0.308
2021-12-28,9.71,9.71,9.71,9.71,39,0.0,0.0
2021-12-29,9.71,9.71,9.71,9.71,25,0.0,0.0
2021-12-30,9.72,9.72,9.72,9.72,169,0.01,0.103
