日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2022-06-23,7.0,7.0,5.09,6.08,224097,0.17,2.88
2022-06-24,5.41,6.37,5.19,5.91,197202,-0.17,-2.8
2022-06-27,5.99,5.99,4.77,5.77,298354,-0.14,-2.37
2022-06-28,5.69,5.69,5.01,5.32,247686,-0.45,-7.8
2022-06-29,5.37,5.37,4.0105,4.31,325576,-1.01,-18.98
2022-06-30,4.19,4.61,3.67,4.18,229062,-0.13,-3.02
2022-07-01,4.43,4.55,4.01,4.03,184067,-0.15,-3.59
2022-07-05,4.09,4.3699,3.8,3.97,98748,-0.06,-1.4888
2022-07-06,4.05,4.12,3.52,3.67,82355,-0.3,-7.56
2022-07-07,3.68,3.8018,3.34,3.6038,177730,-0.066,-1.8
2022-07-08,3.32,3.62,3.3,3.43,249031,-0.1738,-4.8227
2022-07-11,3.46,3.49,3.3,3.39,51333,-0.04,-1.17
2022-07-12,3.33,3.48,3.15,3.31,66673,-0.08,-2.36
2022-07-13,3.17,3.3399,3.01,3.13,57047,-0.18,-5.44
2022-07-14,3.04,3.09,2.71,2.83,126491,-0.3,-9.58
2022-07-15,2.7623,2.8192,2.7027,2.76,53196,-0.07,-2.47
2022-07-18,2.76,3.0,2.47,2.53,210700,-0.23,-8.3333
2022-07-19,2.42,2.87,2.42,2.7,193817,0.17,6.72
2022-07-20,2.75,8.15,2.75,6.2,38356475,3.5,129.63
2022-07-21,5.39,5.87,5.08,5.35,3982091,-0.85,-13.71
2022-07-22,5.19,14.17,5.19,11.71,66396597,6.36,118.88
2022-07-25,10.14,12.35,9.15,9.67,9862267,-2.04,-17.42
2022-07-26,11.37,21.56,10.58,16.74,58416172,7.07,73.11
2022-07-27,19.85,24.94,18.0,21.97,42889229,5.23,31.24
2022-07-28,20.76,20.87,17.0,17.97,7273626,-4.0,-18.21
2022-07-29,19.89,27.55,16.41,24.82,14600318,6.85,38.12
2022-08-01,23.25,32.7,21.17,29.4,12692659,4.58,18.45
2022-08-02,31.12,34.5,25.5009,29.95,4884076,0.55,1.87
2022-08-03,30.74,31.99,26.2153,26.9,1586144,-3.05,-10.18
2022-08-04,26.09,26.5,16.71,17.69,1630881,-9.21,-34.24
2022-08-05,21.05,26.05,20.12,22.76,3693422,5.07,28.66
2022-08-08,22.66,23.31,19.41,20.94,940613,-1.82,-7.9965
