日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-02-05,25.0,30.94,23.06,29.0,3813903,9.0,45.0
2021-02-08,28.0,30.44,27.6,28.7,529624,-0.3,-1.03
2021-02-09,28.7,30.49,27.67,30.19,228651,1.49,5.1916
2021-02-10,31.0,32.19,27.78,30.0,297675,-0.19,-0.63
2021-02-11,29.99,30.0,27.11,27.5,255657,-2.5,-8.3333
2021-02-12,27.5,28.2,25.58,26.67,170040,-0.83,-3.02
2021-02-16,27.26,28.33,24.26,25.25,231902,-1.42,-5.32
2021-02-17,25.25,28.2089,25.25,26.52,228022,1.27,5.0297
2021-02-18,26.82,31.53,26.1052,30.74,170981,4.22,15.91
2021-02-19,31.19,37.11,30.785,35.91,132117,5.17,16.8185
2021-02-22,34.83,42.86,33.2,34.09,152497,-1.82,-5.07
2021-02-23,32.94,36.23,27.63,31.53,69531,-2.56,-7.5095
2021-02-24,31.88,38.4179,31.4,37.0,137230,5.47,17.35
2021-02-25,37.2,41.4,37.2,40.11,185606,3.11,8.41
2021-02-26,38.94,40.4205,35.69,37.99,116072,-2.12,-5.2855
2021-03-01,38.44,41.6,38.44,39.23,108853,1.24,3.26
2021-03-02,38.48,40.83,37.08,38.75,74400,-0.48,-1.22
2021-03-03,38.7,39.845,36.3,38.5,115950,-0.25,-0.65
2021-03-04,38.25,39.2,32.205,33.61,202912,-4.89,-12.7
2021-03-05,34.06,34.62,28.14,28.75,139847,-4.86,-14.46
2021-03-08,29.07,31.5,26.0585,27.06,77323,-1.69,-5.8783
2021-03-09,27.41,29.0,24.37,27.39,180834,0.33,1.22
2021-03-10,27.65,32.2,25.5301,29.39,44679,2.0,7.3019
2021-03-11,30.99,31.85,29.06,29.99,32666,0.6,2.0415
2021-03-12,28.34,31.44,28.34,30.9,24949,0.91,3.03
2021-03-15,28.92,36.82,28.92,34.39,35120,3.49,11.2945
2021-03-16,33.65,35.89,31.82,34.6,47810,0.21,0.61
2021-03-17,34.1883,36.24,33.45,34.4,16008,-0.2,-0.578
2021-03-18,34.03,36.3092,34.03,35.75,18319,1.35,3.9244
