日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2015-01-16,8.5666,8.6936,8.1412,8.573,3523393,-0.3174,-3.57
2015-01-20,8.573,8.6809,8.4142,8.6682,217242,0.0952,1.11
2015-01-21,8.6365,8.7953,8.4841,8.7318,210715,0.0633,0.73
2015-01-22,8.7318,8.9223,8.5984,8.8905,411968,0.1589,1.82
2015-01-23,8.8334,9.1255,8.7318,8.8905,78839,0.0,0.0
2015-01-26,8.9159,8.9216,8.6365,8.6809,211504,-0.2098,-2.36
2015-01-27,8.6555,8.8715,8.573,8.5793,49998,-0.1016,-1.17
2015-01-28,8.7635,8.7635,8.573,8.6365,87048,0.0575,0.67
2015-01-29,8.5755,8.6365,8.4142,8.5222,118932,-0.114,-1.32
2015-01-30,8.4904,8.5984,8.4587,8.5984,27234,0.0759,0.89
2015-02-02,8.5793,8.5793,8.4523,8.5095,52463,-0.0886,-1.03
2015-02-03,8.5984,8.7,8.2364,8.2555,291404,-0.2544,-2.99
2015-02-04,8.2555,8.4396,8.2555,8.2809,42470,0.0256,0.31
2015-02-05,8.2618,8.4206,8.2555,8.2682,100284,-0.0124,-0.15
2015-02-06,8.319,8.319,8.2491,8.2618,95142,-0.0066,-0.08
2015-02-09,8.2555,8.7318,8.2555,8.6047,55676,0.3429,4.15
2015-02-10,8.7508,8.7508,8.4746,8.4904,71329,-0.1144,-1.33
2015-02-11,8.7,8.7248,8.5476,8.592,132765,0.1019,1.2
2015-02-12,8.5857,8.5984,8.3571,8.5666,31952,-0.0258,-0.3
2015-02-13,8.6365,8.6365,8.3387,8.4777,25326,-0.0891,-1.04
2015-02-17,8.3825,8.7572,8.3634,8.7381,115369,0.2603,3.07
2015-02-18,8.7191,8.7508,8.5222,8.6746,74444,-0.0638,-0.73
2015-02-19,8.6492,8.827,8.5793,8.7635,68738,0.0885,1.02
2015-02-20,8.7254,8.827,8.6365,8.7191,36275,-0.0447,-0.51
2015-02-23,8.6301,8.8207,8.6111,8.6492,131822,-0.0698,-0.8
2015-02-24,8.7635,8.8207,8.4841,8.6492,242174,0.0,0.0
2015-02-25,8.573,8.7889,8.5476,8.6492,165578,0.0,0.0
2015-02-26,8.6174,8.7826,8.2999,8.5031,73511,-0.1462,-1.69
2015-02-27,8.5095,8.592,8.3825,8.5793,56681,0.0765,0.9
2015-03-02,8.5603,8.6892,8.472,8.5857,79017,0.006,0.07
2015-03-03,8.5539,8.5539,8.3634,8.4142,167927,-0.1717,-2.0
2015-03-04,8.3952,8.4422,8.2555,8.2618,95277,-0.1523,-1.81
2015-03-05,8.2872,8.4333,8.2872,8.4015,35638,0.1396,1.69
2015-03-06,8.4587,8.6047,7.8109,7.9761,105883,-0.4251,-5.06
2015-03-09,8.0332,8.2491,7.4941,7.722,130692,-0.2536,-3.18
2015-03-10,7.6522,7.6522,7.2204,7.2839,237284,-0.4378,-5.67
2015-03-11,7.214,7.4807,7.0045,7.2458,132895,-0.0379,-0.52
2015-03-12,7.3029,7.6077,7.1251,7.3347,89111,0.0891,1.23
2015-03-13,7.3347,7.341,6.9981,7.0172,80178,-0.3176,-4.33
2015-03-16,7.0934,7.8992,7.0807,7.8491,183508,0.8322,11.86
2015-03-17,7.6395,7.9443,7.5633,7.7284,128076,-0.1209,-1.54
2015-03-18,7.7792,7.7792,7.5442,7.703,128337,-0.0255,-0.33
