日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1996-11-07,20.8209,21.3246,20.8209,21.0761,113100,0.592,2.89
1996-11-08,21.0761,21.1567,20.9888,21.1567,137900,0.0801,0.38
1996-11-11,21.1567,21.1567,20.8209,20.9082,80100,-0.2475,-1.17
1996-11-12,20.9888,21.0761,20.7403,20.8209,68100,-0.0878,-0.42
1996-11-13,20.8209,21.3246,20.8209,21.244,222700,0.4227,2.03
1996-11-14,21.244,21.244,21.0761,21.244,41200,0.0,0.0
1996-11-15,21.3246,21.412,20.9888,20.9888,56800,-0.2549,-1.2
1996-11-18,21.0761,21.3246,20.9888,21.244,90500,0.2561,1.22
1996-11-19,21.244,21.3246,20.9082,21.244,161500,0.0,0.0
1996-11-20,21.3246,21.4925,21.3246,21.4925,181700,0.2486,1.17
1996-11-21,21.4925,21.4925,21.1567,21.3246,31300,-0.1676,-0.78
1996-11-22,21.244,21.3246,20.9888,21.0761,28200,-0.2495,-1.17
1996-11-25,21.0761,21.1567,20.7403,21.1567,56600,0.0801,0.38
1996-11-26,20.9888,21.0761,20.8209,20.9888,68100,-0.1671,-0.79
1996-11-27,21.0761,21.6605,21.0761,21.5799,192400,0.5919,2.82
1996-11-29,21.5799,21.8284,21.5799,21.8284,33200,0.2482,1.15
1996-12-02,21.9157,22.8358,21.9157,22.7552,62300,0.9277,4.25
1996-12-03,22.7552,22.9231,22.5,22.5,88200,-0.2549,-1.12
1996-12-04,22.4194,23.0037,22.3321,22.8358,226400,0.3353,1.49
1996-12-05,22.7552,23.0037,22.6679,22.9231,70600,0.0868,0.38
1996-12-06,22.6679,23.0911,22.5,22.8358,92600,-0.0871,-0.38
1996-12-09,22.8358,23.1717,22.8358,23.0911,48600,0.2558,1.12
1996-12-10,23.1717,23.1717,22.5873,22.6679,166100,-0.4226,-1.83
1996-12-11,22.5873,22.6679,22.5,22.5,39200,-0.1677,-0.74
1996-12-12,22.5873,23.0037,22.5873,22.7552,37400,0.2543,1.13
1996-12-13,22.5873,22.9231,22.5873,22.8358,45300,0.0796,0.35
1996-12-16,22.6679,22.7552,22.5,22.5,198300,-0.3357,-1.47
1996-12-17,22.5,22.8358,22.5,22.8358,77200,0.3353,1.49
1996-12-18,22.8358,22.8358,22.7552,22.8358,158100,0.0,0.0
1996-12-19,22.7552,23.0911,22.7552,23.0037,10700,0.169,0.74
