日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-03-30,9.74,9.74,9.74,9.74,100,0.0,0.0
2021-03-31,9.7005,9.7005,9.7005,9.7005,2081,-0.0395,-0.4055
2021-04-01,9.7,9.7,9.7,9.7,2971,-0.0005,-0.0052
2021-04-05,9.74,9.74,9.74,9.74,121,0.04,0.4124
2021-04-06,9.95,9.95,9.88,9.88,12706,0.14,1.4374
2021-04-07,9.86,9.87,9.79,9.86,20217,-0.02,-0.2024
2021-04-08,9.8879,9.89,9.85,9.85,195566,-0.01,-0.1014
2021-04-09,9.84,9.99,9.84,9.8556,2523,0.0056,0.0569
2021-04-12,9.86,10.1,9.83,10.05,36472,0.1944,1.9725
2021-04-13,10.08,10.1,9.8972,9.93,7502,-0.12,-1.194
2021-04-14,9.99,10.03,9.9,9.92,15163,-0.01,-0.1007
2021-04-15,9.92,10.1,9.9,9.95,74257,0.03,0.3024
2021-04-16,9.92,10.0,9.92,9.99,22498,0.04,0.402
2021-04-19,10.01,10.01,9.81,9.825,95675,-0.165,-1.6517
2021-04-20,9.84,9.94,9.84,9.86,179540,0.035,0.3562
2021-04-21,9.86,9.87,9.84,9.84,79773,-0.02,-0.2028
2021-04-22,9.85,9.91,9.845,9.87,35142,0.03,0.3049
2021-04-23,9.84,9.87,9.83,9.83,168416,-0.04,-0.4053
2021-04-26,9.83,9.91,9.82,9.87,42774,0.04,0.4069
2021-04-28,9.87,9.88,9.84,9.87,431322,0.0,0.0
2021-04-29,9.87,9.915,9.82,9.82,322187,-0.05,-0.5066
2021-04-30,9.83,9.86,9.83,9.83,13113,0.01,0.1018
2021-05-03,9.86,9.89,9.86,9.875,13845,0.045,0.4578
2021-05-04,9.9499,9.9499,9.82,9.88,157192,0.005,0.0506
2021-05-05,9.88,9.89,9.85,9.87,179922,-0.01,-0.1012
2021-05-06,9.87,9.94,9.85,9.92,995442,0.05,0.5066
2021-05-07,9.9,9.96,9.9,9.92,377730,0.0,0.0
2021-05-10,9.95,9.97,9.9,9.95,47059,0.03,0.3024
2021-05-11,9.95,10.0,9.9,10.0,100605,0.05,0.5025
2021-05-13,9.86,9.98,9.82,9.82,148109,-0.18,-1.8
2021-05-14,9.84,9.84,9.79,9.79,2449,-0.03,-0.3055
2021-05-17,9.79,9.85,9.79,9.82,16213,0.03,0.3064
2021-05-18,9.8699,9.8699,9.82,9.84,5094,0.02,0.2037
2021-05-19,9.8091,9.85,9.8,9.8,15058,-0.04,-0.4065
2021-05-20,9.8,9.895,9.8,9.87,83303,0.07,0.7143
2021-05-21,9.85,10.0,9.85,10.0,28490,0.13,1.3171
2021-05-25,9.89,9.89,9.89,9.89,185,-0.11,-1.1
2021-05-26,9.95,9.97,9.87,9.97,6768,0.08,0.8089
2021-05-27,9.9,9.91,9.82,9.82,30862,-0.15,-1.5045
2021-05-28,9.86,10.0,9.86,10.0,28854,0.18,1.833
2021-06-01,9.9,10.0,9.88,9.91,1797,-0.09,-0.9
2021-06-02,9.91,9.9173,9.91,9.9173,400,0.0073,0.0737
2021-06-03,9.91,9.92,9.86,9.89,5293,-0.0273,-0.2753
2021-06-07,9.9,9.9,9.85,9.86,1815713,-0.03,-0.3033
2021-06-08,9.9,9.91,9.85,9.86,113557,0.0,0.0
2021-06-09,9.88,9.88,9.86,9.86,30708,0.0,0.0
2021-06-10,9.91,9.91,9.85,9.85,137231,-0.01,-0.1014
2021-06-11,9.86,9.86,9.815,9.85,40695,0.0,0.0
2021-06-14,9.87,9.9,9.82,9.82,49241,-0.03,-0.3046
2021-06-15,9.86,9.88,9.83,9.88,83505,0.06,0.611
2021-06-16,9.85,9.87,9.83,9.87,2400,-0.01,-0.1012
2021-06-17,9.83,9.83,9.8,9.82,108513,-0.05,-0.5066
2021-06-18,9.81,9.81,9.79,9.81,84574,-0.01,-0.1018
2021-06-21,9.83,9.85,9.81,9.85,3667,0.04,0.4077
2021-06-22,9.85,9.85,9.78,9.83,1178,-0.02,-0.203
2021-06-23,9.82,9.85,9.71,9.77,100343,-0.06,-0.6104
2021-06-24,9.78,9.79,9.78,9.78,41111,0.01,0.1024
2021-06-25,9.82,9.82,9.78,9.78,2805,0.0,0.0
2021-06-28,9.78,9.79,9.75,9.79,105654,0.01,0.1022
