日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2012-12-21,8.1,8.1,6.6,7.2,68615,,
2012-12-24,7.5,7.78,6.8,6.8,130663,,
2012-12-25,9.03,9.03,9.03,9.03,0,0.0,0.0
2012-12-26,7.1,7.2,6.76,6.8,256359,-2.23,-24.7
2012-12-27,6.75,7.05,6.7,6.9,159164,0.1,1.47
2012-12-28,6.73,6.94,6.6,6.87,712659,-0.03,-0.43
2012-12-31,6.95,7.33,6.87,7.33,283333,0.46,6.7
2013-01-01,7.33,7.33,7.33,7.33,0,0.0,0.0
2013-01-02,7.5,7.5,6.7,7.0,362820,-0.33,-4.5
2013-01-03,6.9,7.096,6.75,6.83,222985,-0.17,-2.43
2013-01-04,6.65,6.71,6.5,6.55,329835,-0.28,-4.1
2013-01-07,6.5,6.6,6.18,6.29,390269,-0.26,-3.97
2013-01-08,6.07,6.24,6.0,6.0,392758,-0.29,-4.61
2013-01-09,6.01,6.18,5.985,6.04,196235,0.04,0.67
2013-01-10,5.9,6.23,5.89,6.1,690314,0.06,0.99
2013-01-11,5.76,6.49,5.76,6.43,554985,0.33,5.41
2013-01-14,6.25,6.59,6.25,6.46,274866,0.03,0.47
2013-01-15,6.48,6.48,6.07,6.26,276397,-0.2,-3.1
2013-01-16,6.03,6.3,5.9,5.97,305740,-0.29,-4.63
2013-01-17,5.95,6.26,5.81,5.84,172329,-0.13,-2.18
2013-01-18,5.64,6.16,5.64,6.14,146015,0.3,5.14
2013-01-21,6.14,6.14,6.14,6.14,0,0.0,0.0
2013-01-22,5.96,6.08,5.82,5.96,80436,-0.18,-2.93
2013-01-23,6.0,6.2,5.81,6.01,125622,0.05,0.84
2013-01-24,5.88,6.2,5.88,6.0,40989,-0.01,-0.17
2013-01-25,5.89,6.25,5.87,6.11,54600,0.11,1.83
2013-01-28,6.27,6.28,5.97,6.05,201073,-0.06,-0.98
2013-01-29,6.0,6.24,6.0,6.13,13821,0.08,1.32
2013-01-30,6.24,6.26,6.05,6.05,17582,-0.08,-1.31
2013-01-31,6.02,6.24,6.0,6.01,242359,-0.04,-0.66
2013-02-01,6.01,6.74,5.9,6.44,78422,0.43,7.15
2013-02-04,6.5,6.7,6.28,6.63,31089,0.19,2.95
2013-02-05,6.56,6.68,6.47,6.51,46515,-0.12,-1.81
2013-02-06,6.5,6.74,6.34,6.7,50587,0.19,2.92
2013-02-07,6.61,6.89,6.35,6.62,23253,-0.08,-1.19
2013-02-08,7.0,7.0,6.26,6.27,39385,-0.35,-5.29
2013-02-11,6.3,6.56,6.03,6.07,33671,-0.2,-3.19
2013-02-12,6.05,6.24,6.02,6.24,30779,0.17,2.8
2013-02-13,6.07,6.22,6.0,6.05,236287,-0.19,-3.04
2013-02-14,6.02,6.3,6.02,6.22,40392,0.17,2.81
2013-02-15,6.02,6.31,6.01,6.01,106147,-0.21,-3.38
2013-02-18,6.01,6.01,6.01,6.01,0,0.0,0.0
2013-02-19,6.16,6.16,6.0,6.1,131289,0.09,1.5
2013-02-20,6.05,6.45,6.02,6.24,59965,0.14,2.3
2013-02-21,6.07,6.49,6.07,6.33,44391,0.09,1.44
2013-02-22,6.48,6.68,6.37,6.57,59873,0.24,3.79
2013-02-25,6.56,6.6,6.4,6.5,56933,-0.07,-1.07
2013-02-26,6.22,6.57,6.22,6.55,18058,0.05,0.77
2013-02-27,6.41,6.54,6.33,6.48,28878,-0.07,-1.07
2013-02-28,6.48,6.6,6.16,6.17,180063,-0.31,-4.78
2013-03-01,6.1,6.42,6.1,6.18,40399,0.01,0.16
2013-03-03,6.19,6.44,6.19,6.44,22510,0.26,4.21
2013-03-04,6.19,6.44,6.19,6.44,22510,-0.19,-2.95
2013-03-05,6.37,6.549,6.25,6.25,13994,0.03,0.48
2013-03-06,6.5,6.5,6.21,6.28,28138,0.23,3.66
2013-03-07,6.3,6.51,6.27,6.51,79862,-0.1,-1.54
2013-03-08,6.33,6.529,6.285,6.41,13389,,
2013-03-11,6.41,6.64,6.41,6.56,42931,0.15,2.34
2013-03-12,6.5,6.6,6.5,6.6,14209,0.04,0.61
2013-03-13,6.52,6.64,6.52,6.57,23523,-0.03,-0.45
2013-03-14,6.54,6.63,6.53,6.62,13066,0.05,0.76
2013-03-15,6.035,6.56,6.035,6.44,111479,-0.18,-2.72
2013-03-18,6.41,6.65,6.41,6.65,11832,0.21,3.26
2013-03-19,6.61,6.61,6.44,6.45,13266,-0.2,-3.01
2013-03-20,6.42,6.65,6.41,6.57,17322,0.12,1.86
2013-03-21,6.58,6.79,6.43,6.78,317789,0.21,3.2
2013-03-22,6.72,6.72,6.59,6.64,9663,-0.14,-2.06
2013-03-25,6.63,6.729,6.5,6.5,5209,-0.14,-2.11
2013-03-26,6.53,6.68,6.51,6.59,8082,0.09,1.38
2013-03-27,6.58,6.68,6.49,6.635,36352,0.05,0.76
2013-03-28,6.53,6.69,6.43,6.69,7198,0.05,0.75
2013-03-29,6.69,6.69,6.69,6.69,0,0.0,0.0
2013-04-01,6.59,6.74,6.51,6.725,19581,0.04,0.6
2013-04-02,6.58,6.69,6.49,6.61,48206,-0.12,-1.78
2013-04-03,6.62,6.75,6.6,6.6,15730,-0.01,-0.15
2013-04-04,6.65,6.74,6.61,6.64,24642,0.04,0.61
2013-04-05,6.6,6.76,6.56,6.76,19489,0.12,1.81
2013-04-08,6.73,6.96,6.56,6.73,27303,-0.03,-0.44
2013-04-09,6.9,7.48,6.68,7.44,30903,0.71,10.55
2013-04-10,7.41,7.739,7.18,7.63,14589,0.19,2.55
2013-04-11,7.6,7.85,7.531,7.85,33260,0.22,2.88
2013-04-12,7.73,8.009,7.51,7.86,29501,0.01,0.13
2013-04-15,7.89,8.01,7.5,8.0,14672,0.14,1.78
2013-04-16,7.99,8.0,7.66,7.93,9692,-0.07,-0.88
2013-04-17,7.81,8.0,7.73,7.88,18044,-0.05,-0.63
2013-04-18,7.8,8.13,7.75,8.02,32287,0.14,1.78
2013-04-19,7.99,8.05,7.85,7.85,78168,-0.17,-2.12
2013-04-22,7.85,8.0,7.8,8.0,96078,0.15,1.91
2013-04-23,7.9,8.0,7.9,8.0,105389,0.0,0.0
2013-04-24,7.99,8.0,7.9,7.94,14890,-0.06,-0.75
2013-04-25,7.99,8.02,7.95,7.97,41975,0.03,0.38
2013-04-26,8.0,8.449,7.97,8.28,115513,0.31,3.89
2013-04-29,8.25,8.35,8.25,8.35,14377,0.07,0.85
2013-04-30,8.29,8.4,8.26,8.26,34649,-0.09,-1.08
2013-05-01,8.27,8.35,8.21,8.21,30127,-0.05,-0.61
2013-05-02,8.2,8.3,8.2,8.3,5782,0.09,1.1
2013-05-03,8.29,8.39,8.18,8.31,79235,0.01,0.12
2013-05-06,8.31,8.39,8.27,8.38,21458,0.07,0.84
2013-05-07,8.43,8.43,8.19,8.32,30190,-0.06,-0.72
2013-05-08,8.28,8.35,8.0,8.0,22875,-0.32,-3.85
2013-05-09,8.21,8.3,8.191,8.29,190045,0.29,3.62
2013-05-10,8.299,8.3,8.2,8.275,28000,-0.01,-0.12
2013-05-13,8.24,8.35,8.2,8.2,49875,-0.08,-0.97
2013-05-14,8.2,8.396,8.2,8.34,23156,0.14,1.71
2013-05-15,8.389,8.39,8.25,8.25,35121,-0.09,-1.08
2013-05-16,8.25,9.37,8.25,9.33,87954,1.08,13.09
2013-05-17,9.33,10.15,9.33,9.86,688572,0.53,5.68
2013-05-20,9.89,10.24,9.5,10.0,56904,0.14,1.42
2013-05-21,10.11,10.659,10.11,10.55,35497,0.55,5.5
2013-05-22,10.55,10.9,10.0,10.0,86626,-0.55,-5.21
2013-05-23,9.72,10.499,9.41,10.1,8933,0.1,1.0
2013-05-24,10.03,10.85,10.03,10.28,12342,0.18,1.78
2013-05-27,10.28,10.28,10.28,10.28,0,0.0,0.0
2013-05-28,11.36,11.36,9.98,10.7,15516,0.42,4.09
2013-05-29,10.62,11.02,10.35,10.35,45187,-0.35,-3.27
2013-05-30,10.45,10.989,10.45,10.55,55025,0.2,1.93
2013-05-31,10.6,10.65,9.75,9.94,55548,-0.61,-5.78
2013-06-03,10.03,10.33,9.75,9.75,15912,-0.19,-1.91
2013-06-04,9.75,10.089,9.51,9.51,15928,-0.24,-2.46
2013-06-05,9.5,9.79,9.14,9.45,41245,-0.06,-0.63
2013-06-06,9.37,10.169,9.36,9.48,11055,0.03,0.32
2013-06-07,9.46,10.8,9.46,10.79,23264,1.31,13.82
2013-06-10,10.79,11.0,10.78,10.93,26744,0.14,1.3
2013-06-11,10.85,11.332,10.85,11.01,15882,0.08,0.73
2013-06-12,11.01,11.01,10.17,10.98,26653,-0.03,-0.27
2013-06-13,10.62,11.36,10.46,10.56,14157,-0.42,-3.83
2013-06-14,10.79,11.55,10.45,11.36,114364,0.8,7.58
2013-06-17,11.43,11.46,10.92,11.01,87560,-0.35,-3.08
2013-06-18,11.06,12.89,11.0,12.77,80685,1.76,15.99
