日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2014-10-22,452.0,480.0,400.0,401.2,679352,,
2014-10-23,400.0,414.4,400.0,400.0,243543,-1.2036,-0.3
2014-10-24,400.0,403.96,400.0,400.0,39799,0.0,0.0
2014-10-27,400.0,403.6,400.0,400.0,48696,0.0,0.0
2014-10-28,400.8,403.2,400.0,400.0,59030,0.0,0.0
2014-10-29,400.0,403.6,400.0,400.4,101846,0.4,0.1
2014-10-30,402.8,404.4,400.0,400.0,53130,-0.4004,-0.1
2014-10-31,404.0,417.56,400.0,400.0,83170,0.0,0.0
2014-11-03,402.0,415.56,400.8,408.0,55585,8.0,2.0
2014-11-04,416.0,416.0,404.0,410.0,20108,1.9992,0.49
2014-11-05,420.0,424.8,406.0,409.6,52417,-0.41,-0.1
2014-11-06,417.6,418.76,406.0,409.6,44543,0.0,0.0
2014-11-07,404.0,416.36,400.0,406.0,47000,-3.6045,-0.88
2014-11-10,400.0,407.6,400.0,403.6,15829,-2.3954,-0.59
2014-11-11,400.0,410.0,400.0,404.0,51029,0.4036,0.1
2014-11-12,401.6,404.0,400.0,401.6,32105,-2.3835,-0.59
2014-11-13,400.8,404.0,400.0,400.0,51724,-1.6064,-0.4
2014-11-14,400.84,409.64,400.4,403.92,31431,3.92,0.98
2014-11-17,418.0,418.0,400.4,414.4,154984,10.462,2.59
2014-11-18,423.2,425.6,402.4,412.4,101260,-1.9891,-0.48
2014-11-19,414.8,414.8,408.0,411.2,14257,-1.1959,-0.29
2014-11-20,408.0,410.0,406.0,408.8,16608,-2.3849,-0.58
2014-11-21,406.0,413.6,402.4,413.6,17008,4.7832,1.17
2014-11-24,410.4,419.6,402.0,418.0,20562,4.3843,1.06
2014-11-25,412.4,426.0,402.8,416.4,23887,-1.5884,-0.38
2014-11-26,422.8,426.0,408.8,425.6,23032,9.2024,2.21
2014-11-28,426.4,426.4,414.84,421.68,7494,-3.9155,-0.92
