日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2019-06-20,15.31,15.5,12.05,13.6,2154211,-3.4,-20.0
2019-06-21,14.25,15.18,12.9,14.5,526727,0.9,6.62
2019-06-24,14.63,16.9,14.63,15.71,552270,1.21,8.34
2019-06-25,15.75,16.0,14.3,15.0,169449,-0.71,-4.52
2019-06-26,15.0,15.2167,14.59,15.0,52634,0.0,0.0
2019-06-27,15.21,15.67,13.22,15.0,346345,0.0,0.0
2019-06-28,15.0,15.1072,13.0,13.2,294878,-1.8,-12.0
2019-07-01,13.33,14.0,11.05,11.24,618533,-1.96,-14.85
2019-07-02,11.47,12.1,10.5005,10.62,287899,-0.62,-5.52
2019-07-03,10.66,11.0,9.83,10.48,204353,-0.14,-1.32
2019-07-05,10.41,10.88,10.2,10.51,201465,0.03,0.29
2019-07-08,11.29,11.7895,11.01,11.24,410765,0.73,6.95
2019-07-09,11.21,11.81,11.05,11.37,112758,0.13,1.16
2019-07-10,11.2,11.8465,11.2,11.53,69908,0.16,1.41
2019-07-11,11.5,12.19,11.5,12.13,96010,0.6,5.2
2019-07-12,12.05,12.19,11.4,11.62,107910,-0.51,-4.2
2019-07-15,11.79,12.4509,11.33,12.25,175914,0.63,5.42
2019-07-16,12.6,12.64,12.005,12.27,127113,0.02,0.16
2019-07-17,12.28,12.3399,12.06,12.1,34706,-0.17,-1.39
2019-07-18,11.95,12.0,11.52,11.59,89189,-0.51,-4.21
2019-07-19,11.53,11.97,11.4,11.64,66918,0.05,0.43
2019-07-22,11.53,12.57,11.5,12.2,87180,0.56,4.81
2019-07-23,12.17,12.59,11.54,11.98,134530,-0.22,-1.8
2019-07-24,11.83,12.21,11.5105,11.54,38315,-0.44,-3.67
2019-07-25,11.52,12.2064,11.34,11.49,51148,-0.05,-0.43
2019-07-26,11.34,11.61,11.145,11.4,95082,-0.09,-0.78
2019-07-29,11.34,11.64,11.0,11.37,153585,-0.03,-0.26
2019-07-30,11.31,11.68,11.07,11.39,98344,0.02,0.18
2019-07-31,11.45,11.935,11.45,11.71,122799,0.32,2.81
2019-08-01,11.61,11.9,11.57,11.67,14332,-0.04,-0.34
2019-08-02,11.62,11.79,11.16,11.32,27265,-0.35,-3.0
2019-08-05,11.29,11.425,10.23,10.48,32742,-0.84,-7.42
2019-08-06,10.47,11.5309,10.176,10.5,19240,0.02,0.19
2019-08-07,10.43,10.695,9.558,9.57,39210,-0.93,-8.86
2019-08-08,9.61,10.05,7.41,8.05,114171,-1.52,-15.88
2019-08-09,8.0,9.84,7.93,9.7,116335,1.65,20.5
2019-08-12,9.7,10.61,9.1124,9.52,56391,-0.18,-1.86
2019-08-13,9.62,10.43,8.89,10.2,50960,0.68,7.14
2019-08-14,9.99,10.96,9.99,10.36,41994,0.16,1.57
2019-08-15,10.71,10.8,9.58,10.38,20148,0.02,0.19
2019-08-16,10.28,10.9,10.28,10.9,26151,0.52,5.01
2019-08-19,10.92,11.5,10.85,10.92,26715,0.02,0.18
2019-08-20,10.89,11.45,10.76,11.15,41584,0.23,2.11
2019-08-21,11.18,11.88,11.05,11.7,40105,0.55,4.93
2019-08-22,11.74,11.74,11.4,11.57,17564,-0.13,-1.11
2019-08-23,11.6,11.99,11.6,11.89,25024,0.32,2.77
2019-08-26,11.89,11.89,11.0601,11.54,46763,-0.35,-2.94
2019-08-27,11.64,12.19,11.055,12.0,53157,0.46,3.99
2019-08-28,11.94,12.69,11.1053,11.8,36571,-0.2,-1.67
2019-08-29,11.65,12.35,10.92,11.88,49607,0.08,0.68
2019-08-30,11.94,11.94,10.92,11.32,11119,-0.56,-4.71
2019-09-03,11.25,11.75,10.6,10.99,50997,-0.33,-2.92
2019-09-04,11.06,11.38,10.55,10.55,46650,-0.44,-4.0
2019-09-05,10.62,11.17,9.6,10.12,87554,-0.43,-4.08
2019-09-06,10.0,10.26,9.37,10.0,69372,-0.12,-1.19
2019-09-09,10.01,10.04,8.76,9.09,35215,-0.91,-9.1
2019-09-10,9.1,9.82,8.765,9.42,143773,0.33,3.63
2019-09-11,9.5,9.67,8.885,9.21,94597,-0.21,-2.23
2019-09-12,9.34,10.81,9.0026,10.77,57958,1.56,16.94
2019-09-13,10.77,11.8,10.2936,11.7,59185,0.93,8.64
2019-09-16,11.65,12.41,10.91,12.0,87184,0.3,2.56
2019-09-17,12.0,12.22,11.2063,11.86,41687,-0.14,-1.17
2019-09-18,11.92,13.48,11.7,12.14,128756,0.28,2.36
2019-09-19,12.21,13.25,11.77,12.9,133036,0.76,6.26
2019-09-20,13.0,14.04,13.0,13.56,951386,0.66,5.12
2019-09-23,13.7,15.45,13.625,15.21,102710,1.65,12.17
2019-09-24,15.21,15.21,13.6284,14.73,82946,-0.48,-3.16
2019-09-25,14.85,14.85,12.34,12.56,193573,-2.17,-14.73
2019-09-26,12.54,12.77,11.79,12.32,36570,-0.24,-1.91
2019-09-27,12.32,12.87,11.165,11.72,52344,-0.6,-4.87
2019-09-30,11.72,12.5,11.61,12.28,47208,0.56,4.78
2019-10-01,12.31,13.0,12.08,12.32,52201,0.04,0.33
2019-10-02,12.27,12.53,11.25,11.55,47120,-0.77,-6.25
2019-10-03,11.53,11.82,11.11,11.37,34814,-0.18,-1.56
2019-10-04,11.32,11.5197,10.32,10.41,59743,-0.96,-8.44
2019-10-07,10.53,10.53,9.75,10.11,48872,-0.3,-2.88
2019-10-08,10.23,10.515,9.14,10.1,69417,-0.01,-0.1
2019-10-09,10.12,10.36,9.77,10.14,35616,0.04,0.4
2019-10-10,10.13,10.16,9.15,9.79,58253,-0.35,-3.45
2019-10-11,9.79,10.43,9.12,10.21,35909,0.42,4.29
2019-10-14,9.84,10.46,9.735,9.89,31805,-0.32,-3.13
2019-10-15,9.83,10.77,9.38,10.16,67194,0.27,2.73
2019-10-16,10.12,11.655,10.0,10.97,84983,0.81,7.97
2019-10-17,11.01,11.64,10.78,10.91,68866,-0.06,-0.55
2019-10-18,10.86,11.45,10.4,10.7,62296,-0.21,-1.92
2019-10-21,10.7,10.99,10.1134,10.47,74367,-0.23,-2.15
2019-10-22,10.6,11.14,10.43,10.68,132042,0.21,2.01
2019-10-23,10.67,11.065,10.39,10.82,75806,0.14,1.31
2019-10-24,10.82,11.1,10.59,10.68,77000,-0.14,-1.29
2019-10-25,10.94,11.17,10.58,10.94,80035,0.26,2.43
2019-10-28,10.98,11.45,10.6,10.77,93817,-0.17,-1.55
2019-10-29,10.74,11.65,10.73,11.53,77992,0.76,7.06
2019-10-30,11.47,11.68,11.16,11.52,61888,-0.01,-0.09
2019-10-31,11.42,11.7,10.82,11.02,35753,-0.5,-4.34
2019-11-01,11.05,11.4,10.7,10.9,55494,-0.12,-1.09
2019-11-04,10.88,10.99,10.47,10.59,40853,-0.31,-2.84
2019-11-05,10.59,11.36,9.91,11.01,93091,0.42,3.97
2019-11-06,10.81,11.27,10.4,10.5,57032,-0.51,-4.63
2019-11-07,10.5,11.35,10.41,11.18,61673,0.68,6.48
2019-11-08,10.92,12.48,10.9,12.3,95378,1.12,10.02
2019-11-11,12.3,14.95,12.19,13.53,124925,1.23,10.0
2019-11-12,13.57,13.9996,10.82,11.07,91439,-2.46,-18.18
2019-11-13,11.4,11.9646,9.67,9.91,105477,-1.16,-10.48
2019-11-14,10.12,11.23,10.12,10.86,80711,0.95,9.59
2019-11-15,10.94,10.94,10.5196,10.62,32500,-0.24,-2.21
2019-11-18,10.71,11.195,10.21,11.02,54661,0.4,3.77
2019-11-19,11.01,12.77,11.01,12.48,91992,1.46,13.25
2019-11-20,12.41,13.6999,12.41,13.47,108715,0.99,7.93
2019-11-21,13.4,14.0,13.09,13.91,77873,0.44,3.27
2019-11-22,13.9,13.9,12.83,13.26,53026,-0.65,-4.67
2019-11-25,13.26,13.99,13.19,13.81,47742,0.55,4.15
2019-11-26,13.79,14.39,13.42,13.84,94400,0.03,0.22
2019-11-27,13.81,14.39,13.785,14.33,72035,0.49,3.54
2019-11-29,14.1,14.39,14.04,14.39,43712,0.06,0.42
2019-12-02,14.39,14.39,13.82,14.23,54965,-0.16,-1.11
2019-12-03,14.15,15.17,13.425,15.0,106998,0.77,5.41
2019-12-04,15.03,15.38,14.18,14.39,117407,-0.61,-4.07
2019-12-05,14.38,15.37,13.92,14.03,90978,-0.36,-2.5
2019-12-06,14.06,15.75,13.77,15.54,107872,1.51,10.76
2019-12-09,15.3722,16.7,14.88,15.32,87087,-0.22,-1.42
2019-12-10,15.26,16.605,14.7312,15.53,110782,0.21,1.37
2019-12-11,15.42,15.62,15.03,15.55,77241,0.02,0.13
2019-12-12,15.34,15.9,14.74,14.91,51457,-0.64,-4.12
2019-12-13,14.92,16.12,14.92,16.01,71575,1.1,7.38
2019-12-16,16.0,16.45,14.67,15.33,129360,-0.68,-4.25
2019-12-17,16.86,18.2777,15.83,15.86,240997,0.53,3.46
2019-12-18,15.9,17.32,15.5158,16.06,158825,0.2,1.26
2019-12-19,16.04,16.99,15.5,15.79,218794,-0.27,-1.68
2019-12-20,15.83,16.71,14.6113,16.07,683469,0.28,1.77
2019-12-23,16.36,16.74,15.92,16.58,163215,0.51,3.17
2019-12-24,16.61,16.61,15.94,16.24,66660,-0.34,-2.05
2019-12-26,16.5,17.0,16.1639,16.36,98725,0.12,0.74
2019-12-27,16.53,16.645,15.3605,15.81,121552,-0.55,-3.36
2019-12-30,15.78,16.35,15.42,15.86,218245,0.05,0.32
2019-12-31,15.8,16.14,15.56,15.83,67964,-0.03,-0.19
2020-01-02,15.93,16.3,15.645,16.23,46670,0.4,2.53
2020-01-03,15.86,16.0,15.26,15.83,90817,-0.4,-2.46
2020-01-06,15.71,16.02,14.86,15.56,122571,-0.27,-1.71
2020-01-07,15.55,18.0,15.55,17.88,109624,2.32,14.91
2020-01-08,17.8,17.8,16.01,16.47,73916,-1.41,-7.89
2020-01-09,16.58,17.82,16.22,16.98,70648,0.51,3.1
2020-01-10,16.94,17.955,16.6574,17.88,105332,0.9,5.3
2020-01-13,17.83,18.05,17.31,17.85,126336,-0.03,-0.17
2020-01-14,17.85,18.18,17.2494,17.64,151634,-0.21,-1.18
2020-01-15,17.69,17.97,16.67,17.04,171537,-0.6,-3.4
2020-01-16,17.0,18.08,16.9,18.0,213677,0.96,5.63
2020-01-17,18.08,18.7,17.69,18.53,178251,0.53,2.94
2020-01-21,18.41,18.85,17.99,18.29,125486,-0.24,-1.3
2020-01-22,18.27,19.24,18.01,18.5,225778,0.21,1.15
2020-01-23,18.49,18.6,17.6,18.09,137813,-0.41,-2.22
2020-01-24,18.0,18.52,17.74,18.12,72811,0.03,0.17
2020-01-27,18.0,18.29,17.3759,17.87,86404,-0.25,-1.38
2020-01-28,18.31,18.77,17.71,18.22,50567,0.35,1.96
2020-01-29,18.25,18.87,18.0,18.61,53254,0.39,2.14
2020-01-30,18.46,18.75,18.1,18.56,56594,-0.05,-0.27
2020-01-31,18.6,19.09,18.6,18.9,93535,0.34,1.83
2020-02-03,18.95,18.975,18.3631,18.6,54332,-0.3,-1.59
2020-02-04,18.65,19.2,18.38,18.98,103331,0.38,2.04
2020-02-05,19.0,19.0,18.41,18.48,85042,-0.5,-2.63
2020-02-06,18.54,18.7,17.68,18.45,199690,-0.03,-0.16
2020-02-07,18.42,18.615,18.13,18.47,77317,0.02,0.11
2020-02-10,18.45,18.64,18.4,18.49,133865,0.02,0.11
2020-02-11,18.62,19.1143,18.41,18.94,242919,0.45,2.43
2020-02-12,19.09,19.25,18.35,18.91,110254,-0.03,-0.16
2020-02-13,18.92,19.07,17.58,17.75,62036,-1.16,-6.13
2020-02-14,17.75,18.1,16.61,17.4,153445,-0.35,-1.97
