日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2014-03-17,23.45,23.65,23.33,23.43,54858,0.0,0.0
2014-03-18,23.46,23.65,23.46,23.65,24912,0.22,0.94
2014-03-19,23.69,23.8,23.58,23.72,16671,0.07,0.3
2014-03-20,23.75,23.81,23.65,23.74,17017,0.02,0.08
2014-03-21,23.88,23.98,23.77,23.85,43088,0.11,0.46
2014-03-24,23.83,24.05,23.83,23.87,73912,0.02,0.08
2014-03-25,24.02,24.12,23.88,24.12,94657,0.25,1.05
2014-03-26,24.15,24.15,23.96,24.13,42768,0.01,0.04
2014-03-27,24.3,24.3,24.02,24.02,16947,-0.11,-0.46
2014-03-28,24.17,24.2,24.03,24.18,42730,0.16,0.67
2014-03-31,24.32,24.5,24.05,24.05,38858,-0.13,-0.54
2014-04-01,24.05,24.35,24.04,24.23,57274,0.18,0.75
2014-04-02,24.35,24.35,24.2,24.2,21415,-0.03,-0.12
2014-04-03,24.2,24.25,24.2,24.2,25143,0.0,0.0
2014-04-04,24.15,24.37,24.15,24.25,38026,0.05,0.21
2014-04-07,24.3,24.3,24.05,24.06,23674,-0.19,-0.78
2014-04-08,24.14,24.2,24.09,24.11,22455,0.05,0.21
2014-04-09,24.24,24.24,24.19,24.2,23049,0.09,0.37
2014-04-10,24.22,24.26,24.17,24.25,20881,0.05,0.21
2014-04-11,24.2,24.39,24.2,24.35,24433,0.1,0.41
2014-04-14,24.4,24.4,24.25,24.25,23061,-0.1,-0.41
2014-04-15,24.35,24.44,24.26,24.38,77009,0.13,0.54
2014-04-16,24.47,24.5,24.43,24.45,34440,0.03,0.12
2014-04-21,24.5,24.67,24.45,24.62,79205,0.17,0.7
2014-04-22,24.74,25.0,24.53,24.91,85498,0.29,1.18
2014-04-23,24.98,25.04,24.87,24.91,50348,0.0,0.0
2014-04-24,24.95,25.08,24.87,24.96,68565,0.05,0.2
2014-04-25,24.99,25.14,24.97,25.07,46546,0.11,0.44
2014-04-28,25.07,25.25,25.0,25.25,29454,0.18,0.72
2014-04-29,25.25,25.72,25.05,25.51,176942,0.26,1.03
2014-04-30,25.63,25.66,25.27,25.66,55636,0.15,0.59
2014-05-01,25.65,25.65,25.31,25.5,44291,-0.16,-0.62
2014-05-02,25.43,25.43,25.3,25.3,21582,-0.2,-0.78
2014-05-05,25.18,25.26,25.14,25.19,23497,-0.11,-0.43
2014-05-06,25.15,25.24,25.15,25.15,5556,-0.04,-0.16
2014-05-07,25.1,25.18,25.1,25.15,15139,0.0,0.0
2014-05-08,25.1,25.1,25.06,25.1,8510,-0.05,-0.2
2014-05-09,25.0,25.13,24.97,25.13,10710,0.03,0.12
2014-05-12,25.05,25.16,25.0,25.11,142893,-0.02,-0.09
2014-05-13,25.08,25.16,25.04,25.06,11939,-0.04,-0.17
2014-05-14,25.03,25.17,25.03,25.13,47954,0.07,0.26
2014-05-15,25.23,25.23,25.18,25.23,7299,0.1,0.4
2014-05-16,25.23,25.23,25.08,25.14,11947,-0.09,-0.36
2014-05-19,25.18,25.28,25.12,25.25,20660,0.11,0.44
2014-05-20,25.2,25.34,25.16,25.23,17092,-0.03,-0.1
2014-05-21,25.33,25.34,25.24,25.29,10217,0.07,0.26
2014-05-22,25.3,25.3,25.02,25.2,17237,0.0,0.0
2014-05-27,25.38,25.38,25.2,25.32,5677,0.12,0.48
2014-05-28,25.32,25.34,25.2,25.34,7195,0.02,0.08
2014-05-29,25.3,25.46,25.27,25.3,6791,-0.04,-0.16
2014-05-30,25.42,25.46,25.33,25.41,3488,0.11,0.43
2014-06-02,25.46,25.49,25.39,25.49,5787,0.08,0.31
2014-06-03,25.5,25.53,25.4,25.4,17364,-0.09,-0.35
2014-06-04,25.48,25.48,24.9,25.09,40109,-0.31,-1.22
2014-06-05,25.29,25.35,24.79,25.09,11177,0.0,0.0
2014-06-06,25.37,25.45,25.12,25.3,5170,0.21,0.84
2014-06-09,25.35,25.35,25.3,25.33,3504,0.03,0.12
2014-06-10,25.38,25.38,25.22,25.38,25819,0.05,0.2
2014-06-11,25.01,25.05,24.85,24.89,22075,-0.09,-0.35
2014-06-12,24.89,25.04,24.89,24.89,23817,0.0,0.0
2014-06-13,24.9,25.0,24.88,24.88,16318,-0.01,-0.04
2014-06-16,24.95,25.1,24.89,24.98,15748,0.1,0.4
2014-06-17,24.97,25.13,24.97,25.13,11826,0.15,0.6
2014-06-18,25.12,25.18,24.99,25.18,17537,0.05,0.2
2014-06-19,25.16,25.25,25.11,25.18,9260,0.0,0.0
2014-06-20,25.26,25.26,25.05,25.15,4175,-0.03,-0.12
2014-06-23,25.28,25.3,25.13,25.13,9743,-0.02,-0.08
2014-06-24,25.27,25.27,25.01,25.03,20740,-0.1,-0.4
2014-06-25,25.13,25.17,25.1,25.15,7704,0.12,0.48
2014-06-26,25.15,25.15,25.0,25.14,16318,-0.01,-0.04
2014-06-27,25.26,25.31,25.11,25.13,14875,-0.01,-0.04
2014-06-30,25.26,25.31,25.13,25.13,16744,0.0,0.0
2014-07-01,25.15,25.17,25.04,25.05,15860,-0.08,-0.32
2014-07-02,25.06,25.23,25.04,25.1,12068,0.05,0.22
2014-07-03,25.06,25.07,24.95,24.95,6476,-0.15,-0.61
2014-07-07,25.0,25.01,24.89,24.91,28660,-0.04,-0.16
2014-07-08,24.9,25.04,24.89,24.96,11575,0.05,0.2
2014-07-09,25.1,25.1,24.99,25.04,9656,0.08,0.32
2014-07-10,24.99,25.11,24.98,25.01,7023,-0.03,-0.12
2014-07-11,25.0,25.23,25.0,25.22,13467,0.21,0.84
2014-07-14,25.13,25.23,25.13,25.23,6119,0.01,0.04
2014-07-15,25.12,25.28,25.12,25.28,7864,0.05,0.2
2014-07-16,25.28,25.28,25.16,25.25,7183,-0.03,-0.11
2014-07-17,25.16,25.23,25.09,25.09,10166,-0.16,-0.64
2014-07-18,25.18,25.32,25.09,25.32,21523,0.23,0.92
2014-07-21,25.24,25.33,25.15,25.15,12692,-0.17,-0.67
2014-07-22,25.2,25.33,25.16,25.32,4081,0.15,0.58
2014-07-24,25.25,25.34,25.19,25.2,35137,-0.12,-0.47
2014-07-25,25.17,25.23,25.11,25.12,8978,-0.08,-0.32
2014-07-29,25.12,25.19,25.06,25.06,10540,-0.06,-0.24
2014-07-30,25.12,25.14,25.01,25.03,13831,-0.03,-0.12
2014-07-31,25.0,25.0,24.75,24.75,21129,-0.28,-1.12
2014-08-01,24.76,24.9,24.58,24.75,40945,0.0,0.0
2014-08-04,24.75,24.75,24.51,24.55,15293,-0.2,-0.81
2014-08-06,24.68,24.99,24.68,24.95,14962,0.24,0.97
2014-08-07,24.9,25.07,24.9,25.07,12931,0.12,0.48
2014-08-08,25.05,25.23,25.03,25.22,3377,0.1,0.4
2014-08-12,25.09,25.11,25.06,25.11,2284,-0.11,-0.44
2014-08-13,25.19,25.25,25.18,25.25,3884,0.14,0.56
2014-08-14,25.13,25.4,25.13,25.38,4275,0.13,0.51
2014-08-15,25.5,25.5,25.24,25.29,7308,-0.09,-0.35
2014-08-18,25.38,25.46,25.34,25.46,9678,0.17,0.67
2014-08-19,25.49,25.49,25.4,25.4,9542,-0.06,-0.24
2014-08-20,25.48,25.48,25.4,25.45,4111,0.0,0.0
2014-08-25,25.47,25.55,25.36,25.49,14270,0.04,0.16
2014-08-26,25.49,25.55,25.41,25.55,2541,0.06,0.24
2014-08-27,25.75,25.75,25.61,25.71,7606,0.01,0.04
2014-09-02,25.79,25.79,25.41,25.5,14661,-0.21,-0.82
2014-09-03,25.48,25.57,25.41,25.45,22725,-0.05,-0.2
2014-09-04,25.44,25.55,25.35,25.39,27563,-0.06,-0.24
2014-09-05,25.48,25.48,25.39,25.4,21681,0.01,0.04
2014-09-08,25.48,25.48,25.31,25.38,9721,-0.02,-0.09
2014-09-09,25.4,25.4,25.35,25.35,7988,-0.03,-0.11
2014-09-10,25.49,25.49,25.28,25.32,10003,-0.03,-0.12
2014-09-11,24.97,25.05,24.97,25.0,5843,0.08,0.33
2014-09-12,25.04,25.11,24.97,25.04,33016,0.04,0.16
2014-09-15,25.04,25.04,25.0,25.0,4561,-0.04,-0.16
2014-09-16,25.0,25.15,25.0,25.01,6961,0.01,0.04
2014-09-17,25.1,25.12,25.02,25.05,8605,0.04,0.16
2014-09-18,25.07,25.24,25.02,25.07,15395,0.02,0.08
2014-09-19,25.22,25.22,25.04,25.04,5714,-0.03,-0.12
2014-09-22,25.15,25.19,25.03,25.14,10132,0.1,0.4
2014-09-23,25.16,25.16,24.99,25.05,10649,-0.09,-0.36
2014-09-24,24.99,25.02,24.96,25.02,4765,0.04,0.16
2014-09-29,24.96,25.04,24.96,25.04,5931,0.02,0.08
