日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2007-12-10,7.75,7.75,5.3,5.8,9662,-1.45,-20.0
2007-12-11,6.5,6.75,5.6,5.75,4190,-0.05,-0.86
2007-12-12,5.75,6.0,5.2,5.3,13729,-0.45,-7.83
2007-12-13,5.25,5.25,5.01,5.09,7348,-0.21,-3.96
2007-12-14,4.95,4.95,4.9,4.94,4721,-0.15,-2.95
2007-12-17,4.96,5.0,4.8,4.9,7606,-0.04,-0.81
2007-12-18,4.75,4.75,3.62,4.0,19567,-0.9,-18.37
2007-12-19,4.02,4.25,3.95,3.95,10750,-0.05,-1.25
2007-12-20,3.89,4.5,3.75,4.5,4808,0.55,13.92
2007-12-21,4.29,4.38,3.9,4.38,5647,-0.12,-2.67
2007-12-24,4.12,4.5,3.7,4.38,3492,0.0,0.0
2007-12-26,4.49,4.49,3.85,3.91,7460,-0.47,-10.73
2007-12-27,3.72,4.115,2.99,3.25,47287,-0.66,-16.88
2007-12-28,3.25,4.4,3.25,3.75,38700,0.5,15.38
2007-12-31,4.15,4.15,3.51,3.55,18437,-0.2,-5.33
2008-01-02,3.62,3.99,3.62,3.96,1525,0.41,11.55
2008-01-03,4.0,4.25,4.0,4.1,8250,0.14,3.54
2008-01-04,4.2,4.2,4.0,4.0,3628,-0.1,-2.44
2008-01-07,4.0,4.05,3.85,3.85,4756,-0.15,-3.75
2008-01-08,4.15,4.15,3.75,3.75,4050,-0.1,-2.6
2008-01-09,3.75,3.75,3.55,3.55,2897,-0.2,-5.33
2008-01-10,3.452,4.0,3.452,3.9,3042,0.35,9.86
2008-01-11,3.51,4.0,3.45,3.45,2878,-0.45,-11.54
2008-01-14,3.45,3.6,3.25,3.6,5590,0.15,4.35
2008-01-15,3.26,3.29,2.5,3.2,17070,-0.4,-11.11
2008-01-16,2.9,3.14,2.88,2.95,7834,-0.25,-7.81
2008-01-17,2.95,3.0,2.95,2.95,933,0.0,0.0
2008-01-18,2.9,2.95,2.58,2.69,9663,-0.26,-8.81
2008-01-22,2.26,2.5,2.2,2.399,15142,-0.29,-10.78
2008-01-23,2.3,2.7,2.3,2.3,15461,-0.1,-4.17
2008-01-24,2.5,2.85,2.35,2.51,14253,0.21,9.13
2008-01-25,2.54,2.54,2.21,2.53,4204,0.02,0.8
2008-01-28,2.52,2.52,2.39,2.46,3091,-0.07,-2.77
2008-01-29,2.47,2.69,2.47,2.47,5966,0.01,0.41
2008-01-30,2.55,2.82,2.498,2.82,1841,0.35,14.17
2008-01-31,2.79,2.8,2.5,2.8,1510,-0.02,-0.71
2008-02-01,2.37,2.8,2.21,2.749,2600,-0.05,-1.79
2008-02-05,2.4,2.6,2.4,2.6,2500,-0.15,-5.45
2008-02-06,2.57,2.57,2.4,2.4,2919,-0.2,-7.69
2008-02-07,2.47,2.47,2.4,2.4,5001,0.0,0.0
2008-02-08,2.4,2.41,2.31,2.41,1031,0.01,0.42
2008-02-11,2.41,2.41,2.15,2.219,8965,-0.19,-7.88
2008-02-12,2.3,2.48,2.29,2.35,6829,0.13,5.86
2008-02-13,2.34,2.381,2.34,2.381,825,0.03,1.28
2008-02-14,2.4,2.689,2.4,2.6,9114,0.22,9.24
2008-02-15,2.6,2.6,2.55,2.6,2013,0.0,0.0
2008-02-19,2.6,2.74,2.6,2.7,3695,0.1,3.85
2008-02-20,2.8,2.8,2.4,2.42,6145,-0.28,-10.37
2008-02-21,2.66,2.95,2.66,2.9,17843,0.48,19.83
2008-02-22,3.09,3.3,2.83,2.97,74076,0.07,2.41
2008-02-25,3.12,3.3,2.7,2.95,53964,-0.02,-0.67
2008-02-26,2.9,2.95,2.6,2.7,12508,-0.25,-8.47
2008-02-27,2.7,2.879,2.66,2.7,11975,0.0,0.0
2008-02-28,2.65,2.9,2.55,2.7,15901,0.0,0.0
2008-02-29,2.7,2.74,2.48,2.7,3119,0.0,0.0
2008-03-02,2.75,2.75,2.26,2.7,16300,0.0,0.0
2008-03-03,2.75,2.75,2.26,2.7,16331,-0.01,-0.37
2008-03-04,2.66,2.8,2.6,2.69,11025,-0.36,-13.38
2008-03-05,2.75,2.8,2.32,2.33,20106,0.12,5.15
2008-03-06,2.4,2.53,2.33,2.45,5238,-0.3,-12.24
2008-03-07,2.31,2.31,2.15,2.15,2000,,
2008-03-10,2.2,2.2,2.12,2.122,3010,-0.03,-1.4
2008-03-11,2.47,2.65,2.0,2.15,31920,0.03,1.42
2008-03-12,2.15,2.27,2.15,2.15,11047,0.0,0.0
2008-03-13,2.21,2.38,2.2,2.21,2400,0.06,2.79
2008-03-14,2.21,2.21,2.15,2.2,6418,-0.01,-0.45
2008-03-17,2.0,2.18,2.0,2.05,4039,-0.15,-6.82
2008-03-18,1.75,2.26,1.75,2.2,1350,0.15,7.32
2008-03-19,2.03,2.222,2.03,2.05,7025,-0.15,-6.82
2008-03-20,2.1,2.29,2.0,2.08,5220,0.03,1.46
2008-03-24,2.07,2.29,2.03,2.03,6658,-0.05,-2.4
2008-03-25,2.0,2.19,1.979,2.01,7400,-0.02,-0.99
2008-03-26,2.0,2.0,2.0,2.0,1163,-0.01,-0.5
2008-03-27,2.01,2.04,2.0,2.0,6927,0.0,0.0
2008-03-28,2.0,2.05,1.93,1.93,3126,-0.07,-3.5
2008-03-31,1.87,1.95,1.61,1.75,7862,-0.18,-9.33
2008-04-01,1.52,2.15,1.52,2.01,21960,0.26,14.86
2008-04-02,2.09,2.24,2.08,2.1,9628,0.09,4.48
2008-04-03,1.85,2.24,1.85,2.22,2800,0.12,5.71
2008-04-04,2.02,2.196,2.02,2.05,18600,-0.17,-7.66
2008-04-07,2.15,5.989,2.15,4.262,886168,2.21,107.8
2008-04-08,5.02,5.54,4.32,4.92,526143,0.66,15.49
2008-04-09,5.03,5.2,4.35,4.58,212007,-0.34,-6.91
2008-04-10,4.85,4.85,4.05,4.227,135297,-0.35,-7.64
2008-04-11,4.15,4.15,3.4,3.55,84643,-0.68,-16.08
2008-04-14,3.65,4.8,3.53,4.8,302742,1.25,35.21
2008-04-15,4.93,4.93,4.12,4.25,115523,-0.55,-11.46
2008-04-16,4.1,4.25,3.9,3.93,65730,-0.32,-7.53
2008-04-17,3.88,3.919,3.56,3.66,40544,-0.27,-6.87
2008-04-18,3.85,3.892,3.6,3.75,29435,0.09,2.46
2008-04-21,3.82,3.9,3.82,3.82,20748,0.07,1.87
2008-04-22,3.91,3.91,3.82,3.91,25254,0.09,2.36
2008-04-23,3.98,4.43,3.98,4.2,80232,0.29,7.42
2008-04-24,4.21,4.899,4.21,4.482,51147,0.7,16.67
2008-04-25,4.81,5.17,4.696,4.85,39145,-0.05,-1.02
2008-04-28,5.25,5.25,4.91,5.08,56430,0.23,4.74
2008-04-29,5.06,5.06,4.62,4.75,53265,-0.33,-6.5
2008-04-30,5.04,5.04,4.51,4.869,22453,0.29,6.11
2008-05-01,5.03,5.03,4.75,4.89,19271,-0.01,-0.2
2008-05-02,4.89,4.89,4.51,4.59,18821,-0.44,-8.75
2008-05-05,4.6,4.6,3.94,3.95,132571,-0.64,-13.94
2008-05-06,4.0,4.64,3.8,3.8,115178,-0.15,-3.8
2008-05-07,3.95,3.95,3.51,3.559,56889,-0.24,-6.32
2008-05-08,3.7,3.9,3.2,3.26,135489,-0.3,-8.43
2008-05-09,3.5,3.5,2.88,2.97,106572,-0.29,-8.9
2008-05-12,3.3,3.45,2.81,2.81,207648,-0.16,-5.39
2008-05-13,2.95,2.95,2.35,2.76,150183,-0.05,-1.78
2008-05-14,2.5,2.6,2.12,2.15,329559,-0.61,-22.1
2008-05-15,2.13,2.18,1.83,2.05,500123,-0.1,-4.65
2008-05-16,2.05,2.19,1.97,1.98,173033,-0.07,-3.41
2008-05-19,2.1,2.33,2.06,2.1,295979,0.12,6.06
2008-05-20,2.25,2.25,2.08,2.1,174133,0.0,0.0
2008-05-21,2.22,2.22,1.9,1.9,227443,-0.2,-9.52
2008-05-22,2.07,2.07,1.81,1.82,69970,-0.08,-4.21
2008-05-23,1.92,1.92,1.8,1.8,53844,-0.02,-1.1
2008-05-27,1.97,1.97,1.85,1.87,47816,0.07,3.89
2008-05-28,2.01,2.01,1.85,1.9,155368,0.03,1.6
2008-05-29,1.88,1.94,1.86,1.93,32565,0.03,1.58
2008-05-30,1.91,1.92,1.81,1.88,75981,-0.05,-2.59
2008-06-02,1.99,2.1,1.9,2.03,235057,0.15,7.98
2008-06-03,2.11,2.11,1.9,1.94,112136,-0.09,-4.43
2008-06-04,1.93,1.979,1.89,1.93,47311,0.04,2.06
2008-06-05,1.93,1.93,1.9,1.91,57948,-0.07,-3.54
2008-06-06,1.88,1.959,1.88,1.9,64698,0.05,2.62
2008-06-09,1.88,1.91,1.85,1.85,37062,-0.11,-5.61
2008-06-10,1.84,1.85,1.814,1.84,33355,-0.01,-0.54
2008-06-11,1.85,1.85,1.6,1.63,55473,-0.21,-11.41
2008-06-12,1.7,1.73,1.62,1.649,22501,0.02,1.23
2008-06-13,1.61,1.649,1.55,1.64,35594,-0.01,-0.61
2008-06-16,1.61,1.68,1.61,1.65,68339,0.04,2.44
2008-06-17,1.7,1.74,1.57,1.74,32846,0.06,3.57
2008-06-18,1.74,1.74,1.59,1.63,24101,-0.11,-6.32
2008-06-19,1.63,1.63,1.55,1.56,43179,-0.07,-4.29
2008-06-20,1.56,1.56,1.4,1.46,112088,-0.1,-6.41
2008-06-23,1.46,1.46,1.4,1.439,49495,0.0,0.0
2008-06-24,1.4,1.406,1.35,1.359,39604,-0.05,-3.42
2008-06-25,1.34,1.43,1.34,1.39,97776,-0.02,-1.42
2008-06-26,1.37,1.37,1.21,1.23,86225,-0.16,-11.51
2008-06-27,1.23,1.25,1.22,1.25,13070,0.02,1.63
2008-06-30,1.24,1.317,1.2,1.2,40908,-0.05,-4.0
2008-07-01,1.22,1.22,1.18,1.19,13587,-0.01,-0.83
2008-07-02,1.2,1.2,1.15,1.18,10990,-0.01,-0.84
2008-07-03,1.16,1.17,1.11,1.12,15923,-0.06,-5.08
2008-07-07,1.2,1.2,1.11,1.17,44067,0.05,4.46
2008-07-08,1.2,1.2,1.12,1.17,42359,0.0,0.0
2008-07-09,1.19,1.26,1.16,1.25,34787,0.08,6.84
2008-07-10,1.25,1.31,1.18,1.19,31932,-0.06,-4.8
2008-07-11,1.18,1.18,1.12,1.13,39393,-0.01,-0.84
2008-07-14,1.2,1.2,1.12,1.16,29013,-0.02,-1.69
2008-07-15,1.15,1.15,1.12,1.14,7642,-0.02,-1.72
2008-07-16,1.12,1.15,1.074,1.15,9945,0.01,0.88
2008-07-17,1.159,1.159,1.12,1.15,8875,0.0,0.0
2008-07-18,1.11,1.22,1.11,1.13,20920,-0.02,-1.74
2008-07-21,1.17,1.17,1.11,1.13,12055,0.0,0.0
2008-07-22,1.15,1.151,1.12,1.14,15700,0.02,1.77
2008-07-23,1.159,1.18,1.14,1.169,26812,0.02,1.74
2008-07-24,1.15,1.15,1.149,1.15,3270,-0.02,-1.71
2008-07-25,1.16,1.17,1.13,1.16,9073,0.02,1.74
2008-07-28,1.15,1.15,1.11,1.14,18547,-0.03,-2.56
2008-07-29,1.18,1.22,1.13,1.18,63004,0.04,3.51
2008-07-30,1.25,1.78,1.2,1.72,466945,0.54,45.76
2008-07-31,1.62,1.95,1.5,1.57,266408,-0.15,-8.72
2008-08-01,1.69,1.69,1.4,1.545,120710,-0.02,-1.27
2008-08-04,1.79,1.79,1.596,1.657,49450,0.24,15.48
2008-08-05,1.75,1.75,1.55,1.629,82936,-0.04,-2.23
2008-08-06,1.45,1.45,1.06,1.14,673949,-0.61,-34.86
2008-08-07,1.25,1.25,1.1,1.23,142282,0.09,7.89
2008-08-08,1.23,1.23,1.11,1.11,64251,-0.12,-9.76
2008-08-11,1.2,1.24,1.119,1.16,199200,0.13,11.71
2008-08-12,1.06,1.16,1.06,1.13,84949,-0.11,-8.87
2008-08-13,1.1,1.11,1.0,1.09,81567,-0.04,-3.54
2008-08-14,1.06,1.069,1.02,1.04,42284,-0.02,-1.83
2008-08-15,1.02,1.05,1.01,1.05,133758,-0.02,-1.87
2008-08-18,1.02,1.04,1.0,1.03,23462,-0.02,-1.9
2008-08-19,1.03,1.03,0.996,0.999,63389,0.0,0.0
2008-08-20,1.05,1.05,0.99,1.0,54704,-0.03,-2.91
2008-08-21,1.0,1.024,1.0,1.008,15784,0.01,1.0
2008-08-22,1.04,1.13,1.04,1.05,12904,0.04,3.96
2008-08-25,1.07,1.13,1.0,1.02,58770,-0.03,-2.86
2008-08-26,1.02,1.07,1.0,1.02,32980,0.0,0.0
2008-08-27,1.05,1.06,1.04,1.04,10515,0.02,1.96
2008-08-28,1.08,1.12,1.04,1.05,37163,0.01,0.96
2008-08-29,1.05,1.08,1.04,1.04,15560,-0.01,-0.95
2008-09-02,1.04,1.09,1.0,1.01,12431,-0.03,-2.88
2008-09-03,1.05,1.08,0.97,1.038,75513,0.03,2.97
2008-09-04,1.07,1.07,0.97,0.99,62962,0.03,2.88
2008-09-05,1.005,1.03,0.96,0.971,15780,-0.04,-3.74
2008-09-08,0.99,1.05,0.95,1.03,60680,0.0,0.0
2008-09-09,0.95,1.03,0.95,0.99,63892,-0.04,-3.88
2008-09-10,1.03,1.04,0.98,1.0,40561,0.05,5.05
2008-09-11,1.0,1.03,0.93,0.963,38787,-0.01,-0.96
2008-09-12,0.95,0.95,0.878,0.94,9892,-0.09,-8.74
2008-09-15,0.92,0.95,0.77,0.85,46929,-0.09,-9.57
2008-09-16,0.85,0.85,0.789,0.8,47641,-0.05,-5.88
2008-09-17,0.85,0.874,0.75,0.82,45703,0.07,8.75
2008-09-18,0.76,0.9,0.76,0.9,21739,0.03,3.45
2008-09-19,0.9,0.901,0.8,0.803,11092,-0.1,-11.11
2008-09-22,0.89,0.89,0.82,0.87,13187,0.07,8.75
2008-09-23,0.89,0.9,0.81,0.889,19480,0.03,3.45
2008-09-24,0.9,0.95,0.9,0.93,35423,0.03,3.33
2008-09-25,0.98,0.98,0.93,0.93,45321,0.0,0.0
2008-09-26,0.93,0.93,0.91,0.911,13300,0.0,0.0
2008-09-29,0.9,0.9,0.8,0.88,36305,-0.03,-3.23
2008-09-30,0.83,0.887,0.82,0.82,9923,-0.01,-1.11
2008-10-01,0.82,0.83,0.8,0.8,65624,-0.09,-10.11
2008-10-02,0.8,0.801,0.75,0.76,18658,-0.04,-5.0
2008-10-03,0.8,0.8,0.65,0.717,13530,0.04,5.26
2008-10-06,0.75,0.75,0.649,0.65,50665,-0.05,-6.25
2008-10-07,0.65,0.68,0.64,0.65,59629,-0.07,-9.33
2008-10-08,0.73,0.73,0.55,0.55,42951,-0.13,-19.12
2008-10-09,0.55,0.699,0.55,0.65,43851,0.15,27.27
2008-10-10,0.66,0.687,0.544,0.58,104425,-0.12,-17.14
2008-10-13,0.7,0.79,0.65,0.65,79522,0.07,12.07
2008-10-14,0.65,0.67,0.62,0.631,44798,-0.02,-3.08
2008-10-15,0.7,0.755,0.7,0.72,107206,0.09,14.29
2008-10-16,0.743,0.744,0.631,0.69,26069,-0.03,-4.17
2008-10-17,0.7,0.7,0.67,0.7,9450,0.01,1.45
2008-10-20,0.64,0.693,0.61,0.63,20710,-0.01,-1.43
2008-10-21,0.65,0.65,0.45,0.57,21754,-0.12,-17.39
2008-10-22,0.6,0.6,0.57,0.59,16571,0.03,5.26
2008-10-23,0.6,0.6,0.57,0.57,38769,-0.03,-5.0
2008-10-24,0.57,0.59,0.56,0.59,25390,0.02,3.51
2008-10-27,0.55,0.588,0.49,0.49,10640,0.0,0.0
2008-10-28,0.57,0.57,0.512,0.548,12650,-0.04,-6.78
2008-10-29,0.58,0.7,0.49,0.62,113564,0.07,12.73
2008-10-30,0.52,0.7,0.52,0.6,5192,-0.02,-3.23
2008-10-31,0.61,0.65,0.6,0.6,16616,0.0,0.0
2008-11-03,0.7,0.95,0.64,0.86,282322,0.26,43.33
2008-11-04,0.94,1.0,0.76,0.8,67574,-0.06,-6.98
2008-11-05,0.8,0.8,0.78,0.78,10884,-0.02,-2.5
2008-11-06,0.64,0.77,0.62,0.689,13000,-0.01,-1.28
2008-11-07,0.641,0.66,0.63,0.66,6700,-0.11,-14.29
2008-11-10,0.75,0.8,0.68,0.76,40414,0.1,15.15
2008-11-11,0.8,0.8,0.52,0.68,32202,-0.08,-10.53
2008-11-12,0.61,0.61,0.48,0.589,56259,-0.07,-10.29
2008-11-13,0.58,0.58,0.5,0.5,19280,-0.11,-18.03
2008-11-14,0.55,0.55,0.26,0.3,33698,-0.2,-40.0
2008-11-17,0.3,0.49,0.3,0.424,56664,0.12,40.0
2008-11-18,0.44,0.5,0.44,0.49,20127,0.07,16.67
2008-11-19,0.49,0.5,0.46,0.46,9469,-0.03,-6.12
2008-11-20,0.41,0.42,0.4,0.4,106880,-0.06,-13.04
2008-11-21,0.4,0.4,0.31,0.399,43077,0.0,0.0
2008-11-24,0.4,0.4,0.31,0.35,41839,-0.05,-12.5
2008-11-25,0.4,0.4,0.3,0.38,206902,0.03,8.57
2008-11-26,0.38,0.45,0.38,0.39,19668,0.01,2.63
2008-11-28,0.42,0.43,0.4,0.4,9000,0.01,2.56
2008-12-01,0.42,0.42,0.3,0.388,55149,-0.01,-2.5
2008-12-02,0.4,0.4,0.33,0.35,41393,-0.04,-10.26
2008-12-03,0.34,0.44,0.33,0.44,89405,0.09,25.71
2008-12-04,0.44,0.47,0.43,0.43,62406,-0.01,-2.27
2008-12-05,0.42,0.439,0.42,0.439,2450,0.01,2.33
2008-12-08,0.4,0.48,0.4,0.47,71300,0.03,6.82
2008-12-09,0.44,0.479,0.44,0.46,28350,-0.01,-2.13
2008-12-10,0.44,0.48,0.4,0.44,256088,-0.02,-4.35
2008-12-11,0.45,0.45,0.41,0.41,32000,-0.03,-6.82
2008-12-12,0.45,0.45,0.4,0.4,8167,-0.01,-2.44
2008-12-15,0.4,0.45,0.38,0.43,8500,0.03,7.5
2008-12-16,0.45,0.45,0.4,0.44,40353,0.01,2.33
2008-12-17,0.45,0.48,0.4,0.48,62470,0.04,9.09
2008-12-18,0.48,0.48,0.368,0.42,57835,-0.06,-12.5
2008-12-19,0.419,0.459,0.4,0.412,25690,-0.01,-2.38
2008-12-22,0.39,0.414,0.35,0.35,73410,-0.06,-14.63
2008-12-23,0.414,0.414,0.36,0.37,35150,0.02,5.71
2008-12-24,0.388,0.39,0.38,0.39,2170,0.02,5.41
2008-12-26,0.399,0.449,0.39,0.409,16950,0.02,5.13
2008-12-29,0.41,0.44,0.39,0.39,33466,-0.02,-4.88
2008-12-30,0.38,0.44,0.38,0.38,63874,-0.01,-2.56
2008-12-31,0.44,0.44,0.38,0.41,36714,0.03,7.89
2009-01-02,0.44,0.458,0.439,0.458,4500,0.05,12.2
2009-01-05,0.459,0.479,0.41,0.44,22925,-0.02,-4.35
2009-01-06,0.439,0.44,0.42,0.44,20150,0.0,0.0
2009-01-07,0.42,0.449,0.41,0.439,4150,0.0,0.0
2009-01-08,0.43,0.5,0.43,0.46,35991,0.02,4.55
2009-01-09,0.46,0.48,0.44,0.468,16800,0.01,2.17
2009-01-12,0.5,0.55,0.48,0.55,23609,0.08,17.02
2009-01-13,0.67,0.74,0.62,0.65,39985,0.1,18.18
2009-01-14,0.629,0.639,0.629,0.629,7178,-0.02,-3.08
2009-01-15,0.63,0.63,0.45,0.52,7970,-0.11,-17.46
2009-01-16,0.53,0.62,0.53,0.54,6080,0.02,3.85
2009-01-20,0.7,0.7,0.56,0.629,32129,0.09,16.67
2009-01-21,0.62,0.62,0.56,0.57,51499,-0.06,-9.52
2009-01-22,0.61,0.636,0.56,0.636,4300,0.07,12.28
2009-01-23,0.64,0.87,0.639,0.669,203952,0.03,4.69
2009-01-26,0.75,0.75,0.69,0.72,105241,0.05,7.46
2009-01-27,0.8,0.8,0.72,0.78,79522,0.06,8.33
2009-01-28,0.8,1.29,0.8,1.03,158184,0.25,32.05
2009-01-29,1.15,1.5,1.07,1.5,444561,0.47,45.63
2009-01-30,1.75,2.289,1.36,1.809,1218251,0.31,20.67
2009-02-02,1.7,1.99,1.45,1.55,540966,-0.26,-14.36
2009-02-03,1.55,1.57,1.15,1.45,378877,-0.1,-6.45
2009-02-04,1.4,1.45,1.26,1.3,174636,-0.15,-10.34
2009-02-05,1.3,1.6,1.26,1.56,238382,0.26,20.0
2009-02-06,1.62,1.64,1.31,1.35,174862,-0.21,-13.46
2009-02-09,1.4,1.49,1.32,1.36,86895,0.01,0.74
2009-02-10,1.39,1.4,1.3,1.3,61951,-0.06,-4.41
2009-02-11,1.31,1.31,1.16,1.19,88985,-0.11,-8.46
2009-02-12,1.18,1.3,1.18,1.26,62963,0.07,5.88
2009-02-13,1.25,1.289,1.16,1.16,59751,-0.1,-7.94
2009-02-17,1.2,1.4,1.15,1.33,230375,0.17,14.66
2009-02-18,1.3,1.32,1.16,1.21,54600,-0.12,-9.02
2009-02-19,1.19,1.27,1.15,1.27,77656,0.06,4.96
2009-02-20,1.21,1.21,1.02,1.06,118281,-0.21,-16.54
2009-02-23,1.03,1.236,1.03,1.13,60665,0.07,6.6
2009-02-24,1.2,1.32,1.169,1.2,84980,0.07,6.19
2009-02-25,1.27,1.27,1.153,1.2,43904,0.0,0.0
2009-02-26,1.2,1.25,1.14,1.15,41754,-0.05,-4.17
2009-02-27,1.14,1.14,1.05,1.05,45817,-0.1,-8.7
2009-03-02,1.34,1.63,1.32,1.38,479914,0.33,31.43
2009-03-03,1.45,1.479,1.3,1.332,105664,-0.05,-3.62
2009-03-04,1.4,1.4,1.21,1.23,72517,-0.1,-7.52
2009-03-05,1.23,1.249,1.11,1.11,44994,-0.12,-9.76
2009-03-06,1.176,1.176,1.08,1.08,27643,-0.03,-2.7
2009-03-09,1.34,1.48,1.23,1.26,232960,0.18,16.67
2009-03-10,1.29,1.3,1.19,1.3,89312,0.04,3.17
2009-03-11,1.4,1.4,1.33,1.35,39537,0.05,3.85
2009-03-12,1.42,1.49,1.35,1.479,112854,0.13,9.63
2009-03-13,1.5,1.61,1.48,1.55,74531,0.07,4.73
2009-03-16,1.66,1.66,1.4,1.464,87754,-0.09,-5.81
2009-03-17,1.5,1.5,1.33,1.35,41165,-0.11,-7.53
2009-03-18,1.43,1.43,1.36,1.36,33440,0.01,0.74
2009-03-19,1.4,1.401,1.11,1.22,44723,-0.14,-10.29
2009-03-20,1.3,1.3,1.15,1.16,28016,-0.06,-4.92
2009-03-23,1.3,1.36,1.2,1.33,49793,0.17,14.66
2009-03-24,1.35,1.35,1.2,1.26,25292,-0.07,-5.26
2009-03-25,1.35,1.5,1.2,1.42,85689,0.16,12.7
2009-03-26,1.5,1.52,1.38,1.4,35504,-0.02,-1.41
2009-03-27,1.47,1.47,1.31,1.35,43679,-0.05,-3.57
2009-03-30,1.33,1.36,1.25,1.27,26023,-0.08,-5.93
2009-03-31,1.389,1.389,1.28,1.28,18490,0.01,0.79
2009-04-01,1.35,1.359,1.28,1.29,17819,0.01,0.78
2009-04-02,1.35,1.35,1.27,1.31,24987,0.02,1.55
2009-04-03,1.27,1.299,1.24,1.24,5511,-0.07,-5.34
2009-04-06,1.3,1.3,1.24,1.29,16100,0.05,4.03
2009-04-07,1.27,1.29,1.25,1.27,21837,-0.02,-1.55
2009-04-08,1.28,1.28,1.262,1.262,5340,-0.01,-0.79
2009-04-09,1.25,1.289,1.23,1.23,21139,-0.03,-2.38
2009-04-13,1.24,1.25,1.21,1.239,11972,0.01,0.81
2009-04-14,1.25,1.35,1.21,1.22,39652,-0.02,-1.61
2009-04-15,1.21,1.26,1.2,1.249,6357,0.03,2.46
2009-04-16,1.25,1.35,1.25,1.309,35238,0.06,4.8
2009-04-17,1.31,1.35,1.25,1.33,46396,0.02,1.53
2009-04-20,1.25,1.32,1.25,1.28,32469,-0.05,-3.76
2009-04-21,1.26,1.339,1.25,1.28,11131,0.0,0.0
2009-04-22,1.3,1.319,1.25,1.26,31235,-0.02,-1.56
2009-04-23,1.25,1.36,1.25,1.34,34740,0.08,6.35
2009-04-24,1.39,1.39,1.32,1.34,13377,0.0,0.0
2009-04-27,1.38,1.43,1.28,1.29,51498,-0.05,-3.73
2009-04-28,1.34,1.4,1.27,1.399,84229,0.11,8.53
2009-04-29,1.42,1.49,1.4,1.42,52745,0.02,1.43
2009-04-30,1.45,1.5,1.42,1.5,74461,0.08,5.63
2009-05-01,1.5,1.69,1.461,1.52,128849,0.02,1.33
2009-05-04,1.63,1.7,1.57,1.62,83426,0.1,6.58
2009-05-05,1.69,1.69,1.5,1.64,78362,0.02,1.23
2009-05-06,1.69,1.69,1.4,1.499,112799,-0.14,-8.54
2009-05-07,1.49,1.54,1.28,1.41,92977,-0.09,-6.0
2009-05-08,1.41,1.41,1.3,1.32,19499,-0.09,-6.38
2009-05-11,1.47,1.5,1.38,1.474,73186,0.15,11.36
2009-05-12,1.5,1.545,1.41,1.47,55270,0.0,0.0
2009-05-13,1.44,1.47,1.38,1.38,59334,-0.09,-6.12
2009-05-14,1.31,1.46,1.31,1.41,24200,0.03,2.17
2009-05-15,1.459,1.46,1.4,1.44,12820,0.03,2.13
2009-05-18,1.46,1.5,1.33,1.4,59400,-0.04,-2.78
2009-05-19,1.4,1.48,1.33,1.33,19801,-0.07,-5.0
2009-05-20,1.34,1.38,1.31,1.31,25074,-0.02,-1.5
2009-05-21,1.31,1.31,1.18,1.24,90992,-0.07,-5.34
2009-05-22,1.21,1.25,1.13,1.16,36429,-0.08,-6.45
2009-05-26,1.2,1.39,1.2,1.27,33070,0.11,9.48
2009-05-27,1.27,1.319,1.2,1.2,21669,-0.07,-5.51
2009-05-28,1.28,1.28,1.2,1.24,12152,0.04,3.33
2009-05-29,1.29,1.29,1.24,1.24,11977,0.0,0.0
2009-06-01,1.2,1.297,1.2,1.27,13637,0.03,2.42
2009-06-02,1.32,1.33,1.279,1.3,42878,0.03,2.36
2009-06-03,1.3,1.33,1.2,1.3,38558,0.0,0.0
2009-06-04,1.27,1.319,1.2,1.3,20910,0.0,0.0
2009-06-05,1.252,1.32,1.24,1.27,26047,-0.03,-2.31
2009-06-08,1.2,1.409,1.2,1.27,59477,0.0,0.0
2009-06-09,1.38,1.41,1.36,1.39,49640,0.12,9.45
2009-06-10,1.39,1.49,1.35,1.38,43369,-0.01,-0.72
2009-06-11,1.4,1.4,1.33,1.4,30934,0.02,1.45
2009-06-12,1.41,1.41,1.31,1.33,33332,-0.07,-5.0
