日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2019-06-07,3.47,3.7,3.3196,3.48,11688,0.01,0.29
2019-06-10,3.48,3.48,2.5728,2.99,51593,-0.49,-14.08
2019-06-11,2.99,3.07,2.981,3.05,6635,0.06,2.01
2019-06-12,3.06,3.12,2.9,3.1,13665,0.05,1.64
2019-06-13,3.0,3.01,2.85,2.87,39636,-0.23,-7.42
2019-06-14,2.85,2.8724,2.6201,2.68,35576,-0.19,-6.62
2019-06-17,2.64,2.75,2.6,2.64,9418,-0.04,-1.49
2019-06-18,2.63,2.74,2.61,2.65,18259,0.01,0.38
2019-06-19,2.68,2.77,2.67,2.72,6189,0.07,2.64
2019-06-20,2.71,2.7463,2.66,2.695,11792,-0.025,-0.92
2019-06-21,2.65,2.7767,2.65,2.66,30059,-0.035,-1.3
2019-06-24,2.67,2.85,2.64,2.85,27588,0.19,7.14
2019-06-25,2.7864,2.7864,2.56,2.62,30725,-0.23,-8.07
2019-06-26,2.6,2.81,2.6,2.81,14172,0.19,7.25
2019-06-27,2.76,2.85,2.7354,2.8,4838,-0.01,-0.36
2019-06-28,2.85,2.85,2.75,2.75,29708,-0.05,-1.79
2019-07-01,2.75,2.96,2.6373,2.95,12857,0.2,7.27
2019-07-02,2.96,2.97,2.71,2.85,11797,-0.1,-3.39
2019-07-03,2.85,2.9504,2.72,2.85,9888,0.0,0.0
2019-07-05,2.86,2.95,2.74,2.84,7105,-0.01,-0.35
2019-07-08,2.85,2.98,2.76,2.95,11200,0.11,3.87
2019-07-09,2.86,2.98,2.73,2.87,39129,-0.08,-2.71
2019-07-10,2.8345,2.95,2.8345,2.94,23522,0.07,2.44
2019-07-11,2.87,2.8841,2.85,2.85,19291,-0.09,-3.06
2019-07-12,2.8,3.0,2.68,2.95,26686,0.1,3.51
2019-07-15,2.89,3.0346,2.885,2.89,15381,-0.06,-2.03
2019-07-16,2.8385,2.95,2.74,2.82,25928,-0.07,-2.42
2019-07-17,2.86,2.89,2.7412,2.78,11987,-0.04,-1.42
2019-07-18,2.88,2.88,2.73,2.8,17936,0.02,0.72
