日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2017-03-17,15.0,15.19,14.5,14.5,13512480,0.5,3.57
2017-03-20,14.5,14.74,14.36,14.36,1725037,-0.14,-0.97
2017-03-21,14.47,14.47,13.89,14.05,1463637,-0.31,-2.16
2017-03-22,13.97,14.29,13.89,14.0,948703,-0.05,-0.36
2017-03-23,14.01,14.09,13.96,14.05,378810,0.05,0.36
2017-03-24,14.07,14.13,13.13,13.5,1697538,-0.55,-3.91
2017-03-27,13.26,13.39,12.26,12.47,3812487,-1.03,-7.63
2017-03-28,12.55,13.1,12.275,12.86,1440122,0.39,3.13
2017-03-29,12.72,12.9,12.36,12.79,669612,-0.07,-0.54
2017-03-30,12.81,13.38,12.79,13.08,798534,0.29,2.27
2017-03-31,13.09,13.29,12.75,12.89,836019,-0.19,-1.45
2017-04-03,13.01,13.545,12.57,13.44,1334464,0.55,4.27
2017-04-04,13.51,14.3,13.1,13.94,1156976,0.5,3.72
2017-04-05,13.99,14.62,13.92,14.01,1256157,0.07,0.5
2017-04-06,14.07,14.34,13.64,14.02,728723,0.01,0.07
2017-04-07,14.09,14.09,13.73,13.8,582002,-0.22,-1.57
2017-04-10,13.84,14.74,13.84,14.12,1141221,0.32,2.32
2017-04-11,14.55,14.72,13.93,14.58,2503926,0.46,3.26
2017-04-12,14.66,15.299,14.37,14.57,2089622,-0.01,-0.07
2017-04-13,14.61,14.799,14.37,14.5,721726,-0.07,-0.48
2017-04-17,14.58,14.6,13.78,14.5,1086606,0.0,0.0
2017-04-18,14.44,14.55,14.1,14.12,654260,-0.38,-2.62
2017-04-19,14.07,14.39,13.46,13.67,1018395,-0.45,-3.19
2017-04-20,13.6,13.95,13.11,13.66,1253735,-0.01,-0.07
2017-04-21,13.58,13.93,13.11,13.64,1293042,-0.02,-0.15
2017-04-24,13.72,13.94,13.31,13.53,507413,-0.11,-0.81
2017-04-25,13.65,13.72,13.385,13.53,525443,0.0,0.0
2017-04-26,13.41,14.12,13.41,13.7,803897,0.17,1.26
2017-04-27,13.65,13.86,13.125,13.72,776430,0.02,0.15
2017-04-28,13.91,14.16,13.4,13.55,534825,-0.17,-1.24
2017-05-01,13.56,13.91,13.34,13.39,513591,-0.16,-1.18
2017-05-02,13.4,13.74,13.261,13.5,347184,0.11,0.82
2017-05-03,13.4,13.72,13.05,13.11,686893,-0.39,-2.89
2017-05-04,13.0,13.05,11.68,12.06,1129290,-1.05,-8.01
2017-05-05,12.11,12.73,12.08,12.46,1058172,0.4,3.32
2017-05-08,12.46,12.75,12.22,12.45,381915,-0.01,-0.08
2017-05-09,12.49,12.62,11.91,11.93,492380,-0.52,-4.18
2017-05-10,12.01,12.915,11.85,12.49,1025091,0.56,4.69
2017-05-11,13.07,13.52,11.91,12.37,1121942,-0.12,-0.96
2017-05-12,12.35,12.67,12.12,12.57,544811,0.2,1.62
2017-05-15,12.76,13.41,12.76,12.99,1100931,0.42,3.34
2017-05-16,13.08,13.18,12.56,12.64,944767,-0.35,-2.69
2017-05-17,12.57,12.879,12.41,12.49,570154,-0.15,-1.19
2017-05-18,12.44,13.0,12.31,12.94,483616,0.45,3.6
2017-05-19,13.11,14.035,13.11,13.73,964653,0.79,6.11
2017-05-22,13.77,13.89,13.46,13.59,648867,-0.14,-1.02
2017-05-23,13.64,13.88,13.62,13.7,1035369,0.11,0.81
2017-05-24,13.76,13.97,13.66,13.72,507532,0.02,0.15
2017-05-25,13.74,13.933,13.3,13.33,667259,-0.39,-2.84
2017-05-26,13.25,13.85,13.24,13.71,713597,0.38,2.85
2017-05-30,13.65,13.88,13.36,13.37,553297,-0.34,-2.48
2017-05-31,13.32,13.84,13.02,13.25,587931,-0.12,-0.9
2017-06-01,13.36,13.79,13.05,13.45,1040803,0.2,1.51
2017-06-02,13.4,13.75,12.92,13.23,745794,-0.22,-1.64
2017-06-05,13.23,13.625,13.05,13.25,468732,0.02,0.15
2017-06-06,13.22,13.81,13.15,13.73,667111,0.48,3.62
2017-06-07,13.69,14.15,13.19,13.27,1099774,-0.46,-3.35
2017-06-08,13.19,13.58,13.06,13.15,661832,-0.12,-0.9
2017-06-09,13.24,14.28,12.97,14.08,1021531,0.93,7.07
2017-06-12,14.24,14.85,14.07,14.19,1059333,0.11,0.78
2017-06-13,14.19,15.24,14.14,14.7,964282,0.51,3.59
2017-06-14,14.59,14.87,13.68,14.02,863725,-0.68,-4.63
2017-06-15,13.82,14.14,13.14,13.48,467762,-0.54,-3.85
2017-06-16,13.49,13.68,13.07,13.48,2846079,0.0,0.0
2017-06-19,13.48,13.57,12.87,13.2,777983,-0.28,-2.08
2017-06-20,13.05,13.05,12.26,12.58,1105806,-0.62,-4.7
2017-06-21,12.7,12.745,12.25,12.55,1182634,-0.03,-0.24
2017-06-22,12.55,13.03,12.43,12.72,814893,0.17,1.35
2017-06-23,12.8,13.12,12.39,12.91,3340520,0.19,1.49
2017-06-26,12.93,13.755,12.85,13.22,728043,0.31,2.4
2017-06-27,13.36,13.565,13.21,13.45,622711,0.23,1.74
2017-06-28,13.58,14.03,13.37,13.8,527541,0.35,2.6
2017-06-29,13.82,14.437,13.6,13.99,1222290,0.19,1.38
2017-06-30,14.06,14.13,13.65,13.96,642058,-0.03,-0.21
2017-07-03,13.99,14.63,13.84,14.29,533295,0.33,2.36
2017-07-05,14.33,14.36,13.21,13.35,644063,-0.94,-6.58
2017-07-06,13.33,13.8,13.07,13.3,957179,-0.05,-0.37
2017-07-07,13.25,13.5,12.89,13.05,1076088,-0.25,-1.88
2017-07-10,13.02,13.91,12.78,13.83,777424,0.78,5.98
2017-07-11,13.8,14.02,13.52,13.82,734753,-0.01,-0.07
2017-07-12,13.64,14.08,13.52,13.79,620910,-0.03,-0.22
2017-07-13,13.75,13.91,13.52,13.84,956241,0.05,0.36
2017-07-14,13.79,13.97,13.56,13.92,587996,0.08,0.58
2017-07-17,13.93,14.19,13.72,13.82,728431,-0.1,-0.72
2017-07-18,13.89,14.0,13.38,13.45,417282,-0.37,-2.68
2017-07-19,13.44,13.99,13.37,13.84,682627,0.39,2.9
2017-07-20,13.87,13.95,13.58,13.72,361691,-0.12,-0.87
2017-07-21,13.8,13.929,12.93,13.03,669070,-0.69,-5.03
2017-07-24,13.06,13.06,12.31,12.44,1021842,-0.59,-4.53
2017-07-25,12.6,13.42,12.596,13.05,639664,0.61,4.9
2017-07-26,13.06,13.84,12.76,13.5,691208,0.45,3.45
2017-07-27,13.49,13.745,13.3,13.59,715467,0.09,0.67
2017-07-28,13.58,13.913,13.24,13.27,698753,-0.32,-2.35
2017-07-31,13.23,13.25,12.73,13.0,498760,-0.27,-2.03
2017-08-01,13.02,13.02,12.73,12.85,366103,-0.15,-1.15
2017-08-02,12.8,12.91,12.375,12.84,1311148,-0.01,-0.08
2017-08-03,12.79,12.95,12.48,12.78,769171,-0.06,-0.47
2017-08-04,12.75,12.95,12.7,12.79,300091,0.01,0.08
2017-08-07,12.68,12.68,12.07,12.2,445070,-0.59,-4.61
2017-08-08,12.05,12.25,11.63,12.0,809465,-0.2,-1.64
2017-08-09,13.4,13.4,11.78,12.39,2612404,0.39,3.25
2017-08-10,12.53,13.0,11.92,11.98,1502302,-0.41,-3.31
2017-08-11,11.81,12.265,11.47,11.49,1296701,-0.49,-4.09
2017-08-14,11.69,11.74,11.23,11.35,1189220,-0.14,-1.22
2017-08-15,11.46,11.46,10.84,11.29,881753,-0.06,-0.53
2017-08-16,11.38,11.54,11.14,11.38,574662,0.09,0.8
2017-08-17,11.33,11.54,11.22,11.31,623444,-0.07,-0.62
2017-08-18,11.25,11.73,11.12,11.65,567685,0.34,3.01
2017-08-21,11.65,11.7,11.14,11.2,704180,-0.45,-3.86
2017-08-22,11.19,11.58,11.13,11.43,476515,0.23,2.05
2017-08-23,11.39,11.565,11.25,11.34,375284,-0.09,-0.79
2017-08-24,11.33,11.44,10.92,11.13,574388,-0.21,-1.85
2017-08-25,11.16,11.48,11.14,11.36,242565,0.23,2.07
2017-08-28,11.36,11.44,11.0,11.31,819302,-0.05,-0.44
2017-08-29,11.17,11.46,11.08,11.35,605954,0.04,0.35
2017-08-30,11.32,11.32,10.97,11.07,771965,-0.28,-2.47
2017-08-31,11.15,11.58,11.04,11.51,599140,0.44,3.97
2017-09-01,11.54,11.67,11.1,11.44,267220,-0.07,-0.61
2017-09-05,11.44,11.94,11.44,11.59,550417,0.15,1.31
2017-09-06,11.71,12.0,11.7,11.81,633976,0.22,1.9
2017-09-07,11.82,11.94,11.59,11.76,362180,-0.05,-0.42
2017-09-08,11.73,11.93,11.15,11.39,723617,-0.37,-3.15
2017-09-11,11.44,11.83,11.13,11.6,464114,0.21,1.84
2017-09-12,11.52,11.98,11.48,11.8,338778,0.2,1.72
2017-09-13,11.8,12.16,11.74,11.95,606810,0.15,1.27
2017-09-14,11.98,12.23,11.9,11.98,689632,0.03,0.25
2017-09-15,11.9,11.92,11.77,11.89,1109422,-0.09,-0.75
2017-09-18,11.87,12.36,11.87,12.34,575794,0.45,3.78
2017-09-19,12.35,12.69,12.298,12.52,596209,0.18,1.46
2017-09-20,12.51,13.14,12.46,12.95,980504,0.43,3.43
2017-09-21,12.91,12.93,12.66,12.9,756430,-0.05,-0.39
2017-09-22,12.99,13.24,12.87,13.05,539469,0.15,1.16
2017-09-25,13.23,13.61,13.18,13.39,708288,0.34,2.61
2017-09-26,13.49,14.02,13.49,13.88,2377848,0.49,3.66
2017-09-27,13.93,14.24,13.69,13.98,1540045,0.1,0.72
2017-09-28,14.11,14.46,13.87,14.4,1763300,0.42,3.0
2017-09-29,14.31,14.48,14.12,14.35,1454611,-0.05,-0.35
2017-10-02,14.74,14.75,14.06,14.55,1389970,0.2,1.39
2017-10-03,14.58,14.79,14.31,14.48,2081868,-0.07,-0.48
2017-10-04,14.45,14.86,14.13,14.32,1568771,-0.16,-1.1
2017-10-05,14.6,15.1,14.43,14.83,1585415,0.51,3.56
2017-10-06,14.65,14.7,14.25,14.39,985627,-0.44,-2.97
2017-10-09,14.4,14.93,14.33,14.75,924926,0.36,2.5
2017-10-10,14.98,15.24,14.72,14.76,1598741,0.01,0.07
2017-10-11,14.74,15.1,14.51,15.01,751000,0.25,1.69
2017-10-12,14.78,14.89,14.45,14.56,807120,-0.45,-3.0
2017-10-13,14.84,15.089,14.33,14.66,1193093,0.1,0.69
2017-10-16,14.86,15.02,14.51,14.56,898037,-0.1,-0.68
2017-10-17,14.53,14.63,14.385,14.47,930927,-0.09,-0.62
2017-10-18,14.47,14.82,14.47,14.54,1616180,0.07,0.48
2017-10-19,14.47,14.58,13.87,14.43,984881,-0.11,-0.76
2017-10-20,14.46,14.69,14.22,14.62,888203,0.19,1.32
2017-10-23,14.96,15.71,14.37,14.44,1416848,-0.18,-1.23
2017-10-24,14.47,14.55,13.98,14.08,995526,-0.36,-2.49
2017-10-25,13.97,13.97,13.56,13.81,1164343,-0.27,-1.92
2017-10-26,13.85,14.055,13.26,13.99,1148307,0.18,1.3
2017-10-27,13.97,14.56,13.765,14.49,592153,0.5,3.57
2017-10-30,14.51,14.81,14.41,14.71,745172,0.22,1.52
2017-10-31,14.69,15.32,14.64,15.23,810590,0.52,3.54
2017-11-01,15.34,16.04,15.34,15.73,1775541,0.5,3.28
2017-11-02,16.0,17.35,15.5,15.65,2483082,-0.08,-0.51
2017-11-03,15.44,16.28,14.99,15.84,2503243,0.19,1.21
2017-11-06,15.85,16.65,15.79,16.22,2942277,0.38,2.4
2017-11-07,16.0,17.04,16.0,16.53,10895435,0.31,1.91
2017-11-08,16.47,17.19,16.38,16.82,2899387,0.29,1.75
2017-11-09,16.76,17.22,16.59,17.21,1808949,0.39,2.32
2017-11-10,17.34,17.66,16.955,17.0,1654314,-0.21,-1.22
2017-11-13,17.17,17.28,16.77,17.18,1771813,0.18,1.06
2017-11-14,17.13,17.46,16.42,16.88,2585080,-0.3,-1.75
2017-11-15,16.66,16.95,16.165,16.84,1800282,-0.04,-0.24
2017-11-16,16.84,17.24,16.64,17.09,1542474,0.25,1.48
2017-11-17,17.17,17.96,16.947,17.81,3299229,0.72,4.21
2017-11-20,17.79,17.8,17.415,17.66,1433477,-0.15,-0.84
2017-11-21,17.83,17.94,17.53,17.66,1558948,0.0,0.0
2017-11-22,17.94,17.94,17.46,17.65,1130410,-0.01,-0.06
2017-11-24,17.82,18.43,17.69,18.23,1022950,0.58,3.29
2017-11-27,18.09,18.34,17.85,18.11,1768678,-0.12,-0.66
2017-11-28,18.12,18.84,18.01,18.8,2235404,0.69,3.81
2017-11-29,18.75,18.96,17.9,18.24,1204568,-0.56,-2.98
2017-11-30,18.38,19.08,18.22,18.77,2556467,0.53,2.91
2017-12-01,18.93,19.49,18.77,19.15,1442534,0.38,2.02
2017-12-04,19.16,19.622,18.9,18.91,1077886,-0.24,-1.25
2017-12-05,18.89,19.149,18.12,18.22,1089328,-0.69,-3.65
2017-12-06,18.08,18.34,17.37,17.81,1642462,-0.41,-2.25
2017-12-07,17.84,18.62,17.79,18.52,867107,0.71,3.99
2017-12-08,18.66,18.97,18.46,18.87,813124,0.35,1.89
2017-12-11,19.0,19.67,18.77,18.92,2420460,0.05,0.26
2017-12-12,19.5,20.46,19.4,19.76,3040350,0.84,4.44
2017-12-13,20.18,20.25,19.46,19.61,2000990,-0.15,-0.76
2017-12-14,19.6,19.6,18.51,18.74,2905553,-0.87,-4.44
2017-12-15,18.93,19.2,18.74,18.85,4904792,0.11,0.59
2017-12-18,19.16,19.27,18.955,19.0,1654274,0.15,0.8
2017-12-19,19.22,19.7,19.0,19.36,1580665,0.36,1.89
2017-12-20,19.52,20.02,19.24,19.89,2715106,0.53,2.74
2017-12-21,19.94,20.1,19.43,19.85,1715266,-0.04,-0.2
2017-12-22,19.86,20.35,19.6118,20.35,258519,0.5,2.52
2017-12-26,20.03,20.59,19.76,20.49,604191,0.58,2.91
2017-12-27,20.43,20.5999,20.13,20.31,1476149,-0.18,-0.88
2017-12-28,20.37,20.43,20.025,20.04,618537,-0.27,-1.33
2017-12-29,20.07,20.34,19.64,20.16,866178,0.12,0.6
2018-01-02,20.26,20.58,19.96,20.31,906299,0.15,0.74
2018-01-03,20.38,20.479,19.82,20.0,1722909,-0.31,-1.53
2018-01-04,20.22,20.45,19.68,20.0,1826205,0.0,0.0
2018-01-05,19.98,20.07,19.3,19.73,1929617,-0.27,-1.35
2018-01-08,19.65,19.97,19.43,19.85,1738647,0.12,0.61
2018-01-09,19.8,19.9,19.34,19.68,1384221,-0.17,-0.86
2018-01-10,19.86,20.06,19.6,20.0,1588541,0.32,1.63
2018-01-11,20.1,21.63,19.88,21.55,2047902,1.55,7.75
2018-01-12,21.51,21.549,20.79,21.095,1987545,-0.455,-2.11
2018-01-16,21.22,21.571,20.75,20.78,2071742,-0.31,-1.47
2018-01-17,20.96,21.63,20.8,21.45,2067696,0.67,3.22
2018-01-18,21.37,21.5271,20.93,21.36,1306742,-0.09,-0.42
2018-01-19,21.19,21.657,20.59,21.33,1316050,-0.04,-0.19
2018-01-22,21.5,22.165,21.33,22.12,902540,0.79,3.7
2018-01-23,22.51,22.88,22.11,22.48,2026737,0.37,1.67
2018-01-24,22.51,22.58,20.86,21.435,3221367,-1.055,-4.69
2018-01-25,21.74,21.74,20.71,20.74,1844314,-0.69,-3.22
2018-01-26,20.79,20.98,20.01,20.0793,1913758,-0.6707,-3.23
2018-01-29,19.95,19.98,19.41,19.655,1369123,-0.415,-2.07
2018-01-30,19.41,19.54,19.05,19.21,1235821,-0.46,-2.34
2018-01-31,19.33,19.49,18.3,18.68,2036973,-0.54,-2.81
2018-02-01,18.72,19.13,18.69,19.04,1311241,0.36,1.93
2018-02-02,18.63,18.709,17.61,17.65,1802111,-1.39,-7.3
2018-02-05,17.34,18.07,17.04,17.09,1918912,-0.56,-3.17
2018-02-06,16.65,17.77,16.65,17.605,1114462,0.515,3.01
2018-02-07,17.54,17.58,16.465,16.49,2153816,-1.11,-6.31
2018-02-08,16.53,16.7,15.41,15.411,2277897,-1.079,-6.54
2018-02-09,15.49,15.85,14.56,15.2201,2729168,-0.1899,-1.23
2018-02-12,15.41,15.99,15.27,15.85,1429001,0.6,3.93
2018-02-13,15.62,15.94,15.13,15.4,1311120,-0.5,-3.14
2018-02-14,15.15,16.33,15.13,16.02,1795021,0.63,4.09
2018-02-15,16.11,16.83,15.5199,16.8,2459299,0.78,4.87
2018-02-16,16.64,16.83,16.41,16.41,1789787,-0.39,-2.32
2018-02-20,16.33,16.67,16.0101,16.14,776652,-0.28,-1.71
2018-02-21,16.08,16.9599,15.921,16.6,1076097,0.47,2.91
2018-02-22,16.82,17.11,16.57,16.78,1172933,0.18,1.08
2018-02-23,16.94,17.14,16.62,16.755,1386613,-0.025,-0.15
2018-02-26,16.86,16.91,16.16,16.505,1060075,-0.265,-1.58
2018-02-27,16.5,16.92,16.08,16.36,1148384,-0.15,-0.91
2018-02-28,16.84,16.86,16.08,16.13,1088028,-0.24,-1.47
2018-03-01,16.13,16.13,15.58,15.9499,1333318,-0.1801,-1.12
2018-03-02,15.75,16.87,15.73,16.8125,1499251,0.8625,5.41
2018-03-05,16.75,17.11,16.49,16.87,884177,0.05,0.3
2018-03-06,17.0,17.49,16.905,17.33,877385,0.45,2.67
2018-03-07,17.11,17.38,16.93,17.29,834221,-0.04,-0.23
2018-03-08,17.3,17.75,17.19,17.75,928637,0.47,2.72
2018-03-09,17.98,18.19,17.785,18.13,1087254,0.37,2.08
2018-03-12,18.12,18.36,17.98,18.145,623775,0.005,0.03
2018-03-13,18.26,18.32,17.63,17.825,900207,-0.325,-1.79
2018-03-14,17.78,18.01,17.1,17.24,749619,-0.58,-3.25
2018-03-15,17.29,17.38,16.25,16.65,1519600,-0.59,-3.42
2018-03-16,16.7,17.17,16.65,17.05,802508,0.4,2.4
2018-03-19,17.0,17.196,16.27,16.66,640615,-0.39,-2.29
2018-03-20,16.76,17.13,16.6,17.0,673027,0.34,2.04
2018-03-21,17.0,18.02,16.86,17.99,1100046,0.98,5.76
2018-03-22,17.76,17.94,17.3,17.35,952047,-0.65,-3.61
2018-03-23,17.49,17.87,16.59,16.6,1238900,-0.75,-4.32
2018-03-26,16.84,17.32,16.15,16.949,1259427,0.359,2.16
2018-03-27,14.78,16.85,14.78,15.77,3606994,-1.19,-7.02
2018-03-28,15.55,16.0301,15.4,15.54,1888144,-0.18,-1.15
2018-03-29,15.59,16.24,15.55,15.89,1440382,0.36,2.32
2018-04-02,15.83,16.0,15.32,15.7,811898,-0.19,-1.2
2018-04-03,15.86,16.18,15.65,16.055,713949,0.335,2.13
2018-04-04,15.72,16.14,15.49,16.11,962141,0.06,0.37
2018-04-05,16.18,16.94,16.18,16.72,911964,0.61,3.79
2018-04-06,16.57,16.81,16.19,16.325,729487,-0.375,-2.25
2018-04-09,16.49,16.52,15.81,15.84,1300614,-0.48,-2.94
2018-04-10,16.21,17.28,16.175,16.95,1325458,1.12,7.08
2018-04-11,16.94,17.71,16.87,17.495,1140530,0.535,3.15
2018-04-12,17.29,17.63,16.93,17.455,840207,-0.065,-0.37
2018-04-13,17.52,17.8,17.07,17.425,811623,-0.025,-0.14
2018-04-16,17.43,17.89,17.06,17.88,788596,0.44,2.52
2018-04-17,19.17,19.19,18.36,18.57,5971056,0.7,3.92
2018-04-18,18.77,19.57,18.76,19.0,6415793,0.44,2.37
2018-04-19,19.04,19.35,18.635,18.84,1750794,-0.16,-0.84
2018-04-20,18.52,18.98,18.14,18.81,1802369,-0.04,-0.21
2018-04-23,18.75,19.24,18.65,19.1,1156145,0.29,1.54
2018-04-24,19.2,19.49,18.69,18.97,1332988,-0.12,-0.63
2018-04-25,18.77,19.18,18.14,18.36,1894092,-0.61,-3.22
2018-04-26,18.42,18.73,18.01,18.62,1573141,0.27,1.47
2018-04-27,18.47,18.65,18.16,18.5,928764,-0.11,-0.59
2018-04-30,18.45,18.65,18.27,18.29,1220810,-0.21,-1.14
2018-05-01,18.19,18.4,17.87,18.09,1195744,-0.21,-1.15
2018-05-02,18.04,18.44,17.89,18.25,1367053,0.17,0.94
2018-05-03,18.23,18.39,17.735,18.08,1398386,-0.18,-0.99
2018-05-04,18.0,18.28,17.65,17.84,1132195,-0.24,-1.33
2018-05-07,17.93,19.18,17.84,18.03,2118157,0.18,1.01
2018-05-08,18.04,18.61,17.78,18.6,1353139,0.56,3.1
2018-05-09,19.6,20.91,19.1784,19.53,3061471,0.94,5.06
2018-05-10,19.79,20.23,19.38,19.38,2362989,-0.15,-0.77
2018-05-11,19.03,19.4,18.75,19.17,9296073,-0.21,-1.08
2018-05-14,19.47,19.72,19.04,19.48,2953761,0.31,1.62
2018-05-15,19.51,19.58,19.09,19.18,2242746,-0.3,-1.54
2018-05-16,19.3,19.74,19.15,19.43,1623363,0.25,1.3
2018-05-17,19.47,20.52,19.37,20.49,2223403,1.06,5.46
2018-05-18,20.54,20.62,19.83,20.0,1886957,-0.49,-2.39
2018-05-21,20.11,20.22,19.53,19.62,2206509,-0.38,-1.9
2018-05-22,19.73,20.19,19.44,19.61,2215364,-0.01,-0.05
2018-05-23,19.35,19.56,19.03,19.1,2144953,-0.51,-2.6
2018-05-24,18.72,19.38,18.165,18.99,1710951,-0.11,-0.58
2018-05-25,18.49,18.65,17.53,17.7,1960072,-1.29,-6.79
2018-05-29,17.52,18.11,17.32,17.63,2331267,-0.07,-0.4
2018-05-30,17.85,18.5,17.75,17.84,1482039,0.21,1.19
2018-05-31,17.66,17.8599,16.22,16.27,3768345,-1.57,-8.8
2018-06-01,16.39,16.73,15.2,15.28,4766551,-0.99,-6.08
2018-06-04,15.35,15.57,14.5,14.98,3744961,-0.3,-1.96
2018-06-05,14.88,15.12,14.76,14.87,2176665,-0.11,-0.73
2018-06-06,14.84,15.04,14.57,14.92,2657134,0.05,0.34
2018-06-07,15.09,15.66,15.09,15.35,2476268,0.43,2.88
2018-06-08,15.0,15.18,14.0,14.25,4691377,-1.1,-7.17
2018-06-11,14.31,14.59,14.0299,14.2,1458412,-0.05,-0.35
2018-06-12,14.18,14.91,14.0833,14.79,2451316,0.59,4.15
2018-06-13,14.78,14.93,14.51,14.78,1825422,-0.01,-0.07
2018-06-14,14.87,15.06,14.5,14.62,1567990,-0.16,-1.08
2018-06-15,14.36,14.87,14.14,14.83,2625316,0.21,1.44
2018-06-18,14.79,15.73,14.63,15.25,2608583,0.42,2.83
2018-06-19,15.0,15.93,14.81,15.91,2746375,0.66,4.33
2018-06-20,16.0,16.02,15.32,15.89,3155850,-0.02,-0.13
2018-06-21,15.7,15.77,15.24,15.25,1401017,-0.64,-4.03
2018-06-22,16.07,16.25,15.26,15.53,3861445,0.28,1.84
2018-06-25,15.47,15.57,14.95,15.06,2068480,-0.47,-3.03
2018-06-26,15.14,15.525,14.81,15.42,1216489,0.36,2.39
2018-06-27,15.71,16.09,15.4468,15.52,1616529,0.1,0.65
2018-06-28,15.56,15.69,15.2,15.68,1403148,0.16,1.03
2018-06-29,15.68,15.89,15.52,15.68,1091878,0.0,0.0
2018-07-02,15.34,15.49,14.64,15.25,1623206,-0.43,-2.74
2018-07-03,15.5,15.78,15.37,15.63,446508,0.38,2.49
2018-07-05,15.72,16.03,15.38,15.93,953297,0.3,1.92
2018-07-06,15.75,16.0,15.7,15.93,908940,0.0,0.0
2018-07-09,16.02,16.44,15.73,16.23,1574468,0.3,1.88
2018-07-10,16.27,16.68,16.02,16.11,1281107,-0.12,-0.74
2018-07-11,15.85,16.33,15.68,15.78,976343,-0.33,-2.05
2018-07-12,15.87,16.055,15.4,15.9,948022,0.12,0.76
2018-07-13,15.82,15.965,15.55,15.59,926269,-0.31,-1.95
2018-07-16,15.4,15.58,15.175,15.34,684372,-0.25,-1.6
2018-07-17,15.31,15.935,15.21,15.76,1028335,0.42,2.74
2018-07-18,15.66,15.785,15.44,15.5,866413,-0.26,-1.65
2018-07-19,15.46,15.64,15.21,15.45,857569,-0.05,-0.32
2018-07-20,15.57,15.7225,15.29,15.46,1295969,0.01,0.06
2018-07-23,15.44,15.44,14.72,15.0,1144454,-0.46,-2.98
2018-07-24,15.04,15.15,14.59,14.66,1084527,-0.34,-2.27
2018-07-25,14.69,14.78,14.35,14.54,1190317,-0.12,-0.82
2018-07-26,14.55,15.12,14.36,14.93,1700489,0.39,2.68
2018-07-27,14.96,15.755,14.96,15.72,1349921,0.79,5.29
2018-07-30,15.98,16.61,15.8918,16.51,1473768,0.79,5.03
2018-07-31,16.46,16.7207,16.17,16.44,1147724,-0.07,-0.42
2018-08-01,16.23,16.55,15.81,16.26,828365,-0.18,-1.09
2018-08-02,16.02,16.76,16.02,16.61,879159,0.35,2.15
2018-08-03,16.48,16.71,15.92,16.3,1730654,-0.31,-1.87
2018-08-06,16.33,16.5,16.06,16.3,1155803,0.0,0.0
2018-08-07,16.61,16.68,16.3,16.37,1204979,0.07,0.43
2018-08-08,16.4,17.06,16.2,16.89,2752624,0.52,3.18
2018-08-09,16.87,17.3,16.46,16.93,1494697,0.04,0.24
2018-08-10,16.83,17.42,16.81,17.33,1290961,0.4,2.36
2018-08-13,17.35,17.4,16.47,16.56,1683785,-0.77,-4.44
2018-08-14,16.68,17.185,16.67,16.85,1378925,0.29,1.75
2018-08-15,16.65,16.77,15.46,15.54,977868,-1.31,-7.77
2018-08-16,15.62,16.1,15.56,15.94,801806,0.4,2.57
2018-08-17,15.97,16.67,15.93,16.64,870268,0.7,4.39
2018-08-20,16.68,17.1,16.59,17.01,570570,0.37,2.22
