日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2022-08-26,6.5,10.48,4.91,4.91,8433953,-0.34,-6.48
2022-08-29,4.38,4.38,3.5,3.65,1412705,-1.26,-25.66
2022-08-30,3.98,5.18,3.53,3.77,3972586,0.12,3.29
2022-08-31,3.51,3.6667,2.8006,2.96,807705,-0.81,-21.49
2022-09-01,3.56,4.15,2.81,3.5,10400993,0.54,18.24
2022-09-02,5.78,6.5699,4.51,5.17,78365136,1.67,47.71
2022-09-06,4.59,4.69,3.3717,3.69,2594126,-1.48,-28.63
2022-09-07,3.7,4.04,3.28,3.58,653906,-0.11,-2.98
2022-09-08,3.38,3.5199,3.08,3.17,736460,-0.41,-11.45
2022-09-09,3.11,3.32,2.88,3.17,2925623,0.0,0.0
2022-09-12,3.4,5.47,3.1694,4.33,30530229,1.16,36.59
2022-09-13,4.12,5.46,3.67,4.22,10097430,-0.11,-2.5404
2022-09-14,4.06,4.39,3.8,4.07,1172299,-0.15,-3.55
2022-09-15,4.01,4.1,3.795,3.88,423972,-0.19,-4.67
2022-09-16,3.83,3.89,3.15,3.16,336283,-0.72,-18.56
2022-09-19,3.18,3.4666,3.1,3.12,163579,-0.04,-1.2658
2022-09-20,3.18,3.36,2.98,3.06,212706,-0.06,-1.92
2022-09-21,3.09,3.2,2.9,2.91,202640,-0.15,-4.9
2022-09-22,2.92,2.95,2.33,2.33,453490,-0.58,-19.93
2022-09-23,2.26,2.42,2.12,2.25,169930,-0.08,-3.43
2022-09-26,2.26,2.36,2.04,2.17,180026,-0.08,-3.56
2022-09-27,2.15,3.4499,2.15,2.57,11881743,0.4,18.4332
2022-09-28,2.36,2.69,2.3,2.52,633421,-0.05,-1.95
2022-09-29,2.47,2.53,2.25,2.45,271474,-0.07,-2.78
2022-09-30,2.4,2.85,2.25,2.4,617331,-0.05,-2.04
2022-10-03,2.43,2.441,2.2,2.26,206959,-0.14,-5.83
2022-10-04,2.36,2.5798,2.29,2.39,469705,0.13,5.75
2022-10-05,2.42,2.5,2.24,2.44,259828,0.05,2.09
2022-10-06,2.54,2.78,2.31,2.52,989138,0.08,3.28
2022-10-07,2.5,2.55,2.3201,2.39,232817,-0.13,-5.16
2022-10-10,2.36,2.5,2.27,2.33,69808,-0.06,-2.51
2022-10-11,2.35,2.4,2.28,2.38,34546,0.05,2.15
2022-10-12,2.365,2.3999,2.25,2.28,122217,-0.1,-4.2
2022-10-13,2.25,2.29,2.03,2.12,130901,-0.16,-7.02
2022-10-14,2.17,2.22,2.1,2.17,92829,0.05,2.36
2022-10-17,2.25,2.36,2.12,2.21,155668,0.04,1.84
2022-10-18,2.31,2.5499,2.15,2.45,512127,0.24,10.86
