日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2022-02-15,9.08,10.425,8.1,8.1,94079,-1.06,-11.57
2022-02-16,8.0,8.1,5.285,6.47,217590,-1.63,-20.1235
2022-02-17,6.45,6.57,5.6,5.89,1180291,-0.58,-8.9645
2022-02-18,6.02,6.5,3.83,4.0,1193885,-1.89,-32.09
2022-02-22,4.05,4.51,3.6,3.71,509875,-0.29,-7.25
2022-02-23,3.72,3.72,3.26,3.35,292006,-0.36,-9.7035
2022-02-24,3.14,3.65,3.05,3.45,247553,0.1,2.99
2022-02-25,3.44,3.75,3.285,3.47,163255,0.02,0.58
2022-02-28,3.49,3.615,3.315,3.54,244567,0.07,2.02
2022-03-01,3.58,3.58,3.12,3.19,132393,-0.35,-9.89
2022-03-02,3.25,3.35,3.15,3.25,101730,0.06,1.88
2022-03-03,3.26,3.35,3.11,3.17,122653,-0.08,-2.46
2022-03-04,3.14,3.15,2.98,2.98,57264,-0.19,-5.99
2022-03-07,2.98,3.0,2.72,2.74,188431,-0.24,-8.05
2022-03-08,2.68,2.91,2.6,2.65,77978,-0.09,-3.2847
2022-03-09,2.79,2.9383,2.73,2.88,87337,0.23,8.68
2022-03-10,2.905,3.12,2.7,2.93,204802,0.05,1.74
2022-03-11,3.04,3.06,2.63,2.74,165859,-0.19,-6.4846
2022-03-14,2.75,2.88,2.44,2.45,117022,-0.29,-10.58
2022-03-15,2.48,2.56,2.4401,2.45,81237,0.0,0.0
2022-03-16,2.73,2.73,2.4,2.5,123605,0.05,2.04
2022-03-17,2.5,2.68,2.46,2.65,85097,0.15,6.0
2022-03-18,2.73,2.87,2.64,2.65,142060,0.0,0.0
2022-03-21,2.74,2.74,2.64,2.71,39522,0.06,2.26
2022-03-22,2.815,3.0448,2.71,2.87,84588,0.16,5.9041
2022-03-23,2.95,3.26,2.9,3.05,274174,0.18,6.27
2022-03-24,3.14,3.44,3.1,3.3,482064,0.25,8.2
2022-03-25,3.44,3.79,3.3264,3.48,623326,0.18,5.45
2022-03-28,3.54,3.6668,2.89,3.33,412584,-0.15,-4.31
2022-03-29,3.26,3.3,2.97,3.22,190077,-0.11,-3.3
2022-03-30,3.2,3.4,3.07,3.18,142326,-0.04,-1.24
2022-03-31,3.3,3.4,3.15,3.21,149490,0.03,0.94
2022-04-01,3.31,3.31,2.73,2.8,259362,-0.41,-12.77
2022-04-04,2.84,2.98,2.8,2.8001,81961,0.0,0.0
2022-04-05,2.8,2.94,2.68,2.7,103951,-0.1,-3.57
2022-04-06,2.89,3.3099,2.76,2.8,748528,0.1,3.7
2022-04-07,2.8,2.8713,2.55,2.8,138876,0.0,0.0
2022-04-08,2.83,2.83,2.74,2.76,61409,-0.04,-1.43
2022-04-11,2.7,2.9,2.62,2.79,164581,0.03,1.09
2022-04-12,2.85,2.85,2.585,2.65,113227,-0.14,-5.02
2022-04-13,2.61,2.7,2.6,2.62,42764,-0.03,-1.13
2022-04-14,2.67,2.69,2.59,2.605,94867,-0.015,-0.57
2022-04-18,2.89,2.89,2.66,2.77,219891,0.165,6.33
2022-04-19,2.8,2.8005,2.6072,2.68,83863,-0.09,-3.25
2022-04-20,2.68,2.7895,2.62,2.65,56859,-0.03,-1.12
2022-04-21,2.65,2.7,2.42,2.43,212428,-0.22,-8.3
2022-04-22,2.7,2.7,2.28,2.32,129021,-0.11,-4.5267
