日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-01-03,10.9797,11.2292,10.8549,11.2292,135100,0.2492,2.27
1995-01-04,11.354,11.4788,11.354,11.4189,152200,0.1898,1.69
1995-01-05,11.4189,11.4788,11.354,11.354,209500,-0.0651,-0.57
1995-01-06,11.354,11.5436,11.354,11.354,40300,0.0,0.0
1995-01-09,11.354,11.5436,11.354,11.4189,152000,0.0647,0.57
1995-01-10,11.4189,11.4189,11.2292,11.2292,229200,-0.1896,-1.66
1995-01-11,11.2941,11.2941,10.9797,10.9797,193300,-0.2493,-2.22
1995-01-12,11.0446,11.0446,10.7301,10.8549,226500,-0.1252,-1.14
1995-01-13,10.9198,10.9198,10.7301,10.8549,236500,0.0,0.0
1995-01-16,10.9797,11.354,10.9198,11.354,191700,0.4993,4.6
1995-01-17,11.354,11.4788,11.2941,11.4788,106200,0.1249,1.1
1995-01-18,11.4788,11.4788,11.4189,11.4189,77000,-0.0597,-0.52
1995-01-19,11.354,11.7283,11.354,11.6684,203800,0.2501,2.19
1995-01-20,11.6035,11.6035,11.2292,11.2292,226500,-0.4387,-3.76
1995-01-23,10.9797,11.1044,10.9797,11.0446,172600,-0.1842,-1.64
1995-01-24,11.0446,11.0446,10.8549,10.8549,233400,-0.19,-1.72
1995-01-25,10.795,10.9797,10.6703,10.9198,302200,0.0651,0.6
1995-01-26,10.9797,11.0446,10.9198,10.9198,69500,0.0,0.0
1995-01-27,10.9198,10.9797,10.8549,10.9797,211300,0.0601,0.55
1995-01-30,11.1044,11.1044,10.8549,10.8549,130200,-0.1252,-1.14
1995-01-31,10.8549,10.8549,10.7002,10.7301,469400,-0.1248,-1.15
1995-02-01,10.795,10.795,10.6054,10.6054,351000,-0.1245,-1.16
1995-02-02,10.7301,10.7301,10.6054,10.6703,316200,0.0647,0.61
1995-02-03,10.795,10.8549,10.6703,10.7301,715600,0.0598,0.56
1995-02-06,10.795,10.795,10.5455,10.6054,386900,-0.1245,-1.16
1995-02-07,10.6054,10.9198,10.6054,10.795,462400,0.1898,1.79
1995-02-08,10.6054,10.6703,10.5455,10.5455,333600,-0.2494,-2.31
1995-02-09,10.6054,10.7301,10.4806,10.7301,545800,0.1845,1.75
1995-02-10,10.795,11.0446,10.6703,11.0446,411600,0.3144,2.93
1995-02-13,11.0446,11.2941,11.0446,11.2292,89500,0.1844,1.67
1995-02-14,11.1693,11.2292,11.1044,11.1044,48100,-0.1246,-1.11
1995-02-15,11.1693,11.4788,11.1044,11.354,103700,0.2498,2.25
1995-02-16,11.4189,11.4788,11.354,11.4189,109200,0.0647,0.57
1995-02-17,11.4189,11.4189,11.354,11.354,127500,-0.0651,-0.57
1995-02-21,11.4189,11.5436,11.4189,11.4189,124300,0.0647,0.57
1995-02-22,11.4788,11.5436,11.354,11.4788,112300,0.0594,0.52
1995-02-23,11.6035,11.6684,11.2941,11.354,264300,-0.1251,-1.09
1995-02-24,11.4189,11.5436,11.2941,11.5436,94300,0.1896,1.67
1995-02-27,11.5537,11.5537,11.4281,11.4934,70900,-0.1255,-1.08
1995-02-28,11.5537,11.6793,11.5537,11.6793,120200,0.1862,1.62
1995-03-01,11.6793,11.6793,11.5537,11.5537,83900,-0.1261,-1.08
1995-03-02,11.5537,11.7446,11.4934,11.7446,375400,0.1906,1.65
1995-03-03,11.7446,11.7446,11.3678,11.5537,144200,-0.1914,-1.63
1995-03-06,11.5537,11.8702,11.5537,11.7446,185900,0.1906,1.65
1995-03-07,11.6793,11.6793,11.1769,11.3678,151100,-0.377,-3.21
1995-03-08,11.4281,11.4281,11.3678,11.3678,100000,0.0,0.0
1995-03-09,11.3678,11.3678,11.3025,11.3025,78800,-0.0648,-0.57
1995-03-10,11.4934,11.5537,11.3678,11.3678,133200,0.0656,0.58
1995-03-13,11.4281,11.4934,11.3025,11.4281,131200,0.0602,0.53
1995-03-14,11.4934,11.619,11.4934,11.4934,89700,0.0651,0.57
1995-03-15,11.4934,11.4934,11.3025,11.3678,69400,-0.1253,-1.09
1995-03-16,11.3025,11.3678,11.2422,11.3025,87200,-0.0648,-0.57
1995-03-17,11.3025,11.3025,11.1769,11.1769,199700,-0.1255,-1.11
1995-03-20,11.2422,11.3025,11.0513,11.1769,329000,0.0,0.0
1995-03-21,11.1769,11.3678,11.1769,11.3678,112900,0.1911,1.71
1995-03-22,11.3678,11.4934,11.3678,11.4281,109000,0.0602,0.53
1995-03-23,11.4281,11.4281,11.3678,11.4281,114200,0.0,0.0
1995-03-24,11.4281,11.5537,11.3678,11.5537,76000,0.1257,1.1
1995-03-27,11.4934,11.5537,11.4281,11.4934,144400,-0.0601,-0.52
1995-03-28,11.4934,11.619,11.4934,11.619,108400,0.1253,1.09
1995-03-29,11.619,12.6237,11.619,12.1213,329500,0.502,4.32
1995-03-30,12.1816,12.2469,12.1213,12.1213,220500,0.0,0.0
1995-03-31,12.056,12.056,11.8702,12.056,237700,-0.0655,-0.54
1995-04-03,11.9957,12.1213,11.9957,12.056,443800,0.0,0.0
1995-04-04,12.056,12.1213,11.9957,12.056,105000,0.0,0.0
1995-04-05,11.9304,12.056,11.9304,12.056,58500,0.0,0.0
1995-04-06,12.056,12.1816,11.9957,12.1816,248800,0.1254,1.04
1995-04-07,12.1816,12.3072,12.1213,12.3072,227500,0.1255,1.03
1995-04-10,12.3072,12.3072,12.2469,12.3072,129100,0.0,0.0
