日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2018-10-29,28.0,28.67,24.5,25.82,30427702,-2.03,-7.29
2018-10-30,24.8,25.0,20.51,21.06,8275283,-4.76,-18.44
2018-10-31,21.22,22.51,19.31,21.05,8148853,-0.01,-0.05
2018-11-01,20.88,23.73,20.42,22.0,10101551,0.95,4.51
2018-11-02,22.0,23.97,20.55,23.78,8104551,1.78,8.09
2018-11-05,23.53,25.01,23.38,24.71,5345954,0.93,3.91
2018-11-06,24.32,24.66,23.5,24.09,5245358,-0.62,-2.51
2018-11-07,24.0,24.17,22.51,23.7,3694581,-0.39,-1.62
2018-11-08,23.01,23.64,22.16,22.21,2420530,-1.49,-6.29
2018-11-09,21.73,22.08,21.46,21.97,2077336,-0.24,-1.08
2018-11-12,22.14,22.23,21.14,21.37,2158010,-0.6,-2.73
2018-11-13,21.16,22.0,20.99,21.26,2788460,-0.11,-0.51
2018-11-14,21.99,22.95,21.37,21.49,3753144,0.23,1.08
2018-11-15,21.08,22.61,21.01,22.03,2522481,0.54,2.51
2018-11-16,22.0,22.0,20.95,21.02,2759769,-1.01,-4.58
2018-11-19,21.04,21.04,19.43,19.43,2600129,-1.59,-7.56
2018-11-20,19.34,19.625,18.77,19.52,1411580,0.09,0.46
2018-11-21,19.5,20.24,19.26,19.68,1078251,0.16,0.82
2018-11-23,19.16,19.85,19.13,19.41,418556,-0.27,-1.37
2018-11-26,19.61,20.1,19.25,19.91,1461679,0.5,2.58
2018-11-27,19.3,19.99,19.16,19.35,4015449,-0.56,-2.81
2018-11-28,19.17,20.32,19.14,20.16,1291393,0.81,4.19
2018-11-29,20.02,20.91,19.9,20.75,1898303,0.59,2.93
2018-11-30,20.97,21.3,20.47,20.63,2733091,-0.12,-0.58
2018-12-03,20.73,21.17,20.51,20.95,1065336,0.32,1.55
2018-12-04,20.87,20.96,20.23,20.4,1573635,-0.55,-2.63
2018-12-06,20.45,20.64,19.8,20.6,1308255,0.2,0.98
2018-12-07,20.64,21.31,20.53,21.05,2965391,0.45,2.18
2018-12-10,21.1,21.7,20.66,21.57,1553050,0.52,2.47
2018-12-11,21.93,22.18,21.18,21.48,1375240,-0.09,-0.42
2018-12-12,21.43,22.07,21.22,21.44,1191822,-0.04,-0.19
2018-12-13,21.46,22.3,21.28,22.12,1675307,0.68,3.17
2018-12-14,21.99,22.79,21.49,22.53,1448004,0.41,1.85
2018-12-17,22.64,22.64,22.09,22.26,2514836,-0.27,-1.2
2018-12-18,22.23,22.92,22.06,22.81,1556887,0.55,2.47
2018-12-19,22.86,23.43,22.24,22.42,1890539,-0.39,-1.71
2018-12-20,22.15,22.3097,20.92,21.49,1945993,-0.93,-4.15
2018-12-21,21.42,21.45,19.7,20.08,4382715,-1.41,-6.56
2018-12-24,19.78,20.13,19.44,19.45,539609,-0.63,-3.14
2018-12-26,19.56,20.27,19.2701,20.26,1310972,0.81,4.16
2018-12-27,19.85,20.1103,19.39,19.85,1532334,-0.41,-2.02
2018-12-28,19.84,20.43,19.53,20.07,1317786,0.22,1.11
2018-12-31,19.98,20.635,19.67,20.55,1053175,0.48,2.39
2019-01-02,20.27,20.73,20.0,20.64,962391,0.09,0.44
2019-01-03,20.53,20.6,19.53,19.58,1080829,-1.06,-5.14
2019-01-04,19.99,20.72,19.71,20.39,1864195,0.81,4.14
2019-01-07,20.26,20.53,19.92,20.12,1151281,-0.27,-1.32
2019-01-08,20.43,20.75,20.22,20.56,1139715,0.44,2.19
2019-01-09,20.54,21.4797,20.33,21.36,882662,0.8,3.89
