日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2012-01-11,2.43,2.43,2.399,2.399,36500,-0.03,-1.23
2012-01-12,2.39,2.4,2.37,2.399,19500,0.0,0.0
2012-01-13,2.4,2.4,2.37,2.399,13800,0.03,1.25
2012-01-16,2.43,2.43,2.43,2.43,0,0.0,0.0
2012-01-17,2.4,2.43,2.377,2.4,9272,0.0,0.0
2012-01-18,2.43,2.43,2.43,2.43,0,0.0,0.0
2012-01-19,2.38,2.39,2.34,2.39,10789,0.0,0.0
2012-01-20,2.3,2.54,2.3,2.54,153162,0.0,0.0
2012-01-23,2.41,2.41,2.369,2.39,9524,-0.04,-1.65
2012-01-24,2.4,2.4,2.3,2.31,32998,-0.08,-3.35
2012-01-25,2.33,2.37,2.31,2.31,7200,0.0,0.0
2012-01-26,2.3,2.33,2.274,2.3,45081,-0.01,-0.43
2012-01-27,2.31,2.31,2.28,2.3,35300,0.0,0.0
2012-01-30,2.3,2.31,2.1,2.3,47458,0.0,0.0
2012-01-31,2.29,2.33,2.098,2.3,13500,0.0,0.0
2012-02-01,2.27,2.3,2.269,2.3,24200,0.0,0.0
2012-02-02,2.299,2.33,2.299,2.33,4573,0.03,1.3
2012-02-03,2.3,2.4,2.3,2.377,28440,0.05,2.15
2012-02-06,2.38,2.4,2.38,2.4,1000,0.02,0.84
2012-02-07,2.38,2.4,2.34,2.4,23900,0.0,0.0
2012-02-08,2.366,2.4,2.36,2.399,37224,0.0,0.0
2012-02-09,2.38,2.38,2.379,2.379,5800,-0.02,-0.83
2012-02-10,2.4,2.4,2.399,2.399,2600,0.02,0.84
2012-02-13,2.36,2.45,2.28,2.37,14895,-0.03,-1.25
2012-02-14,2.3,2.36,2.3,2.36,12700,-0.01,-0.42
2012-02-15,2.32,2.32,2.32,2.32,200,-0.04,-1.69
2012-02-16,2.3,2.32,2.3,2.32,1100,0.0,0.0
2012-02-17,2.28,2.35,2.28,2.299,10315,-0.02,-0.86
2012-02-20,2.3,2.3,2.3,2.3,0,0.0,0.0
2012-02-21,2.3,2.35,2.28,2.3,11365,0.0,0.0
2012-02-22,2.32,2.34,2.21,2.24,7521,-0.06,-2.61
2012-02-23,2.24,2.3,2.24,2.289,3600,0.05,2.23
2012-02-24,2.29,2.35,2.2,2.24,27100,-0.05,-2.18
2012-02-27,2.24,2.35,2.24,2.31,8592,0.07,3.12
2012-02-28,2.32,2.35,2.3,2.3,6400,-0.01,-0.43
2012-02-29,2.32,2.35,2.26,2.3,24500,0.0,0.0
2012-03-01,2.29,2.3,2.26,2.26,3401,-0.04,-1.74
2012-03-02,2.27,2.33,2.23,2.29,12894,0.03,1.33
2012-03-04,2.28,2.3,2.28,2.3,10464,0.01,0.44
2012-03-05,2.28,2.3,2.28,2.3,10464,0.0,0.0
2012-03-06,2.28,2.3,2.28,2.3,3477,0.0,0.0
2012-03-07,2.28,2.3,2.2,2.3,2325,0.0,0.0
