日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2012-03-28,15.8866,16.5594,15.1203,15.3726,2354311,0.0,0.0
2012-03-29,15.2791,15.7931,15.2791,15.6716,101936,0.2998,1.95
2012-03-30,15.7464,16.1015,15.5595,15.6997,110839,0.0282,0.18
2012-04-02,15.6997,16.765,15.6903,16.0828,71947,0.3831,2.44
2012-04-03,16.2697,16.5127,15.6156,15.7464,22818,-0.3361,-2.09
2012-04-04,15.5595,15.5595,15.2791,15.3352,97394,-0.411,-2.61
2012-04-05,15.1296,15.4287,14.9614,14.9988,224633,-0.3358,-2.19
2012-04-06,14.9988,14.9988,14.9988,14.9988,0,0.0,0.0
2012-04-09,15.1857,15.1857,14.4848,14.7184,57177,-0.2805,-1.87
2012-04-10,14.7838,14.8296,14.1764,14.4381,29103,-0.2796,-1.9
2012-04-11,14.6063,14.7652,14.5035,14.653,15572,0.2151,1.49
2012-04-12,14.5596,15.2324,14.5128,14.8586,11259,0.2051,1.4
2012-04-13,14.8586,15.139,14.7932,14.9614,31691,0.1025,0.69
2012-04-16,14.9894,15.0175,14.5128,14.7465,71241,-0.2155,-1.44
2012-04-17,14.7932,14.7932,14.5783,14.5876,11148,-0.1593,-1.08
2012-04-18,14.6437,14.8212,14.2512,14.4568,101000,-0.1313,-0.9
2012-04-19,14.5783,15.0922,14.2512,14.4474,113735,-0.0087,-0.06
2012-04-20,14.3446,15.2978,14.0176,14.7371,120005,0.2904,2.01
2012-04-23,14.5689,15.0362,14.2138,14.9521,39903,0.2152,1.46
2012-04-24,14.9894,15.0735,14.753,14.7652,5190,-0.1869,-1.25
2012-04-25,14.9521,15.0446,14.5427,14.8586,25550,0.093,0.63
2012-04-26,15.2324,15.2324,14.6539,14.7838,38160,-0.0743,-0.5
2012-04-27,14.9427,15.6436,14.6997,15.2791,43289,0.4953,3.35
2012-04-30,15.2978,16.1015,14.8773,15.8025,22726,0.5241,3.43
2012-05-01,15.681,16.4659,15.3352,15.9333,66348,0.1312,0.83
2012-05-02,15.0735,16.3351,15.0735,15.9333,73478,0.0,0.0
2012-05-03,16.0548,16.3725,15.3913,15.709,38186,-0.2247,-1.41
2012-05-04,15.3819,15.8679,15.0362,15.4847,16443,-0.2246,-1.43
2012-05-07,15.5875,15.8959,15.2324,15.466,22099,-0.0186,-0.12
2012-05-08,15.5193,15.5221,15.2791,15.3445,13250,-0.1222,-0.79
2012-05-09,14.4381,15.4193,14.4381,15.2604,10300,-0.0844,-0.55
2012-05-10,15.2418,15.3165,15.0922,15.2791,15128,0.0183,0.12
2012-05-11,15.1296,15.1857,14.8726,15.167,18552,-0.1115,-0.73
2012-05-14,15.0922,15.1913,14.4287,14.8586,65700,-0.3079,-2.03
2012-05-15,14.9521,15.1296,14.7652,14.9988,28769,0.1397,0.94
2012-05-16,14.9427,14.9988,14.3914,14.625,80129,-0.3735,-2.49
2012-05-17,14.5596,14.5689,13.5129,13.7652,53110,-0.86,-5.88
2012-05-18,14.0176,14.0176,13.2793,13.5129,29976,-0.2519,-1.83
2012-05-21,13.4755,14.0362,13.3354,13.9895,5828,0.477,3.53
2012-05-22,13.9615,14.2689,13.5223,13.5223,15580,-0.4673,-3.34
2012-05-23,13.5223,13.8493,13.4942,13.7465,11690,0.2245,1.66
2012-05-24,13.7933,13.7933,13.5503,13.7933,12729,0.0467,0.34
2012-05-25,13.7559,13.9241,13.5503,13.9241,17756,0.131,0.95
2012-05-28,13.9241,13.9241,13.9241,13.9241,0,0.0,0.0
2012-05-29,13.8961,14.0222,13.5503,13.6624,57070,-0.2618,-1.88
2012-05-30,13.5596,13.7045,13.1111,13.326,22796,-0.3361,-2.46
2012-05-31,13.326,13.7839,13.2513,13.7839,14800,0.4584,3.44
2012-06-01,13.597,13.8774,13.027,13.5503,43032,-0.2329,-1.69
2012-06-04,13.541,13.541,13.1204,13.2699,24645,-0.2805,-2.07
2012-06-05,13.2326,13.2326,12.9055,13.1111,5000,-0.1592,-1.2
2012-06-06,13.1298,13.1298,12.2981,13.0083,17200,-0.1023,-0.78
2012-06-07,13.1765,13.1765,12.1953,12.7653,14747,-0.2433,-1.87
2012-06-08,12.6065,12.9289,11.999,12.7747,38667,0.0089,0.07
2012-06-11,13.0176,13.0176,12.1112,12.2046,25140,-0.5697,-4.46
2012-06-12,12.3728,13.0083,12.2046,12.6906,35717,0.4858,3.98
2012-06-13,12.6532,12.7934,12.3214,12.6158,14017,-0.0749,-0.59
2012-06-14,12.6158,13.4568,12.6158,12.812,36627,0.1968,1.56
2012-06-15,12.7934,13.2699,12.7747,12.7747,37223,-0.0372,-0.29
2012-06-18,12.812,13.3073,12.6719,12.8494,18284,0.0754,0.59
2012-06-19,12.9896,13.4475,12.8027,13.3541,34214,0.505,3.93
2012-06-20,13.6437,14.7184,13.6437,14.2979,60248,0.9441,7.07
2012-06-21,14.1297,14.4381,13.9054,14.354,55736,0.0558,0.39
2012-06-22,14.3259,14.6343,13.8493,14.3446,538414,-0.01,-0.07
2012-06-25,14.1764,15.709,14.0176,15.3072,62897,0.9625,6.71
2012-06-26,15.1857,15.5782,14.7371,15.2324,40591,-0.075,-0.49
2012-06-27,15.4006,16.023,14.2605,14.8399,36777,-0.393,-2.58
2012-06-28,14.681,15.195,14.5969,15.1857,9089,0.3458,2.33
2012-06-29,15.2137,15.5782,14.7558,15.3726,29762,0.1868,1.23
2012-07-02,15.3352,15.3632,14.6343,14.9521,38394,-0.4212,-2.74
2012-07-03,14.896,14.9689,14.5222,14.9053,12479,-0.0464,-0.31
2012-07-04,14.9053,14.9053,14.9053,14.9053,0,0.0,0.0
2012-07-05,14.7932,15.4754,14.6997,14.9427,49699,0.0373,0.25
2012-07-06,14.8493,14.9707,14.5128,14.7184,7450,-0.2241,-1.5
2012-07-09,14.653,15.6903,14.3353,15.0362,63181,0.3179,2.16
2012-07-10,15.7838,16.1856,14.9147,15.0362,83731,0.0,0.0
2012-07-11,15.167,15.167,14.4661,14.9334,19758,-0.1022,-0.68
2012-07-12,14.8399,14.8493,13.9802,14.5222,30289,-0.4107,-2.75
2012-07-13,14.6717,15.7183,14.3166,15.4567,9301,0.9352,6.44
2012-07-16,15.4567,15.4567,14.7278,15.0642,4103,-0.3926,-2.54
2012-07-17,15.0362,15.3913,14.3353,15.1296,114440,0.0648,0.43
2012-07-18,15.1109,15.3165,14.7932,15.2231,5224,0.0938,0.62
2012-07-19,15.2418,15.2418,14.3446,14.7091,81203,-0.5146,-3.38
2012-07-20,14.5969,14.5969,13.8774,14.0549,65697,-0.6546,-4.45
2012-07-23,13.8587,14.1484,13.8587,14.0362,5382,-0.0183,-0.13
2012-07-24,14.0269,14.0456,13.8307,13.84,7380,-0.1965,-1.4
2012-07-25,13.9989,14.2138,13.8493,14.083,11943,0.2436,1.76
