日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2018-09-27,1075.0,1100.0,950.0,1000.0,2364997,150.0212,17.65
2018-09-28,997.5,1008.5,879.5,910.0,205599,-90.0,-9.0
2018-10-01,910.0,913.0,730.0,740.5,648362,-169.5406,-18.63
2018-10-02,740.5,771.5,676.0,714.5,415558,-25.9912,-3.51
2018-10-03,714.0,724.5,666.0,724.5,260808,10.003,1.4
2018-10-04,721.5,721.5,632.5,695.0,142944,-29.4866,-4.07
2018-10-05,690.0,693.75,655.0,671.0,210423,-23.9767,-3.45
2018-10-08,680.0,682.79,640.5,650.0,58877,-21.0024,-3.13
2018-10-09,645.0,660.0,605.75,635.0,138914,-15.0154,-2.31
2018-10-10,634.5,634.5,605.5,612.5,85487,-22.4782,-3.54
2018-10-11,612.0,624.5,605.0,610.0,74792,-2.5113,-0.41
2018-10-12,636.5,636.5,577.5,603.5,100697,-6.5273,-1.07
2018-10-15,552.0,624.0,552.0,562.0,127986,-41.5223,-6.88
2018-10-16,560.0,585.0,538.0,570.0,150334,7.9807,1.42
2018-10-17,567.0,580.0,549.75,560.0,84729,-9.9746,-1.75
2018-10-18,558.5,599.0,550.0,597.5,93041,37.5187,6.7
2018-10-19,600.0,685.0,599.5,667.5,176151,70.0242,11.72
2018-10-22,664.5,667.5,536.5,600.5,270102,-67.0189,-10.04
2018-10-23,594.5,596.995,562.5,575.0,121000,-25.5222,-4.25
2018-10-24,575.0,590.0,540.0,565.0,124420,-10.0051,-1.74
2018-10-25,570.0,575.0,536.0,538.5,102494,-26.4984,-4.69
2018-10-26,541.0,587.5,525.0,560.0,110553,21.4867,3.99
2018-10-29,564.0,574.5,530.0,535.5,38285,-24.5293,-4.38
2018-10-30,535.5,550.0,517.5,530.0,40570,-5.5158,-1.03
2018-10-31,529.5,545.5,519.0,535.0,67665,4.9822,0.94
2018-11-01,537.4,550.0,524.0,527.5,87268,-7.4899,-1.4
2018-11-02,537.5,560.0,537.5,542.5,63405,14.9815,2.84
2018-11-05,546.5,546.5,520.5,520.5,35464,-22.0266,-4.06
2018-11-06,519.0,522.5,466.505,498.5,119294,-22.0179,-4.23
2018-11-07,500.5,537.5,487.5,487.5,29986,-11.0172,-2.21
2018-11-08,487.0,492.5,437.5,440.5,102296,-46.9945,-9.64
2018-11-09,442.0,462.4,414.5,445.5,128248,5.0215,1.14
2018-11-12,441.5,452.0,420.5,420.5,64093,-24.9921,-5.61
2018-11-13,433.5,433.5,375.0,411.5,137930,-8.9987,-2.14
2018-11-14,426.0,458.5,388.0,424.0,215180,12.5093,3.04
2018-11-15,421.0,444.0,408.5,427.5,109557,3.519,0.83
2018-11-16,431.0,450.0,392.5,407.0,120774,-20.521,-4.8
2018-11-19,411.0,430.0,396.5,415.5,103017,8.5062,2.09
2018-11-20,412.5,422.995,402.0,408.5,46019,-6.9801,-1.68
2018-11-21,410.0,433.16,410.0,420.0,116750,11.5192,2.82
2018-11-23,414.5,417.0,389.0,389.5,69454,-30.4914,-7.26
2018-11-26,391.0,410.485,391.0,405.0,196227,15.502,3.98
2018-11-27,405.0,420.82,393.75,396.0,129010,-8.9908,-2.22
2018-11-28,401.0,419.5,399.5,416.0,206992,19.9981,5.05
2018-11-29,419.5,449.5,405.5,449.5,60303,33.4889,8.05
2018-11-30,457.0,516.5,453.5,500.0,221573,50.481,11.23
2018-12-03,510.0,521.38,495.25,498.0,75329,-2.0,-0.4
2018-12-04,514.0,514.0,479.5,485.0,88257,-12.9977,-2.61
2018-12-06,492.0,495.0,451.0,459.5,97254,-25.5116,-5.26
2018-12-07,458.5,468.0,449.0,451.5,19453,-7.9952,-1.74
2018-12-10,453.0,462.0,425.0,442.0,62026,-9.4811,-2.1
2018-12-11,455.0,469.5,413.5,421.0,84250,-20.9948,-4.75
2018-12-12,422.0,423.0,399.25,403.5,80591,-17.5142,-4.16
2018-12-13,405.0,420.0,400.0,403.0,44569,-0.4842,-0.12
2018-12-14,393.0,401.5,380.5,390.0,36427,-13.0175,-3.23
2018-12-17,395.0,404.125,377.5,385.0,46859,-4.9919,-1.28
2018-12-18,385.0,401.0,380.0,399.0,158989,14.0135,3.64
2018-12-19,401.5,417.5,389.435,398.5,163297,-0.5187,-0.13
