日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2015-12-15,8.621,10.6436,8.2894,8.621,1174901,0.7364,9.34
2015-12-16,9.7483,9.9738,8.6276,8.8067,404360,0.1854,2.15
2015-12-17,8.6409,9.6688,8.6276,9.5759,148488,0.7689,8.73
2015-12-18,9.6091,11.7046,9.6091,11.1144,570755,1.5388,16.07
2015-12-21,10.6767,11.0746,9.2841,9.3173,768851,-1.7972,-16.17
2015-12-22,9.0388,9.3305,8.7536,8.8332,516317,-0.4845,-5.2
2015-12-23,8.621,9.2244,8.621,8.9061,312981,0.0733,0.83
2015-12-24,8.8862,9.0321,8.8862,8.9194,146966,0.0134,0.15
2015-12-28,8.9194,9.8743,8.8862,9.2709,399286,0.3514,3.94
2015-12-29,9.251,9.5958,9.2178,9.5494,150972,0.2781,3.0
2015-12-30,9.4963,9.7019,9.4831,9.5759,198189,0.0267,0.28
2015-12-31,9.5759,9.755,9.3372,9.556,247204,-0.0201,-0.21
2016-01-04,9.43,10.5375,9.2841,10.3916,235385,0.8352,8.74
2016-01-05,10.511,10.8021,10.1993,10.4911,370073,0.0998,0.96
2016-01-06,10.4778,10.7577,10.4115,10.5905,83445,0.0997,0.95
2016-01-07,10.5773,10.7762,10.2855,10.4181,262776,-0.1726,-1.63
2016-01-08,10.4049,10.6502,10.3054,10.5309,166980,0.1125,1.08
2016-01-11,10.5706,11.0746,10.5706,10.8956,133801,0.3644,3.46
2016-01-12,10.9619,11.5587,10.9619,11.3996,283216,0.5044,4.63
2016-01-13,11.3664,11.8505,11.3664,11.8107,193563,0.4115,3.61
2016-01-14,11.9898,13.4288,11.8373,13.336,184742,1.5248,12.91
2016-01-15,12.9911,13.1636,12.2352,12.7325,153170,-0.6042,-4.53
2016-01-19,12.8187,12.9049,12.3147,12.8453,174438,0.1133,0.89
2016-01-20,12.8386,12.8638,11.572,12.5933,195454,-0.2518,-1.96
2016-01-21,12.5933,12.8917,12.2816,12.6131,107342,0.0201,0.16
2016-01-22,12.7325,14.3108,12.5999,14.2644,189857,1.6511,13.09
2016-01-25,14.2644,14.5893,13.8466,14.344,96690,0.0799,0.56
2016-01-26,14.6358,15.0867,14.5164,14.8679,173882,0.5236,3.65
2016-01-27,14.9275,14.9275,13.9328,13.9395,82154,-0.9277,-6.24
2016-01-28,13.893,13.893,13.2763,13.6742,53980,-0.2648,-1.9
2016-01-29,13.6808,13.893,13.336,13.8267,158233,0.1531,1.12
2016-02-01,13.767,13.767,13.1105,13.2232,129454,-0.6028,-4.36
2016-02-02,13.1238,13.1304,12.4009,12.5999,134909,-0.6228,-4.71
2016-02-03,12.5535,13.1835,12.4341,13.1105,75701,0.5103,4.05
2016-02-04,13.1238,14.1517,13.1238,14.0986,297055,0.9885,7.54
2016-02-05,14.1318,14.4501,14.1318,14.4501,106825,0.3249,2.3
2016-02-08,14.47,14.5496,14.2578,14.3904,88615,-0.0332,-0.23
2016-02-09,14.2909,14.5893,14.1052,14.2047,113205,-0.1856,-1.29
2016-02-10,14.1915,14.348,13.9196,14.1384,56918,-0.0668,-0.47
2016-02-11,13.9527,14.2976,13.767,13.8267,32267,-0.311,-2.2
2016-02-12,13.2962,14.092,13.2962,13.5217,89880,-0.3056,-2.21
2016-02-16,13.5349,13.7936,13.4686,13.7206,80216,0.1988,1.47
2016-02-17,13.8731,14.5496,13.8731,14.4501,105376,0.7299,5.32
2016-02-18,14.523,14.8413,14.4454,14.6623,76244,0.2124,1.47
2016-02-19,14.6756,15.279,14.5893,15.2658,96762,0.6041,4.12
2016-02-22,15.2857,16.2671,15.2857,15.7432,133566,0.4778,3.13
2016-02-23,15.8162,15.9488,15.6504,15.6902,135330,-0.0535,-0.34
2016-02-24,15.6504,15.783,15.2525,15.2989,128599,-0.3907,-2.49
2016-02-25,15.3851,15.5841,15.1862,15.3785,64409,0.0796,0.52
2016-02-26,15.3122,15.3652,15.2525,15.3122,47478,-0.0661,-0.43
2016-02-29,15.2525,15.3055,14.9541,14.9607,69073,-0.0135,-0.09
2016-03-01,14.9408,15.3851,14.9209,15.3719,45074,0.4114,2.75
2016-03-02,15.4117,15.5642,15.3321,15.478,46696,0.1061,0.69
2016-03-03,15.4315,15.9156,15.4315,15.8825,46895,0.404,2.61
2016-03-04,15.9156,15.9156,15.4912,15.7233,50795,-0.1588,-1.0
2016-03-07,15.6172,15.6172,14.962,15.2989,50450,-0.4245,-2.7
2016-03-08,15.4846,15.5774,15.405,15.4315,34181,0.1331,0.87
2016-03-09,15.3984,15.4514,15.3321,15.4315,22956,0.0,0.0
2016-03-10,15.4581,15.8162,15.3652,15.6504,53503,0.2191,1.42
2016-03-11,15.7167,15.8626,15.6504,15.8493,41774,0.1988,1.27
2016-03-14,15.8825,15.9156,15.7565,15.8361,32564,-0.0127,-0.08
2016-03-15,15.7631,15.8493,15.6736,15.8162,67916,-0.0206,-0.13
2016-03-16,15.73,15.9156,15.73,15.8825,23290,0.0664,0.42
2016-03-17,15.856,16.5257,15.7963,16.4926,40174,0.6099,3.84
2016-03-18,16.5191,16.5788,16.2883,16.4992,144701,0.0066,0.04
2016-03-21,16.5788,16.5788,16.0019,16.3334,49530,-0.165,-1.0
2016-03-22,16.2472,16.4594,16.0629,16.2207,29384,-0.1127,-0.69
2016-03-23,16.1477,16.234,15.8493,16.161,46779,-0.06,-0.37
2016-03-24,16.108,16.1942,15.9554,16.1544,29636,-0.0065,-0.04
2016-03-28,16.2406,16.5324,16.1464,16.4395,34366,0.2859,1.77
2016-03-29,16.3732,16.6577,16.1942,16.5655,43023,0.1266,0.77
2016-03-30,16.612,17.179,16.486,16.6053,124790,0.0398,0.24
2016-03-31,16.665,16.665,16.5191,16.5854,43211,-0.0199,-0.12
2016-04-01,16.4196,16.6186,15.9422,15.9422,112621,-0.6435,-3.88
2016-04-04,15.9156,16.3401,15.8361,15.9554,95064,0.0128,0.08
2016-04-05,15.8427,16.2008,15.8361,16.1743,29244,0.2186,1.37
2016-04-06,16.1345,16.3666,15.9289,16.1279,32951,-0.0469,-0.29
2016-04-07,16.0218,16.1345,15.909,16.0218,45638,-0.1064,-0.66
2016-04-08,16.0284,16.0416,15.8493,16.0019,51074,-0.0192,-0.12
2016-04-11,15.9554,16.5854,15.9156,16.5125,38598,0.5105,3.19
2016-04-12,16.4594,16.5125,16.3533,16.4395,32377,-0.0727,-0.44
2016-04-13,16.4462,17.0132,16.3812,16.6318,43766,0.1923,1.17
2016-04-14,16.7114,16.8308,16.5921,16.7446,40497,0.1131,0.68
2016-04-15,16.6716,16.7525,16.3931,16.3931,30629,-0.3516,-2.1
2016-04-18,16.3997,16.5788,16.2207,16.2472,47582,-0.1459,-0.89
2016-04-19,16.3268,16.5722,16.2141,16.486,26926,0.2388,1.47
2016-04-20,16.4196,16.5589,16.3732,16.4196,30435,-0.0659,-0.4
2016-04-21,16.5199,16.5239,15.9694,16.1171,31259,-0.3021,-1.84
2016-04-22,16.1909,16.8488,16.1909,16.7884,48355,0.6705,4.16
2016-04-25,16.7078,16.8354,16.4393,16.7884,23675,0.0,0.0
2016-04-26,16.7615,17.1173,16.5964,17.1039,27528,0.3156,1.88
2016-04-27,17.1039,17.1039,16.6937,16.9428,37590,-0.1608,-0.94
2016-04-28,16.8286,17.077,16.8085,16.8823,32334,-0.061,-0.36
2016-04-29,16.9428,17.0502,16.5736,16.728,30308,-0.1536,-0.91
2016-05-02,16.6407,17.3589,16.6071,17.3455,28991,0.6173,3.69
2016-05-03,17.2583,17.5872,17.0502,17.3589,49547,0.0139,0.08
2016-05-04,17.312,17.708,17.2583,17.3254,38612,-0.033,-0.19
2016-05-05,17.3254,17.4462,17.2717,17.3254,16771,0.0,0.0
2016-05-06,17.3187,17.4529,17.1911,17.3724,46740,0.0468,0.27
2016-05-09,17.312,17.5872,17.312,17.5066,29953,0.1338,0.77
2016-05-10,17.4529,18.4598,17.4529,18.4531,78282,0.9471,5.41
2016-05-11,18.4934,19.9138,18.4934,19.319,64481,0.8655,4.69
2016-05-12,19.4197,20.0292,19.0371,19.5875,47544,0.2685,1.39
2016-05-13,19.6547,19.7889,19.2318,19.6547,31797,0.0666,0.34
2016-05-16,19.6278,19.942,19.6278,19.8426,28296,0.1887,0.96
2016-05-17,19.903,20.0507,19.5352,19.6412,30163,-0.2004,-1.01
2016-05-18,19.6345,19.9165,19.5204,19.7285,42174,0.0864,0.44
