日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2013-09-27,17.25,19.4,17.1,18.2,8160819,0.0,0.0
2013-09-30,17.98,18.44,17.57,18.02,774915,-0.18,-0.99
2013-10-01,18.29,18.29,16.7,17.08,610496,-0.94,-5.22
2013-10-02,17.19,17.28,16.3,17.0,840828,-0.08,-0.47
2013-10-03,16.82,17.54,16.52,16.91,146735,-0.09,-0.53
2013-10-04,17.16,17.75,16.9,17.69,215939,0.78,4.61
2013-10-07,17.83,18.37,17.81,18.3,131366,0.61,3.45
2013-10-08,18.4,18.423,17.1,17.11,202944,-1.19,-6.5
2013-10-09,17.65,17.65,16.11,16.51,219536,-0.6,-3.51
2013-10-10,16.83,17.2,16.65,16.9,129112,0.39,2.36
2013-10-11,16.64,17.18,16.53,16.98,113755,0.08,0.47
2013-10-14,17.08,17.74,16.72,17.46,81916,0.48,2.83
2013-10-15,17.99,18.01,17.6,17.9,161397,0.44,2.52
2013-10-16,18.12,18.25,17.5,17.72,72393,-0.18,-1.01
2013-10-17,17.95,17.95,17.41,17.59,49315,-0.13,-0.73
2013-10-18,17.46,18.54,17.46,18.54,104969,0.95,5.4
2013-10-21,18.25,19.05,18.1,19.0,96953,0.46,2.48
2013-10-22,19.37,19.37,18.39,18.6,203276,-0.4,-2.11
2013-10-23,18.76,18.76,18.2,18.41,102335,-0.19,-1.02
2013-10-24,18.26,19.2,17.93,18.87,86335,0.46,2.5
2013-10-25,19.0,19.003,18.53,18.55,58494,-0.32,-1.7
2013-10-28,18.52,18.98,18.43,18.89,147724,0.34,1.83
2013-10-29,18.91,18.91,18.521,18.64,101074,-0.25,-1.32
2013-10-30,18.75,18.75,18.41,18.6,53400,-0.04,-0.21
2013-10-31,18.48,19.37,18.25,19.26,131891,0.66,3.55
2013-11-01,18.97,19.29,18.625,18.83,79973,-0.43,-2.23
2013-11-04,19.03,19.03,18.63,18.72,59985,-0.11,-0.58
2013-11-05,18.69,19.339,18.58,19.1,172978,0.38,2.03
2013-11-06,19.25,19.8,18.37,18.71,152922,-0.39,-2.04
2013-11-07,18.73,18.84,17.62,18.04,95219,-0.67,-3.58
2013-11-08,17.89,17.945,16.64,17.51,331818,-0.53,-2.94
2013-11-11,17.6,17.6,17.15,17.52,85408,0.01,0.06
2013-11-12,17.68,17.68,17.12,17.29,37063,-0.23,-1.31
2013-11-13,17.3,17.53,16.87,16.98,56400,-0.31,-1.79
2013-11-14,16.98,17.2,16.63,16.64,123955,-0.34,-2.0
2013-11-15,16.82,16.82,16.34,16.47,153281,-0.17,-1.02
2013-11-18,16.41,16.65,16.0,16.43,124192,-0.04,-0.24
2013-11-19,16.38,16.604,16.27,16.35,190846,-0.08,-0.49
2013-11-20,16.48,17.109,16.27,16.57,90066,0.22,1.35
2013-11-21,16.58,16.72,16.46,16.47,76462,-0.1,-0.6
2013-11-22,16.5,16.6,16.3,16.46,66869,-0.01,-0.06
2013-11-25,16.49,16.5,16.0,16.1,39910,-0.36,-2.19
2013-11-26,16.12,16.244,15.75,15.94,160800,-0.16,-0.99
2013-11-27,16.0,16.0,15.83,15.97,77305,0.03,0.19
2013-11-28,15.97,15.97,15.97,15.97,0,0.0,0.0
2013-11-29,16.06,16.06,15.85,15.87,23702,-0.1,-0.63
2013-12-02,15.82,15.91,15.75,15.83,89834,-0.04,-0.25
2013-12-03,15.8,16.5,15.75,16.14,175144,0.31,1.96
2013-12-04,16.09,16.434,15.86,15.86,104777,-0.28,-1.73
2013-12-05,15.91,17.07,15.75,16.85,290396,0.99,6.24
2013-12-06,17.0,17.27,16.68,17.04,94572,0.19,1.13
2013-12-09,17.19,17.54,16.912,17.27,74643,0.23,1.35
2013-12-10,17.31,17.5,17.02,17.16,130640,-0.11,-0.64
2013-12-11,17.12,17.35,16.96,17.28,152631,0.12,0.7
2013-12-12,17.28,17.34,17.2,17.29,113038,0.01,0.06
2013-12-13,17.29,17.44,17.22,17.43,112750,0.14,0.81
2013-12-16,17.45,17.6,17.29,17.32,197200,-0.11,-0.63
2013-12-17,17.43,17.43,16.704,17.27,272085,-0.05,-0.29
2013-12-18,17.21,17.87,17.07,17.78,203711,0.51,2.95
2013-12-19,17.6,17.9,17.6,17.78,137532,0.0,0.0
2013-12-20,17.78,17.825,17.12,17.63,1051177,-0.15,-0.84
2013-12-23,17.53,18.35,17.51,18.25,153290,0.62,3.52
2013-12-24,18.21,18.42,17.83,18.18,46041,-0.07,-0.38
2013-12-25,18.18,18.18,18.18,18.18,0,0.0,0.0
2013-12-26,18.18,18.41,17.7,18.03,104029,-0.15,-0.83
2013-12-27,18.0,18.52,17.66,18.42,109110,0.39,2.16
2013-12-30,18.51,18.526,18.15,18.31,88450,-0.11,-0.6
2013-12-31,18.4,18.57,18.2,18.37,57519,0.06,0.33
2014-01-01,18.37,18.37,18.37,18.37,0,0.0,0.0
