日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2014-03-17,23.0,23.0,22.96,23.0,20543,0.0,0.0
2014-03-18,22.98,23.0,22.96,23.0,12278,0.0,0.0
2014-03-21,23.0,23.02,22.98,23.0,61543,0.0,0.0
2014-03-24,23.0,23.0,22.96,22.98,20622,-0.02,-0.09
2014-03-25,23.0,23.02,22.98,22.99,18202,0.01,0.04
2014-03-26,23.0,23.0,22.96,22.98,19690,-0.01,-0.04
2014-03-27,22.98,23.1,22.96,22.98,19531,0.0,0.0
2014-03-28,22.75,22.75,22.7,22.74,21966,-0.24,-1.04
2014-04-04,22.75,22.75,22.7,22.74,18904,0.0,0.0
2014-04-07,22.74,22.77,22.74,22.74,47834,0.0,0.0
2014-04-08,22.75,22.8,22.75,22.75,17969,0.01,0.04
2014-04-09,22.75,22.8,22.75,22.8,23530,0.05,0.22
2014-04-10,22.75,22.8,22.71,22.78,10543,-0.02,-0.09
2014-04-14,22.8,22.81,22.77,22.81,23906,0.03,0.12
2014-04-15,22.81,22.83,22.79,22.82,15933,0.01,0.05
2014-04-16,22.8,22.84,22.78,22.8,82560,-0.02,-0.09
2014-04-17,22.78,22.8,22.78,22.78,56876,-0.02,-0.09
2014-04-21,22.75,22.81,22.75,22.81,51735,0.03,0.13
2014-04-22,22.8,22.85,22.75,22.8,95614,-0.01,-0.04
2014-04-23,22.8,22.82,22.77,22.78,17141,-0.02,-0.09
2014-04-24,22.8,22.81,22.76,22.81,40065,0.03,0.13
2014-04-25,22.8,22.82,22.8,22.81,31866,-0.01,-0.02
2014-04-28,22.79,22.82,22.78,22.79,17831,-0.02,-0.07
2014-04-29,22.8,22.8,22.78,22.78,6268,-0.01,-0.04
2014-04-30,22.8,22.82,22.78,22.8,21053,0.02,0.09
2014-05-01,22.8,22.83,22.77,22.83,67334,0.03,0.11
2014-05-02,22.8,22.85,22.79,22.8,27322,-0.03,-0.11
2014-05-05,22.78,22.8,22.75,22.75,25606,-0.05,-0.22
2014-05-06,22.75,22.85,22.71,22.84,53049,0.09,0.4
2014-05-07,22.85,22.9,22.79,22.89,71693,0.05,0.22
2014-05-08,22.9,22.99,22.88,22.9,23219,0.01,0.04
2014-05-09,22.9,22.99,22.9,22.92,15548,0.02,0.09
2014-05-12,22.95,22.98,22.91,22.96,22698,0.04,0.17
2014-05-13,22.95,22.95,22.9,22.95,26973,-0.01,-0.04
2014-05-14,23.0,23.2,23.0,23.15,12130,0.17,0.74
2014-05-19,23.11,23.24,23.11,23.23,25332,0.08,0.35
2014-05-20,23.22,23.22,23.18,23.22,16809,-0.01,-0.04
2014-05-21,23.23,23.28,23.2,23.2,12375,-0.02,-0.09
2014-05-22,23.23,23.25,23.21,23.24,25551,0.04,0.17
2014-05-23,23.21,23.47,23.18,23.47,10191,0.23,0.99
2014-05-27,23.47,23.75,23.47,23.65,19084,0.18,0.77
2014-05-28,23.65,23.87,23.64,23.75,10974,0.1,0.42
2014-05-29,23.75,23.9,23.71,23.9,18852,0.15,0.63
2014-05-30,23.9,23.9,23.71,23.89,5326,-0.01,-0.04
2014-06-02,23.9,23.9,23.8,23.8,9039,-0.11,-0.46
2014-06-04,23.84,23.84,23.6,23.8,19602,0.0,0.0
2014-06-05,23.81,23.85,23.78,23.84,11258,0.04,0.17
2014-06-06,23.88,23.88,23.82,23.85,5358,0.01,0.04
2014-06-09,23.89,23.96,23.86,23.96,14513,0.11,0.46
2014-06-10,23.95,23.99,23.92,23.96,7037,0.0,0.0
2014-06-11,23.96,23.98,23.93,23.98,9894,0.02,0.08
2014-06-12,24.0,24.0,23.95,23.99,14940,0.01,0.04
2014-06-13,24.0,24.05,23.98,24.05,11419,0.06,0.25
2014-06-16,24.09,24.15,24.07,24.08,14509,0.03,0.13
2014-06-17,24.17,24.18,24.08,24.15,14725,0.07,0.29
2014-06-18,24.11,24.25,24.09,24.24,18379,0.09,0.37
2014-06-19,24.24,24.3,24.17,24.27,10666,0.1,0.4
2014-06-23,24.31,24.44,24.27,24.31,24975,0.04,0.18
2014-06-24,24.14,24.14,24.09,24.13,7604,0.01,0.04
2014-07-02,24.1,24.1,23.93,23.97,23884,-0.17,-0.69
2014-07-03,23.9,23.9,23.73,23.74,22582,-0.14,-0.59
2014-07-08,23.8,23.8,23.53,23.53,24368,-0.21,-0.88
2014-07-09,23.73,23.73,23.41,23.41,36117,-0.12,-0.51
2014-07-10,23.41,23.7,23.41,23.64,9906,0.23,0.98
2014-07-11,23.63,23.85,23.61,23.85,23816,0.21,0.89
2014-07-14,23.88,24.03,23.88,24.01,23774,0.16,0.67
2014-07-15,24.02,24.02,23.93,23.99,10870,-0.02,-0.08
2014-07-16,23.95,24.01,23.9,23.99,6210,0.01,0.06
2014-07-21,23.97,23.99,23.95,23.97,9890,-0.02,-0.09
2014-07-22,24.01,24.06,23.91,23.97,9268,0.0,0.0
2014-07-23,24.35,24.35,24.19,24.19,27808,-0.06,-0.25
2014-07-25,24.2,24.32,24.19,24.23,21741,0.04,0.17
2014-07-28,24.29,24.4,24.2,24.4,22948,0.17,0.7
2014-07-29,24.5,24.5,24.31,24.38,9524,-0.02,-0.08
2014-07-30,24.5,24.5,24.25,24.27,10423,-0.11,-0.45
2014-07-31,24.3,24.3,24.09,24.14,11156,-0.07,-0.29
2014-08-04,24.23,24.27,24.2,24.23,12445,0.09,0.37
2014-08-08,24.2,24.28,24.19,24.28,10982,0.13,0.54
2014-08-11,24.3,24.54,24.26,24.51,29765,0.23,0.96
2014-08-12,24.46,24.8,24.46,24.7,15984,0.23,0.94
2014-08-15,24.7,24.79,24.57,24.67,20854,-0.03,-0.12
2014-08-18,24.8,24.8,24.75,24.78,8450,0.11,0.44
2014-08-19,24.69,24.75,24.68,24.75,10264,-0.03,-0.12
2014-08-20,24.72,24.74,24.7,24.74,2305,-0.01,-0.04
2014-08-21,24.75,24.85,24.75,24.85,7578,0.11,0.45
2014-08-22,24.84,24.85,24.75,24.76,10917,-0.09,-0.36
2014-08-25,24.78,24.8,24.66,24.66,11234,-0.1,-0.4
2014-08-26,24.61,24.7,24.56,24.56,13540,-0.1,-0.41
2014-08-27,24.66,24.7,24.54,24.54,10063,-0.02,-0.08
2014-08-28,24.59,24.6,24.54,24.57,14581,0.03,0.1
2014-08-29,24.6,24.6,24.57,24.57,9016,0.0,0.0
2014-09-02,24.6,24.6,24.5,24.58,25058,0.01,0.04
2014-09-03,24.6,24.6,24.53,24.53,8974,-0.05,-0.18
2014-09-04,24.59,24.59,24.48,24.5,23397,-0.03,-0.12
2014-09-05,24.53,24.53,24.31,24.48,9390,-0.02,-0.08
2014-09-08,24.48,24.48,24.33,24.43,9218,-0.05,-0.2
2014-09-09,24.39,24.42,24.35,24.38,6534,-0.03,-0.1
2014-09-11,24.36,24.5,24.33,24.4,18308,0.02,0.08
2014-09-12,24.45,24.45,24.35,24.37,4268,-0.03,-0.11
2014-09-15,24.4,24.5,24.2,24.2,15972,-0.17,-0.71
2014-09-16,24.4,24.4,24.2,24.2,10979,0.0,0.0
2014-09-17,24.2,24.25,24.18,24.21,21373,0.01,0.03
2014-09-18,24.25,24.25,24.21,24.24,5422,0.03,0.11
2014-09-19,24.29,24.3,24.2,24.3,5966,0.06,0.27
2014-09-22,24.31,24.35,24.3,24.34,18366,0.04,0.17
2014-09-23,24.3,24.3,24.16,24.25,6412,-0.04,-0.18
2014-09-26,24.28,24.3,24.17,24.25,23158,0.0,0.0
2014-09-29,23.88,23.99,23.7,23.94,25961,0.21,0.87
2014-09-30,23.99,23.99,23.77,23.96,13561,0.02,0.08
2014-10-01,23.96,23.99,23.93,23.96,32324,0.0,-0.01
2014-10-02,23.85,23.89,23.83,23.89,8005,-0.01,-0.04
2014-10-07,23.89,23.89,23.8,23.82,12464,-0.07,-0.28
2014-10-08,23.89,24.0,23.8,23.84,14139,-0.05,-0.21
2014-10-10,23.8,23.85,23.47,23.82,21524,-0.03,-0.13
2014-10-15,23.73,23.75,23.5,23.73,20275,0.23,0.96
2014-10-17,23.68,23.68,23.57,23.59,15344,-0.14,-0.59
2014-10-20,23.59,23.6,23.56,23.58,22317,-0.01,-0.04
2014-10-21,23.6,23.6,23.51,23.55,8588,-0.03,-0.11
2014-10-22,23.55,23.58,23.51,23.54,21461,-0.01,-0.04
2014-10-23,23.55,23.56,23.51,23.51,19150,-0.03,-0.13
2014-10-24,23.59,23.6,23.36,23.36,33834,-0.15,-0.64
2014-10-27,23.27,23.4,23.27,23.33,10927,-0.03,-0.13
2014-10-28,23.35,23.35,23.32,23.32,48553,-0.01,-0.04
2014-10-29,23.35,23.35,23.27,23.3,12013,-0.02,-0.09
2014-10-30,23.35,23.35,23.3,23.35,9434,0.05,0.21
2014-10-31,23.35,23.35,23.3,23.32,24197,-0.02,-0.1
2014-11-07,23.34,23.35,23.3,23.35,33632,0.03,0.15
2014-11-10,23.35,23.47,23.35,23.45,32547,0.1,0.43
2014-11-11,23.45,23.69,23.45,23.6,6059,0.15,0.64
2014-11-12,23.6,23.6,23.39,23.56,6738,-0.04,-0.17
2014-11-13,23.56,23.56,23.41,23.53,15006,-0.03,-0.13
2014-11-14,23.53,23.53,23.41,23.44,21739,-0.09,-0.38
2014-11-17,23.44,23.49,23.38,23.44,19201,0.0,0.0
2014-11-18,23.47,23.56,23.39,23.56,14708,0.12,0.51
2014-11-19,23.45,23.58,23.45,23.57,10962,0.01,0.04
2014-11-20,23.59,23.59,23.0,23.09,301097,-0.48,-2.04
2014-11-21,23.1,23.18,22.84,23.15,111430,0.06,0.26
2014-11-24,23.15,23.15,22.91,22.99,40171,-0.16,-0.69
2014-11-25,23.02,23.02,22.81,22.91,39826,-0.08,-0.35
2014-11-26,23.22,23.35,22.99,23.13,11204,-0.07,-0.3
2014-12-05,23.1,23.14,22.96,23.12,22421,-0.01,-0.04
2014-12-08,23.06,23.11,22.85,22.95,21573,-0.17,-0.74
2014-12-09,22.86,22.9,22.6,22.83,9992,-0.12,-0.52
2014-12-10,22.82,22.86,22.75,22.85,5014,0.02,0.09
2014-12-11,22.96,23.0,22.9,22.99,6247,0.14,0.61
2014-12-12,22.94,23.29,22.89,23.28,8858,0.29,1.26
2014-12-15,23.27,23.29,22.9,23.1,8062,-0.18,-0.77
2014-12-16,22.95,23.08,22.85,22.98,5526,-0.12,-0.52
2014-12-17,22.95,23.67,22.9,23.64,25906,0.66,2.87
2014-12-18,23.68,23.68,23.36,23.59,532544,-0.05,-0.21
2014-12-19,23.54,23.54,23.3,23.36,13253,-0.23,-0.97
2014-12-22,23.46,23.46,23.26,23.3,10171,-0.06,-0.26
2014-12-23,23.3,23.3,23.18,23.19,8234,-0.11,-0.48
2014-12-24,23.2,23.29,22.98,23.0,17218,-0.19,-0.81
2014-12-26,23.19,23.19,22.98,23.0,15990,0.0,0.0
2014-12-29,22.91,23.0,22.65,22.71,54260,-0.29,-1.26
2014-12-30,22.34,22.47,21.94,22.14,48958,-0.05,-0.25
2014-12-31,22.17,22.44,22.0,22.07,87727,-0.07,-0.32
2015-01-02,22.1,22.31,22.07,22.26,29073,0.19,0.86
2015-01-05,22.13,22.42,22.13,22.4,49231,0.24,1.08
2015-01-07,22.44,22.57,22.32,22.55,14585,0.15,0.67
2015-01-08,22.51,22.56,22.43,22.44,3622,-0.07,-0.31
2015-01-12,22.57,22.57,22.3,22.41,35235,-0.03,-0.13
2015-01-13,22.35,22.35,22.24,22.32,8364,0.01,0.05
2015-01-20,22.34,22.35,22.3,22.34,26591,0.02,0.1
2015-01-21,22.32,22.35,22.27,22.35,15114,0.01,0.03
2015-01-22,22.35,22.4,22.3,22.35,10911,0.0,0.0
2015-01-23,22.35,22.35,22.28,22.35,12379,0.0,0.0
2015-01-26,22.32,22.4,22.28,22.4,61838,0.05,0.22
2015-01-27,22.35,22.4,22.24,22.4,12321,0.0,0.0
2015-01-28,22.35,22.4,22.28,22.36,10430,-0.04,-0.18
2015-01-29,22.32,22.34,22.27,22.34,8944,-0.02,-0.09
2015-01-30,22.35,22.38,22.31,22.34,20853,0.0,0.0
2015-02-02,22.35,22.68,22.33,22.68,39816,0.34,1.52
2015-02-03,22.6,22.7,22.52,22.57,21676,-0.11,-0.49
2015-02-04,22.62,22.62,22.41,22.52,18275,-0.05,-0.2
2015-02-05,22.45,22.53,22.45,22.52,17209,0.0,-0.02
2015-02-06,22.53,22.56,22.4,22.5,12674,-0.02,-0.09
2015-02-09,22.51,22.55,22.45,22.55,15720,0.05,0.22
2015-02-10,22.5,22.5,22.35,22.43,15199,-0.12,-0.53
2015-02-11,22.43,22.52,22.43,22.52,13607,0.09,0.4
2015-02-12,22.5,22.56,22.49,22.55,8077,0.03,0.13
2015-02-13,22.52,22.67,22.5,22.67,16901,0.12,0.53
2015-02-17,22.65,22.68,22.55,22.55,44419,-0.12,-0.53
2015-02-18,22.57,22.57,22.45,22.47,7520,-0.08,-0.35
2015-02-20,22.52,22.54,22.42,22.5,14716,0.03,0.13
2015-02-23,22.54,22.54,22.41,22.47,20615,-0.03,-0.13
2015-02-24,22.41,22.6,22.41,22.53,16042,0.06,0.27
