日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2000-08-10,16.312,17.0,14.0,14.062,5873600,0.06,0.43
2000-08-11,14.312,14.375,12.5,13.375,980800,-0.68,-4.84
2000-08-14,13.312,13.375,10.187,10.625,1368300,-2.75,-20.55
2000-08-15,11.25,11.375,10.75,11.125,605800,0.5,4.7
2000-08-16,11.062,11.125,9.875,10.25,727800,-0.88,-7.91
2000-08-17,10.25,10.5,8.812,9.0,793100,-1.25,-12.2
2000-08-18,9.281,9.75,9.0,9.5,311700,0.5,5.56
2000-08-21,9.625,9.75,9.25,9.25,278600,-0.25,-2.63
2000-08-22,9.375,9.375,9.0,9.25,314700,0.0,0.0
2000-08-23,9.375,13.0,9.25,12.625,1157200,3.38,36.54
2000-08-24,12.875,13.5,12.25,12.5,638200,-0.13,-1.03
2000-08-25,12.593,13.625,12.5,12.937,260800,0.44,3.52
2000-08-28,13.437,13.5,12.812,12.937,144800,0.0,0.0
2000-08-29,13.125,13.25,12.25,12.437,281400,-0.5,-3.86
2000-08-30,12.593,13.25,12.5,13.25,169800,0.81,6.51
2000-08-31,13.375,14.5,13.25,14.437,617000,1.19,8.98
2000-09-01,14.718,14.75,14.0,14.625,333000,0.19,1.32
2000-09-05,14.75,14.75,12.812,13.25,470000,-1.38,-9.43
2000-09-06,13.25,13.25,12.875,13.0,223200,-0.25,-1.89
2000-09-07,13.312,13.312,12.875,13.187,116300,0.19,1.46
2000-09-08,13.031,13.25,12.125,12.312,127600,-0.88,-6.67
2000-09-11,12.312,12.312,11.5,11.5,78100,-0.81,-6.58
2000-09-12,11.562,11.625,10.937,10.937,355400,-0.56,-4.87
2000-09-13,11.0,11.0,10.5,10.875,85400,-0.06,-0.55
2000-09-14,10.937,12.5,10.765,12.5,265800,1.62,14.89
2000-09-15,12.375,12.812,12.125,12.437,102600,-0.06,-0.48
2000-09-18,12.625,12.625,11.75,12.125,39900,-0.31,-2.49
2000-09-19,11.875,12.25,11.75,12.125,78600,0.0,0.0
2000-09-20,12.125,12.25,12.0,12.0,35800,-0.13,-1.07
2000-09-21,12.375,12.875,12.0,12.312,247600,0.31,2.58
2000-09-22,12.25,12.312,12.062,12.187,71500,-0.12,-0.97
2000-09-25,12.062,12.25,12.062,12.062,28000,-0.13,-1.07
2000-09-26,12.062,12.062,10.75,10.937,110600,-1.12,-9.29
2000-09-27,10.937,11.0,9.875,10.062,213600,-0.88,-8.04
2000-09-28,10.125,10.125,9.437,9.5,129300,-0.56,-5.57
2000-09-29,9.812,9.875,8.187,8.25,282700,-1.25,-13.16
2000-10-02,9.125,9.5,8.5,9.0,135100,0.75,9.09
2000-10-03,9.109,9.125,8.937,9.125,102900,0.13,1.44
2000-10-04,9.109,9.125,8.687,8.687,46900,-0.44,-4.82
2000-10-05,8.984,9.375,8.75,9.375,321800,0.69,7.94
2000-10-06,9.296,10.062,9.187,10.062,137200,0.68,7.25
2000-10-09,9.984,10.25,9.75,10.125,16100,0.07,0.7
2000-10-10,10.125,10.125,9.75,9.875,33700,-0.25,-2.47
2000-10-11,9.875,9.937,9.375,9.375,20700,-0.5,-5.06
2000-10-12,9.671,9.75,9.375,9.75,50400,0.37,3.94
2000-10-13,9.687,11.5,9.687,10.5,232300,0.75,7.69
2000-10-16,10.75,10.875,10.312,10.75,221500,0.25,2.38
2000-10-17,10.859,10.875,10.5,10.75,25200,0.0,0.0
2000-10-18,10.687,10.703,9.75,10.25,44200,-0.5,-4.65
2000-10-19,10.546,11.312,10.375,11.125,45000,0.88,8.59
2000-10-20,11.296,11.75,10.75,11.75,76600,0.62,5.57
2000-10-23,11.734,11.75,10.25,10.687,92700,-1.06,-9.02
2000-10-24,11.0,11.0,9.875,10.062,148800,-0.63,-5.89
2000-10-25,10.984,11.0,9.875,10.0,115900,-0.06,-0.6
2000-10-26,10.125,10.187,9.375,9.5,71500,-0.5,-5.0
2000-10-27,9.984,10.359,9.64,9.875,47600,0.38,4.0
2000-10-29,9.97,11.75,9.88,11.75,190300,1.87,18.93
2000-10-30,9.984,11.75,9.875,11.75,190300,0.94,8.0
2000-10-31,11.875,12.75,11.625,12.687,166900,-0.44,-3.47
2000-11-01,12.875,13.125,12.25,12.25,110800,0.16,1.31
2000-11-02,12.296,12.625,12.062,12.406,57200,-0.47,-3.79
2000-11-03,12.328,12.375,11.75,11.937,166300,,
2000-11-06,11.875,12.25,11.812,11.875,59300,-0.06,-0.5
2000-11-07,11.984,12.5,11.984,12.25,63600,0.37,3.11
2000-11-08,12.296,12.5,12.25,12.5,63200,0.25,2.04
2000-11-09,12.375,13.125,12.375,12.687,47800,0.19,1.52
2000-11-10,12.375,12.75,12.375,12.75,29200,0.06,0.47
2000-11-13,12.515,12.625,12.0,12.062,82300,-0.69,-5.41
2000-11-14,12.078,13.125,12.062,13.0,101400,0.94,7.79
