日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-11-24,29.5,32.75,29.5,32.5,469600,3.12,10.62
1995-11-27,33.0,33.0,29.75,30.25,424700,-2.25,-6.92
1995-11-28,30.0,30.0,29.0,29.25,215400,-1.0,-3.31
1995-11-29,29.13,29.25,28.0,28.38,163900,-0.87,-2.97
1995-11-30,28.13,28.25,25.63,25.63,270600,-2.75,-9.69
1995-12-01,26.0,28.25,26.0,27.75,199000,2.12,8.27
1995-12-04,27.88,27.88,26.5,27.0,90000,-0.75,-2.7
1995-12-05,26.75,27.13,25.88,26.13,92100,-0.87,-3.22
1995-12-06,26.0,26.5,25.0,25.25,126200,-0.88,-3.37
1995-12-07,25.13,25.13,24.13,24.75,165600,-0.5,-1.98
1995-12-08,25.0,25.88,25.0,25.63,75200,0.88,3.56
1995-12-11,25.75,26.5,25.25,26.38,51100,0.75,2.93
1995-12-12,26.13,26.38,25.75,26.13,50100,-0.25,-0.95
1995-12-13,26.13,26.63,26.13,26.5,48300,0.37,1.42
1995-12-14,26.88,27.13,25.5,25.63,79300,-0.87,-3.28
1995-12-15,25.63,25.63,24.75,24.75,151600,-0.88,-3.43
1995-12-18,25.0,25.0,22.75,23.88,169300,-0.87,-3.52
1995-12-19,24.0,24.25,23.88,23.88,46000,0.0,0.0
1995-12-20,24.13,24.13,22.75,23.5,55700,-0.38,-1.59
1995-12-21,23.63,23.75,23.5,23.75,30100,0.25,1.06
1995-12-22,23.75,24.0,22.25,22.63,89900,-1.12,-4.72
1995-12-26,22.25,22.88,21.5,22.63,149100,0.0,0.0
1995-12-27,22.75,23.75,22.75,23.38,82300,0.75,3.31
1995-12-28,23.5,23.88,23.0,23.25,102800,-0.13,-0.56
1995-12-29,23.0,23.75,22.0,23.75,199300,0.5,2.15
1996-01-02,23.75,24.38,23.25,24.0,36200,0.25,1.05
1996-01-03,24.0,25.5,24.0,24.75,78900,0.75,3.13
1996-01-04,24.5,24.88,23.75,24.0,52800,-0.75,-3.03
1996-01-05,23.88,24.25,23.88,24.0,20600,0.0,0.0
1996-01-08,24.13,24.25,24.0,24.13,6000,0.13,0.54
1996-01-09,24.25,24.75,24.0,24.13,18500,0.0,0.0
1996-01-10,24.25,24.25,23.5,23.5,42400,-0.63,-2.61
1996-01-11,23.25,24.0,23.25,23.75,49200,0.25,1.06
1996-01-12,24.0,24.0,23.13,23.25,66100,-0.5,-2.11
1996-01-15,23.13,23.38,22.0,22.13,58700,-1.12,-4.82
1996-01-16,22.13,22.25,21.88,22.13,56500,0.0,0.0
