日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2014-03-17,25.53,25.63,25.5,25.6,7941,0.0,0.0
2014-03-18,25.6,25.65,25.48,25.65,9586,0.05,0.2
2014-03-19,25.63,25.69,25.53,25.56,4835,-0.09,-0.35
2014-03-21,25.55,25.67,25.52,25.59,27913,0.03,0.12
2014-03-24,25.57,25.67,25.42,25.64,8754,0.05,0.2
2014-03-25,25.55,25.7,25.5,25.64,25037,0.0,0.0
2014-03-26,25.54,25.66,25.54,25.65,2526,0.01,0.04
2014-03-31,25.55,25.67,25.52,25.63,19850,-0.02,-0.08
2014-04-01,25.85,25.85,25.62,25.74,5495,0.11,0.43
2014-04-02,25.71,25.8,25.7,25.8,5598,0.06,0.23
2014-04-03,25.75,26.15,25.64,25.69,6596,-0.11,-0.43
2014-04-04,25.8,26.04,25.68,25.7,3946,0.01,0.04
2014-04-07,25.95,26.15,25.7,25.97,7878,0.27,1.05
2014-04-08,25.8,26.04,25.79,25.93,1753,-0.04,-0.15
2014-04-09,25.81,26.25,25.81,26.25,3528,0.32,1.23
2014-04-10,26.14,26.14,25.88,26.1,3293,-0.15,-0.57
2014-04-11,25.89,26.2,25.53,25.83,26718,0.14,0.53
2014-04-14,25.86,26.27,25.61,25.61,9803,-0.22,-0.85
2014-04-15,25.8,26.08,25.7,25.73,10231,0.12,0.47
2014-04-16,25.85,25.88,25.52,25.52,12383,-0.21,-0.82
2014-04-17,25.51,25.95,25.51,25.95,8891,0.43,1.68
2014-04-21,25.75,25.95,25.75,25.77,5921,-0.18,-0.69
2014-04-22,25.77,25.95,25.77,25.79,5149,0.02,0.08
2014-04-23,25.79,26.0,25.73,25.8,11801,0.01,0.04
2014-04-24,25.92,25.97,25.79,25.79,2923,-0.01,-0.03
2014-04-25,25.78,26.0,25.78,25.81,5459,0.02,0.07
2014-04-28,25.9,26.03,25.81,25.95,35552,0.14,0.54
2014-04-29,25.8,26.0,25.79,25.9,16077,-0.05,-0.19
2014-04-30,25.99,26.1,25.9,26.1,2893,0.2,0.77
2014-05-01,26.01,26.1,25.75,26.05,63026,-0.05,-0.19
2014-05-02,26.02,26.1,25.83,25.92,7939,-0.13,-0.5
2014-05-05,25.81,26.18,25.81,26.16,8288,0.24,0.92
2014-05-06,26.06,26.24,26.06,26.24,3013,0.08,0.31
2014-05-07,26.25,26.42,25.98,26.1,19527,-0.14,-0.53
2014-05-08,26.31,26.31,26.03,26.31,14542,0.21,0.8
2014-05-09,26.16,26.2,26.07,26.1,9047,-0.21,-0.8
2014-05-12,26.1,26.24,26.08,26.21,6249,0.11,0.42
2014-05-13,26.25,26.26,26.25,26.26,1114,0.01,0.04
2014-05-15,26.38,26.38,26.34,26.34,1392,0.08,0.3
2014-05-16,26.28,26.39,26.25,26.26,6874,-0.08,-0.3
2014-05-19,26.26,26.26,26.02,26.22,14923,-0.04,-0.16
2014-05-20,26.13,26.2,26.09,26.09,3509,-0.13,-0.48
2014-05-21,26.12,26.25,26.07,26.25,1366,0.16,0.6
2014-05-22,26.12,26.17,26.04,26.04,5975,-0.21,-0.79
2014-05-23,26.42,26.42,26.41,26.41,1021,0.01,0.04
2014-05-29,26.36,26.46,26.36,26.41,2240,0.0,0.0
2014-05-30,26.25,26.39,26.15,26.27,9357,-0.14,-0.53
2014-06-02,26.25,26.27,26.25,26.26,5737,-0.08,-0.3
2014-06-04,25.64,25.95,25.51,25.61,6530,-0.14,-0.54
2014-06-06,25.55,25.57,25.4,25.47,20607,-0.14,-0.55
2014-06-09,25.42,25.84,25.42,25.81,10708,0.34,1.33
2014-06-10,25.6,25.6,25.56,25.6,602,0.01,0.04
2014-06-12,25.52,25.69,25.49,25.69,2905,0.09,0.35
2014-06-13,25.49,25.8,25.49,25.78,5689,0.09,0.35
2014-06-16,25.7,25.95,25.7,25.81,7859,0.03,0.12
2014-06-17,25.81,25.9,25.7,25.9,5716,0.09,0.35
2014-06-18,25.9,26.15,25.9,26.15,4279,0.25,0.97
2014-06-19,26.01,26.3,25.93,26.3,2971,0.15,0.57
2014-06-20,26.05,26.47,26.05,26.47,9441,0.17,0.65
2014-06-23,26.35,26.45,26.33,26.39,2296,-0.08,-0.3
2014-06-24,26.22,26.5,26.06,26.5,5824,0.11,0.42
2014-06-25,26.33,26.49,26.32,26.47,6036,-0.03,-0.11
2014-06-26,26.47,26.48,26.47,26.48,1456,0.01,0.04
2014-06-27,26.48,26.48,26.48,26.48,1592,0.0,0.0
2014-06-30,26.49,26.49,26.25,26.3,4096,-0.18,-0.68
2014-07-01,26.3,26.3,26.17,26.19,3916,-0.11,-0.42
2014-07-02,26.34,26.34,26.3,26.3,2891,-0.04,-0.15
2014-07-07,26.3,26.48,26.3,26.41,7091,0.11,0.42
2014-07-08,26.45,26.53,26.43,26.53,6826,0.1,0.38
2014-07-10,26.47,26.62,26.13,26.55,21001,0.02,0.08
2014-07-11,26.64,27.44,26.56,27.06,9425,0.51,1.92
2014-07-14,26.75,27.03,26.3,26.7,7268,0.05,0.17
2014-07-15,26.59,26.59,26.21,26.21,4336,-0.49,-1.83
2014-07-16,25.95,26.14,25.61,26.1,5010,-0.11,-0.42
2014-07-17,26.36,26.36,25.76,25.76,7599,-0.34,-1.3
2014-07-18,25.82,26.38,25.75,26.38,10079,0.62,2.41
2014-07-21,26.1,26.18,26.1,26.15,1722,-0.23,-0.87
2014-07-22,26.18,26.33,25.95,25.95,5642,-0.2,-0.77
2014-07-23,26.16,26.16,26.1,26.1,964,0.15,0.58
2014-07-24,26.25,26.25,26.08,26.08,8291,-0.14,-0.53
2014-07-30,26.05,26.05,25.59,25.6,8519,-0.48,-1.84
2014-07-31,25.38,25.38,25.17,25.28,5414,0.03,0.12
2014-08-04,25.29,25.5,25.28,25.5,9461,0.22,0.87
2014-08-06,25.73,25.8,25.73,25.78,974,-0.37,-1.41
2014-08-07,26.19,26.2,25.65,25.97,5763,0.15,0.58
2014-08-13,25.96,26.25,25.42,26.25,9507,0.28,1.08
2014-08-14,25.54,25.89,25.54,25.84,9607,0.17,0.66
2014-09-03,25.68,26.02,25.68,25.91,19679,0.07,0.27
2014-09-04,25.67,26.14,25.67,26.0,8297,0.34,1.33
2014-09-08,26.0,26.14,26.0,26.12,6597,0.12,0.46
2014-09-09,25.88,26.03,25.88,25.88,2273,-0.24,-0.92
2014-09-10,25.85,25.95,25.85,25.87,3341,0.02,0.06
2014-09-22,25.87,25.88,25.65,25.65,5747,-0.22,-0.83
