日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2014-03-21,26.0,26.0,25.96,25.96,800,0.0,0.0
2014-03-25,26.0,26.07,25.92,25.92,2652,-0.04,-0.15
2014-03-26,26.2,26.2,26.2,26.2,775,0.28,1.08
2014-03-27,26.1,26.1,26.1,26.1,200,-0.1,-0.38
2014-03-28,26.4,26.42,26.4,26.42,1155,0.32,1.23
2014-04-01,26.05,26.44,26.05,26.2,1800,-0.22,-0.83
2014-04-02,26.19,26.2,26.19,26.2,1100,0.0,0.0
2014-04-04,26.11,26.11,26.11,26.11,299,-0.09,-0.34
2014-04-07,26.11,26.11,26.11,26.11,101,0.0,0.0
2014-04-08,26.12,26.12,26.12,26.12,829,0.01,0.04
2014-04-10,26.25,26.4,26.12,26.12,2703,0.0,0.0
2014-04-15,26.01,26.01,26.01,26.01,200,-0.11,-0.42
2014-04-17,26.49,26.55,26.49,26.55,1150,0.54,2.08
2014-04-21,26.1,26.3,26.07,26.29,1994,-0.26,-0.98
2014-04-22,26.15,26.15,26.15,26.15,1001,-0.14,-0.53
2014-05-01,26.04,26.16,25.8,25.8,21675,-0.35,-1.34
2014-05-02,26.68,26.68,26.0,26.0,4316,0.2,0.78
2014-05-05,26.0,26.0,25.85,25.85,6439,-0.15,-0.58
2014-05-06,26.3,26.3,26.2,26.2,261,0.35,1.35
2014-05-23,26.09,26.2,26.0,26.0,3646,-0.2,-0.76
2014-05-27,26.0,26.0,26.0,26.0,550,0.0,0.0
2014-06-03,26.18,26.32,26.0,26.0,8416,0.0,0.0
2014-06-04,25.7,25.76,25.7,25.76,1400,-0.24,-0.92
2014-06-10,26.07,26.08,26.01,26.08,1267,0.32,1.24
2014-06-11,26.1,26.25,26.09,26.25,4500,0.17,0.65
2014-07-01,26.12,26.51,26.12,26.51,3463,0.26,0.99
2014-07-03,26.5,26.5,26.5,26.5,200,-0.01,-0.04
2014-07-07,26.59,26.59,26.3,26.3,1049,-0.2,-0.75
2014-07-08,26.3,26.49,26.28,26.4,3325,0.1,0.38
2014-07-09,26.4,26.42,26.3,26.3,4475,-0.1,-0.38
2014-07-10,26.08,26.08,26.08,26.08,600,-0.22,-0.84
2014-07-11,26.11,26.2,26.1,26.2,1495,0.12,0.46
2014-07-14,26.27,26.27,26.0,26.0,2563,-0.2,-0.76
2014-07-15,25.83,25.83,25.83,25.83,1000,-0.17,-0.65
2014-07-18,26.0,26.0,26.0,26.0,647,0.17,0.66
2014-07-22,26.2,26.5,26.0,26.38,7743,0.38,1.46
2014-07-23,26.09,26.09,25.85,25.9,2200,-0.48,-1.82
2014-07-24,26.06,26.07,26.0,26.0,900,0.1,0.39
2014-07-25,26.0,26.0,25.55,25.68,6267,-0.32,-1.23
2014-08-04,25.51,25.55,25.5,25.5,3300,-0.18,-0.7
2014-08-08,25.43,25.5,25.33,25.5,2220,0.0,0.0
2014-08-12,25.48,25.6,25.48,25.5,726,0.0,0.0
2014-08-13,25.62,25.62,25.62,25.62,16,0.12,0.47
2014-08-21,27.25,27.79,26.25,26.25,5240,0.63,2.46
2014-08-22,27.0,27.0,26.95,27.0,6374,0.75,2.86
2014-08-26,27.05,27.09,26.9,26.9,11359,-0.1,-0.37
2014-08-27,27.1,27.1,27.1,27.1,209,0.01,0.04
2014-10-14,26.98,26.98,25.39,25.4,2487,-1.7,-6.27
2014-10-15,25.4,25.6,25.35,25.6,1500,0.2,0.79
2014-10-16,25.1,25.49,25.1,25.4,800,-0.2,-0.78
2014-10-17,25.34,25.34,25.34,25.34,400,0.14,0.54
2015-01-08,25.5,25.5,25.5,25.5,100,0.0,0.0
2015-01-15,25.35,25.4,25.28,25.4,1136,-0.1,-0.39
2015-01-16,25.2,25.2,22.74,24.1,11406,-1.3,-5.12
2015-01-20,23.75,24.89,23.75,23.79,2340,-0.31,-1.28
2015-01-21,22.86,23.3,22.86,23.16,1065,-0.13,-0.56
2015-01-23,23.16,23.98,22.96,23.5,3693,0.34,1.47
2015-01-26,23.5,24.5,23.5,24.5,1567,1.0,4.26
2015-01-27,24.49,24.5,24.49,24.5,1497,0.0,0.0
2015-01-29,25.2,25.2,25.2,25.2,1246,0.0,0.0
2015-01-30,24.5,24.5,24.5,24.5,122,-0.7,-2.78
2015-02-02,24.0,24.0,24.0,24.0,1680,0.0,0.0
2015-02-04,24.54,24.57,24.54,24.57,212,-0.58,-2.29
2015-03-30,24.61,24.61,24.6,24.6,506,0.03,0.11
2015-03-31,25.15,25.15,25.15,25.15,571,0.62,2.52
2015-04-17,25.2,25.2,25.16,25.16,1000,0.66,2.69
2015-04-23,25.0,25.0,24.5,24.5,1600,-0.5,-2.0
2015-04-24,24.88,24.88,24.84,24.84,1275,0.34,1.39
2015-04-30,24.6,24.66,24.6,24.66,412,-0.19,-0.74
2015-05-04,24.5,24.5,24.5,24.5,250,-0.25,-1.01
2015-05-08,24.53,24.7,24.5,24.7,1350,0.2,0.82
2015-05-11,24.16,24.17,24.15,24.15,1210,-0.55,-2.23
2015-05-12,24.5,24.5,24.5,24.5,444,0.35,1.45
2015-05-13,24.5,24.5,24.5,24.5,704,0.0,0.0
2015-05-15,24.5,24.5,24.5,24.5,500,0.0,0.0
2015-05-18,24.99,24.99,24.53,24.68,11936,0.18,0.74
2015-05-19,24.3,24.49,24.13,24.4,18754,-0.28,-1.13
2015-05-20,24.23,25.11,24.13,24.45,11508,0.05,0.2
2015-05-21,24.29,24.64,24.17,24.28,8213,-0.17,-0.7
2015-05-22,24.24,24.4,24.15,24.4,2482,0.12,0.49
2015-05-26,24.13,24.13,23.98,23.98,2100,-0.42,-1.72
2015-05-27,24.0,24.19,24.0,24.01,1952,0.03,0.13
2015-05-28,24.0,24.0,23.5,24.0,4248,-0.01,-0.04
2015-05-29,24.05,24.05,24.05,24.05,500,0.05,0.21
2015-06-02,24.1,24.1,24.05,24.05,1100,0.0,0.0
2015-06-03,24.14,25.2,23.91,23.91,6100,-0.14,-0.58
2015-06-04,24.38,24.38,24.05,24.05,1875,0.14,0.59
2015-06-08,24.25,25.1,24.25,25.1,1556,0.94,3.89
2015-06-10,24.35,24.37,24.24,24.3,3200,-0.8,-3.19
2015-06-12,23.92,24.2,23.85,23.85,2220,-0.45,-1.85
2015-06-15,23.5,23.5,21.67,23.01,1835,-0.84,-3.52
2015-06-16,22.59,22.7,22.58,22.65,2500,-0.36,-1.56
2015-06-18,22.56,22.75,22.56,22.7,4971,0.04,0.18
2015-06-19,22.71,22.72,22.66,22.7,4750,0.0,0.0
2015-06-22,22.9,23.91,22.9,23.91,1910,1.21,5.33
2015-06-23,23.9,23.9,22.8,23.0,2568,-0.91,-3.81
2015-06-24,23.63,23.88,22.84,23.0,3294,0.0,0.0
2015-06-25,23.07,23.5,23.07,23.5,1603,0.5,2.17
2015-06-26,23.5,23.5,23.5,23.5,500,0.0,0.0
2015-06-29,23.5,23.5,22.85,23.49,3822,-0.01,-0.04
2015-06-30,23.4,23.4,22.79,23.1,5686,-0.39,-1.66
2015-07-01,23.04,23.49,22.68,23.49,6546,0.39,1.69
2015-07-02,23.38,23.38,22.95,23.0,1695,-0.49,-2.09
2015-07-06,22.43,23.0,22.43,23.0,1300,0.0,0.0
2015-07-08,22.75,23.05,22.75,23.05,1200,-0.3,-1.28
