日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2020-11-05,9.8,9.8,9.7,9.7,200,-0.1,-1.02
2020-11-11,9.69,9.69,9.64,9.64,5898,-0.06,-0.62
2020-11-12,9.64,9.65,9.64,9.64,410,0.0,0.0
2020-11-13,9.64,9.64,9.64,9.64,11,0.0,0.0
2020-11-16,9.64,9.64,9.64,9.64,3,0.0,0.0
2020-11-17,9.6628,9.67,9.65,9.65,256402,0.01,0.1037
2020-11-18,9.67,9.67,9.67,9.67,100051,0.02,0.2073
2020-11-19,9.69,9.78,9.69,9.78,22425,0.11,1.1375
2020-11-20,9.78,9.78,9.72,9.74,155982,-0.04,-0.409
2020-11-23,9.79,10.28,9.73,9.74,23311,0.0,0.0
2020-11-24,9.7,9.81,9.65,9.66,35740,-0.08,-0.8214
2020-11-25,9.66,9.66,9.66,9.66,4,0.0,0.0
2020-11-27,9.78,9.85,9.75,9.75,249220,0.09,0.9317
2020-11-30,9.73,9.775,9.73,9.75,38654,0.0,0.0
2020-12-01,9.733,9.759,9.733,9.759,1550,0.009,0.0923
2020-12-02,9.75,9.7871,9.75,9.7732,3669,0.0142,0.1455
2020-12-03,9.85,9.85,9.7198,9.72,69264,-0.0532,-0.5443
2020-12-04,9.82,9.82,9.75,9.77,9706,0.05,0.5144
2020-12-07,9.8,9.8699,9.77,9.8699,7328,0.0999,1.0225
2020-12-08,9.87,9.87,9.8,9.83,12568,-0.0399,-0.4043
2020-12-09,9.89,9.91,9.86,9.86,120307,0.03,0.3052
2020-12-10,9.88,9.93,9.88,9.9,3171,0.04,0.4057
2020-12-11,9.95,9.98,9.93,9.95,41947,0.05,0.5051
2020-12-14,10.0,10.0,9.87,9.87,56182,-0.08,-0.804
2020-12-15,9.86,10.0,9.86,9.89,38432,0.02,0.2026
2020-12-16,9.98,9.98,9.88,9.88,18846,-0.01,-0.1011
2020-12-17,9.86,9.96,9.86,9.9,34810,0.02,0.2024
2020-12-18,9.95,9.97,9.92,9.97,17892,0.07,0.7071
2020-12-21,9.88,9.98,9.88,9.977,9654,0.007,0.0702
2020-12-22,9.98,10.05,9.95,10.05,45738,0.073,0.73
