日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2002-05-10,0.7147,0.7304,0.7116,0.721,1214200,0.0,0.0
2002-05-13,0.7241,0.7241,0.6959,0.7022,576800,-0.0187,-2.6
2002-05-14,0.7022,0.7116,0.6991,0.7003,758500,-0.0037,-0.53
2002-05-15,0.6991,0.7103,0.6947,0.7085,313700,0.0076,1.08
2002-05-16,0.7147,0.7461,0.7147,0.7461,311900,0.0377,5.32
2002-05-17,0.7398,0.7486,0.7335,0.7398,157500,-0.0038,-0.51
2002-05-20,0.7461,0.7461,0.7304,0.7335,55700,-0.0076,-1.02
2002-05-21,0.7367,0.7367,0.7154,0.721,171900,-0.0113,-1.54
2002-05-22,0.7147,0.7179,0.6959,0.6959,93600,-0.0264,-3.65
2002-05-23,0.6915,0.6959,0.6771,0.6959,150200,0.0,0.0
2002-05-24,0.6959,0.6959,0.6897,0.6959,119400,0.0,0.0
2002-05-28,0.6991,0.6997,0.6959,0.6972,54200,0.0,0.0
2002-05-29,0.6972,0.7022,0.6972,0.7022,73300,0.0075,1.08
2002-05-30,0.6991,0.7022,0.6959,0.7022,34600,0.0,0.0
2002-05-31,0.7016,0.7022,0.6959,0.6991,15300,-0.0037,-0.53
2002-06-03,0.6991,0.6991,0.6771,0.6834,48700,-0.015,-2.15
2002-06-04,0.6802,0.6802,0.6614,0.6614,40800,-0.0226,-3.3
2002-06-05,0.6552,0.6589,0.6552,0.6583,1080900,-0.0038,-0.57
2002-06-06,0.6583,0.6583,0.6176,0.6176,526500,-0.0415,-6.29
2002-06-07,0.605,0.6539,0.6019,0.6527,25100,0.0375,6.1
2002-06-10,0.6552,0.6558,0.6458,0.6533,14900,0.0,0.0
2002-06-11,0.652,0.652,0.6194,0.6194,8200,-0.0338,-5.17
2002-06-12,0.6132,0.6132,0.5674,0.5674,32700,-0.0526,-8.48
2002-06-13,0.5737,0.6207,0.5737,0.5987,132700,0.0301,5.3
2002-06-14,0.5925,0.5975,0.5893,0.5956,11900,-0.0038,-0.63
2002-06-17,0.5956,0.615,0.5956,0.6132,42900,0.0188,3.16
2002-06-18,0.6144,0.6182,0.605,0.605,14100,-0.0075,-1.23
