日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-01-03,9.5146,9.5146,9.2184,9.3011,478600,-0.262,-2.74
1995-01-04,9.3011,9.432,9.2597,9.3011,350000,0.0,0.0
1995-01-05,9.2597,9.3011,9.0461,9.0461,211200,-0.2548,-2.74
1995-01-06,9.1288,9.3424,9.0461,9.3424,278000,0.2958,3.27
1995-01-09,9.3011,9.3011,9.2184,9.3011,478200,-0.0411,-0.44
1995-01-10,9.2544,9.5518,9.2544,9.4688,598200,0.1317,1.41
1995-01-11,9.5103,9.7247,9.5103,9.6832,1129800,0.214,2.26
1995-01-12,9.6417,9.7731,9.6417,9.6832,1153200,0.0,0.0
1995-01-13,9.6832,9.7731,9.6417,9.7731,578000,0.0901,0.93
1995-01-16,9.7731,9.7731,9.6832,9.7247,390800,-0.0489,-0.5
1995-01-17,9.7247,9.7247,9.6832,9.7247,203200,0.0,0.0
1995-01-18,9.7731,9.8561,9.7247,9.7247,1276800,0.0,0.0
1995-01-19,9.6832,9.7247,9.6417,9.6832,283600,-0.0418,-0.43
1995-01-20,9.6417,9.6832,9.5518,9.6832,549400,0.0,0.0
1995-01-23,9.5587,9.6832,9.5518,9.6417,326200,-0.0416,-0.43
1995-01-24,9.6417,9.6832,9.3789,9.5103,411400,-0.1311,-1.36
1995-01-25,9.5103,9.6417,9.5103,9.6417,551400,0.1312,1.38
1995-01-26,9.6417,9.7247,9.6002,9.7247,284400,0.0829,0.86
1995-01-27,9.7316,9.8976,9.6832,9.8561,291200,0.1313,1.35
1995-01-30,9.9045,10.029,9.8561,9.9875,590200,0.1311,1.33
1995-01-31,9.9875,9.9875,9.8561,9.8976,820600,-0.0899,-0.9
1995-02-01,9.8561,9.9875,9.8146,9.9875,1141600,0.0901,0.91
1995-02-02,9.946,9.9875,9.8561,9.8976,529200,-0.0899,-0.9
1995-02-03,9.8561,10.029,9.8146,10.029,513800,0.1316,1.33
1995-02-06,10.029,10.0705,9.7731,9.8561,439600,-0.1725,-1.72
1995-02-07,9.946,9.946,9.8561,9.946,706000,0.0897,0.91
1995-02-08,9.9875,10.029,9.8561,9.8976,282200,-0.0487,-0.49
1995-02-09,9.8976,9.8976,9.7731,9.8561,336000,-0.0416,-0.42
1995-02-10,9.8561,9.8976,9.8146,9.8561,526800,0.0,0.0
1995-02-13,9.8561,9.8976,9.8146,9.8561,633200,0.0,0.0
1995-02-14,9.8146,9.8146,9.5518,9.6002,867600,-0.2563,-2.6
1995-02-15,9.6417,9.8561,9.6417,9.8146,1002400,0.2141,2.23
1995-02-16,9.8561,9.8561,9.6832,9.8146,556200,0.0,0.0
1995-02-17,9.8146,9.8561,9.7247,9.8146,310800,0.0,0.0
1995-02-21,9.8561,9.8976,9.8146,9.8976,473400,0.0834,0.85
1995-02-22,9.9045,9.9875,9.8976,9.9875,496000,0.0901,0.91
1995-02-23,9.9875,10.029,9.7247,9.8146,429400,-0.1728,-1.73
1995-02-24,9.8146,9.8976,9.7247,9.8976,290000,0.0834,0.85
1995-02-27,9.8561,9.8561,9.7247,9.7731,359600,-0.1247,-1.26
1995-02-28,9.8146,9.8561,9.5518,9.7247,467000,-0.0489,-0.5
1995-03-01,9.7316,9.7731,9.6832,9.7247,224200,0.0,0.0
1995-03-02,9.7731,9.8561,9.7247,9.7731,256800,0.0486,0.5
1995-03-03,9.7731,9.7731,9.6002,9.6832,222400,-0.0899,-0.92
1995-03-05,9.6832,9.6832,9.6002,9.6832,348000,0.0,0.0
1995-03-06,9.6002,9.6417,9.4688,9.5103,502400,-0.1733,-1.79
1995-03-07,9.5587,9.6832,9.4688,9.6832,489400,0.1731,1.82
1995-03-08,9.6832,9.6832,9.4688,9.5518,806600,-0.1317,-1.36
1995-03-09,9.6002,9.6832,9.5103,9.6832,755800,0.1318,1.38
1995-03-12,9.6832,9.7247,9.6002,9.6002,432400,-0.0833,-0.86
1995-03-13,9.6417,9.6417,9.5518,9.6417,749400,0.0413,0.43
1995-03-14,9.6002,9.6832,9.6002,9.6417,876000,0.0,0.0
1995-03-15,9.6832,9.7247,9.6417,9.6832,682200,0.0415,0.43
1995-03-16,9.6832,9.6832,9.5518,9.5518,889200,-0.1317,-1.36
1995-03-19,9.5518,9.5518,9.4688,9.4688,685600,-0.0831,-0.87
1995-03-20,9.5587,9.6832,9.4688,9.5103,534200,0.0417,0.44
1995-03-21,9.6832,9.6832,9.5518,9.6417,549400,0.1312,1.38
1995-03-22,9.6002,9.7247,9.6002,9.7247,778200,0.0829,0.86
