日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-10-20,27.0,31.9,26.0,28.9,8887727,9.9,52.1053
2021-10-21,28.0,28.0,25.1,25.99,1988192,-2.91,-10.07
2021-10-22,26.0,26.68,23.35,25.36,789161,-0.63,-2.42
2021-10-25,26.1,28.0,25.6375,27.65,515077,2.29,9.03
2021-10-26,27.77,28.1442,26.5,27.7,526649,0.05,0.18
2021-10-27,27.03,27.45,26.0001,26.31,401314,-1.39,-5.02
2021-10-28,26.64,27.14,26.06,26.86,430050,0.55,2.09
2021-10-29,26.51,28.63,26.51,27.46,279069,0.6,2.23
2021-11-01,27.55,27.93,26.5,27.26,243264,-0.2,-0.73
2021-11-02,28.1,33.62,27.54,33.26,945838,6.0,22.0103
2021-11-03,31.6,34.4,29.76,32.2,891480,-1.06,-3.19
2021-11-04,31.76,35.795,26.5,27.0,2265873,-5.2,-16.15
2021-11-05,27.8229,28.44,26.89,27.28,739407,0.28,1.037
2021-11-08,28.75,30.47,27.17,27.26,1130679,-0.02,-0.07
2021-11-09,27.47,27.95,25.73,27.85,464743,0.59,2.16
2021-11-10,27.69,27.94,26.6156,27.41,191003,-0.44,-1.58
2021-11-11,27.0,27.3,25.96,26.5,287320,-0.91,-3.32
2021-11-12,26.76,26.99,26.1,26.8,169756,0.3,1.13
2021-11-15,28.31,28.8,26.05,26.3,385592,-0.5,-1.8657
2021-11-16,26.22,26.79,24.3104,24.45,747069,-1.85,-7.0342
2021-11-17,24.8,25.46,24.26,25.14,283641,0.69,2.8221
2021-11-18,24.7,24.92,22.5828,23.11,600588,-2.03,-8.07
2021-11-19,23.12,24.3,22.8329,24.14,183058,1.03,4.46
2021-11-22,24.58,24.6182,21.02,21.29,426725,-2.85,-11.81
2021-11-23,21.67,22.6098,19.59,20.55,494840,-0.74,-3.4758
2021-11-24,20.54,22.2,19.66,20.77,256461,0.22,1.07
2021-11-26,20.5,20.5,19.25,19.44,189381,-1.33,-6.4
2021-11-29,19.94,20.49,17.7,18.17,660910,-1.27,-6.53
2021-11-30,17.8848,18.55,16.46,17.24,794257,-0.93,-5.12
2021-12-01,18.95,21.8,17.62,17.74,1061941,0.5,2.9
2021-12-02,17.8,19.94,17.75,19.79,556918,2.05,11.56
2021-12-03,19.88,20.16,17.75,18.08,1081778,-1.71,-8.64
2021-12-06,17.95,18.5,16.31,17.86,383126,-0.22,-1.22
2021-12-07,18.34,19.84,18.11,18.8,255282,0.94,5.26
2021-12-08,19.24,19.61,17.99,18.22,258029,-0.58,-3.09
2021-12-09,18.33,18.415,16.67,16.72,239909,-1.5,-8.23
2021-12-10,17.17,17.3245,15.84,16.71,324915,-0.01,-0.06
2021-12-13,16.87,17.085,16.18,16.79,340506,0.08,0.48
2021-12-14,16.68,17.1,16.19,16.52,351102,-0.27,-1.61
2021-12-15,16.73,16.9483,14.77,16.23,776019,-0.29,-1.76
2021-12-16,16.68,17.69,14.84,15.03,662847,-1.2,-7.39
2021-12-17,15.175,15.175,12.51,12.59,2392406,-2.44,-16.23
2021-12-20,12.12,12.52,10.43,10.87,2078843,-1.72,-13.66
2021-12-21,11.6,11.77,10.7,11.04,1660727,0.17,1.56
2021-12-22,11.04,11.41,10.74,11.03,363174,-0.01,-0.0906
2021-12-23,10.97,12.1999,10.63,12.0,702780,0.97,8.79
2021-12-27,12.2,13.05,11.95,12.7,652244,0.7,5.8333
2021-12-28,12.63,12.63,11.27,11.31,382520,-1.39,-10.94
2021-12-29,11.56,12.3555,11.26,11.91,492288,0.6,5.31
2021-12-30,11.89,12.9581,11.7954,12.45,443946,0.54,4.53
2021-12-31,12.42,13.4,12.4,12.85,602917,0.4,3.21
2022-01-03,13.0,13.4693,12.29,13.16,536332,0.31,2.4125
2022-01-04,13.15,13.88,13.15,13.48,406656,0.32,2.43
2022-01-05,13.67,14.25,13.13,13.39,677632,-0.09,-0.6677
2022-01-06,13.2,13.5,11.91,13.08,546703,-0.31,-2.3152
2022-01-07,12.89,13.1086,12.25,12.54,449214,-0.54,-4.13
2022-01-10,12.5,12.73,10.77,11.18,824300,-1.36,-10.85
2022-01-11,11.2,12.98,11.02,12.59,719240,1.41,12.61
2022-01-12,12.84,13.18,12.2,12.57,352831,-0.02,-0.1589
2022-01-13,12.71,12.85,11.47,11.53,291825,-1.04,-8.2737
2022-01-14,11.62,12.03,10.91,11.9,545678,0.37,3.209
2022-01-18,11.69,12.0,11.14,11.57,503597,-0.33,-2.77
2022-01-19,11.74,12.065,11.21,11.65,289874,0.08,0.6914
2022-01-20,11.86,12.815,11.6,11.7,450622,0.05,0.4292
2022-01-21,11.05,11.56,8.75,9.21,1280565,-2.49,-21.28
2022-01-24,8.14,9.3,7.3,9.24,984421,0.03,0.33
2022-01-25,8.98,9.3,8.155,8.35,524489,-0.89,-9.63
2022-01-26,8.8,9.1533,8.109,8.16,453267,-0.19,-2.28
2022-01-27,8.19,8.8539,7.34,7.6,314341,-0.56,-6.86
2022-01-28,7.59,8.0,7.26,7.7,682268,0.1,1.32
2022-01-31,7.66,9.0,7.66,8.93,696792,1.23,15.97
2022-02-01,9.08,9.48,8.74,9.24,585467,0.31,3.47
2022-02-02,9.32,9.32,8.32,8.38,284813,-0.86,-9.31
2022-02-03,8.15,8.2499,7.75,7.93,222311,-0.45,-5.37
2022-02-04,7.89,8.98,7.82,8.88,351688,0.95,11.98
2022-02-07,9.2,9.895,9.01,9.65,400360,0.77,8.67
2022-02-08,9.65,10.28,9.4,10.11,418543,0.46,4.77
2022-02-09,10.27,12.77,10.27,11.82,3129791,1.71,16.91
2022-02-10,11.43,12.7,10.91,11.87,1482089,0.05,0.42
2022-02-11,11.87,12.305,11.2201,11.29,636382,-0.58,-4.89
2022-02-14,11.2,11.83,11.03,11.5,271067,0.21,1.86
2022-02-15,11.97,13.06,11.97,12.66,509415,1.16,10.09
2022-02-16,12.49,13.0,11.56,11.8,590414,-0.86,-6.793
2022-02-17,11.5,12.07,10.52,10.67,572155,-1.13,-9.5763
2022-02-18,10.61,10.78,9.87,10.29,434257,-0.38,-3.56
2022-02-22,10.04,11.27,9.75,11.03,929450,0.74,7.1914
2022-02-23,11.41,11.4999,10.68,11.06,642525,0.03,0.272
2022-02-24,10.37,11.58,10.17,11.5,727599,0.44,3.98
2022-02-25,11.57,11.99,10.33,10.57,637582,-0.93,-8.09
2022-02-28,10.63,12.9217,10.62,12.61,903510,2.04,19.3
2022-03-01,13.15,13.66,12.305,12.75,935106,0.14,1.11
2022-03-02,13.24,14.43,12.5,12.94,1799629,0.19,1.49
2022-03-03,12.94,13.2055,11.515,11.81,863514,-1.13,-8.73
2022-03-04,11.75,11.8288,10.33,10.39,668994,-1.42,-12.02
2022-03-07,10.33,10.4,8.93,9.24,956809,-1.15,-11.07
2022-03-08,9.46,10.62,9.05,10.16,519571,0.92,9.96
2022-03-09,10.68,11.58,10.56,11.09,727466,0.93,9.15
2022-03-10,10.59,11.14,10.02,10.51,363865,-0.58,-5.23
2022-03-11,10.56,10.78,9.3913,9.54,379935,-0.97,-9.23
2022-03-14,9.44,9.69,8.66,8.8,524653,-0.74,-7.76
2022-03-15,8.92,9.1,8.26,8.95,477161,0.15,1.7
2022-03-16,9.14,9.45,8.9,9.38,489431,0.43,4.8
2022-03-17,9.4,10.425,9.31,10.13,555446,0.75,8.0
2022-03-18,10.12,10.92,9.77,10.9,729421,0.77,7.6
2022-03-21,10.89,11.0,9.805,9.88,541504,-1.02,-9.36
2022-03-22,10.64,10.89,9.96,10.1,683761,0.22,2.2267
2022-03-23,10.08,10.11,9.4,9.47,537414,-0.63,-6.24
2022-03-24,9.52,9.97,9.23,9.78,535870,0.31,3.27
2022-03-25,9.74,10.0386,9.1,9.2,424492,-0.58,-5.93
2022-03-28,9.98,10.3,9.37,9.65,632182,0.45,4.89
2022-03-29,9.895,10.8,9.28,10.25,1797357,0.6,6.22
2022-03-30,6.915,7.5,6.65,6.97,6192210,-3.28,-32.0
2022-03-31,7.03,7.0544,5.41,5.85,4772031,-1.12,-16.07
2022-04-01,5.9,6.17,5.5501,5.65,1810550,-0.2,-3.42
2022-04-04,5.72,5.98,5.67,5.88,998246,0.23,4.07
2022-04-05,5.76,5.85,5.28,5.34,1391931,-0.54,-9.18
2022-04-06,5.32,5.32,4.81,5.13,1036569,-0.21,-3.93
2022-04-07,5.05,5.15,4.75,5.04,846002,-0.09,-1.75
2022-04-08,5.0,5.07,4.8,4.92,494109,-0.12,-2.38
2022-04-11,4.82,4.88,4.63,4.78,553771,-0.14,-2.85
2022-04-12,4.8,5.03,4.57,4.6,420015,-0.18,-3.77
2022-04-13,4.66,5.24,4.62,5.19,997222,0.59,12.83
2022-04-14,5.2,5.2299,4.75,4.84,474890,-0.35,-6.74
2022-04-18,4.85,4.85,4.35,4.62,831042,-0.22,-4.55
2022-04-19,4.55,4.98,4.5,4.83,409762,0.21,4.55
2022-04-20,4.78,4.79,4.42,4.45,620346,-0.38,-7.87
2022-04-21,4.59,4.59,4.0,4.21,702631,-0.24,-5.39
2022-04-22,4.14,4.33,3.84,3.9,620150,-0.31,-7.3634
2022-04-25,3.86,3.9593,3.68,3.8,458415,-0.1,-2.56
2022-04-26,3.81,3.82,3.61,3.73,845376,-0.07,-1.84
2022-04-27,3.81,3.95,3.67,3.87,618450,0.14,3.75
2022-04-28,3.97,3.97,3.51,3.88,637735,0.01,0.26
