日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2017-12-04,3.16,3.335,2.91,2.98,64075,,
2017-12-05,2.67,3.009,2.51,2.99,30457,,
2017-12-06,2.98,3.01,2.94,2.97,20826,,
2017-12-07,2.99,3.15,2.96,3.03,76651,,
2017-12-08,3.0,3.25,3.0,3.03,48791,,
2017-12-11,3.0,3.03,3.0,3.01,43455,,
2017-12-12,2.99,2.99,2.521,2.87,40042,,
2017-12-13,2.8,2.81,2.755,2.77,25979,,
2017-12-14,2.706,3.0,2.706,2.89,82459,,
2017-12-15,2.773,2.974,2.773,2.86,13616,,
2017-12-18,2.81,2.95,2.8,2.92,53102,,
2017-12-19,2.89,2.98,2.75,2.75,39535,-0.17,-5.82
2017-12-20,2.78,2.89,2.78,2.84,19862,0.09,3.27
2017-12-21,2.81,3.15,2.71,3.02,170778,0.18,6.34
2017-12-22,2.99,2.99,2.9566,2.98,5645,0.01,0.34
2017-12-26,2.9,2.95,2.86,2.93,40552,0.03,1.03
2017-12-27,2.89,2.95,2.8,2.8162,33243,-0.1138,-3.88
2017-12-28,2.83,2.83,2.74,2.79,18232,0.0,0.0
2017-12-29,2.8,2.865,2.75,2.84,28508,0.0794,2.88
2018-01-02,2.9,2.95,2.84,2.86,29431,0.02,0.7
2018-01-03,2.862,2.93,2.69,2.7,36469,-0.16,-5.59
2018-01-04,2.71,2.71,2.5501,2.62,10511,-0.08,-2.96
2018-01-05,2.649,2.69,2.589,2.69,22365,0.0,0.0
2018-01-08,2.68,2.78,2.581,2.65,31483,-0.01,-0.38
2018-01-09,2.67,2.68,2.6001,2.67,13110,0.02,0.75
2018-01-10,2.62,2.7,2.57,2.66,7014,-0.01,-0.48
2018-01-11,2.65,2.68,2.62,2.65,29186,-0.04,-1.49
2018-01-12,2.68,2.73,2.6253,2.72,32177,0.07,2.64
2018-01-16,2.6401,2.72,2.64,2.7,3391,-0.02,-0.74
2018-01-17,2.696,2.7,2.65,2.67,16418,-0.03,-1.11
2018-01-18,2.69,2.73,2.6883,2.7,24748,0.03,1.12
2018-01-19,2.6407,2.7999,2.6407,2.7,8156,0.0,0.0
2018-01-22,2.7,2.75,2.61,2.73,20128,0.03,1.11
2018-01-23,2.6698,2.71,2.65,2.71,8037,-0.02,-0.73
2018-01-24,2.69,2.74,2.65,2.74,5505,0.03,1.11
2018-01-25,2.6058,2.7788,2.5501,2.5501,163574,-0.1899,-6.93
2018-01-26,2.5501,2.5729,2.45,2.52,26371,-0.04,-1.56
2018-01-29,2.4805,2.4805,2.2811,2.38,32587,-0.14,-5.56
2018-01-30,2.38,2.38,2.3302,2.3302,11015,-0.0498,-2.09
2018-01-31,2.36,2.36,2.191,2.2,28714,-0.14,-5.98
2018-02-01,2.2,2.3603,2.2,2.2,21185,0.0,0.0
2018-02-02,2.2,2.284,2.1104,2.16,27294,-0.04,-1.82
2018-02-05,2.16,2.2,2.13,2.13,20377,-0.03,-1.39
2018-02-06,2.09,2.37,2.09,2.24,31138,0.11,5.16
2018-02-07,2.1105,2.28,2.11,2.27,18618,0.03,1.34
2018-02-08,2.2,2.3,2.16,2.16,8603,0.0,0.0
2018-02-09,2.15,2.28,2.0401,2.28,59049,0.12,5.56
2018-02-12,2.28,2.34,2.25,2.26,11170,-0.02,-0.88
2018-02-13,2.22,2.44,2.0,2.42,209482,0.16,7.08
2018-02-14,2.49,2.669,2.37,2.44,275552,0.02,0.83
2018-02-15,2.38,2.6,2.38,2.54,69255,0.1,4.1
2018-02-16,2.52,2.61,2.52,2.59,94424,0.05,1.97
2018-02-20,2.61,2.61,2.45,2.45,9157,-0.14,-5.41
2018-02-21,2.45,2.46,2.35,2.43,16974,-0.02,-0.82
2018-02-22,2.37,2.5,2.37,2.49,25782,0.06,2.47
2018-02-23,2.58,2.6,2.52,2.55,14714,0.06,2.41
2018-02-26,2.55,2.6049,2.4585,2.51,63409,-0.04,-1.57
2018-02-27,2.6,2.61,2.58,2.61,13539,0.1,3.98
2018-02-28,2.6,2.61,2.58,2.6,6947,-0.01,-0.38
2018-03-01,2.6,2.6,2.5377,2.56,12217,-0.04,-1.54
2018-03-02,2.59,2.6,2.56,2.6,7407,0.04,1.56
2018-03-05,2.61,2.86,2.6,2.81,45623,0.21,8.08
2018-03-06,2.85,3.68,2.85,3.4,118262,0.59,21.0
2018-03-07,3.42,3.8674,3.3202,3.5,252079,0.1,2.94
2018-03-08,3.54,3.54,3.111,3.17,129063,-0.33,-9.43
2018-03-09,3.21,3.2111,2.9113,3.01,31213,-0.16,-5.05
2018-03-12,3.04,3.04,2.845,2.9,22365,-0.11,-3.65
2018-03-13,2.88,3.079,2.76,2.91,43174,0.01,0.34
2018-03-14,2.95,3.1132,2.95,3.09,14202,0.18,6.19
2018-03-15,3.07,3.07,3.0,3.0,12550,-0.09,-2.91
2018-03-16,3.01,3.23,2.93,3.07,93082,0.07,2.33
2018-03-19,3.0001,3.2,3.0,3.2,2959,0.13,4.23
2018-03-20,3.17,3.17,2.89,2.89,8114,-0.31,-9.69
2018-03-21,2.831,2.88,2.8,2.85,8831,-0.04,-1.38
2018-03-22,2.85,2.85,2.58,2.77,16504,-0.08,-2.81
2018-03-23,2.76,2.81,2.58,2.74,10757,-0.03,-1.08
2018-03-26,2.69,2.78,2.5264,2.6,9907,-0.14,-5.11
2018-03-27,2.62,2.8321,2.62,2.78,4943,0.18,6.92
2018-03-28,2.6171,2.73,2.6171,2.7,3873,-0.08,-2.88
2018-03-29,2.7,2.7,2.68,2.68,6861,-0.02,-0.74
2018-04-02,2.67,2.83,2.67,2.74,20371,0.06,2.24
2018-04-03,2.83,2.9,2.81,2.84,31478,0.1,3.65
2018-04-04,2.85,2.89,2.8084,2.89,7844,0.05,1.76
2018-04-05,2.87,2.9,2.77,2.77,9111,-0.12,-4.15
2018-04-06,2.81,2.95,2.81,2.95,23619,0.18,6.5
2018-04-09,2.935,2.95,2.91,2.91,6451,-0.04,-1.36
2018-04-10,2.95,3.0,2.92,2.9901,18236,0.0801,2.75
2018-04-11,2.9999,3.05,2.9992,3.01,11095,0.01,0.33
2018-04-12,3.05,3.2,3.0382,3.19,16290,0.19,6.33
