日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2004-06-17,2.2743,2.3823,2.2204,2.2589,568900,0.077,3.53
2004-06-18,2.2975,2.2975,2.0585,2.0739,742200,-0.185,-8.19
2004-06-21,2.0816,2.1047,1.9814,2.0168,248200,-0.057,-2.75
2004-06-22,1.9891,2.0431,1.9505,2.0199,442800,0.003,0.15
2004-06-23,2.0292,2.1972,2.0199,2.1957,402300,0.1757,8.7
2004-06-24,2.2522,2.3511,2.2475,2.3354,248200,0.1004,4.49
2004-06-25,2.3542,2.3856,2.3464,2.384,244800,0.0486,2.08
2004-06-28,2.4798,2.5112,2.4092,2.4327,466200,0.0486,2.04
2004-06-29,2.4327,2.4327,2.3385,2.3605,415400,-0.0723,-2.97
2004-06-30,2.3385,2.4092,2.2789,2.3464,379000,-0.0142,-0.6
2004-07-01,2.3228,2.3856,2.3228,2.3307,212700,-0.0157,-0.67
2004-07-02,2.3307,2.3307,2.2538,2.2601,139300,-0.0706,-3.03
2004-07-06,2.2444,2.337,2.2444,2.3228,91300,0.0628,2.78
2004-07-07,2.3071,2.3307,2.2993,2.3197,252100,-0.0033,-0.14
2004-07-08,2.3197,2.3778,2.3087,2.3621,547300,0.0424,1.83
2004-07-09,2.3778,2.541,2.3778,2.5159,303300,0.1538,6.51
2004-07-12,2.5112,2.7074,2.4813,2.5033,163800,-0.0126,-0.5
2004-07-13,2.5049,2.5159,2.3856,2.4374,132200,-0.0658,-2.63
2004-07-14,2.4092,2.4986,2.4092,2.4421,206300,0.0046,0.19
2004-07-15,2.4248,2.4798,2.4248,2.4405,106400,-0.0015,-0.06
2004-07-16,2.4562,2.4829,2.4343,2.4719,241100,0.0315,1.29
2004-07-19,2.4766,2.5222,2.4657,2.4876,161300,0.0156,0.63
2004-07-20,2.4955,2.5724,2.4923,2.5661,130800,0.0784,3.15
2004-07-21,2.6446,2.7105,2.6132,2.6681,322500,0.1021,3.98
2004-07-22,2.6932,2.7074,2.5865,2.6838,107200,0.0157,0.59
2004-07-23,2.6681,2.676,2.6195,2.6383,32400,-0.0456,-1.7
2004-07-26,2.6524,2.6603,2.4468,2.4955,142300,-0.1427,-5.41
2004-07-27,2.4798,2.5583,2.4719,2.5347,94700,0.0392,1.57
2004-07-28,2.5488,2.5896,2.519,2.5661,67600,0.0314,1.24
