日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2001-03-07,7.656,9.406,7.5,8.25,6749200,0.0,0.0
2001-03-08,8.562,9.0,8.125,8.75,1147500,0.5,6.06
2001-03-09,8.875,8.875,8.25,8.5,390100,-0.25,-2.86
2001-03-12,8.609,8.625,7.5,7.75,428300,0.13,1.53
2001-03-13,7.828,7.875,7.375,7.687,294200,-0.75,-8.69
2001-03-14,7.25,7.5,7.125,7.25,228100,-0.63,-7.99
2001-03-15,7.312,7.375,6.375,6.625,572600,0.13,1.79
2001-03-16,6.64,7.062,6.625,7.062,114500,-0.32,-4.34
2001-03-19,7.125,7.625,7.0,7.125,174400,0.07,0.99
2001-03-20,7.109,7.125,7.0,7.062,153600,0.0,0.0
2001-03-21,7.062,7.062,6.937,7.0,198800,-0.07,-0.98
2001-03-22,7.0,7.062,7.0,7.0,242900,-0.06,-0.85
2001-03-23,7.031,7.062,6.5,6.687,298300,0.06,0.86
2001-03-26,6.625,7.062,6.625,6.906,90100,-0.15,-2.12
2001-03-27,7.062,7.062,6.25,6.562,209200,0.15,2.17
2001-03-28,6.75,6.875,6.0,6.187,623500,-0.87,-12.32
2001-03-29,6.046,6.062,5.25,5.437,238300,-0.75,-12.12
2001-03-30,5.375,5.5,4.0,5.0,289200,-0.44,-8.09
2001-04-02,5.5,5.875,4.75,5.5,536400,0.5,10.0
2001-04-03,5.375,5.375,5.031,5.187,184800,-0.31,-5.64
2001-04-04,5.187,5.25,4.75,4.875,190700,0.06,1.16
2001-04-05,5.062,5.781,5.046,5.593,102800,0.34,6.48
2001-04-06,5.75,6.75,5.25,6.5,130500,0.91,16.28
2001-04-09,6.5,7.1,6.5,6.7,153000,0.6,9.23
2001-04-10,6.745,6.8,6.35,6.4,70400,-0.3,-4.23
2001-04-11,6.405,6.58,6.4,6.52,45500,-0.22,-3.24
2001-04-12,6.55,6.58,6.4,6.58,32300,0.0,0.0
2001-04-16,6.58,6.7,5.63,6.06,107200,0.12,1.82
2001-04-17,6.01,6.1,5.91,6.1,32900,-0.6,-8.96
2001-04-18,6.1,7.05,6.05,6.82,91700,0.95,15.57
2001-04-19,6.89,6.924,6.52,6.8,117900,-0.13,-1.84
2001-04-20,6.7,7.05,6.5,6.95,92500,0.13,1.88
2001-04-23,7.0,7.0,6.41,6.95,30300,-0.05,-0.71
2001-04-24,6.895,7.0,6.5,6.85,65200,-0.15,-2.14
2001-04-25,6.69,6.85,6.4,6.75,47300,0.0,0.0
2001-04-26,6.76,6.8,6.65,6.65,18900,-0.05,-0.73
2001-04-27,6.675,8.45,6.675,8.24,233100,1.44,21.18
2001-04-30,8.21,8.25,8.0,8.05,362200,0.01,0.12
2001-05-01,8.05,8.1,7.8,8.08,384300,-0.15,-1.82
2001-05-02,8.255,8.83,8.06,8.25,184800,0.15,1.85
2001-05-03,8.165,8.3,7.13,8.1,137200,0.05,0.61
2001-05-04,8.045,9.95,8.04,9.2,226100,1.65,19.88
2001-05-07,9.6,11.49,9.6,10.38,569100,1.54,15.48
2001-05-08,10.975,11.1,9.74,10.35,266300,-1.14,-9.92
2001-05-09,10.3,10.3,9.6,10.02,68200,-0.05,-0.48
2001-05-10,10.05,10.7,9.88,9.91,120400,0.4,3.88
2001-05-11,9.895,10.05,9.5,9.93,103400,-0.77,-7.2
2001-05-14,9.99,9.99,8.3,8.82,122600,0.06,0.6
2001-05-15,8.92,9.0,8.1,8.1,113900,-1.89,-18.92
2001-05-16,8.08,9.45,7.55,9.39,123600,1.35,16.67
2001-05-17,9.4,9.4,8.54,8.97,103400,-0.05,-0.53
2001-05-18,8.93,8.93,7.7,8.25,102300,-0.47,-5.0
2001-05-21,8.15,8.85,8.06,8.43,201300,-0.5,-5.6
2001-05-22,8.9,9.45,8.5,8.9,141900,1.02,12.1
2001-05-23,8.77,9.55,8.76,9.15,131900,0.1,1.06
2001-05-24,9.2,9.29,8.8,9.18,120200,-0.26,-2.72
2001-05-25,9.18,9.18,8.66,8.78,98900,-0.11,-1.18
2001-05-29,8.875,8.96,8.54,8.75,74900,-0.43,-4.68
2001-05-30,8.66,8.7,8.35,8.69,108900,-0.05,-0.57
2001-05-31,8.64,9.05,8.61,9.0,174000,0.35,4.02
2001-06-01,8.995,9.05,8.47,8.71,63700,0.0,0.0
2001-06-04,8.745,9.13,8.65,9.0,46400,0.08,0.88
2001-06-05,9.15,9.3,8.75,9.25,233200,0.17,1.86
2001-06-06,9.25,9.25,8.44,8.92,128800,-0.05,-0.54
2001-06-07,9.0,9.0,8.6,8.75,75300,-0.5,-5.41
2001-06-08,8.9,9.09,8.49,8.52,117100,-0.23,-2.63
2001-06-11,8.84,8.84,7.5,7.55,166400,0.32,3.76
2001-06-12,7.74,7.74,6.72,6.94,237700,-1.1,-12.44
2001-06-13,7.035,7.24,6.95,7.08,118300,-0.66,-8.53
2001-06-14,7.0,7.05,6.52,6.58,107800,-0.03,-0.42
2001-06-15,6.52,6.9,6.51,6.8,120700,-0.15,-2.13
2001-06-18,6.71,7.18,6.5,6.7,45100,0.28,4.06
2001-06-19,6.69,6.83,6.45,6.46,56400,-0.72,-10.03
2001-06-20,6.45,6.45,6.0,6.26,131800,-0.01,-0.15
2001-06-21,6.22,6.88,6.2,6.85,43200,0.43,6.67
2001-06-22,6.885,6.94,6.5,6.5,39400,0.06,0.87
2001-06-25,6.84,6.88,6.63,6.7,100300,-0.06,-0.86
2001-06-26,6.82,6.82,6.51,6.66,45000,-0.22,-3.2
2001-06-27,6.765,6.8,6.5,6.74,32500,0.08,1.2
2001-06-28,6.75,6.86,6.4,6.55,149500,0.12,1.78
2001-06-29,6.5,6.75,6.1,6.1,234600,-0.76,-11.08
2001-07-02,6.14,6.61,6.14,6.33,57900,0.51,8.36
2001-07-03,6.39,6.6,6.25,6.44,34700,-0.01,-0.15
2001-07-05,6.49,6.58,6.37,6.55,21800,-0.02,-0.3
2001-07-06,6.35,6.69,6.35,6.5,47000,-0.08,-1.22
2001-07-09,6.64,6.78,6.4,6.72,28800,0.22,3.38
2001-07-10,6.8,6.8,6.33,6.44,49800,0.08,1.19
2001-07-11,6.5,6.62,6.33,6.5,25100,-0.18,-2.65
2001-07-12,6.62,6.65,6.31,6.5,24800,0.03,0.45
2001-07-13,6.5,6.6,6.2,6.5,29700,-0.05,-0.75
2001-07-16,6.16,6.43,6.16,6.28,11600,-0.17,-2.58
2001-07-17,6.45,6.45,6.1,6.1,22700,0.02,0.31
2001-07-18,6.12,6.49,6.04,6.15,18000,0.04,0.62
2001-07-19,6.4,6.4,6.0,6.18,26800,-0.31,-4.78
2001-07-20,6.3,6.49,6.05,6.4,19700,0.31,5.02
2001-07-23,6.45,6.62,6.15,6.47,35900,0.13,2.0
2001-07-24,6.48,6.55,6.2,6.4,28800,-0.07,-1.06
2001-07-25,6.99,7.52,6.42,6.68,61500,0.13,1.98
2001-07-26,6.7,6.75,6.4,6.73,17500,0.07,1.05
2001-07-27,6.6,6.66,6.13,6.44,20300,-0.09,-1.33
2001-07-30,6.28,6.6,6.28,6.5,38000,-0.06,-0.9
2001-07-31,6.59,6.6,6.2,6.5,54000,0.0,0.0
2001-08-01,6.42,6.67,6.3,6.41,20900,0.07,1.06
2001-08-02,6.3,6.45,6.25,6.35,17800,-0.22,-3.3
2001-08-03,6.36,6.4,6.25,6.25,26200,-0.05,-0.78
2001-08-06,6.3,6.3,5.63,5.85,59000,-0.1,-1.56
2001-08-07,6.0,6.05,5.75,6.01,60700,-0.25,-3.97
2001-08-08,5.9,6.0,5.5,5.58,150800,-0.47,-7.77
2001-08-09,5.685,5.685,5.16,5.53,74900,-0.05,-0.9
2001-08-10,5.54,6.04,5.47,5.61,56800,0.51,9.22
2001-08-13,5.25,5.45,5.0,5.0,113100,-0.59,-9.77
2001-08-14,5.3,5.74,4.81,5.62,83600,0.29,5.32
2001-08-15,5.35,5.62,5.19,5.5,25200,-0.12,-2.09
2001-08-16,5.69,5.75,5.25,5.5,7900,0.13,2.31
2001-08-17,5.5,5.5,4.92,5.34,42000,-0.41,-7.13
2001-08-20,5.34,5.39,4.95,5.15,22500,0.05,0.94
2001-08-21,5.15,5.15,4.9,5.07,28100,-0.32,-5.94
2001-08-22,5.34,5.95,5.05,5.15,29500,0.88,17.36
2001-08-23,5.265,5.67,5.01,5.08,33000,-0.87,-14.62
2001-08-24,5.2,5.75,5.01,5.43,18700,0.67,13.19
2001-08-27,5.75,5.75,5.41,5.56,10600,0.0,0.0
2001-08-28,5.61,5.9,5.29,5.5,17900,0.15,2.61
2001-08-29,5.51,5.77,5.45,5.71,30300,-0.13,-2.2
2001-08-30,5.51,5.92,5.47,5.92,21700,0.15,2.6
2001-08-31,5.93,6.0,5.18,5.72,64300,0.08,1.35
2001-09-04,5.2,5.75,4.319,4.5,354000,-1.5,-25.0
2001-09-05,4.4,4.6,4.13,4.3,135200,-0.2,-4.44
2001-09-06,4.26,4.5,4.26,4.4,92700,0.1,2.33
2001-09-07,4.45,4.45,4.2,4.3,15300,-0.1,-2.27
2001-09-10,4.2,4.5,4.04,4.21,31100,-0.09,-2.09
2001-09-17,3.96,4.44,3.71,4.17,54800,0.23,5.46
2001-09-18,4.01,4.35,4.0,4.04,13700,-0.09,-2.03
2001-09-19,4.15,4.15,3.6,3.95,38000,-0.2,-4.6
2001-09-20,3.81,4.08,3.7,4.05,76500,-0.07,-1.69
2001-09-21,3.98,4.23,3.75,4.23,29900,0.15,3.68
2001-09-24,4.24,5.5,4.0,5.0,81100,0.77,18.2
2001-09-25,5.07,5.65,5.02,5.6,75300,0.6,12.0
2001-09-26,5.8,5.918,5.1,5.31,92100,0.32,5.71
2001-09-27,5.68,5.68,4.74,5.0,138700,-0.92,-15.54
2001-09-28,5.04,5.05,4.6,5.0,44400,0.05,1.0
2001-10-01,4.99,4.99,4.05,4.15,70300,-0.9,-17.82
2001-10-02,4.2,4.44,4.0,4.2,95100,0.29,6.99
2001-10-03,4.28,4.67,4.0,4.5,60800,0.06,1.35
2001-10-04,4.645,4.77,4.39,4.748,57600,0.27,6.0
2001-10-05,4.75,4.77,4.27,4.48,18400,-0.29,-6.08
2001-10-08,4.36,4.498,4.2,4.32,10600,-0.16,-3.57
2001-10-09,4.25,4.75,4.25,4.55,38500,0.23,5.32
2001-10-10,4.35,4.64,4.15,4.5,36700,-0.05,-1.1
2001-10-11,4.5,4.738,4.5,4.7,32900,0.2,4.44
2001-10-12,4.61,4.7,4.51,4.61,31800,-0.09,-1.91
2001-10-15,4.7,4.7,4.44,4.46,12000,-0.15,-3.25
2001-10-16,4.69,4.7,4.27,4.35,59500,-0.11,-2.47
2001-10-17,4.27,4.55,4.25,4.25,56900,-0.1,-2.3
2001-10-18,4.35,4.5,4.25,4.3,63000,0.05,1.18
2001-10-19,4.35,4.35,4.0,4.0,122700,-0.3,-6.98
2001-10-22,3.99,4.15,3.9,4.02,106700,0.02,0.5
2001-10-23,4.02,4.05,3.79,3.85,121300,-0.17,-4.23
2001-10-24,3.94,3.94,3.55,3.85,114200,0.0,0.0
2001-10-25,3.8,3.8,3.6,3.649,96500,-0.2,-5.19
2001-10-26,3.605,4.2,3.6,3.998,137500,0.55,15.07
2001-10-29,4.1,4.49,4.05,4.27,105800,0.07,1.67
2001-10-30,4.4,4.54,4.21,4.34,86700,0.07,1.64
2001-10-31,4.56,4.93,4.5,4.8,61600,0.46,10.6
2001-11-01,4.8,4.9,4.46,4.86,36900,0.06,1.25
2001-11-02,4.845,4.99,4.7,4.8,17100,0.13,2.67
2001-11-05,4.8,5.01,4.7,4.8,16700,-0.19,-3.81
2001-11-06,4.8,4.8,4.5,4.5,23900,-0.3,-6.25
2001-11-07,4.5,4.929,4.0,4.1,192500,-0.4,-8.89
2001-11-08,4.2,4.39,4.1,4.3,62900,0.2,4.88
2001-11-09,4.31,4.43,4.11,4.21,33100,-0.09,-2.09
2001-11-12,4.37,4.48,4.3,4.3,10700,0.09,2.14
2001-11-13,4.47,4.47,4.03,4.07,33900,-0.23,-5.35
2001-11-14,4.11,4.36,4.1,4.2,29300,0.13,3.19
2001-11-15,4.14,4.23,4.03,4.12,32600,-0.08,-1.9
2001-11-16,4.15,4.4,4.15,4.199,309900,0.08,1.94
2001-11-19,4.3,5.35,4.3,4.75,256000,0.55,13.1
2001-11-20,5.0,5.5,5.0,5.15,454000,0.4,8.42
2001-11-21,5.06,5.15,4.6,4.85,65200,-0.3,-5.83
2001-11-23,4.82,5.1,4.46,5.09,52000,0.24,4.95
2001-11-26,5.15,5.15,5.0,5.0,60200,-0.09,-1.77
2001-11-27,5.05,5.2,4.9,5.0,32900,0.0,0.0
2001-11-28,5.03,5.03,4.49,4.55,60300,-0.45,-9.0
2001-11-29,4.5,4.6,4.33,4.53,67600,-0.02,-0.44
2001-11-30,4.56,4.95,4.35,4.95,99100,0.42,9.27
2001-12-03,4.71,4.95,4.5,4.5,38200,-0.45,-9.09
2001-12-04,4.65,5.4,4.5,4.87,29700,0.37,8.22
2001-12-05,4.9,5.0,4.88,5.0,43900,0.13,2.67
2001-12-06,5.1,5.2,4.45,4.88,100700,-0.12,-2.4
2001-12-07,4.99,5.25,4.65,5.25,33900,0.37,7.58
2001-12-10,5.27,5.4,5.02,5.12,19400,-0.13,-2.48
2001-12-11,5.12,5.145,4.82,5.02,22900,-0.1,-1.95
2001-12-12,5.01,5.4,5.0,5.25,34800,0.23,4.58
2001-12-13,5.1,5.25,5.0,5.11,16100,-0.14,-2.67
2001-12-14,5.05,5.25,5.01,5.22,6300,0.11,2.15
2001-12-17,5.25,5.5,5.05,5.5,29000,0.28,5.36
2001-12-18,5.49,5.74,5.36,5.61,33600,0.11,2.0
2001-12-19,5.64,5.85,5.55,5.75,32100,0.14,2.5
2001-12-20,5.82,5.82,5.1,5.26,67500,-0.49,-8.52
2001-12-21,5.325,5.75,5.3,5.74,57900,0.49,9.32
2001-12-24,5.7,5.8,5.56,5.75,3200,0.0,0.0
2001-12-26,5.75,5.75,5.2,5.41,14000,-0.34,-5.91
2001-12-27,5.64,5.74,5.36,5.69,16800,0.28,5.18
2001-12-28,5.62,5.73,5.19,5.59,39300,-0.1,-1.76
2001-12-31,5.62,5.8,5.43,5.7,33400,0.11,1.97
2002-01-02,5.735,5.8,5.35,5.69,28000,0.1,1.75
2002-01-03,5.4,5.8,5.31,5.5,41400,-0.3,-5.17
2002-01-04,5.5,5.85,5.38,5.55,155400,0.05,0.91
2002-01-07,5.99,6.2,5.8,6.119,92400,0.57,10.27
2002-01-08,6.105,6.25,5.9,6.12,18500,0.13,2.12
2002-01-09,6.27,6.57,6.2,6.27,66700,0.02,0.32
2002-01-10,6.23,6.6,6.23,6.6,40800,0.33,5.26
2002-01-11,6.85,7.44,6.65,6.91,94200,0.31,4.7
2002-01-14,7.15,7.4,6.3,6.9,50000,-0.01,-0.14
2002-01-15,7.2,7.5,6.7,6.75,37900,-0.15,-2.17
2002-01-16,6.79,6.79,6.5,6.677,13700,-0.07,-1.04
2002-01-17,6.82,6.82,6.3,6.79,55100,0.11,1.65
2002-01-18,6.83,6.94,6.35,6.4,29000,-0.39,-5.74
2002-01-22,6.84,7.1,6.32,6.4,68600,0.0,0.0
2002-01-23,6.35,6.6,6.35,6.598,19100,0.2,3.12
2002-01-24,6.5,6.6,6.4,6.4,41200,-0.2,-3.03
2002-01-25,6.45,6.55,6.4,6.4,10900,0.0,0.0
2002-01-28,6.55,6.6,6.3,6.43,12000,0.03,0.47
2002-01-29,6.5,7.0,6.45,6.479,34700,0.05,0.78
2002-01-30,6.9,6.9,6.15,6.39,23400,-0.09,-1.39
2002-01-31,6.6,6.75,6.4,6.6,38300,0.21,3.29
2002-02-01,6.35,6.6,6.34,6.34,31100,-0.26,-3.94
2002-02-04,6.34,6.5,6.34,6.48,12800,0.14,2.21
2002-02-05,6.5,6.55,6.18,6.19,11300,-0.29,-4.48
2002-02-06,6.15,6.34,6.11,6.12,14900,-0.07,-1.13
2002-02-07,6.12,6.15,5.0,5.29,45200,-0.83,-13.56
2002-02-08,5.225,5.29,4.54,4.93,71700,-0.36,-6.81
2002-02-11,5.06,5.07,4.35,4.95,76200,0.02,0.41
