日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2022-03-28,9.75,9.86,9.75,9.86,3100,0.0,0.0
2022-03-29,9.91,9.93,9.91,9.93,10001,0.07,0.7099
2022-03-30,9.92,9.95,9.92,9.92,251301,-0.01,-0.1007
2022-03-31,9.92,9.92,9.92,9.92,20899,0.0,0.0
2022-04-01,9.92,9.92,9.92,9.92,108300,0.0,0.0
2022-04-04,9.93,9.93,9.93,9.93,45300,0.0,0.0
2022-04-05,9.93,9.93,9.93,9.93,80,0.0,0.0
2022-04-06,9.92,9.92,9.92,9.92,3840,-0.01,-0.1007
2022-04-07,9.93,9.93,9.93,9.93,7400,0.01,0.1008
2022-04-08,10.1,10.1,9.93,9.93,5202,0.0,0.0
2022-04-11,9.93,9.93,9.93,9.93,600,0.0,0.0
2022-04-12,9.92,9.92,9.92,9.92,105001,-0.01,-0.1007
2022-04-13,9.96,11.02,9.9,9.9,19650,-0.02,-0.2016
2022-04-14,9.92,9.93,9.9,9.93,26100,0.03,0.303
2022-04-18,9.92,9.94,9.9,9.94,10532,0.01,0.1007
2022-04-19,9.92,9.92,9.92,9.92,100,-0.02,-0.2012
2022-04-20,9.93,9.93,9.93,9.93,20000,0.01,0.1008
2022-04-21,9.93,9.93,9.93,9.93,6,0.0,0.0
2022-04-25,9.93,9.93,9.93,9.93,1,0.0,0.0
2022-04-26,9.98,10.475,9.94,9.94,20283,0.01,0.1007
2022-04-27,9.97,9.97,9.97,9.97,347,0.03,0.3018
2022-04-29,9.94,9.94,9.94,9.94,5001,-0.03,-0.3009
2022-05-02,9.94,9.94,9.94,9.94,1,0.0,0.0
2022-05-03,9.96,9.96,9.96,9.96,400,0.02,0.2012
2022-05-04,9.94,9.94,9.94,9.94,737,-0.02,-0.2008
2022-05-05,9.94,9.94,9.94,9.94,5014,0.0,0.0
2022-05-06,10.0,10.0,10.0,10.0,5301,0.06,0.6036
2022-05-09,9.94,9.94,9.94,9.94,219,-0.06,-0.6
2022-05-10,9.92,9.92,9.92,9.92,226,-0.02,-0.2012
2022-05-11,9.91,9.91,9.895,9.9,5873,-0.02,-0.2016
2022-05-12,9.9,9.9,9.9,9.9,5409,0.0,0.0
2022-05-13,9.9,9.9,9.9,9.9,93,0.0,0.0
2022-05-17,9.9,9.9,9.9,9.9,6914,0.0,0.0
2022-05-20,9.9,9.9,9.89,9.89,5649,-0.01,-0.101
2022-05-25,9.89,9.89,9.89,9.89,270000,0.0,0.0
2022-05-26,9.89,9.89,9.89,9.89,8050,0.0,0.0
2022-05-27,9.96,9.97,9.96,9.97,4662,0.08,0.8089
2022-06-02,9.92,9.93,9.92,9.93,57099,-0.04,-0.4012
2022-06-03,9.91,9.91,9.9,9.9,1101,-0.03,-0.3021
2022-06-06,9.91,9.91,9.91,9.91,25000,0.01,0.101
2022-06-07,9.91,9.91,9.91,9.91,51,0.0,0.0
2022-06-08,9.96,9.9601,9.96,9.96,3453,0.05,0.5045
2022-06-09,9.99,9.99,9.99,9.99,1646,0.03,0.3012
2022-06-16,9.99,9.99,9.99,9.99,1,0.0,0.0
2022-06-23,9.92,9.92,9.92,9.92,70000,-0.07,-0.7007
2022-06-27,9.92,9.92,9.92,9.92,2,0.0,0.0
2022-06-28,9.92,9.92,9.92,9.92,200000,0.0,0.0
2022-07-05,9.92,9.92,9.92,9.92,1,0.0,0.0
2022-07-08,9.92,9.95,9.92,9.95,9414,0.03,0.3024
2022-07-11,9.96,9.96,9.96,9.96,200,0.01,0.1005
2022-07-15,9.93,9.93,9.93,9.93,100,-0.03,-0.3012
2022-07-18,9.94,9.98,9.94,9.98,1000,0.05,0.5035
2022-07-21,10.0,10.0,10.0,10.0,200,0.02,0.2004
2022-07-28,10.02,10.02,10.02,10.02,1000,0.02,0.2
2022-07-29,10.01,10.01,10.0,10.0,7900,-0.02,-0.1996
2022-08-04,10.0,10.0,10.0,10.0,100,0.0,0.0
2022-08-08,10.0,10.0,10.0,10.0,1,0.0,0.0
2022-08-16,10.0,10.0,10.0,10.0,36,0.0,0.0
2022-08-19,9.96,9.965,9.96,9.965,205000,-0.035,-0.35
2022-08-22,9.965,9.965,9.965,9.965,5,0.0,0.0
2022-08-30,9.965,9.965,9.965,9.965,3,0.0,0.0
2022-09-01,9.965,9.965,9.965,9.965,53,0.0,0.0
2022-09-02,9.96,9.96,9.96,9.96,100,-0.005,-0.0502
2022-09-06,9.96,9.96,9.96,9.96,200,0.0,0.0
