日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-07-15,30.0,37.1299,27.13,33.5,5842401,9.5,39.58
2021-07-16,31.85,33.85,30.26,32.7,756851,-0.8,-2.39
2021-07-19,31.01,35.03,30.5001,31.29,737819,-1.41,-4.31
2021-07-20,31.4,35.66,30.8875,35.06,1433788,3.77,12.05
2021-07-21,35.66,36.8572,34.0,36.12,589976,1.06,3.0234
2021-07-22,36.15,37.49,34.7301,37.35,389269,1.23,3.41
2021-07-23,37.91,38.22,36.86,38.21,208090,0.86,2.3
2021-07-26,38.25,38.25,36.23,36.26,242469,-1.95,-5.1
2021-07-27,36.2,36.71,34.22,35.44,260678,-0.82,-2.2614
2021-07-28,35.79,37.15,35.68,36.25,150225,0.81,2.29
2021-07-29,36.14,37.0,35.6525,36.22,163181,-0.03,-0.0828
2021-07-30,36.4,37.22,35.1,36.97,173563,0.75,2.0707
2021-08-02,36.99,42.57,36.36,37.99,139000,1.02,2.759
2021-08-03,38.72,39.5379,38.0,39.0,176979,1.01,2.6586
2021-08-04,38.9,41.17,37.01,37.38,223785,-1.62,-4.15
2021-08-05,37.74,39.7,37.0945,37.94,125881,0.56,1.4981
2021-08-06,37.93,38.76,36.81,37.29,101601,-0.65,-1.7132
2021-08-09,37.0,39.3,36.74,39.1,199271,1.81,4.85
2021-08-10,39.0,40.0,36.11,37.82,271150,-1.28,-3.2737
2021-08-11,38.84,39.93,35.26,37.11,237568,-0.71,-1.8773
2021-08-12,37.01,38.8852,35.0201,37.79,170021,0.68,1.8324
2021-08-13,37.8,38.465,32.34,35.37,313297,-2.42,-6.4038
2021-08-16,35.51,37.97,34.0204,36.98,164291,1.61,4.5519
2021-08-17,36.98,37.56,35.6,37.15,142208,0.17,0.4597
2021-08-18,37.2,39.73,36.76,38.38,177760,1.23,3.3109
2021-08-19,37.99,38.8,36.49,37.13,129011,-1.25,-3.26
2021-08-20,37.0,38.16,36.4,37.44,197815,0.31,0.83
2021-08-23,37.52,38.72,37.465,38.17,150526,0.73,1.9498
2021-08-24,37.81,38.71,37.66,37.75,256066,-0.42,-1.1
2021-08-25,37.88,38.2294,35.35,35.98,142593,-1.77,-4.69
2021-08-26,36.3,37.12,33.465,34.08,340829,-1.9,-5.28
2021-08-27,34.71,34.99,34.12,34.75,187469,0.67,1.966
2021-08-30,34.61,35.55,31.94,31.98,312446,-2.77,-7.97
2021-08-31,31.93,31.93,28.37,28.39,306688,-3.59,-11.23
2021-09-01,28.39,29.4758,27.535,28.75,209479,0.36,1.27
2021-09-02,29.23,30.74,28.83,30.5,295162,1.75,6.09
2021-09-03,30.26,32.15,29.87,32.03,213958,1.53,5.02
2021-09-07,32.27,33.74,31.4801,33.42,258471,1.39,4.34
2021-09-08,33.31,33.31,31.06,32.4,222958,-1.02,-3.05
2021-09-09,32.39,33.74,31.61,31.61,212670,-0.79,-2.44
2021-09-10,31.82,32.86,31.01,31.2,218040,-0.41,-1.2971
2021-09-13,31.34,31.715,27.39,29.67,322798,-1.53,-4.9038
2021-09-14,29.68,30.315,29.16,29.39,188195,-0.28,-0.9437
2021-09-15,29.27,30.545,28.62,28.77,417553,-0.62,-2.11
2021-09-16,28.58,29.5,27.11,28.32,431452,-0.45,-1.56
2021-09-17,28.44,28.44,25.38,25.58,1903326,-2.74,-9.68
