日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2019-03-04,25.09,25.15,25.08,25.14,13070,-0.02,-0.08
2019-03-05,25.09,25.12,25.09,25.12,22268,-0.02,-0.08
2019-03-06,25.11,25.15,25.1,25.15,8075,0.03,0.12
2019-03-07,25.1506,25.1506,25.1,25.15,34019,0.0,0.0
2019-03-08,25.12,25.13,25.12,25.12,24517,-0.03,-0.12
2019-03-11,25.12,25.13,25.11,25.12,66876,0.0,0.0
2019-03-12,25.12,25.14,25.12,25.13,21947,0.01,0.04
2019-03-13,25.15,25.19,25.13,25.1557,16350,0.0257,0.1
2019-03-14,25.1597,25.17,25.13,25.14,13570,-0.0157,-0.06
2019-03-15,25.19,25.19,25.14,25.14,21518,0.0,0.0
2019-03-18,25.12,25.16,25.12,25.135,1977,-0.005,-0.02
2019-03-19,25.1389,25.17,25.1389,25.14,3285,0.005,0.02
2019-03-20,25.14,25.14,25.14,25.14,1510,0.0,0.0
2019-03-21,25.156,25.156,25.14,25.14,14404,0.0,0.0
2019-03-22,25.15,25.163,25.14,25.15,9650,0.01,0.04
2019-03-25,25.14,25.17,25.14,25.15,6828,0.0,0.0
