日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2004-10-21,6.3571,6.4057,6.3571,6.3571,6982800,0.0,0.0
2004-10-22,6.3571,6.3721,6.2449,6.2674,1611800,-0.0896,-1.41
2004-10-25,6.2636,6.2748,6.2636,6.2636,259300,-0.0038,-0.06
2004-10-26,6.2449,6.2636,6.2449,6.2449,241300,-0.0188,-0.3
2004-10-27,6.2449,6.3384,6.2449,6.3085,237900,0.0637,1.02
2004-10-28,6.301,6.3384,6.301,6.301,242100,-0.0076,-0.12
2004-10-29,6.301,6.3085,6.301,6.301,122500,0.0,0.0
2004-11-01,6.301,6.3571,6.301,6.3459,365500,0.0447,0.71
2004-11-02,6.3272,6.3945,6.3197,6.387,700800,0.0412,0.65
2004-11-03,6.4319,6.4506,6.3609,6.3982,613800,0.0115,0.18
2004-11-04,6.3945,6.4618,6.387,6.4543,383300,0.0563,0.88
2004-11-05,6.4169,6.4282,6.3197,6.3272,387200,-0.1272,-1.97
2004-11-08,6.3235,6.3833,6.3197,6.3795,311100,0.0525,0.83
2004-11-09,6.3795,6.4132,6.3758,6.3945,198300,0.0147,0.23
2004-11-10,6.3833,6.488,6.3758,6.4282,306200,0.0339,0.53
2004-11-11,6.4169,6.488,6.4057,6.473,156400,0.045,0.7
2004-11-12,6.4693,6.5254,6.4394,6.5254,439600,0.0524,0.81
2004-11-15,6.5441,6.6862,6.5142,6.6114,490100,0.0861,1.32
2004-11-16,6.6002,6.6189,6.5441,6.5478,181700,-0.0635,-0.96
2004-11-17,6.5441,6.589,6.4805,6.5067,402900,-0.0413,-0.63
2004-11-18,6.5254,6.5441,6.4693,6.488,79900,-0.0189,-0.29
2004-11-19,6.4506,6.4693,6.3384,6.4319,423000,-0.0558,-0.86
2004-11-22,6.3646,6.5179,6.3609,6.4955,265700,0.0637,0.99
2004-11-23,6.5067,6.5553,6.4506,6.4768,144900,-0.0188,-0.29
2004-11-24,6.488,6.6376,6.488,6.6002,221000,0.1237,1.91
2004-11-26,6.6189,6.6301,6.5478,6.6002,35200,0.0,0.0
2004-11-29,6.6002,6.6525,6.5815,6.6039,265900,0.004,0.06
2004-11-30,6.7311,6.8619,6.7198,6.832,1539000,0.2278,3.45
2004-12-01,6.8732,6.9106,6.7722,6.8432,528700,0.0109,0.16
2004-12-02,6.8993,6.9106,6.8283,6.9106,342700,0.0671,0.98
2004-12-03,6.8993,7.0377,6.8507,7.0115,481800,0.1009,1.46
2004-12-06,7.0115,7.292,7.0115,7.2471,391700,0.2356,3.36
2004-12-07,7.292,7.4042,7.1237,7.2546,571600,0.0072,0.1
2004-12-08,7.2172,7.3481,7.2172,7.3481,131900,0.0936,1.29
2004-12-09,7.3294,7.4341,7.292,7.4266,199600,0.0786,1.07
2004-12-10,7.3855,7.4715,7.3481,7.4378,124700,0.0111,0.15
