日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1995-01-03,3.6032,3.6032,3.6032,3.6032,4700,-0.123,-3.3
1995-01-04,3.5465,3.7261,3.5465,3.7261,5000,0.1229,3.41
1995-01-05,3.9058,3.9058,3.9058,3.9058,4000,0.1796,4.82
1995-01-09,3.7829,3.7829,3.6694,3.6694,1100,-0.2363,-6.05
1995-01-11,3.7829,3.8396,3.7829,3.8396,2400,0.1703,4.64
1995-01-12,3.8396,3.8396,3.7261,3.7261,2100,-0.1137,-2.96
1995-01-16,3.6032,3.6694,3.6032,3.6032,1600,-0.123,-3.3
1995-01-17,3.6032,3.7261,3.6032,3.7261,500,0.1229,3.41
1995-01-18,3.7829,3.7829,3.7829,3.7829,2600,0.0566,1.52
1995-01-19,3.7261,3.7261,3.6032,3.6032,1800,-0.1797,-4.75
1995-01-20,3.5465,3.5465,3.433,3.433,3600,-0.1701,-4.72
1995-01-23,3.31,3.31,3.0736,3.0736,5600,-0.3594,-10.47
1995-01-24,3.1965,3.4897,3.1965,3.4897,10100,0.4162,13.54
1995-01-25,3.3668,3.5465,3.3668,3.433,6500,-0.0569,-1.63
1995-01-26,3.433,3.433,3.433,3.433,300,0.0,0.0
1995-01-27,3.31,3.5465,3.31,3.5465,3000,0.1136,3.31
1995-01-30,3.433,3.433,3.433,3.433,1000,-0.1135,-3.2
1995-01-31,3.3668,3.4897,3.3668,3.4897,2000,0.0566,1.65
1995-02-01,3.433,3.433,3.31,3.31,5200,-0.1797,-5.15
1995-02-02,3.1965,3.31,3.1965,3.2533,5200,-0.0566,-1.71
1995-02-06,3.2533,3.2533,3.2533,3.2533,5700,0.0,0.0
1995-02-07,3.2533,3.2533,3.2533,3.2533,1500,0.0,0.0
1995-02-10,3.31,3.5465,3.31,3.5465,6700,0.2931,9.01
1995-02-13,3.5465,3.6032,3.31,3.433,10600,-0.1135,-3.2
1995-02-14,3.433,3.433,3.3668,3.433,5800,0.0,0.0
1995-02-15,3.433,3.433,3.433,3.433,300,0.0,0.0
1995-02-16,3.433,3.433,3.433,3.433,1700,0.0,0.0
1995-02-17,3.31,3.31,3.2533,3.2533,3600,-0.1795,-5.23
1995-02-21,3.3668,3.3668,3.3668,3.3668,2400,0.1135,3.49
1995-02-22,3.31,3.31,3.2533,3.2533,2400,-0.1135,-3.37
1995-02-23,3.3668,3.3668,3.3668,3.3668,1000,0.1135,3.49
1995-02-24,3.31,3.31,3.2533,3.31,3000,-0.0569,-1.69
1995-02-27,3.1965,3.1965,3.1965,3.1965,2100,-0.1135,-3.43
1995-02-28,3.31,3.31,3.31,3.31,900,0.1135,3.55
1995-03-02,3.2533,3.2533,3.2533,3.2533,1000,-0.0566,-1.71
1995-03-03,3.1965,3.1965,3.0736,3.1965,3500,-0.0566,-1.74
1995-03-06,3.1965,3.1965,3.0736,3.0736,2500,-0.1231,-3.85
1995-03-07,2.9601,3.0736,2.9601,3.0736,2000,0.0,0.0
1995-03-09,3.1965,3.31,3.1965,3.31,4000,0.2364,7.69
1995-03-10,3.2533,3.2533,3.1303,3.1303,3300,-0.1797,-5.43
1995-03-14,3.0736,3.0736,3.0169,3.0169,3000,-0.1136,-3.63
1995-03-15,2.9601,2.9601,2.9601,2.9601,700,-0.0567,-1.88
1995-03-16,2.8939,3.0169,2.7804,2.7804,17800,-0.1797,-6.07
1995-03-17,2.8372,2.9601,2.8372,2.9601,5900,0.1796,6.46
1995-03-20,2.8939,2.8939,2.8939,2.8939,700,-0.0663,-2.24
1995-03-21,2.9601,3.0169,2.9601,3.0169,6900,0.123,4.25
1995-03-22,3.0169,3.0736,3.0169,3.0736,2500,0.0567,1.88
1995-03-23,3.0169,3.0169,3.0169,3.0169,200,-0.0569,-1.85
1995-03-24,2.9601,3.0736,2.9601,2.9601,13600,-0.0567,-1.88
1995-03-27,3.1303,3.1303,3.0736,3.0736,1800,0.1134,3.83
1995-03-28,3.0169,3.1965,3.0169,3.1965,7600,0.1229,4.0
1995-03-30,3.1965,3.1965,3.1303,3.1965,6000,0.0,0.0
1995-04-03,3.1965,3.1965,3.1303,3.1303,1500,-0.0662,-2.07
1995-04-04,3.0736,3.1965,3.0169,3.1965,4200,0.0661,2.11
1995-04-05,3.2533,3.2533,3.2533,3.2533,900,0.0569,1.78
1995-04-06,3.1303,3.1303,3.0736,3.0736,6400,-0.1796,-5.52
1995-04-10,3.0736,3.0736,3.0736,3.0736,1000,0.0,0.0
1995-04-11,3.1965,3.1965,3.1965,3.1965,2900,0.1229,4.0
1995-04-12,3.1303,3.1303,3.1303,3.1303,1500,-0.0662,-2.07
1995-04-13,3.0736,3.0736,3.0169,3.0736,2700,-0.0567,-1.81
1995-04-17,3.1965,3.31,3.1965,3.31,2300,0.2364,7.69
1995-04-18,3.0736,3.0736,3.0736,3.0736,4600,-0.2363,-7.14
1995-04-19,3.1965,3.2533,3.1965,3.2533,3200,0.1798,5.85
1995-04-20,3.2533,3.31,3.2533,3.31,6800,0.0566,1.74
1995-04-21,3.31,3.31,3.31,3.31,3600,0.0,0.0
1995-04-25,3.31,3.31,3.2533,3.2533,1900,-0.0566,-1.71
1995-04-26,3.5465,3.8396,3.5465,3.7261,33000,0.4727,14.53
1995-04-27,3.6032,3.6032,3.6032,3.6032,1000,-0.123,-3.3
1995-04-28,3.6694,3.7261,3.6694,3.7261,800,0.1229,3.41
1995-05-01,3.7261,3.7261,3.6694,3.6694,1600,-0.0566,-1.52
1995-05-02,3.7829,3.9058,3.7829,3.9058,14900,0.2363,6.44
1995-05-03,3.9058,3.9058,3.7261,3.7261,6100,-0.1797,-4.6
1995-05-04,3.6694,3.8396,3.6694,3.7829,8000,0.0566,1.52
1995-05-05,3.6694,3.8396,3.6694,3.7829,3900,0.0,0.0
1995-05-08,3.7829,3.7829,3.6694,3.6694,3900,-0.1135,-3.0
1995-05-10,3.5465,3.5465,3.433,3.433,4800,-0.2363,-6.44
1995-05-11,3.5465,3.6032,3.5465,3.5465,3000,0.1136,3.31
1995-05-12,3.6694,3.6694,3.5465,3.5465,3800,0.0,0.0
1995-05-16,3.5465,3.5465,3.5465,3.5465,5000,0.0,0.0
1995-05-17,3.4897,3.6032,3.4897,3.6032,1600,0.0567,1.6
1995-05-18,3.6694,3.7829,3.6694,3.7829,11100,0.1798,4.99
1995-05-19,3.7829,4.2557,3.7829,4.2557,40100,0.4729,12.5
1995-05-22,4.199,4.4922,4.0761,4.4922,21900,0.2366,5.56
1995-05-23,4.4922,4.4922,4.199,4.199,8400,-0.2934,-6.53
1995-05-24,4.3125,4.4354,4.3125,4.3787,8700,0.1797,4.28
1995-05-25,4.3787,4.3787,4.199,4.199,8000,-0.1795,-4.1
1995-05-26,4.2557,4.2557,4.1423,4.1423,14100,-0.0567,-1.35
