日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1998-07-06,5.0168,5.5962,5.0168,5.5962,69000,0.6218,12.5
1998-07-07,5.7031,5.9927,5.5201,5.5201,124500,-0.0778,-1.39
1998-07-08,5.5657,5.5657,5.2912,5.3217,103600,-0.1999,-3.62
1998-07-09,5.3066,5.3066,5.2607,5.3066,20600,-0.0112,-0.21
1998-07-10,5.3522,5.3522,5.2761,5.2761,49200,-0.0335,-0.63
1998-07-13,5.2912,5.2912,5.1693,5.2456,32700,-0.0333,-0.63
1998-07-14,5.2456,5.2607,5.2151,5.2607,62200,0.022,0.42
1998-07-15,5.2761,5.2761,5.1998,5.2151,38500,-0.0442,-0.84
1998-07-16,5.2456,5.2456,5.1846,5.1998,45300,-0.0225,-0.43
1998-07-17,5.1998,5.2151,5.1236,5.1388,47400,-0.0556,-1.07
1998-07-20,5.1083,5.1236,5.0626,5.1236,30400,-0.0221,-0.43
1998-07-21,5.0931,5.0931,5.0016,5.0168,71300,-0.0998,-1.95
1998-07-22,5.0321,5.0473,4.8187,4.8492,36000,-0.1665,-3.32
1998-07-23,4.8187,4.8187,4.6967,4.7577,455100,-0.1001,-2.06
1998-07-24,4.9101,5.0473,4.9101,4.9863,44900,0.2334,4.91
1998-07-27,4.9711,5.0168,4.9711,5.0168,6300,0.0334,0.67
1998-07-28,5.0168,5.0473,4.9863,5.0321,121400,0.011,0.22
1998-07-29,5.0931,5.0931,5.0168,5.0168,16600,-0.0111,-0.22
1998-07-30,5.0321,5.0321,4.9863,5.0016,135300,-0.0221,-0.44
1998-07-31,5.0168,5.0473,5.0016,5.0321,22300,0.0335,0.67
1998-08-03,5.0473,5.1236,5.0473,5.0931,9200,0.0664,1.32
1998-08-04,5.0626,5.0626,4.9711,5.0168,31700,-0.0779,-1.53
1998-08-05,5.0321,5.0321,4.9863,4.9863,11900,-0.0331,-0.66
1998-08-06,4.9863,4.9863,4.9253,4.9558,3300,-0.0334,-0.67
1998-08-07,5.0168,5.0168,4.9406,4.9406,9400,-0.0109,-0.22
1998-08-10,4.9558,5.0016,4.9406,5.0016,5900,0.0554,1.12
1998-08-11,4.9406,4.9406,4.8492,4.8643,137400,-0.1334,-2.67
1998-08-12,4.8796,4.8948,4.7882,4.8796,34200,0.0112,0.23
1998-08-13,4.8643,4.8948,4.8187,4.8187,4400,-0.0556,-1.14
1998-08-14,4.7728,4.7728,4.5288,4.5593,10600,-0.2552,-5.3
1998-08-17,4.5288,4.5898,4.4527,4.5747,68800,0.011,0.24
1998-08-18,4.6052,4.8338,4.6052,4.7882,25000,0.211,4.61
1998-08-19,4.8187,4.8187,4.7577,4.7728,55600,-0.011,-0.23
1998-08-20,4.7728,4.7882,4.7272,4.7272,127700,-0.0444,-0.93
1998-08-21,4.6967,4.6967,4.4373,4.5288,61200,-0.2,-4.23
1998-08-24,4.5442,4.6203,4.5442,4.6203,94800,0.0888,1.96
1998-08-25,4.6357,4.6967,4.6357,4.6967,5700,0.0776,1.68
1998-08-26,4.6357,4.6508,4.5747,4.6357,27400,-0.0668,-1.42
1998-08-27,4.6052,4.6203,4.2087,4.3917,43200,-0.2448,-5.28
1998-08-28,4.3917,4.4373,4.3307,4.4222,43900,0.0334,0.76
1998-08-31,4.4373,4.4373,4.0867,4.1323,128400,-0.2887,-6.53
1998-09-01,4.2087,4.2392,4.0713,4.1172,76400,-0.0111,-0.27
1998-09-02,4.1477,4.2087,4.0867,4.1323,36200,0.0111,0.27
1998-09-03,4.1628,4.2392,4.1628,4.2392,2200,0.111,2.69
1998-09-04,4.2392,4.3917,4.2392,4.3763,8600,0.1332,3.14
1998-09-08,4.4068,4.4068,4.2697,4.2697,2600,-0.1113,-2.54
1998-09-09,4.3002,4.3002,4.1172,4.1172,4400,-0.1445,-3.39
1998-09-10,4.0867,4.0867,3.8122,3.9037,46100,-0.2107,-5.12
1998-09-11,4.0257,4.0257,3.9037,3.9647,18400,0.0555,1.42
1998-09-14,3.9647,4.0562,3.9647,4.0562,25700,0.0889,2.24
1998-09-15,4.1172,4.3612,4.1172,4.2543,36500,0.1999,4.93
1998-09-16,4.2697,4.3307,4.2543,4.2697,34300,0.0111,0.26
1998-09-17,4.3763,4.3763,4.1323,4.1323,80800,-0.1331,-3.12
1998-09-18,4.2392,4.2392,4.0867,4.1782,135300,0.0446,1.08
1998-09-21,4.1477,4.1782,4.1477,4.1782,3000,0.0,0.0
1998-09-22,4.1782,4.1933,4.1477,4.1933,47300,0.0221,0.53
1998-09-23,4.2087,4.2238,4.1933,4.2238,12700,0.0223,0.53
1998-09-24,4.2238,4.2238,4.1782,4.1782,55800,-0.0443,-1.05
1998-09-25,4.1782,4.1782,4.1018,4.1018,6600,-0.0777,-1.86
1998-09-28,4.1323,4.1477,4.1172,4.1477,15500,0.0443,1.08
1998-09-29,4.1628,4.2392,4.1628,4.1933,1500,0.0554,1.34
1998-09-30,4.1628,4.1628,4.0867,4.0867,8700,-0.1112,-2.65
1998-10-01,4.0562,4.0562,3.9493,3.9493,1200,-0.1331,-3.26
1998-10-02,3.9493,4.0103,3.8427,3.9798,62500,0.0222,0.56
1998-10-05,3.9493,3.9493,3.7969,3.7969,6900,-0.1777,-4.47
1998-10-06,3.7664,3.8427,3.7664,3.8427,8100,0.0444,1.17
1998-10-07,3.8274,3.9037,3.8274,3.8732,3000,0.0334,0.87
1998-10-08,3.8427,3.8427,3.6597,3.6749,19800,-0.1999,-5.16
1998-10-09,3.6597,3.7664,3.6597,3.7664,3800,0.089,2.42
1998-10-12,3.7664,3.7664,3.7512,3.7512,2800,-0.0109,-0.29
1998-10-13,3.7512,3.8427,3.7512,3.8427,16100,0.089,2.37
1998-10-14,3.8274,3.8427,3.8274,3.8427,900,0.0,0.0
1998-10-15,3.8427,4.0103,3.8427,4.0103,93200,0.1668,4.34
1998-10-16,4.0257,4.1782,4.0103,4.1628,48400,0.1555,3.88
1998-10-19,4.1628,4.1782,4.1477,4.1477,14300,-0.0221,-0.53
1998-10-20,4.1782,4.4527,4.1782,4.3917,37400,0.2447,5.9
1998-10-21,4.3917,4.5288,4.3612,4.5137,7600,0.1221,2.78
1998-10-22,4.5137,4.7118,4.5137,4.6967,21800,0.1889,4.19
1998-10-23,4.7272,5.0931,4.7272,4.9406,50000,0.2442,5.2
1998-10-26,4.9711,5.0016,4.9406,5.0016,31000,0.0554,1.12
1998-10-27,4.9558,4.9558,4.8492,4.9101,5300,-0.089,-1.78
1998-10-28,4.8643,4.8948,4.7272,4.8948,14100,-0.0113,-0.23
1998-10-29,4.8643,4.8643,4.7728,4.7728,5300,-0.1219,-2.49
1998-10-30,4.7423,5.0016,4.7118,4.8796,13800,0.0999,2.09
1998-11-02,4.8338,5.0931,4.8338,5.0016,17400,0.1225,2.51
1998-11-03,5.0016,5.1083,4.9863,5.0778,5400,0.078,1.56
