日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2015-12-21,14.4404,15.6333,14.4404,15.6333,8207,0.9624,6.56
2015-12-22,14.9166,14.9166,14.9166,14.9166,1091,-0.716,-4.58
2015-12-23,14.9118,15.1042,14.6424,14.7386,5853,-0.1775,-1.19
2015-12-30,14.527,15.8642,14.527,15.4505,2871,0.7119,4.83
2015-12-31,14.7194,15.489,14.6232,15.4794,6017,0.0294,0.19
2016-01-06,15.3543,15.3543,15.008,15.1523,2850,-0.3266,-2.11
2016-01-07,15.1523,15.1523,14.4308,14.7675,25163,-0.3849,-2.54
2016-01-08,14.7675,14.8445,14.7675,14.7675,43408,0.0,0.0
2016-01-11,14.527,14.9118,14.527,14.9118,8544,0.1447,0.98
2016-01-12,14.9118,14.9118,14.9118,14.9118,1100,0.0,0.0
2016-01-13,14.8974,14.9118,14.7675,14.8156,27278,-0.0969,-0.65
2016-01-14,14.8156,14.8156,14.8156,14.8156,5000,,
2016-01-15,192410.2344,16.2587,14.4404,14.9599,36752,0.1437,0.97
2016-01-19,14.8445,14.8445,14.8445,14.9599,35,-0.1161,-0.77
2016-01-20,14.8637,14.8637,14.7675,14.7675,15639,-0.193,-1.29
2016-01-21,14.7675,15.3928,14.4308,15.3928,62063,0.6247,4.23
2016-01-22,14.8156,15.0561,14.5462,14.8156,38183,-0.5772,-3.75
2016-01-25,14.8156,15.008,14.7001,15.008,29450,0.1926,1.3
2016-01-26,14.8156,14.8156,14.7675,14.7675,250,-0.2401,-1.6
2016-01-27,14.8935,14.8935,14.8935,14.8935,519,0.127,0.86
2016-01-29,15.1523,15.3928,14.9022,15.3928,3503,0.4989,3.35
2016-02-01,15.3543,15.3928,14.9695,15.2966,7296,-0.0954,-0.62
2016-02-03,14.9618,15.0253,14.9599,14.9599,3998,-0.3365,-2.2
2016-02-05,14.9599,14.9599,14.9599,14.9599,2000,0.0,0.0
2016-02-08,15.2966,15.2966,14.4308,14.4308,1485,-0.5296,-3.54
2016-02-09,14.4308,14.4308,14.4308,14.4308,2693,0.0,0.0
2016-02-10,14.4308,14.4308,14.4308,14.4308,350,0.0,0.0
2016-02-11,14.527,14.527,14.1903,14.3346,1325,-0.0967,-0.67
2016-02-16,14.4308,14.4308,14.4308,14.4308,922,0.096,0.67
2016-02-17,14.5174,14.5174,14.5174,14.5174,140,0.0866,0.6
2016-02-18,14.527,14.527,14.4308,14.527,9975,0.0102,0.07
2016-02-19,14.8637,14.8637,14.5751,14.7675,3202,0.2411,1.66
2016-02-22,14.8637,14.8637,14.8637,14.8637,593,0.096,0.65
2016-02-23,14.7675,14.7675,14.7675,14.7675,727,-0.0966,-0.65
2016-02-24,14.5366,14.6424,14.5366,14.5991,4372,-0.1683,-1.14
2016-02-25,14.5462,14.5558,14.527,14.527,1900,-0.0715,-0.49
2016-02-29,14.5366,14.9118,14.527,14.9118,942,0.385,2.65
2016-03-02,14.6944,15.085,14.6944,15.085,1948,0.173,1.16
2016-03-07,14.5943,15.2966,14.5751,15.2966,4869,0.2112,1.4
2016-03-08,15.2966,15.2966,14.5751,15.2485,5057,-0.0474,-0.31
2016-03-09,15.008,15.008,15.008,15.008,200,-0.2409,-1.58
2016-03-10,15.008,15.008,14.5751,14.9118,8907,-0.0961,-0.64
2016-03-11,14.9118,15.3832,14.9118,15.3832,7072,0.4712,3.16
2016-03-14,15.3832,15.7488,15.21,15.4409,49669,0.0585,0.38
2016-03-15,15.489,16.403,15.489,16.403,29387,0.962,6.23
2016-03-16,16.3549,16.4511,16.0566,16.3549,23412,-0.0476,-0.29
2016-03-17,17.2977,17.2977,16.149,16.8359,27420,0.4808,2.94
2016-03-18,16.8359,17.7787,16.605,17.442,177464,0.6061,3.6
2016-03-21,16.5665,17.1149,16.5569,16.8744,2929,-0.5668,-3.25
2016-03-22,16.8359,16.8359,16.8359,16.8744,3,-0.0389,-0.23
