日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2012-07-23,24.34,24.34,23.75,23.85,520402,,
2012-07-24,24.04,24.47,23.82,24.18,504181,,
2012-07-25,24.26,24.32,24.0,24.23,366478,,
2012-07-26,24.4,24.4,24.1,24.15,238950,,
2012-07-27,24.18,24.29,24.15,24.25,207439,,
2012-07-30,24.3,24.3,24.15,24.26,185597,,
2012-07-31,24.35,24.5,24.21,24.5,293456,,
2012-08-01,24.5,24.51,24.35,24.45,146666,,
2012-08-02,24.38,24.48,24.35,24.4,135651,,
2012-08-03,24.45,24.46,24.26,24.34,132900,,
2012-08-06,24.32,24.39,24.29,24.35,105411,,
2012-08-07,24.39,24.45,24.31,24.38,134118,,
2012-08-08,24.31,24.4,24.27,24.39,206658,,
2012-08-09,24.4,24.4,24.3,24.32,158044,,
2012-08-10,24.32,24.35,24.25,24.26,118495,,
2012-08-13,24.32,24.33,24.149,24.2,206882,,
2012-08-14,24.19,24.2,23.93,24.0,262491,,
2012-08-15,23.89,24.05,23.89,24.04,238880,,
2012-08-16,24.04,24.1,23.87,23.95,128644,,
2012-08-17,23.98,23.98,23.5,23.75,265860,,
2012-08-20,23.8,23.84,23.62,23.78,207714,,
2012-08-21,23.81,23.81,23.68,23.74,146073,,
2012-08-22,23.77,23.78,23.62,23.72,111565,,
2012-08-23,23.77,23.85,23.72,23.81,95609,,
2012-08-24,23.85,24.0,23.83,23.92,103506,,
2012-08-27,23.96,24.05,23.88,23.97,62479,,
2012-08-28,24.0,24.18,23.99,24.16,100853,,
2012-08-29,24.19,24.44,24.16,24.36,153592,,
2012-08-30,24.39,24.45,24.34,24.41,127220,,
2012-08-31,24.44,24.45,24.15,24.15,100857,,
2012-09-04,24.28,24.44,24.28,24.39,70289,,
2012-09-05,24.45,24.5,24.12,24.41,187302,,
2012-09-06,24.4,24.5,24.31,24.4,123360,,
2012-09-07,24.49,24.55,24.29,24.55,82882,,
2012-09-10,24.5,24.54,24.34,24.42,121016,,
2012-09-11,24.4,24.6,24.4,24.48,173062,,
2012-09-12,24.58,24.58,24.41,24.44,96575,,
2012-09-13,24.5,24.5,24.4,24.43,73706,,
2012-09-14,24.5,24.5,24.45,24.499,55625,,
2012-09-17,24.49,24.54,24.35,24.35,60809,,
2012-09-18,24.39,24.45,24.36,24.45,71423,,
2012-09-19,24.5,24.5,24.29,24.39,42415,,
2012-09-20,24.39,24.429,24.23,24.38,134847,,
2012-09-21,24.36,24.49,24.29,24.42,62246,,
2012-09-24,24.41,24.49,24.34,24.49,70243,,
2012-09-25,24.48,24.5,24.4,24.42,63792,,
2012-09-26,24.46,24.629,24.4,24.5,73806,,
2012-09-27,24.6,24.8,24.46,24.78,204970,,
2012-09-28,24.77,24.84,24.67,24.67,120969,,
2012-10-01,24.75,24.85,24.62,24.75,83471,,
2012-10-02,24.68,24.8,24.6,24.78,44171,,
2012-10-03,24.68,24.77,24.68,24.73,47348,,
