日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2017-05-12,10.1447,10.3608,9.1394,9.5964,4329499,-0.3739,-3.75
2017-05-15,9.9287,9.9703,9.4801,9.7626,575131,0.166,1.73
2017-05-16,9.8706,10.178,9.6545,9.9952,247386,0.2324,2.38
2017-05-17,9.9786,10.1364,9.6462,10.0035,263422,0.008,0.08
2017-05-18,9.9869,10.0284,9.7709,9.9703,312126,-0.033,-0.33
2017-05-19,9.9537,10.0617,9.6961,9.8456,165966,-0.1246,-1.25
2017-05-22,9.9287,10.0118,9.7626,9.829,244942,-0.0167,-0.17
2017-05-23,9.8207,9.9786,9.7459,9.8456,149556,0.0167,0.17
2017-05-24,9.8124,9.9786,9.7376,9.9703,190229,0.125,1.27
2017-05-25,10.0035,10.0841,9.7542,9.9703,284776,0.0,0.0
2017-05-26,9.937,9.9827,9.7792,9.9537,412707,-0.017,-0.17
2017-05-30,9.9703,10.011,9.8373,9.8623,436653,-0.0916,-0.92
2017-05-31,9.7958,9.9204,9.3887,9.5548,328831,-0.3077,-3.12
2017-06-01,9.5299,9.9703,9.5283,9.721,171821,0.1663,1.74
2017-06-02,9.6961,9.8456,9.6629,9.6961,124179,-0.0253,-0.26
2017-06-05,9.6629,9.7792,9.5548,9.6047,167589,-0.0911,-0.94
2017-06-06,9.8041,9.8872,9.505,9.5881,571493,-0.0163,-0.17
2017-06-07,9.6545,9.6811,8.375,8.6077,738258,-0.9809,-10.23
2017-06-08,8.591,8.7655,8.2213,8.3418,534748,-0.266,-3.09
2017-06-09,8.3916,8.508,8.2504,8.2836,437768,-0.0584,-0.7
2017-06-12,8.3501,8.7655,8.3501,8.6326,401564,0.3488,4.21
2017-06-13,8.9649,9.711,8.7406,9.4219,558061,0.789,9.14
2017-06-14,9.3637,9.4302,9.0563,9.2723,370670,-0.1498,-1.59
2017-06-15,9.2059,9.4551,8.7738,9.2474,243614,-0.025,-0.27
2017-06-16,9.2059,9.5382,9.1394,9.3471,379260,0.0999,1.08
2017-06-19,9.3721,9.4551,9.0563,9.3554,172186,0.0084,0.09
2017-06-20,9.2973,9.2973,8.8071,8.8985,205227,-0.4565,-4.88
2017-06-21,8.9234,9.1394,8.7248,9.0563,143052,0.1575,1.77
