日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-01-25,11.0,11.25,10.8,10.93,64579,0.0,0.0
2021-01-26,11.0,11.09,10.5,10.6,115674,-0.33,-3.02
2021-01-27,10.6,10.67,10.25,10.48,799398,-0.12,-1.1321
2021-01-28,10.62,10.66,10.3,10.55,779442,0.07,0.67
2021-01-29,10.75,10.8999,10.55,10.66,637576,0.11,1.04
2021-02-01,10.84,11.44,10.67,11.4,1319194,0.74,6.94
2021-02-02,11.64,12.0,11.35,11.5,308467,0.1,0.88
2021-02-03,11.35,11.7599,11.35,11.58,561358,0.08,0.6957
2021-02-04,11.59,11.74,11.5,11.6,143557,0.02,0.17
2021-02-05,11.91,11.95,11.45,11.68,118610,0.08,0.69
2021-02-08,11.7,11.85,11.3,11.79,184252,0.11,0.94
2021-02-09,11.44,11.85,11.4,11.68,183578,-0.11,-0.93
2021-02-10,11.67,11.7,11.41,11.56,180410,-0.12,-1.03
2021-02-11,11.5,11.69,11.28,11.68,207641,0.12,1.04
2021-02-12,11.68,11.69,11.29,11.66,421559,-0.02,-0.17
2021-02-16,11.85,12.1,11.45,11.55,303980,-0.11,-0.94
2021-02-17,11.6,11.61,11.29,11.43,110604,-0.12,-1.04
2021-02-18,11.5,11.7165,11.47,11.54,159580,0.11,0.96
2021-02-19,11.66,11.83,11.5,11.73,177511,0.19,1.6464
2021-02-22,11.71,11.75,11.55,11.59,71444,-0.14,-1.19
2021-02-23,11.1,11.49,11.0,11.4,149505,-0.19,-1.64
2021-02-24,11.35,11.5,11.22,11.3198,69279,-0.08,-0.7
2021-02-25,11.32,11.4,10.5,10.5,128458,-0.82,-7.24
2021-02-26,10.71,11.03,10.55,10.75,233225,0.25,2.38
2021-03-01,10.75,10.94,10.56,10.75,433529,0.0,0.0
2021-03-02,10.74,10.75,10.45,10.55,98784,-0.2,-1.86
2021-03-03,10.5988,10.6199,10.25,10.43,185587,-0.12,-1.14
2021-03-04,10.36,10.47,10.1,10.19,196035,-0.24,-2.3
2021-03-05,10.19,10.36,9.95,10.25,764655,0.06,0.59
2021-03-08,10.29,10.33,10.15,10.24,129711,-0.01,-0.0976
2021-03-09,10.24,10.3447,10.12,10.24,103825,0.0,0.0
2021-03-10,10.09,10.75,10.09,10.5,910950,0.26,2.54
2021-03-11,10.8,10.88,10.54,10.8,1896436,0.3,2.86
2021-03-12,10.77,10.88,10.52,10.7,599694,-0.1,-0.93
2021-03-15,10.85,10.95,10.61,10.69,368622,-0.01,-0.09
2021-03-16,10.65,10.74,10.35,10.44,321366,-0.25,-2.34
2021-03-17,10.28,10.4332,10.25,10.39,303343,-0.05,-0.48
2021-03-18,10.39,10.4,10.2201,10.24,389284,-0.15,-1.44
2021-03-19,10.26,10.29,10.16,10.23,355390,-0.01,-0.1
2021-03-22,10.35,10.7899,10.26,10.69,1944982,0.46,4.5
2021-03-23,10.37,10.4424,10.08,10.15,12835552,-0.54,-5.05
