日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2016-04-19,1.0,1.0,1.0,1.0,100,1.0,0.0
2016-04-20,1.0,1.2,1.0,1.2,5000,0.2,20.0
2016-04-21,1.5,1.5,1.11,1.2,14013,0.0,0.0
2016-04-22,0.51,1.17,0.45,0.87,9700,-0.33,-27.5
2016-04-25,0.9,0.9,0.9,0.9,410,0.03,3.45
2016-04-26,1.15,1.15,0.9,0.9,4538,,
2016-04-27,0.95,0.98,0.95,0.95,1966,0.05,5.56
2016-04-28,1.13,1.13,1.0,1.0,670,0.05,5.26
2016-04-29,1.14,1.49,1.11,1.35,10115,0.35,34.99
2016-05-02,1.28,1.5,1.25,1.25,27400,-0.1,-7.4
2016-05-03,1.16,1.993,1.16,1.16,984,,
2016-05-04,2.0,2.0,2.0,2.0,127,,
2016-05-05,0.75,1.95,0.75,1.5,1850,-0.5,-25.0
2016-05-06,1.25,1.49,1.25,1.49,300,-0.01,-0.67
2016-05-10,1.48,1.48,1.47,1.47,1410,-0.02,-1.35
2016-05-11,1.49,1.49,1.49,1.49,1547,0.02,1.36
2016-05-12,1.0,1.45,1.0,1.19,1600,-0.3,-20.13
2016-05-16,1.25,1.25,1.236,1.24,10300,0.05,4.2
2016-05-17,1.25,1.25,1.2,1.25,2711,0.01,0.81
2016-05-19,1.02,1.25,1.02,1.15,523,-0.1,-8.0
2016-05-23,1.1,1.1,1.0,1.0,4728,-0.15,-13.04
2016-05-24,1.25,1.25,1.25,1.0,87,0.25,25.0
2016-05-25,1.15,1.15,1.15,1.15,165,0.15,15.0
2016-05-26,1.05,1.05,1.05,1.05,913,-0.1,-8.7
2016-06-01,1.05,1.05,1.05,1.05,1000,,
2016-06-03,1.15,1.15,1.15,1.15,1735,0.1,9.52
2016-06-07,1.15,1.15,1.15,1.15,1665,,
2016-06-17,1.279,1.3,1.279,1.299,4335,0.15,12.94
2016-06-20,1.18,1.18,1.06,1.06,1000,-0.24,-18.39
2016-06-21,1.02,1.02,1.0,1.0,7013,-0.06,-5.66
2016-06-22,1.0,1.0,1.0,1.0,1000,,
2016-06-23,1.28,1.28,1.0,1.0,5016,0.0,0.0
2016-06-24,1.09,1.1,1.09,1.095,3500,0.09,9.46
2016-06-27,0.84,1.21,0.84,1.21,8550,0.12,10.54
2016-06-28,1.45,1.45,1.45,1.45,229,0.24,19.83
2016-06-30,1.15,1.24,1.14,1.14,6900,-0.31,-21.38
