日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2017-03-24,10.21,10.45,10.2,10.36,10110670,0.36,3.6
2017-03-27,10.45,10.51,10.35,10.5,1617136,0.14,1.35
2017-03-28,10.5,10.525,10.4,10.45,942883,-0.05,-0.48
2017-03-29,10.5,10.5,10.37,10.44,569476,-0.01,-0.1
2017-03-30,10.45,10.47,10.4,10.46,152626,0.02,0.19
2017-03-31,10.5,10.5,10.43,10.43,33269,-0.03,-0.29
2017-04-03,10.45,10.45,10.36,10.44,123067,0.01,0.1
2017-04-04,10.44,10.44,10.4,10.41,49529,-0.03,-0.29
2017-04-05,10.45,10.45,10.41,10.44,170208,0.03,0.29
2017-04-06,10.44,10.44,10.38,10.42,35112,-0.02,-0.19
2017-04-07,10.42,10.42,10.38,10.42,287925,0.0,0.0
2017-04-10,10.42,10.44,10.38,10.4,44100,-0.02,-0.19
2017-04-11,10.37,10.41,10.37,10.4,31888,0.0,0.0
2017-04-12,10.45,10.45,10.36,10.4,46416,0.0,0.0
2017-04-13,10.4,10.4,10.37,10.39,208502,-0.01,-0.1
2017-04-17,10.396,10.4,10.37,10.4,33976,0.01,0.1
2017-04-18,10.38,10.42,10.38,10.4,57981,0.0,0.0
2017-04-19,10.39,10.39,10.34,10.35,133323,-0.05,-0.48
2017-04-20,10.38,10.4,10.32,10.37,78811,0.02,0.19
2017-04-21,10.37,10.37,10.35,10.37,71225,0.0,0.0
2017-04-24,10.37,10.37,10.27,10.3,1523039,-0.07,-0.68
2017-04-25,10.28,10.32,10.25,10.32,107127,0.02,0.19
2017-04-26,10.35,10.35,10.25,10.33,120745,0.01,0.1
2017-04-27,10.34,10.34,10.25,10.26,1947832,-0.07,-0.68
2017-04-28,10.25,10.42,10.25,10.33,152053,0.07,0.68
2017-05-01,10.316,10.35,10.25,10.34,981440,0.01,0.1
2017-05-02,10.356,10.356,10.25,10.25,17220,-0.09,-0.87
2017-05-03,10.3,10.4,10.27,10.27,44313,0.02,0.2
2017-05-04,10.316,10.33,10.26,10.32,26950,0.05,0.49
2017-05-05,10.35,10.35,10.3,10.35,25566,0.03,0.29
2017-05-08,10.38,10.38,10.34,10.38,21843,0.03,0.29
2017-05-09,10.39,10.39,10.345,10.39,9295,0.01,0.1
2017-05-10,10.4,10.4,10.34,10.344,4879,-0.05,-0.44
2017-05-11,10.4,10.4,10.32,10.39,80337,0.05,0.44
2017-05-12,10.4,10.4,10.3,10.33,34569,-0.06,-0.58
2017-05-15,10.35,10.39,10.3,10.32,106835,-0.01,-0.1
2017-05-16,10.33,10.36,10.31,10.33,17046,0.01,0.1
2017-05-17,10.26,10.38,10.26,10.35,70216,0.02,0.19
2017-05-18,10.34,10.373,10.33,10.35,67138,0.0,0.0
2017-05-19,10.4,10.45,10.33,10.35,44378,0.0,0.0
2017-05-22,10.35,10.355,10.33,10.34,50514,-0.01,-0.1
2017-05-23,10.35,10.38,10.34,10.34,9076,0.0,0.0
