日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2014-03-17,25.3,25.36,25.25,25.29,86512,0.0,0.0
2014-03-18,25.32,25.39,25.3,25.38,67348,0.09,0.36
2014-03-19,25.4,25.44,25.21,25.27,79317,-0.11,-0.43
2014-03-20,25.27,25.33,25.25,25.31,31892,0.04,0.16
2014-03-21,25.32,25.38,25.32,25.36,25952,0.05,0.2
2014-03-24,25.39,25.47,25.36,25.45,54015,0.09,0.35
2014-03-25,25.49,25.67,25.47,25.62,59788,0.17,0.67
2014-03-26,25.37,25.54,25.27,25.51,83781,-0.11,-0.43
2014-03-27,25.54,25.6,25.41,25.51,66926,0.0,0.0
2014-03-28,25.54,25.54,25.47,25.49,30710,-0.02,-0.08
2014-03-31,25.54,25.58,25.49,25.54,38166,0.05,0.2
2014-04-01,25.56,25.62,25.52,25.55,54216,0.01,0.04
2014-04-02,25.53,25.53,25.48,25.48,24981,-0.07,-0.27
2014-04-04,25.6,25.68,25.58,25.67,60752,0.19,0.75
2014-04-07,25.66,25.67,25.58,25.67,53986,0.0,0.0
2014-04-08,25.68,25.79,25.62,25.75,52852,0.08,0.31
2014-04-09,25.78,25.88,25.78,25.84,61149,0.09,0.35
2014-04-10,25.86,25.9,25.74,25.78,39378,-0.06,-0.23
2014-04-11,25.76,25.8,25.65,25.69,44435,-0.09,-0.35
2014-04-14,25.73,25.8,25.69,25.8,23105,0.11,0.43
2014-04-15,25.8,25.84,25.77,25.82,16333,0.02,0.08
2014-04-16,25.82,25.86,25.75,25.85,79707,0.03,0.12
2014-04-17,25.86,25.92,25.72,25.85,408685,0.0,0.0
2014-04-21,25.85,25.85,25.75,25.81,61004,-0.04,-0.15
2014-04-22,25.84,25.86,25.79,25.81,50095,0.0,0.0
2014-04-23,25.81,25.84,25.77,25.83,26689,0.02,0.08
2014-04-24,25.83,26.1,25.83,26.08,153588,0.25,0.97
2014-04-25,25.71,25.99,25.69,25.99,83488,0.35,1.37
2014-04-28,25.9,26.03,25.86,25.96,32686,-0.03,-0.12
2014-04-29,26.1,26.15,26.0,26.01,46357,0.05,0.19
2014-04-30,25.84,25.9,25.76,25.77,8908,-0.07,-0.27
2014-05-02,25.86,25.86,25.75,25.85,14914,0.08,0.31
2014-05-05,25.87,25.9,25.85,25.9,8915,0.05,0.19
2014-05-06,25.9,25.9,25.76,25.8,30845,-0.1,-0.39
2014-05-07,25.8,25.89,25.77,25.81,25580,0.01,0.04
2014-05-08,25.82,25.82,25.73,25.73,31498,-0.08,-0.31
2014-05-09,25.77,25.83,25.75,25.75,14645,-0.03,-0.12
2014-05-16,25.85,25.85,25.75,25.81,13417,0.06,0.23
2014-05-19,25.88,25.92,25.77,25.84,22251,-0.03,-0.12
2014-06-04,25.87,25.87,25.78,25.86,36201,0.02,0.08
2014-06-05,25.9,25.9,25.88,25.89,11075,0.01,0.05
2014-06-10,25.89,25.9,25.8,25.9,9015,0.01,0.04
2014-06-11,25.89,25.9,25.84,25.9,6495,0.0,0.0
2014-06-12,25.8,25.95,25.77,25.78,19205,-0.12,-0.46
2014-06-13,25.78,25.84,25.66,25.66,15246,-0.12,-0.47
2014-06-16,25.8,25.83,25.78,25.83,8909,0.08,0.31
2014-06-18,25.8,25.96,25.78,25.96,19536,0.13,0.5
2014-06-19,25.94,25.99,25.9,25.9,3172,-0.06,-0.23
2014-06-20,25.91,26.04,25.91,26.04,7537,0.14,0.53
2014-06-23,25.95,26.01,25.83,25.92,13827,-0.12,-0.45
2014-06-24,25.97,26.09,25.96,26.09,8739,0.17,0.66
2014-06-25,26.05,26.65,25.93,26.05,10738,-0.04,-0.15
2014-06-26,26.25,26.53,26.04,26.1,18387,-0.1,-0.38
2014-06-30,26.09,26.2,26.0,26.0,12445,-0.1,-0.38
2014-07-01,26.02,26.08,26.01,26.04,6218,0.04,0.15
2014-07-02,26.07,26.09,25.9,25.95,68221,-0.09,-0.35
2014-07-03,26.07,26.25,26.05,26.25,43946,0.25,0.96
2014-07-08,26.33,26.33,26.14,26.2,16522,-0.05,-0.19
2014-07-09,26.25,26.29,26.2,26.23,19661,0.0,-0.01
2014-07-15,26.22,26.29,26.21,26.24,18093,0.01,0.04
2014-07-16,26.27,26.33,26.21,26.25,8877,0.01,0.04
2014-07-17,26.26,26.36,25.96,26.01,120216,-0.24,-0.91
2014-07-18,26.01,26.12,25.97,26.1,78139,0.09,0.35
2014-07-21,26.1,26.23,26.07,26.2,32174,0.1,0.38
2014-07-22,26.22,26.3,26.18,26.25,27637,0.05,0.19
2014-07-23,26.47,26.48,26.4,26.43,21000,-0.01,-0.02
2014-07-25,26.05,26.18,26.05,26.11,23663,0.19,0.74
2014-07-28,26.15,26.18,26.13,26.18,4356,0.07,0.27
2014-07-29,26.18,26.19,26.15,26.17,10442,-0.01,-0.04
2014-07-30,26.1,26.21,26.1,26.15,5618,-0.02,-0.08
2014-07-31,26.1,26.15,25.9,26.15,25543,0.0,0.0
2014-08-01,26.01,26.15,26.01,26.12,3021,-0.03,-0.11
2014-08-04,26.06,26.06,25.94,26.0,12804,-0.12,-0.46
2014-08-06,26.12,26.12,26.07,26.08,4879,0.02,0.08
2014-08-07,26.22,26.22,26.13,26.21,8687,0.13,0.51
2014-08-08,26.2,26.34,26.13,26.34,12687,0.13,0.48
2014-08-11,26.3,26.4,26.25,26.35,2205,0.01,0.03
2014-08-12,26.38,26.39,26.23,26.31,7750,-0.04,-0.13
2014-08-13,26.43,26.54,26.32,26.54,18519,0.23,0.87
2014-08-14,26.68,26.84,26.65,26.67,29191,0.13,0.49
2014-08-15,26.67,26.9,26.67,26.81,8673,0.14,0.52
