日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2022-08-23,27.0,46.21,10.1,15.4,22104087,11.4,285.0
2022-08-24,13.11,15.39,9.31,9.83,19156257,-5.57,-36.17
2022-08-25,8.53,9.3999,6.98,7.09,9194432,-2.74,-27.87
2022-08-26,6.38,6.6207,4.91,5.32,5647188,-1.77,-24.96
2022-08-29,5.8,7.3,5.78,6.44,23224390,1.12,21.05
2022-08-30,6.17,6.18,4.9,5.07,3017643,-1.37,-21.27
2022-08-31,5.11,5.64,4.5507,5.22,3669105,0.15,2.96
2022-09-01,4.97,5.11,4.55,4.75,1288636,-0.47,-9.0
2022-09-02,4.67,4.7899,4.15,4.15,989930,-0.6,-12.63
2022-09-06,4.12,4.151,3.6,3.61,915698,-0.54,-13.01
2022-09-07,3.57,3.9999,3.39,3.4,1325462,-0.21,-5.82
2022-09-08,3.3,4.6,3.3,3.67,10060326,0.27,7.94
2022-09-09,3.51,3.7193,3.3,3.3,1441454,-0.37,-10.08
2022-09-12,3.35,3.49,3.18,3.28,910892,-0.02,-0.61
2022-09-13,3.22,3.23,2.95,3.0,779616,-0.28,-8.54
2022-09-14,2.95,3.4,2.92,3.13,1744627,0.13,4.33
2022-09-15,3.06,3.45,3.04,3.14,1312611,0.01,0.32
2022-09-16,3.05,3.11,2.84,2.84,475472,-0.3,-9.55
2022-09-19,2.8,2.87,2.57,2.6,427924,-0.24,-8.4507
2022-09-20,2.56,2.79,2.52,2.56,486355,-0.04,-1.54
2022-09-21,2.57,2.5888,2.31,2.31,354154,-0.25,-9.77
2022-09-22,2.31,2.35,2.06,2.07,474502,-0.24,-10.39
2022-09-23,2.07,2.15,1.86,2.13,704632,0.06,2.9
2022-09-26,2.02,2.12,1.9901,2.11,156971,-0.02,-0.94
2022-09-27,2.11,2.2169,1.98,1.98,170705,-0.13,-6.1611
2022-09-28,2.0,2.1007,1.9212,2.04,182329,0.06,3.03
2022-09-29,2.04,2.08,1.92,1.98,204260,-0.06,-2.94
2022-09-30,1.97,2.05,1.895,1.9,212241,-0.08,-4.04
2022-10-03,1.92,1.99,1.67,1.72,329372,-0.18,-9.47
2022-10-04,1.72,1.85,1.72,1.83,179056,0.11,6.4
2022-10-05,1.81,1.84,1.73,1.84,74739,0.01,0.55
2022-10-06,1.81,1.9599,1.75,1.79,283726,-0.05,-2.72
2022-10-07,1.7849,1.7849,1.7,1.7253,146028,-0.065,-3.63
2022-10-10,1.74,1.74,1.58,1.6,100044,-0.125,-7.25
2022-10-11,1.55,1.6715,1.53,1.58,234619,-0.02,-1.25
2022-10-12,1.56,1.6396,1.46,1.47,114629,-0.11,-6.96
2022-10-13,1.44,1.56,1.37,1.52,101533,0.05,3.4
2022-10-14,1.53,1.5395,1.41,1.43,215521,-0.09,-5.92
2022-10-17,1.42,1.6,1.41,1.52,159177,0.09,6.29
2022-10-18,1.58,1.6,1.5,1.55,63737,0.03,1.97
2022-10-19,1.55,1.6,1.5104,1.56,93922,0.01,0.6452
2022-10-20,1.57,1.73,1.53,1.73,222392,0.17,10.9
2022-10-21,1.75,1.97,1.67,1.7,480382,-0.03,-1.73
2022-10-24,1.68,1.68,1.5639,1.6,150499,-0.1,-5.88
2022-10-25,1.61,1.75,1.59,1.65,121129,0.05,3.13
2022-10-26,1.66,1.72,1.64,1.68,80142,0.03,1.82
2022-10-27,1.67,1.68,1.59,1.62,75249,-0.06,-3.57
2022-10-28,1.65,1.7325,1.62,1.67,104092,0.05,3.09
2022-10-31,1.7,1.75,1.64,1.7,66940,0.03,1.8
2022-11-01,1.71,1.73,1.675,1.68,53816,-0.02,-1.18
2022-11-02,1.68,1.8,1.67,1.69,166755,0.01,0.5952
2022-11-03,1.66,1.75,1.66,1.7088,154719,0.019,1.12
2022-11-04,1.7,1.74,1.68,1.6984,98022,-0.0104,-0.6086
2022-11-07,1.81,1.82,1.68,1.7075,149424,0.009,0.53
2022-11-08,1.7,1.75,1.6997,1.71,147195,0.002,0.12
2022-11-09,1.68,1.71,1.53,1.54,180175,-0.17,-9.94
2022-11-10,1.61,1.62,1.55,1.58,65444,0.04,2.6
2022-11-11,1.71,1.7877,1.6,1.74,146495,0.16,10.13
2022-11-14,1.77,2.3,1.71,2.11,624252,0.37,21.26
2022-11-15,2.11,2.38,2.02,2.16,364227,0.05,2.3697
2022-11-16,2.15,2.23,2.0,2.02,151484,-0.14,-6.48
2022-11-17,1.97,2.1291,1.97,2.08,69906,0.06,2.97
2022-11-18,2.1,2.1472,2.03,2.07,50642,-0.01,-0.48
2022-11-21,2.07,2.195,2.01,2.11,49926,0.04,1.93
2022-11-22,2.11,2.5252,2.11,2.49,403619,0.38,18.01
2022-11-23,2.48,2.58,2.3001,2.57,149775,0.08,3.21
2022-11-25,2.58,2.58,2.4,2.4,31456,-0.17,-6.61
2022-11-28,2.56,2.68,2.42,2.56,310160,0.16,6.67
2022-11-29,2.6,2.65,2.32,2.34,252917,-0.22,-8.59
2022-11-30,2.4,2.4,2.1,2.24,276068,-0.1,-4.27
2022-12-01,2.28,2.38,2.23,2.3201,137357,0.0801,3.5759
2022-12-02,2.28,2.55,2.28,2.46,109056,0.14,6.03
2022-12-05,2.531,2.5512,2.34,2.38,213001,-0.08,-3.25
2022-12-06,2.44,2.44,2.2,2.21,129825,-0.17,-7.14
2022-12-07,2.22,2.24,2.19,2.22,81847,0.01,0.45
