日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2019-11-07,25.75,25.75,25.31,25.32,91749,-0.07,-0.28
2019-11-08,25.31,25.33,25.31,25.3101,153654,-0.0099,-0.04
2019-11-11,25.35,25.35,25.31,25.31,54103,-0.0001,0.0
2019-11-12,25.3,25.32,25.3,25.32,854196,0.01,0.04
2019-11-13,25.31,25.32,25.31,25.31,261267,-0.01,-0.04
2019-11-14,25.32,25.33,25.32,25.32,51813,0.01,0.04
2019-11-15,25.33,25.33,25.32,25.32,276863,0.0,0.0
2019-11-18,25.32,25.34,25.32,25.33,32464,0.01,0.04
2019-11-19,25.32,25.33,25.3,25.32,106045,-0.01,-0.04
2019-11-20,25.32,25.34,25.32,25.333,297256,0.013,0.05
2019-11-21,25.33,25.34,25.33,25.33,2063180,-0.003,-0.01
2019-11-22,25.33,25.34,25.33,25.34,794117,0.01,0.04
2019-11-25,25.33,25.34,25.33,25.34,40691,0.0,0.0
2019-11-26,25.34,25.35,25.34,25.34,24640,0.0,0.0
2019-11-27,25.34,25.36,25.34,25.35,193117,0.01,0.04
2019-11-29,25.34,25.36,25.34,25.34,151982,-0.01,-0.04
2019-12-02,25.36,25.36,25.3359,25.35,231972,0.01,0.04
2019-12-03,25.35,25.35,25.34,25.35,94584,0.0,0.0
2019-12-04,25.34,25.36,25.34,25.35,528684,0.0,0.0
2019-12-05,25.35,25.36,25.35,25.36,60060,0.01,0.04
2019-12-06,25.36,25.37,25.35,25.36,162774,0.0,0.0
2019-12-09,25.36,25.37,25.36,25.36,37513,0.0,0.0
2019-12-10,25.36,25.38,25.36,25.37,60879,0.01,0.04
2019-12-11,25.37,25.38,25.36,25.37,52226,0.0,0.0
2019-12-12,25.37,25.38,25.3601,25.375,108349,0.005,0.02
2019-12-13,25.3742,25.3873,25.37,25.38,88391,0.005,0.02
