日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2002-12-11,5.7786,6.0299,5.653,5.7786,36719900,0.0,0.0
2002-12-12,5.7786,5.8239,5.5374,5.6178,9195600,-0.1606,-2.78
2002-12-13,5.5776,5.7786,5.5023,5.7384,7739400,0.1208,2.15
2002-12-16,5.6882,5.8389,5.5927,5.8339,3836400,0.0953,1.66
2002-12-17,5.8289,5.9193,5.7535,5.7786,2729900,-0.0554,-0.95
2002-12-18,5.7384,5.7435,5.5927,5.6279,2152800,-0.1508,-2.61
2002-12-19,5.6028,5.6279,5.3817,5.4068,6450800,-0.2212,-3.93
2002-12-20,5.452,5.4972,5.3063,5.4319,2930900,0.0249,0.46
2002-12-23,5.3817,5.3817,5.1254,5.2259,3455900,-0.2059,-3.79
2002-12-24,5.2259,5.251,5.0249,5.1455,3302500,-0.0805,-1.54
2002-12-26,5.05,5.1254,5.0249,5.04,2019200,-0.1055,-2.05
2002-12-27,5.0249,5.0902,4.9545,5.0902,1639400,0.0504,1.0
2002-12-30,5.1354,5.3013,5.0249,5.2611,2742800,0.171,3.36
2002-12-31,5.1756,5.5073,5.1756,5.3917,3730800,0.1305,2.48
2003-01-02,5.4018,5.4068,5.1505,5.2761,3473000,-0.1154,-2.14
2003-01-03,5.2761,5.4018,5.1907,5.4018,1716600,0.1256,2.38
2003-01-06,5.4771,5.8138,5.452,5.7435,4041400,0.3419,6.33
2003-01-07,5.7786,6.1555,5.7284,6.1555,6823500,0.4118,7.17
2003-01-08,6.055,6.1505,6.0048,6.1304,4623100,-0.0252,-0.41
2003-01-09,6.1806,6.5072,6.1555,6.3314,9601000,0.2011,3.28
2003-01-10,5.7786,6.0048,5.3766,5.5776,7554700,-0.7534,-11.9
2003-01-13,5.6028,5.6681,5.1003,5.1405,2834700,-0.4373,-7.84
2003-01-14,5.1405,5.2008,5.0249,5.1505,1629200,0.0103,0.2
2003-01-15,5.2058,5.4671,5.1204,5.4118,2588100,0.2611,5.07
2003-01-16,5.5173,5.5776,5.4168,5.5324,1443400,0.1207,2.23
2003-01-17,5.5173,5.5274,5.2259,5.4269,2000000,-0.1057,-1.91
2003-01-21,5.4771,5.5173,5.1304,5.1455,1165700,-0.2817,-5.19
2003-01-22,5.1957,5.1957,4.6732,4.7837,3488500,-0.3617,-7.03
2003-01-23,4.8993,5.1003,4.8289,5.0249,2498400,0.2411,5.04
2003-01-24,5.1103,5.241,4.9244,4.9998,2772100,-0.0251,-0.5
2003-01-27,4.9244,4.9746,4.6832,4.6983,1150600,-0.3015,-6.03
2003-01-28,4.7385,4.8792,4.7234,4.7234,1267000,0.0249,0.53
2003-01-29,4.7335,4.9847,4.7234,4.8892,1174400,0.1658,3.51
2003-01-30,4.9194,4.9696,4.7234,4.7234,720700,-0.1657,-3.39
2003-01-31,4.6732,4.6933,4.5174,4.6129,1402500,-0.1105,-2.34
2003-02-03,4.638,4.7485,4.6028,4.6078,1002400,-0.0051,-0.11
2003-02-04,4.6129,4.6129,4.4973,4.5475,1087700,-0.0604,-1.31
2003-02-05,4.5827,4.6279,4.5124,4.5475,1233500,0.0,0.0
2003-02-06,4.5727,4.6933,4.5375,4.5475,923500,0.0,0.0
2003-02-07,4.5978,4.6078,4.5023,4.5224,1069500,-0.025,-0.55
2003-02-10,4.3968,4.3968,3.9094,4.3717,10046400,-0.1506,-3.33
2003-02-11,4.3717,4.4872,4.1355,4.4872,2238900,0.1154,2.64
2003-02-12,4.5124,4.5124,4.1242,4.2049,1726000,-0.2976,-6.61
2003-02-13,4.2099,4.2604,4.0335,4.0637,2111000,-0.1413,-3.36
2003-02-14,4.0637,4.2351,4.0637,4.2351,881000,0.1715,4.22
2003-02-18,4.2351,4.4066,4.2301,4.4066,2049100,0.1715,4.05
2003-02-19,4.4419,4.5377,4.4066,4.5326,1493800,0.126,2.86
2003-02-20,4.4822,4.6133,4.4721,4.5427,760000,0.01,0.22
2003-02-21,4.5528,4.7192,4.5528,4.6385,1519300,0.0958,2.11
2003-02-24,4.6637,4.7393,4.4772,4.5377,1055600,-0.1007,-2.17
2003-02-25,4.5377,4.9158,4.5225,4.8805,3049400,0.343,7.56
2003-02-26,4.8654,4.9107,4.7494,4.7998,782300,-0.0805,-1.65
2003-02-27,4.7494,4.8855,4.699,4.7645,387000,-0.0355,-0.74
2003-02-28,4.7897,4.7897,4.6284,4.6738,820200,-0.0905,-1.9
2003-03-03,4.6637,4.7998,4.6486,4.6889,575800,-0.0151,-0.32
2003-03-04,4.704,4.7343,4.6385,4.6738,517600,0.0103,0.22
2003-03-05,4.6536,4.7494,4.6082,4.6839,1017700,0.1417,3.12
2003-03-06,4.6334,4.9158,4.6334,4.8301,1481100,0.0596,1.25
2003-03-07,4.7797,4.9612,4.7343,4.8906,898800,,
2003-03-10,4.7645,4.9208,4.7645,4.9208,1837100,-0.1081,-2.15
2003-03-11,4.8906,4.9158,4.7645,4.815,1960400,-0.2775,-5.45
2003-03-12,4.7141,4.7393,4.5124,4.5528,4556400,0.01,0.22
2003-03-13,4.5528,4.6133,4.4772,4.5629,4223600,-0.0456,-0.99
2003-03-14,4.5477,4.5881,4.4116,4.5175,2406700,,
2003-03-17,4.5175,4.7545,4.462,4.7141,994400,0.0938,2.03
2003-03-18,4.7141,4.82,4.7141,4.8099,782500,-0.1032,-2.1
