日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-07-12,9.5,9.97,9.5,9.92,392228,0.46,4.86
2021-07-13,9.86,9.92,9.34,9.58,868919,-0.34,-3.43
2021-07-14,9.5,9.65,8.19,8.485,978080,-1.095,-11.43
2021-07-15,8.5,8.56,8.06,8.43,557679,-0.055,-0.65
2021-07-16,8.48,8.5,7.65,8.13,813118,-0.3,-3.56
2021-07-19,8.05,8.15,7.56,7.66,449392,-0.47,-5.78
2021-07-20,7.85,8.51,7.77,8.15,701588,0.49,6.3969
2021-07-21,8.35,8.6098,8.33,8.46,257164,0.31,3.8037
2021-07-22,9.0,9.04,8.67,8.85,892465,0.39,4.61
2021-07-23,8.81,9.05,8.69,8.75,462044,-0.1,-1.1299
2021-07-26,8.68,8.99,8.62,8.73,569952,-0.02,-0.23
2021-07-27,8.66,8.79,8.28,8.63,246486,-0.1,-1.1455
2021-07-28,8.7,8.94,7.9,8.25,318898,-0.38,-4.4
2021-07-29,8.25,8.37,7.91,7.96,321314,-0.29,-3.52
2021-07-30,7.87,8.38,7.86,8.21,185758,0.25,3.1407
2021-08-02,8.09,8.4,8.08,8.25,288957,0.04,0.49
2021-08-03,8.34,8.47,8.04,8.11,300157,-0.14,-1.7
2021-08-04,8.32,8.38,7.82,7.97,191842,-0.14,-1.73
2021-08-05,8.0,8.2,7.91,7.98,561095,0.01,0.13
2021-08-06,8.1,8.1,7.9,8.05,170552,0.07,0.88
2021-08-09,8.06,8.32,7.9,8.32,246296,0.27,3.35
2021-08-10,8.38,8.64,8.35,8.52,321794,0.2,2.4
2021-08-11,8.58,9.069,8.57,8.69,499972,0.17,2.0
2021-08-12,8.6,8.6,8.31,8.32,361774,-0.37,-4.26
2021-08-13,8.22,8.23,7.91,7.96,658311,-0.36,-4.3269
2021-08-16,7.99,8.06,7.4,7.44,504538,-0.52,-6.53
2021-08-17,6.94,6.94,5.42,5.47,4199150,-1.97,-26.48
2021-08-18,5.72,5.87,5.6,5.7,1545354,0.23,4.2048
2021-08-19,5.76,5.865,5.07,5.2,1181259,-0.5,-8.77
2021-08-20,5.14,5.29,5.11,5.18,638311,-0.02,-0.38
2021-08-23,5.23,5.49,5.165,5.46,754071,0.28,5.4054
2021-08-24,5.57,5.68,5.46,5.6,658270,0.14,2.56
2021-08-25,5.83,5.84,5.6084,5.74,381463,0.14,2.5
2021-08-26,5.8,5.81,5.55,5.59,165122,-0.15,-2.61
2021-08-27,5.55,5.74,5.55,5.64,447619,0.05,0.8945
2021-08-30,5.66,5.79,5.3601,5.48,369141,-0.16,-2.84
2021-08-31,5.44,5.56,5.21,5.45,225478,-0.03,-0.55
2021-09-01,5.45,5.56,5.25,5.27,286008,-0.18,-3.3
2021-09-02,5.43,6.02,5.43,5.69,796438,0.42,7.97
2021-09-03,5.8,5.88,5.31,5.32,839657,-0.37,-6.5
2021-09-07,5.4,5.66,5.38,5.47,853322,0.15,2.82
2021-09-08,5.32,5.94,5.21,5.52,6753266,0.05,0.91
2021-09-09,5.61,5.85,5.61,5.65,1996516,0.13,2.36
2021-09-10,5.74,5.84,5.31,5.35,2498656,-0.3,-5.3097
2021-09-13,5.39,5.53,5.13,5.27,2264538,-0.08,-1.4953
2021-09-14,5.6,5.69,5.32,5.45,2209329,0.18,3.4156
2021-09-15,5.55,5.83,5.51,5.68,2846843,0.23,4.22
2021-09-16,5.99,6.67,5.98,6.18,6849651,0.5,8.8
2021-09-17,6.18,6.2867,5.55,5.8,3568456,-0.38,-6.15
2021-09-20,5.47,5.83,5.37,5.42,2164003,-0.38,-6.55
2021-09-21,5.48,5.529,5.3,5.36,1134761,-0.06,-1.107
2021-09-22,5.41,5.59,5.38,5.58,1099685,0.22,4.1
2021-09-23,5.63,5.75,5.31,5.41,1564004,-0.17,-3.05
2021-09-24,5.37,5.58,5.32,5.47,921124,0.06,1.11
