日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2018-12-27,11.24,11.24,10.6,11.19,329744,-0.15,-1.32
2018-12-28,11.18,11.45,11.01,11.22,321314,0.03,0.27
2018-12-31,11.19,12.31,11.16,12.27,864438,1.05,9.36
2019-01-02,12.06,12.38,11.7,11.91,468067,-0.36,-2.93
2019-01-03,11.77,12.09,11.31,11.72,333080,-0.19,-1.6
2019-01-04,11.93,12.73,11.735,12.66,258982,0.94,8.02
2019-01-07,12.76,13.84,12.58,13.4,514889,0.74,5.85
2019-01-08,13.51,13.9,12.85,13.63,282945,0.23,1.72
2019-01-09,13.68,13.88,13.315,13.47,235211,-0.16,-1.17
2019-01-10,13.32,13.64,12.8183,13.04,298009,-0.43,-3.19
2019-01-11,12.98,13.57,12.98,13.37,188806,0.33,2.53
2019-01-14,13.29,13.66,13.17,13.36,117393,-0.01,-0.07
2019-01-15,13.45,13.6,13.3,13.41,115314,0.05,0.37
2019-01-16,13.4,13.59,13.15,13.3,89072,-0.11,-0.82
2019-01-17,13.2,13.2,12.53,13.09,363283,-0.21,-1.58
2019-01-18,13.17,13.6,12.97,13.41,210339,0.32,2.44
2019-01-22,13.32,13.34,12.595,12.77,161886,-0.64,-4.77
2019-01-23,12.83,13.21,12.59,12.72,216347,-0.05,-0.39
2019-01-24,12.78,13.22,12.5701,13.18,164683,0.46,3.62
2019-01-25,13.24,13.45,13.06,13.23,162279,0.05,0.38
2019-01-28,13.11,13.17,12.6,12.9,250134,-0.33,-2.49
2019-01-29,12.9,13.05,12.62,12.64,100237,-0.26,-2.02
2019-01-30,12.75,12.99,12.59,12.67,295057,0.03,0.24
2019-01-31,12.66,13.35,12.66,13.01,217051,0.34,2.68
2019-02-01,13.01,13.1,12.55,12.8,251724,-0.21,-1.61
2019-02-04,12.82,13.9563,12.8075,13.65,357301,0.85,6.64
2019-02-05,13.84,13.91,13.46,13.69,274122,0.04,0.29
2019-02-06,13.69,13.8,13.56,13.7,181241,0.01,0.07
2019-02-07,13.62,14.13,13.45,14.01,455462,0.31,2.26
2019-02-08,13.9,15.01,13.9,14.08,852872,0.07,0.5
2019-02-11,14.26,14.4,13.64,14.31,564054,0.23,1.63
2019-02-12,14.43,14.6899,14.03,14.1,408484,-0.21,-1.47
2019-02-13,14.21,14.42,13.7,14.06,621090,-0.04,-0.28
2019-02-14,12.2,13.18,11.29,11.85,18235098,-2.21,-15.72
2019-02-15,11.81,12.57,11.6,12.35,3034016,0.5,4.22
2019-02-19,11.78,13.02,11.7,12.98,2570711,0.63,5.1
2019-02-20,12.89,13.4,12.7301,13.19,1417806,0.21,1.62
2019-02-21,13.11,13.26,12.91,13.15,624397,-0.04,-0.3
2019-02-22,13.02,13.58,12.98,13.51,1737486,0.36,2.74
2019-02-25,13.47,13.58,13.01,13.1,1507039,-0.41,-3.03
2019-02-26,13.01,13.14,12.9,13.09,1254269,-0.01,-0.08
2019-02-27,13.1,14.37,13.02,14.28,3735105,1.19,9.09
2019-02-28,13.94,15.9,13.875,15.17,4579314,0.89,6.23
2019-03-01,15.1,15.15,14.9,15.0,1121395,-0.17,-1.12
2019-03-04,15.0,15.01,14.25,14.69,778948,-0.31,-2.07
2019-03-05,14.73,14.76,14.3101,14.71,582022,0.02,0.14
2019-03-06,14.73,15.04,14.45,14.98,948451,0.27,1.84
2019-03-07,15.0,15.81,14.705,15.41,2882785,0.43,2.87
2019-03-08,15.21,15.21,14.75,15.2,1543282,-0.21,-1.36
2019-03-11,15.19,16.0,15.12,15.45,1760818,0.25,1.64
2019-03-12,15.53,15.86,15.36,15.79,576183,0.34,2.2
2019-03-13,15.85,16.0,15.38,15.55,1091683,-0.24,-1.52
2019-03-14,15.51,15.58,14.99,15.13,7790381,-0.42,-2.7
