日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2012-09-26,42.1223,42.156,42.1223,42.1392,225346,0.0,0.0
2012-09-27,42.1392,42.2066,42.1392,42.2066,8999,0.0674,0.16
2012-09-28,42.1223,42.2908,41.8696,42.1392,77450,-0.0675,-0.16
2012-10-01,42.1392,42.2234,42.1392,42.156,10236,0.0169,0.04
2012-10-02,42.2066,42.2066,42.1223,42.1729,8240,0.0169,0.04
2012-10-03,42.1257,42.1897,42.1223,42.1223,8345,-0.0506,-0.12
2012-10-04,42.1223,42.1223,41.9875,42.0044,3559,-0.1179,-0.28
2012-10-05,42.0381,42.0381,41.7853,41.8022,29776,-0.2016,-0.48
2012-10-08,41.8679,42.1223,41.5494,41.8696,22646,0.0669,0.16
2012-10-09,41.9033,42.1055,41.7853,42.0212,13002,0.1507,0.36
2012-10-10,41.9538,42.0381,41.7853,42.0212,6952,0.0,0.0
2012-10-11,41.9538,41.9538,41.7179,41.7853,14479,-0.2353,-0.56
2012-10-12,41.7853,41.8696,41.7685,41.8022,10210,0.0167,0.04
2012-10-15,41.7853,41.9538,41.7853,41.8527,11000,0.0502,0.12
2012-10-16,42.0381,42.1055,41.937,42.0381,3400,0.1842,0.44
2012-10-17,42.1055,42.1223,41.9724,41.9724,4035,-0.0673,-0.16
2012-10-18,41.9707,42.2402,41.9504,41.9538,2268,-0.0168,-0.04
2012-10-19,42.0212,42.2066,41.9538,42.0381,6245,0.0839,0.2
2012-10-22,42.1055,42.2891,42.1055,42.2891,7075,0.2522,0.6
2012-10-23,42.2066,42.4509,42.0381,42.1206,8035,-0.1692,-0.4
2012-10-24,42.1038,42.1038,41.7853,41.9538,6951,-0.1685,-0.4
2012-10-25,42.0364,42.0364,41.2883,41.4989,18798,-0.4531,-1.08
2012-10-26,41.5831,41.6168,41.263,41.6168,21548,0.1162,0.28
2012-10-31,41.263,41.9875,41.263,41.9875,38140,0.3704,0.89
2012-11-01,42.0718,42.1055,41.6505,41.6505,6300,-0.3359,-0.8
2012-11-02,41.7011,41.7685,41.5511,41.7685,2450,0.1166,0.28
2012-11-05,41.7011,41.8527,41.4483,41.7011,5190,-0.0668,-0.16
2012-11-06,41.7011,42.2066,41.7011,42.1223,42118,0.4212,1.01
2012-11-07,42.1223,42.1729,42.1223,42.1729,49659,0.0505,0.12
2012-11-08,42.0886,42.1745,42.0044,42.1392,20645,-0.0337,-0.08
2012-11-09,42.0044,42.0044,41.8022,41.9538,3150,-0.1854,-0.44
2012-11-12,41.8696,41.8696,41.4483,41.45,7342,-0.5034,-1.2
