日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-06-11,27.55,32.94,27.06,31.09,7449713,8.09,35.17
2021-06-14,30.55,33.06,29.3,31.32,1336917,0.23,0.74
2021-06-15,31.56,32.48,28.55,29.15,1079162,-2.17,-6.93
2021-06-16,29.15,30.84,28.66,29.39,1992577,0.24,0.82
2021-06-17,29.39,30.44,29.31,29.45,1304615,0.06,0.2
2021-06-18,29.1,29.88,28.545,29.11,349623,-0.34,-1.15
2021-06-21,29.34,33.08,29.34,29.88,1053994,0.77,2.65
2021-06-22,29.92,30.98,29.31,29.97,245710,0.09,0.3
2021-06-23,30.19,32.49,29.76,31.55,597980,1.58,5.27
2021-06-24,32.0,34.26,31.87,32.6,789617,1.05,3.33
2021-06-25,32.6,35.625,32.6,34.97,843427,2.37,7.27
2021-06-28,35.35,35.6025,33.17,34.7,449534,-0.27,-0.77
2021-06-29,34.56,35.22,33.32,34.79,357539,0.09,0.26
2021-06-30,34.94,35.2,33.76,34.24,262282,-0.55,-1.58
2021-07-01,34.2,34.49,31.745,33.24,527066,-1.0,-2.92
2021-07-02,33.24,33.24,32.08,32.39,353830,-0.85,-2.56
2021-07-06,33.5,34.0,31.25,31.78,781923,-0.61,-1.88
2021-07-07,31.81,32.73,31.0,32.0,326088,0.22,0.69
2021-07-08,31.3,31.9,30.8,31.21,391823,-0.79,-2.47
2021-07-09,32.0,32.44,31.4,31.92,353687,0.71,2.27
2021-07-12,32.42,32.6988,30.71,31.89,311677,-0.03,-0.09
2021-07-13,32.0,32.3199,30.66,31.28,178908,-0.61,-1.91
2021-07-14,31.37,32.24,29.81,29.93,242022,-1.35,-4.32
2021-07-15,29.84,30.24,29.0,29.87,196554,-0.06,-0.2
2021-07-16,30.06,30.5199,28.38,28.95,266975,-0.92,-3.08
2021-07-19,28.5,29.27,26.66,27.42,526277,-1.53,-5.28
2021-07-20,27.75,30.85,27.4551,30.0,236083,2.58,9.41
2021-07-21,30.43,30.75,29.15,29.15,200053,-0.85,-2.8333
2021-07-22,29.39,29.6699,28.67,29.08,103370,-0.07,-0.24
2021-07-23,29.58,30.98,29.2521,30.74,116221,1.66,5.71
2021-07-26,30.3,30.62,30.051,30.54,88713,-0.2,-0.65
2021-07-27,30.21,31.61,29.643,31.47,295018,0.93,3.05
2021-07-28,31.38,31.819,30.6201,31.05,98423,-0.42,-1.33
2021-07-29,31.17,32.2,30.722,31.67,268672,0.62,2.0
2021-07-30,31.31,31.7,30.41,30.45,469101,-1.22,-3.85
2021-08-02,30.87,31.2289,29.65,30.2,166741,-0.25,-0.82
2021-08-03,30.19,30.28,29.6242,30.07,240426,-0.13,-0.43
2021-08-04,30.14,30.3,28.2301,30.04,169612,-0.03,-0.1
2021-08-05,30.1,30.4414,29.745,30.14,122251,0.1,0.33
2021-08-06,30.24,31.47,29.95,31.0,400484,0.86,2.85
