日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2018-06-19,10.05,10.05,10.02,10.05,2405650,0.05,0.5
2018-06-20,10.05,10.05,10.04,10.04,347639,-0.01,-0.1
2018-06-21,10.05,10.05,10.04,10.04,394358,0.0,0.0
2018-06-22,10.0386,10.04,10.03,10.03,347296,-0.01,-0.1
2018-06-25,10.05,10.05,10.03,10.03,46738,0.0,0.0
2018-06-26,10.03,10.04,10.0,10.033,98360,0.003,0.03
2018-06-27,10.03,10.0301,10.018,10.03,42221,-0.003,-0.03
2018-06-28,10.04,10.04,10.03,10.04,111370,0.01,0.1
2018-06-29,10.02,10.04,10.02,10.0332,1956,-0.0068,-0.07
2018-07-02,10.03,10.03,10.03,10.03,1500,-0.0032,-0.03
2018-07-03,10.04,10.04,10.04,10.04,100000,0.01,0.1
2018-07-05,10.03,10.03,10.0299,10.03,8100,-0.01,-0.1
2018-07-06,10.03,10.05,10.03,10.05,228300,0.02,0.2
2018-07-09,10.0342,10.041,10.01,10.01,107530,-0.04,-0.4
2018-07-10,10.04,10.04,10.0207,10.0207,900,0.0107,0.11
2018-07-12,10.04,10.04,10.04,10.04,101000,0.0193,0.19
2018-07-13,10.01,10.04,10.01,10.04,100743,0.0,0.0
2018-07-16,10.06,10.1,10.06,10.1,223883,0.06,0.6
2018-07-17,10.15,10.15,10.12,10.12,1802528,0.02,0.2
2018-07-18,10.11,10.12,10.11,10.12,120000,0.0,0.0
2018-07-19,10.1,10.12,9.97,10.1,17825,-0.02,-0.2
2018-07-20,10.11,10.12,10.11,10.12,175901,0.02,0.2
2018-07-23,10.13,10.14,10.13,10.139,100000,0.019,0.19
2018-07-27,10.1399,10.1399,10.1399,10.1399,1002,0.0009,0.01
2018-07-31,10.11,10.11,10.11,10.11,1701,-0.0299,-0.29
2018-08-01,10.15,10.15,10.15,10.15,9905,0.04,0.4
2018-08-02,10.15,10.15,10.15,10.15,108100,0.0,0.0
2018-08-07,10.1,10.18,10.1,10.18,13570,0.03,0.3
2018-08-08,10.11,10.16,10.1,10.16,77459,-0.02,-0.2
2018-08-14,10.18,10.18,10.1496,10.1496,1000,-0.0104,-0.1
2018-08-27,10.1,10.1,10.1,10.1,301,-0.0496,-0.49
2018-08-28,10.18,10.18,10.18,10.18,1000,0.08,0.79
2018-08-31,10.02,10.15,10.02,10.14,12429,-0.04,-0.39
2018-09-05,10.1258,10.1258,10.1258,10.1258,1100,-0.0142,-0.14
2018-09-06,10.155,10.2,10.15,10.17,249100,0.0442,0.44
2018-09-07,10.15,10.15,10.15,10.15,1000,-0.02,-0.2
2018-09-14,10.1,10.2,10.1,10.2,42105,0.05,0.49
2018-09-17,10.16,10.2,10.16,10.2,25930,0.0,0.0
2018-09-18,10.16,10.16,10.16,10.16,2500,-0.04,-0.39
2018-09-19,10.18,10.18,10.18,10.18,100000,0.02,0.2
2018-09-20,10.17,10.18,10.17,10.18,136133,0.0,0.0
2018-09-21,10.01,10.13,10.0,10.13,1917,-0.05,-0.49
2018-09-25,10.15,10.15,10.129,10.129,3040,-0.001,-0.01
2018-09-26,10.15,10.15,10.15,10.15,2500,0.021,0.21
2018-09-27,10.14,10.16,10.14,10.16,200,0.01,0.1
2018-10-03,10.02,10.15,10.0,10.15,4191,-0.01,-0.1
2018-10-04,10.14,10.15,10.1385,10.15,8700,0.0,0.0
2018-10-05,10.14,10.14,10.14,10.14,1000,-0.01,-0.1
