日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2021-07-21,12.2624,12.2624,11.7163,12.0241,718953,2.095,21.1
2021-07-22,12.034,12.1532,12.0142,12.0142,91552,-0.0099,-0.0826
2021-07-23,12.0142,12.0442,11.8849,11.9546,163064,-0.0596,-0.4959
2021-07-26,11.9546,11.9943,11.9546,11.9844,48456,0.0298,0.2492
2021-07-27,11.9645,11.9844,11.9566,11.9844,117634,0.0,0.0
2021-07-28,11.9645,11.9844,11.9532,11.9844,77281,0.0,0.0
2021-07-29,11.9844,12.2326,11.9546,11.9546,39868,-0.0298,-0.2486
2021-07-30,11.9347,11.9644,11.8801,11.9149,43374,-0.0397,-0.3322
2021-08-02,11.9149,11.9149,11.8355,11.9149,27670,0.0,0.0
2021-08-03,11.9149,11.9149,11.8156,11.8752,71164,-0.0397,-0.3333
2021-08-04,11.8752,11.9149,11.777,11.9149,69906,0.0397,0.3344
2021-08-05,11.9,11.9645,11.8603,11.895,27383,-0.0199,-0.1667
2021-08-06,11.9149,11.9546,11.8851,11.9149,28053,0.0199,0.1669
2021-08-09,11.8901,11.9397,11.8652,11.9149,46050,0.0,0.0
2021-08-10,11.9149,11.9645,11.8652,11.9149,58730,0.0,0.0
2021-08-11,11.9149,11.9546,11.895,11.9447,61776,0.0298,0.25
2021-08-12,11.942,11.9844,11.9258,11.9347,32738,-0.0096,-0.08
2021-08-13,11.9844,12.1929,11.9427,12.1929,46191,0.2582,2.1631
2021-08-16,12.1647,12.5901,12.1035,12.5404,39987,0.3475,2.8502
2021-08-17,12.5106,12.6496,12.461,12.6496,29382,0.1092,0.8709
2021-08-18,12.605,12.8482,12.5864,12.8284,24422,0.1787,1.4129
2021-08-19,12.8283,12.8283,12.7489,12.7986,13992,-0.0295,-0.23
2021-08-20,12.7174,12.7986,12.7174,12.7986,14459,0.0,0.0
2021-08-23,12.8582,12.9078,12.8284,12.8582,23411,0.0596,0.4655
2021-08-24,12.8433,12.8879,12.6596,12.8582,9426,0.0,0.0
2021-08-25,12.7717,12.8085,12.6695,12.7688,5241,-0.0894,-0.695
2021-08-26,12.7948,12.8582,12.6695,12.8582,45955,0.0894,0.7
2021-08-27,12.8582,12.8582,12.7638,12.8582,16412,0.0,0.0
2021-08-30,12.8304,12.8582,12.6745,12.8582,18808,0.0,0.0
2021-08-31,12.8582,12.8879,12.7589,12.8879,19858,0.0298,0.2317
2021-09-01,12.7589,12.8582,12.7589,12.8582,6358,-0.0298,-0.2311
2021-09-02,12.7787,12.8681,12.7638,12.8681,9858,0.0099,0.0772
2021-09-03,12.7787,12.8482,12.7589,12.8482,6125,-0.0199,-0.1543
2021-09-07,12.8383,12.8681,12.8383,12.8582,34418,0.0099,0.0773
2021-09-08,12.8184,12.8879,12.7688,12.8879,18593,0.0298,0.2317
2021-09-09,12.8234,12.8879,12.7986,12.8482,9947,-0.0397,-0.3082
2021-09-10,12.8582,12.8582,12.7092,12.7291,23655,-0.1192,-0.9274
2021-09-13,12.8879,12.8879,12.6993,12.8383,14308,0.1092,0.858
2021-09-14,12.8383,12.8879,12.7936,12.8879,14732,0.0496,0.3867
2021-09-15,12.8879,13.2255,12.7688,12.9574,55195,0.0695,0.5393
2021-09-16,13.0071,13.2057,13.0071,13.1858,34224,0.2284,1.7625
2021-09-17,13.1858,13.2255,12.5305,12.6,137477,-0.5854,-4.44
2021-09-20,12.6099,12.9972,12.4808,12.9376,30356,0.3376,2.6793
2021-09-21,12.9078,13.1461,12.739,13.0369,51708,0.0993,0.7675
2021-09-22,13.0468,13.3943,13.0468,13.1957,5948,0.1589,1.2186
2021-09-23,13.2057,13.3546,13.2057,13.3546,959,0.1584,1.2
2021-09-24,13.2553,13.3745,13.2553,13.3745,1923,0.0199,0.1487
2021-09-27,13.3645,13.6723,13.3645,13.6028,12110,0.2284,1.7075
2021-09-28,13.4936,13.8013,13.4936,13.6922,5557,0.0898,0.66
2021-09-29,13.6922,13.6922,13.6922,13.6922,254,0.0,0.0
2021-09-30,13.6525,13.9007,13.5184,13.861,31088,0.1684,1.23
2021-10-01,13.9305,14.0447,13.4837,13.6624,2692,-0.1986,-1.4327
2021-10-04,13.3983,13.6584,13.3854,13.4241,2069,-0.2383,-1.7442
2021-10-05,13.9007,13.9007,13.4221,13.4241,5295,0.0,0.0
2021-10-06,13.4241,13.8709,13.3546,13.8709,16980,0.4468,3.3284
2021-10-07,13.6525,13.8312,13.6525,13.7418,7176,-0.1291,-0.9306
