日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2014-11-24,25.0,25.1,24.95,25.02,92797,0.0,0.0
2014-11-25,25.14,25.2,25.02,25.18,17800,,
2014-11-26,25.18,25.3,25.18,25.3,10956,,
2014-11-28,25.15,25.299,25.05,25.25,6800,,
2014-12-01,25.25,25.4,25.25,25.25,9250,,
2014-12-02,25.3,25.349,25.28,25.3,5095,,
2014-12-03,25.3,25.399,25.25,25.399,5495,,
2014-12-04,25.44,25.65,25.4,25.52,3125,,
2014-12-05,25.52,25.584,25.5,25.584,3200,,
2014-12-08,25.65,25.65,25.46,25.499,12382,,
2014-12-09,25.67,25.67,25.45,25.5,7950,,
2014-12-10,25.25,25.4,25.25,25.399,5398,,
2014-12-11,25.4,25.5,25.2,25.25,5700,,
2014-12-12,25.26,25.66,25.26,25.659,5981,0.41,1.62
2014-12-15,25.72,25.72,25.2,25.5,45879,,
2014-12-16,25.5,25.62,25.2,25.62,9950,,
2014-12-17,25.4,26.01,25.366,25.97,8300,,
2014-12-18,25.89,25.899,25.66,25.8,3808,,
2014-12-19,25.72,25.96,25.5,25.96,4226,,
2014-12-22,25.76,25.85,25.76,25.774,808,,
2014-12-23,25.999,25.999,25.77,25.9,9450,,
2014-12-26,26.0,26.0,25.4,25.4,4575,,
2014-12-29,26.0,26.249,26.0,26.22,4100,,
2014-12-30,25.9,26.0,25.9,26.0,4300,,
2014-12-31,26.09,26.15,25.79,25.81,9796,,
2015-01-05,26.06,26.06,26.06,26.06,100,,
2015-01-06,26.0,26.0,26.0,26.0,100,,
2015-01-07,25.81,26.08,25.81,26.08,2700,,
2015-01-12,26.099,26.099,26.0,26.0,500,,
2015-01-13,25.88,26.0,25.8,25.8,12900,,
2015-01-14,25.77,25.77,25.02,25.06,8306,,
2015-01-15,25.09,25.25,24.85,25.0,21193,,
2015-01-16,25.0,25.24,24.95,25.15,6980,,
2015-01-20,25.187,25.399,24.95,24.95,14534,,
2015-01-21,25.05,25.15,24.511,24.9,11044,,
2015-01-22,24.9,25.1,24.8,25.099,6004,,
2015-01-23,25.05,25.1,25.0,25.1,2600,,
2015-01-26,25.05,25.327,25.05,25.25,6510,,
2015-01-27,25.25,25.45,25.25,25.37,5090,,
2015-01-28,25.5,25.5,25.25,25.413,9580,,
2015-01-29,25.35,25.35,25.35,25.35,800,,
