日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
1997-01-02,139.7175,140.4179,136.9162,138.4905,459800,-1.5687,-1.12
1997-01-03,140.0677,161.428,140.0677,154.7748,4955000,16.3482,11.81
1997-01-06,154.7748,161.0779,154.7748,158.2765,1866400,3.3617,2.17
1997-01-07,155.8253,155.8253,144.6199,148.8219,4710700,-9.4151,-5.95
1997-01-08,149.1721,149.8724,144.9701,146.3708,1073500,-2.4708,-1.66
1997-01-09,146.7209,148.4718,145.6704,146.3708,924600,0.0,0.0
1997-01-10,146.0206,147.4213,143.5694,146.3708,882900,0.0,0.0
1997-01-13,147.4213,148.8219,146.3708,146.7209,628400,0.4534,0.31
1997-01-14,147.0711,152.3236,147.0711,150.5728,918400,3.8157,2.6
1997-01-15,151.2731,152.3236,146.7209,147.7714,558100,-2.9081,-1.93
1997-01-16,147.7714,152.3236,147.0711,151.9735,583300,4.2543,2.88
1997-01-17,153.024,159.6772,152.3236,158.2765,1000400,6.2776,4.13
1997-01-20,158.2765,158.6267,155.4752,157.226,426300,-0.9013,-0.57
1997-01-21,156.5257,157.226,152.6738,156.5257,582400,-0.676,-0.43
1997-01-22,155.8253,160.3775,155.125,159.6772,1061900,3.1309,2.0
1997-01-23,160.0274,160.0274,158.2765,158.6267,540200,-1.1182,-0.7
1997-01-24,158.6267,160.0274,155.4752,156.1755,315800,-2.4588,-1.55
1997-01-27,156.1755,156.8758,149.8724,150.5728,513900,-5.6068,-3.59
1997-01-28,151.9735,153.3741,149.8724,151.6233,429200,1.1138,0.74
1997-01-29,154.0745,155.8253,152.3236,153.024,500600,1.3499,0.89
1997-01-30,153.3741,154.0745,152.3236,153.024,167500,0.0,0.0
1997-01-31,154.0745,154.7748,151.9735,153.3741,159300,0.2297,0.15
1997-02-03,153.7243,155.8253,153.3741,154.7748,267000,1.5628,1.02
1997-02-04,154.7748,156.8758,154.0745,155.125,372200,0.2169,0.14
1997-02-05,156.1755,157.5762,154.0745,154.0745,739900,-0.8988,-0.58
1997-02-06,154.4246,155.125,152.3236,153.3741,546600,-0.8948,-0.58
1997-02-07,153.024,154.4246,152.3236,153.7243,193900,0.4445,0.29
1997-02-10,153.3741,155.125,152.3236,153.024,198500,-0.6763,-0.44
1997-02-11,152.3236,152.6738,149.5223,150.2226,430600,-2.9095,-1.9
1997-02-12,150.2226,155.8253,149.8724,155.125,701000,4.9265,3.28
1997-02-13,155.125,166.3304,155.125,165.6301,1134800,10.5312,6.79
1997-02-14,165.2799,167.7311,162.8287,164.9297,1030300,-0.679,-0.41
1997-02-18,164.5796,169.1318,164.2294,167.3809,646300,2.4574,1.49
1997-02-19,165.6301,169.4819,165.2799,168.1681,905100,0.67,0.4
1997-02-20,168.0813,168.7816,163.8792,165.2799,430300,-2.6875,-1.6
1997-02-21,165.2799,170.1823,165.2799,168.4314,580500,3.1405,1.9
1997-02-24,167.3809,168.4314,164.2294,165.1034,498000,-2.4462,-1.46
1997-02-25,164.5796,173.684,164.5796,171.9331,1514600,0.0,0.0
1997-02-26,173.3338,181.0375,173.3338,177.5358,1460000,11.4282,6.88
1997-02-27,177.1857,181.2112,175.4348,176.8355,729100,-0.6745,-0.38
1997-02-28,175.785,177.5358,172.6335,173.1573,663600,-3.5879,-2.03
1997-03-03,172.2833,177.1857,167.7311,172.1068,896600,-1.126,-0.65
1997-03-04,172.9836,179.2867,171.2328,175.9587,780700,3.8046,2.21
1997-03-05,177.1857,179.6368,174.7345,175.4348,283100,-0.4397,-0.25
1997-03-06,175.4348,179.987,175.0846,179.2867,443500,3.8079,2.17
1997-03-07,179.2867,181.7379,178.5863,178.9365,432200,-0.215,-0.12
1997-03-10,178.9365,180.3372,177.1857,178.5863,306500,-0.4476,-0.25
1997-03-11,177.1857,177.886,174.7345,175.0846,201400,-3.5914,-2.01
1997-03-12,174.3843,175.0846,169.4819,169.8321,309600,-5.1443,-2.94
1997-03-13,169.4819,169.8321,165.8038,165.9802,273100,-3.8031,-2.24
1997-03-14,165.9802,168.4314,164.5796,165.9802,401400,0.0,0.0
