日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2019-12-09,25.1114,25.189,25.1,25.14,9638,-0.0441,-0.18
2019-12-10,25.2,25.28,25.2,25.26,29872,0.12,0.48
2019-12-11,25.23,25.29,25.2,25.29,26903,0.03,0.12
2019-12-12,25.22,25.4,25.16,25.4,27366,0.11,0.43
2019-12-13,25.22,25.4,25.22,25.4,13645,0.0,0.0
2019-12-16,25.44,25.44,25.2973,25.3779,21269,-0.0221,-0.09
2019-12-17,25.37,25.53,25.37,25.53,18395,0.1521,0.6
2019-12-18,25.41,25.49,25.4001,25.47,37432,-0.06,-0.24
2019-12-19,25.4,25.47,25.4,25.46,53777,-0.01,-0.04
2019-12-20,25.46,25.5,25.365,25.48,25202,0.02,0.08
2019-12-23,25.39,25.53,25.39,25.53,16619,0.05,0.2
2019-12-24,25.4454,25.74,25.4454,25.72,9859,0.19,0.74
2019-12-26,25.72,25.72,25.54,25.65,59589,-0.07,-0.27
2019-12-27,25.62,26.05,25.62,26.03,42598,0.38,1.48
2019-12-30,25.83,25.95,25.7,25.84,13467,-0.19,-0.73
2019-12-31,25.94,25.94,25.42,25.42,144865,-0.42,-1.63
2020-01-02,25.45,25.579,25.42,25.48,63693,0.06,0.24
2020-01-03,25.42,25.5,25.42,25.45,24773,-0.03,-0.12
2020-01-06,25.45,25.52,25.445,25.4761,22301,0.0261,0.1
2020-01-07,25.45,25.501,25.39,25.41,21740,-0.0661,-0.26
2020-01-08,25.4,25.53,25.4,25.53,26642,0.12,0.47
2020-01-09,25.41,25.54,25.41,25.54,12200,0.01,0.04
2020-01-10,25.41,25.54,25.41,25.53,21663,-0.01,-0.04
2020-01-13,25.53,25.61,25.52,25.61,98700,0.08,0.31
2020-01-14,25.48,25.62,25.48,25.59,17496,-0.02,-0.08
2020-01-15,25.4701,25.58,25.4701,25.56,13280,-0.03,-0.12
2020-01-16,25.56,25.62,25.5,25.56,15756,0.0,0.0
2020-01-17,25.46,25.56,25.45,25.45,20816,-0.11,-0.43
2020-01-21,25.53,25.53,25.4704,25.5,16889,0.05,0.2
2020-01-22,25.56,25.56,25.48,25.5249,18014,0.0249,0.1
2020-01-23,25.48,25.53,25.4507,25.53,19425,0.0051,0.02
2020-01-24,25.5321,25.56,25.47,25.56,18003,0.03,0.12
2020-01-27,25.5,25.53,25.45,25.45,15299,-0.11,-0.43
2020-01-28,25.46,25.55,25.46,25.51,16802,0.06,0.24
2020-01-29,25.5,25.55,25.47,25.51,51330,0.0,0.0
2020-01-30,25.56,25.62,25.51,25.59,20551,0.08,0.31
2020-01-31,25.53,25.66,25.5,25.5,32660,-0.09,-0.35
2020-02-03,25.67,25.69,25.596,25.69,28889,0.19,0.75
2020-02-04,25.69,25.7687,25.69,25.766,12013,0.076,0.3
2020-02-05,25.77,25.79,25.66,25.79,21747,0.024,0.09
2020-02-06,25.69,25.8,25.63,25.75,19254,-0.04,-0.16
2020-02-07,25.77,25.782,25.68,25.692,75925,-0.058,-0.23
2020-02-10,25.7,25.71,25.672,25.68,23531,-0.012,-0.05
2020-02-11,25.65,25.72,25.63,25.66,61834,-0.02,-0.08
2020-02-12,25.66,25.7337,25.64,25.69,34852,0.03,0.12
