日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2022-08-11,6.69,19.8,4.55,17.82,24660488,13.82,345.5
2022-08-12,13.21,15.8,7.21,8.4,13124541,-9.42,-52.86
2022-08-15,7.15,8.01,6.25,7.2,3849484,-1.2,-14.29
2022-08-16,8.71,8.96,6.75,6.94,4985006,-0.26,-3.61
2022-08-17,6.75,6.75,5.7,6.05,983367,-0.89,-12.82
2022-08-18,5.71,5.96,5.28,5.82,926558,-0.23,-3.8
2022-08-19,5.46,6.66,5.31,5.69,2070743,-0.13,-2.23
2022-08-22,5.48,5.6315,5.07,5.4,855471,-0.29,-5.1
2022-08-23,5.53,5.8699,4.62,4.88,1666270,-0.52,-9.63
2022-08-24,4.88,4.98,4.7,4.8799,196676,0.0,0.0
2022-08-25,4.78,4.8565,4.24,4.27,344535,-0.61,-12.5
2022-08-26,4.21,4.44,3.7543,3.81,377009,-0.46,-10.77
2022-08-29,3.73,3.88,3.62,3.63,133144,-0.18,-4.72
2022-08-30,3.63,3.77,3.1,3.27,326942,-0.36,-9.92
2022-08-31,3.33,3.6699,3.3001,3.45,371355,0.18,5.5
2022-09-01,3.4,3.58,3.11,3.2,230728,-0.25,-7.25
2022-09-02,3.3,3.4218,3.06,3.2,264467,0.0,0.0
2022-09-06,3.12,3.169,2.75,2.8,141503,-0.4,-12.5
2022-09-07,2.8,3.0399,2.71,2.84,121124,0.04,1.43
2022-09-08,2.9,2.94,2.77,2.8,84886,-0.04,-1.41
2022-09-09,2.89,3.1299,2.81,3.02,461774,0.22,7.86
2022-09-12,3.02,3.47,3.0,3.12,656466,0.1,3.31
2022-09-13,3.09,3.2,2.87,2.92,215774,-0.2,-6.41
2022-09-14,2.85,3.15,2.75,2.95,331317,0.03,1.03
2022-09-15,2.88,3.16,2.7,2.71,290155,-0.24,-8.14
2022-09-16,2.7,2.74,2.51,2.51,134113,-0.2,-7.38
2022-09-19,2.5,2.66,2.18,2.18,125691,-0.33,-13.1474
2022-09-20,2.2,2.46,2.16,2.17,162556,-0.01,-0.46
2022-09-21,2.17,2.3,2.05,2.06,187072,-0.11,-5.07
2022-09-22,2.05,2.19,2.03,2.04,94691,-0.02,-0.97
2022-09-23,2.03,2.03,1.86,1.9,74980,-0.14,-6.86
2022-09-26,1.9,2.12,1.8,1.96,70820,0.06,3.16
2022-09-27,2.01,2.12,1.81,1.92,52930,-0.04,-2.0408
2022-09-28,1.9,2.09,1.86,1.96,82268,0.04,2.08
2022-09-29,1.91,2.08,1.8727,2.08,77618,0.12,6.12
2022-09-30,2.02,2.3,1.9843,2.02,181254,-0.06,-2.88
2022-10-03,1.99,2.2,1.88,2.04,79146,0.02,0.99
2022-10-04,2.06,2.24,2.0313,2.16,90032,0.12,5.88
2022-10-05,2.16,2.46,2.124,2.36,102386,0.2,9.26
2022-10-06,2.36,2.42,2.2,2.23,44279,-0.13,-5.51
2022-10-07,2.25,2.45,2.17,2.28,71768,0.05,2.24
2022-10-10,2.4,2.4378,2.2,2.3,41225,0.02,0.88
2022-10-11,2.0201,2.35,2.02,2.24,73825,-0.06,-2.61
2022-10-12,2.2,2.25,2.07,2.17,199396,-0.07,-3.13
2022-10-13,2.15,2.26,1.95,2.04,106775,-0.13,-5.99
2022-10-14,2.0301,2.17,1.9,2.02,197422,-0.02,-0.98
2022-10-17,1.98,2.12,1.97,2.0,97731,-0.02,-0.99
2022-10-18,2.0,2.05,1.96,2.02,20947,0.02,1.0
2022-10-19,2.0101,2.03,2.0,2.0,33571,-0.02,-0.9901
2022-10-20,1.98,2.08,1.84,1.9,17814,-0.1,-5.0
2022-10-21,1.82,1.9,1.82,1.86,36561,-0.04,-2.11
