日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2019-03-18,10.25,10.5,10.1,10.1,323374,0.0,0.0
2019-03-19,10.15,10.155,10.09,10.09,11449,-0.01,-0.1
2019-03-20,10.1,10.15,10.095,10.1,19563,0.01,0.1
2019-03-21,10.1,10.155,9.67,9.94,400847,-0.16,-1.58
2019-03-22,9.81,9.86,9.77,9.785,9820,-0.155,-1.56
2019-03-25,9.75,9.9,9.73,9.85,16109,0.065,0.66
2019-03-26,9.75,9.85,9.7,9.81,10994,-0.04,-0.41
2019-03-27,9.8,10.0,9.56,9.77,19874,-0.04,-0.41
2019-03-28,9.72,9.8,9.59,9.62,44828,-0.15,-1.54
2019-03-29,9.7485,9.81,9.26,9.5,87767,-0.12,-1.25
2019-04-01,9.98,10.0,9.75,9.86,1092,0.36,3.79
2019-04-02,9.84,9.84,9.52,9.69,16950,-0.17,-1.72
2019-04-03,9.69,9.81,9.69,9.8,72070,0.11,1.14
2019-04-04,9.8,9.8,9.6,9.74,26514,-0.06,-0.61
2019-04-05,9.7469,9.8,9.7,9.8,40691,0.06,0.62
2019-04-08,9.77,10.45,9.695,10.11,392430,0.31,3.16
2019-04-09,10.09,10.09,9.74,9.99,22616,-0.12,-1.19
2019-04-10,10.01,10.05,9.9,9.98,50337,-0.01,-0.1
2019-04-11,10.01,10.3,9.84,10.3,646871,0.32,3.21
2019-04-12,10.3,10.32,10.08,10.15,288534,-0.15,-1.46
2019-04-15,10.24,10.56,10.15,10.31,342887,0.16,1.58
2019-04-16,10.37,10.56,10.28,10.39,142788,0.08,0.78
2019-04-17,10.42,10.5,10.3,10.31,116244,-0.08,-0.77
2019-04-18,10.25,10.4,10.25,10.27,26869,-0.04,-0.39
2019-04-22,10.23,11.2013,10.2,10.26,12518,-0.01,-0.1
2019-04-23,10.26,10.5,10.26,10.42,121675,0.16,1.56
2019-04-24,10.42,10.445,10.225,10.31,19675,-0.11,-1.06
2019-04-25,10.34,10.47,10.18,10.25,47911,-0.06,-0.58
2019-04-26,10.48,10.48,10.15,10.2,25585,-0.05,-0.49
2019-04-29,10.31,10.5,10.14,10.45,622504,0.25,2.45
2019-04-30,10.38,10.6384,10.2,10.35,35562,-0.1,-0.96
2019-05-01,10.36,10.69,10.3,10.43,133700,0.08,0.77
2019-05-02,10.4976,10.5,10.38,10.5,37772,0.07,0.67
2019-05-03,10.57,10.75,10.47,10.55,226608,0.05,0.48
2019-05-06,10.44,10.84,10.36,10.64,118361,0.09,0.85
2019-05-07,10.47,10.9,10.45,10.45,101347,-0.19,-1.79
2019-05-08,10.6,10.8,10.53,10.57,626533,0.12,1.15
2019-05-09,10.57,10.7,10.295,10.56,392862,-0.01,-0.09
2019-05-10,10.5,10.6,10.4,10.52,304304,-0.04,-0.38
2019-05-13,10.42,10.61,10.05,10.49,172705,-0.03,-0.29
2019-05-14,10.705,10.705,10.5,10.59,197248,0.1,0.95
2019-05-15,10.66,10.8,10.53,10.74,418788,0.15,1.42
2019-05-16,10.75,10.81,10.51,10.53,128829,-0.21,-1.96
2019-05-17,10.51,10.9699,10.51,10.7,225096,0.17,1.61
2019-05-20,10.8125,10.89,10.75,10.83,252378,0.13,1.21
2019-05-21,11.17,11.7,10.77,10.83,172572,0.0,0.0
2019-05-22,10.69,10.94,10.6,10.79,78955,-0.04,-0.37
2019-05-23,11.03,11.07,10.54,10.62,117308,-0.17,-1.58
2019-05-24,10.99,10.99,10.29,10.59,501723,-0.03,-0.28
2019-05-28,10.74,10.75,10.0,10.46,3358132,-0.13,-1.23
2019-05-29,10.43,10.43,10.16,10.25,146124,-0.21,-2.01
2019-05-30,10.28,10.37,10.07,10.17,182182,-0.08,-0.78
2019-05-31,10.14,10.34,9.99,10.16,105685,-0.01,-0.1
2019-06-03,10.31,10.31,9.93,9.95,175710,-0.21,-2.07
2019-06-04,10.04,10.17,9.93,10.0,205153,0.05,0.5
2019-06-05,10.02,10.14,9.86,9.97,122096,-0.03,-0.3
2019-06-06,9.99,10.08,9.87,9.93,172183,-0.04,-0.4
2019-06-07,9.97,10.41,9.93,9.96,519396,0.03,0.3
2019-06-10,10.01,10.25,10.01,10.09,619130,0.13,1.31
2019-06-11,10.16,10.2,9.89,9.96,301111,-0.13,-1.29
2019-06-12,9.95,10.05,9.78,9.85,500197,-0.11,-1.1
2019-06-13,9.84,9.98,9.6,9.78,395312,-0.07,-0.71
2019-06-14,9.83,10.0,9.71,9.8,236287,0.02,0.2
2019-06-17,9.84,10.13,9.77,9.89,542182,0.09,0.92
2019-06-18,9.96,10.03,9.48,9.59,975043,-0.3,-3.03
2019-06-19,9.68,9.75,9.23,9.31,1534734,-0.28,-2.92
2019-06-20,9.44,10.01,9.44,9.74,1972001,0.43,4.62
2019-06-21,9.74,9.985,9.43,9.5,1702943,-0.24,-2.46
2019-06-24,9.57,9.74,9.23,9.23,419124,-0.27,-2.84
2019-06-25,9.24,9.633,9.09,9.13,583714,-0.1,-1.08
2019-06-26,9.13,9.68,8.92,9.0,442951,-0.13,-1.42
2019-06-27,8.96,9.1,8.95,9.0,559760,0.0,0.0
2019-06-28,9.01,9.31,9.0,9.1,4188151,0.1,1.11
