日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2003-08-07,16.5991,17.2631,16.5991,17.2631,400,,
2003-08-08,17.0041,17.1303,16.6987,16.7983,4300,0.0,0.0
2003-08-11,16.9975,17.2963,16.9709,17.0373,7600,0.2385,1.42
2003-08-12,17.1037,17.3494,17.0971,17.3494,9000,0.3118,1.83
2003-08-13,17.1967,17.2299,17.0573,17.1303,36000,-0.2186,-1.26
2003-08-14,17.117,17.2697,16.5991,16.9643,48300,-0.1662,-0.97
2003-08-15,17.0307,17.0639,16.5991,17.0639,18900,0.1001,0.59
2003-08-18,17.0373,17.7943,17.0373,17.4689,68500,0.4044,2.37
2003-08-19,17.2564,17.2564,16.9377,17.0506,25800,-0.4175,-2.39
2003-08-20,16.7983,17.0506,16.5659,16.9842,30300,-0.0665,-0.39
2003-08-21,16.3468,16.4929,16.0215,16.0215,38900,-0.9074,-5.36
2003-08-22,16.048,16.2937,16.0148,16.0679,17700,-0.0064,-0.04
2003-08-25,15.9219,16.0015,15.6696,16.0015,9900,-0.0659,-0.41
2003-08-26,15.4704,15.736,15.4106,15.4505,17100,-0.5504,-3.44
2003-08-27,15.5633,15.7094,15.4704,15.7028,13600,0.2519,1.63
2003-08-28,15.5501,15.6696,15.477,15.5833,14800,-0.1193,-0.76
2003-08-29,15.5899,15.7492,15.5036,15.6696,19700,0.0857,0.55
2003-09-02,15.7824,15.8289,15.5567,15.643,60700,-0.0266,-0.17
2003-09-03,15.6032,15.6696,15.5036,15.6032,45200,-0.0391,-0.25
2003-09-04,15.3907,15.6364,15.1384,15.477,214900,-0.1264,-0.81
2003-09-05,15.4173,15.6895,15.3442,15.5501,113600,0.0727,0.47
2003-09-08,15.716,15.7492,15.4837,15.57,22600,0.0202,0.13
2003-09-09,15.6032,15.9285,15.6032,15.8688,62400,0.2989,1.92
2003-09-10,16.1011,16.2339,15.975,16.0347,37600,0.1666,1.05
2003-09-11,15.9352,15.9816,15.8024,15.882,91300,-0.1523,-0.95
2003-09-12,16.2007,16.2671,15.8887,16.0679,14000,0.1858,1.17
2003-09-15,16.2007,16.38,16.1543,16.2007,10800,0.1334,0.83
2003-09-16,16.2671,16.3667,16.1011,16.3335,36300,0.1328,0.82
2003-09-17,16.3534,16.6323,16.3468,16.4198,36200,0.0866,0.53
2003-09-18,16.9842,17.2631,16.8913,17.2432,24300,0.8227,5.01
2003-09-19,17.0174,17.2631,16.7983,17.0639,37900,-0.1793,-1.04
2003-09-22,16.7983,16.8315,16.5261,16.6323,20200,-0.4317,-2.53
2003-09-23,16.6522,16.712,16.5659,16.6655,26800,0.0333,0.2
2003-09-24,16.8514,16.9311,16.3734,16.7651,69500,0.1,0.6
2003-09-25,16.5991,16.6854,16.4663,16.5062,11700,-0.2582,-1.54
2003-09-26,16.5858,16.6722,16.473,16.4862,16900,-0.0198,-0.12
2003-09-29,16.4663,16.6987,16.4066,16.4663,14000,-0.0198,-0.12
2003-09-30,16.5327,16.5593,16.3003,16.4995,90900,0.0329,0.2
2003-10-01,16.4132,16.8116,16.3402,16.6522,37700,0.1534,0.93
2003-10-02,16.2937,16.4331,16.1078,16.4331,24200,-0.2198,-1.32
2003-10-03,16.5128,16.8315,16.5128,16.8315,14100,0.3977,2.42
2003-10-06,16.6522,16.8647,16.5659,16.7983,26400,-0.0337,-0.2
2003-10-07,16.5261,16.712,16.4597,16.6655,41300,-0.1327,-0.79
2003-10-08,16.712,16.9311,16.6655,16.7253,15100,0.06,0.36
2003-10-09,16.7452,16.9643,16.6522,16.6655,35200,-0.0602,-0.36
2003-10-10,16.8979,16.9045,16.6124,16.7385,21800,0.0733,0.44
2003-10-13,16.6058,16.6323,16.4464,16.4464,15800,-0.2929,-1.75
2003-10-14,16.5858,16.9311,16.5858,16.6788,15900,0.2319,1.41
2003-10-15,17.21,17.283,17.0904,17.1701,37500,0.492,2.95
2003-10-16,17.4424,17.6083,17.2697,17.522,47800,0.352,2.05
2003-10-17,17.5021,17.5021,17.1635,17.3627,30100,-0.1595,-0.91
2003-10-20,17.2963,17.5552,17.2963,17.4955,18500,0.132,0.76
2003-10-21,17.5287,17.5818,17.3428,17.4755,73600,-0.0192,-0.11
2003-10-22,17.2631,17.2963,17.0971,17.2365,16700,-0.2394,-1.37
2003-10-23,17.0838,17.2365,16.9311,17.0307,30300,-0.2051,-1.19
2003-10-24,17.449,17.6615,17.3428,17.3892,15100,0.3593,2.11
2003-10-26,17.5021,17.6482,17.3959,17.522,18900,0.1322,0.76
2003-10-27,17.5021,17.6482,17.3959,17.522,18900,-0.1466,-0.83
2003-10-28,17.3295,17.5552,17.2365,17.376,15900,-0.1137,-0.65
2003-10-29,17.4291,17.4955,17.1635,17.2631,22800,-0.0259,-0.15
2003-10-30,17.4424,17.5087,17.2365,17.2365,25800,-0.0397,-0.23
2003-10-31,17.2365,17.356,17.1701,17.1967,26900,,
2003-11-03,17.5021,17.9138,17.4623,17.8606,32700,0.6638,3.86
2003-11-04,17.947,18.2059,17.7611,18.0598,20700,0.2,1.12
2003-11-05,17.9868,18.2192,17.9669,18.1926,16500,0.1336,0.74
2003-11-06,18.1661,18.5246,18.0399,18.1262,53300,-0.0655,-0.36
2003-11-07,18.2922,18.5445,18.2922,18.425,19300,0.2723,1.5
2003-11-10,18.3785,18.5777,18.3785,18.4582,17300,0.0589,0.32
2003-11-11,17.9934,18.0598,17.7279,18.0532,27300,-0.4042,-2.19
2003-11-12,17.9138,18.2126,17.8872,18.0333,25900,-0.0199,-0.11
2003-11-13,18.1727,18.3918,18.1727,18.3852,13300,0.3517,1.95
2003-11-14,18.3254,18.5246,18.259,18.2922,12600,-0.0938,-0.51
2003-11-17,18.2192,18.2192,17.927,17.9403,19000,-0.3512,-1.92
2003-11-18,18.0598,18.4117,18.0466,18.3121,21700,0.3714,2.07
2003-11-19,18.4914,18.5777,18.3918,18.4914,17700,0.1795,0.98
2003-11-20,18.425,18.5645,18.3321,18.4715,9900,-0.0203,-0.11
2003-11-21,18.4582,18.591,18.3055,18.591,19600,0.1201,0.65
2003-11-24,18.6707,18.7504,18.518,18.7504,31000,0.1599,0.86
2003-11-25,18.7238,18.8234,18.6176,18.6707,11700,-0.0787,-0.42
2003-11-26,18.7703,18.9363,18.7172,18.7238,11900,0.0523,0.28
2003-11-28,18.9562,19.3214,18.9562,19.1487,9700,0.425,2.27
2003-12-01,19.3147,19.6401,19.3147,19.5139,28200,0.3657,1.91
2003-12-02,19.3081,19.6733,19.2218,19.2683,20000,-0.2459,-1.26
2003-12-03,19.4409,19.6401,19.4342,19.6202,10000,0.3526,1.83
2003-12-04,19.5803,19.7596,19.5206,19.5604,15700,-0.0589,-0.3
2003-12-05,19.421,19.7197,19.421,19.5139,17200,-0.0469,-0.24
2003-12-08,19.5338,19.6799,19.421,19.5604,10200,0.0468,0.24
2003-12-09,19.9322,19.9428,19.3878,19.7729,41700,0.2132,1.09
2003-12-10,19.7729,19.7729,19.5206,19.5206,9300,-0.2531,-1.28
2003-12-11,19.5006,19.8061,19.4608,19.7197,28100,0.1991,1.02
2003-12-12,19.7529,19.9123,19.5604,19.6733,20100,-0.0473,-0.24
2003-12-15,19.8193,19.9123,19.6932,19.7131,28500,0.0393,0.2
2003-12-16,19.8193,19.8193,19.5936,19.7928,13000,0.0789,0.4
2003-12-17,19.6932,19.8658,19.5471,19.8658,20500,0.0732,0.37
2003-12-18,19.733,19.9123,19.7197,19.7529,25500,-0.1132,-0.57
2003-12-19,19.8061,19.8725,19.6534,19.7131,126700,-0.0395,-0.2
2003-12-22,19.7065,19.8525,19.587,19.826,182800,0.1124,0.57
2003-12-23,19.5471,19.8525,19.4409,19.5604,30700,-0.2657,-1.34
2003-12-24,19.421,19.9189,19.421,19.7994,20400,0.2386,1.22
2003-12-26,19.6666,19.733,19.6202,19.6866,8700,-0.1129,-0.57
2003-12-29,19.7861,19.8326,19.4874,19.7197,14500,0.0335,0.17
2003-12-30,19.8326,19.8326,19.4077,19.6002,11500,-0.1203,-0.61
2003-12-31,19.5073,19.8791,19.5073,19.7197,15600,0.1137,0.58
2004-01-02,20.0916,20.3505,20.0849,20.2708,19400,0.5579,2.83
2004-01-05,20.4568,20.8684,20.4568,20.7157,24300,0.444,2.19
2004-01-06,21.2535,21.539,21.2535,21.4992,23900,0.7831,3.78
2004-01-07,21.3332,21.4925,21.2801,21.4261,23200,-0.0731,-0.34
2004-01-08,21.7249,22.1299,21.7249,21.9308,23700,0.5056,2.36
2004-01-09,21.6452,21.7913,21.5523,21.6784,22400,-0.2522,-1.15
2004-01-12,21.705,22.0171,21.705,21.871,18900,0.1929,0.89
2004-01-13,21.9971,22.1499,21.9108,21.9374,12900,0.0656,0.3
2004-01-14,22.0303,22.2096,22.0237,22.0702,16600,0.1338,0.61
2004-01-15,21.9241,21.9573,21.6784,21.8245,19500,-0.245,-1.11
2004-01-16,21.4461,21.4461,21.1539,21.2734,26100,-0.5522,-2.53
2004-01-20,21.4793,21.5722,21.3332,21.4461,23000,0.1723,0.81
2004-01-21,21.2601,21.5457,21.2004,21.3797,93100,-0.0665,-0.31
2004-01-22,21.3664,21.5656,21.2933,21.4461,24100,0.0663,0.31
2004-01-23,21.4129,21.4726,21.0809,21.1805,36400,-0.2659,-1.24
2004-01-26,21.0145,21.1672,20.9016,20.9879,26800,-0.1927,-0.91
2004-01-27,21.3797,21.4793,21.3066,21.3597,28500,0.3715,1.77
2004-01-28,21.3531,21.4925,20.9813,20.9813,26600,-0.3781,-1.77
2004-01-29,20.8817,20.9149,20.4236,20.7622,53500,-0.2182,-1.04
2004-01-30,20.5165,20.5696,20.3173,20.563,21700,-0.1993,-0.96
2004-02-02,20.3173,20.5696,20.3173,20.5231,33000,-0.0391,-0.19
2004-02-03,20.6559,20.8485,20.5829,20.8419,13400,0.3181,1.55
2004-02-04,20.563,20.6825,20.4899,20.5431,60100,-0.298,-1.43
2004-02-05,20.8419,20.9746,20.8153,20.8817,43100,0.339,1.65
2004-02-06,20.8817,21.0344,20.8219,20.9282,19800,0.0459,0.22
2004-02-09,21.3133,21.5789,21.2668,21.373,22400,0.4458,2.13
2004-02-10,21.632,21.8112,21.4461,21.5257,22300,0.1518,0.71
2004-02-11,21.5324,21.9905,21.4793,21.9507,28300,0.4241,1.97
2004-02-12,21.7648,22.0038,21.7515,21.9374,50200,-0.0132,-0.06
2004-02-13,21.8444,21.9042,21.3996,21.5058,24800,-0.4322,-1.97
2004-02-17,21.8444,21.944,21.7581,21.9308,26700,0.4258,1.98
2004-02-18,22.0835,22.0835,21.7316,21.7382,16700,-0.193,-0.88
2004-02-19,21.9706,22.2959,21.9706,22.0303,15400,0.2913,1.34
2004-02-20,21.9772,21.9772,21.5789,21.7116,21100,-0.3195,-1.45
2004-02-23,21.5789,21.6984,21.373,21.539,21700,-0.1737,-0.8
2004-02-24,21.466,21.6917,21.3929,21.539,15600,0.0,0.0
2004-02-25,21.4261,21.4925,21.207,21.3066,25200,-0.2326,-1.08
2004-02-26,21.1274,21.2336,20.9282,21.2269,17200,-0.0788,-0.37
2004-02-27,21.1938,21.2469,20.7157,21.0145,445600,-0.2123,-1.0
2004-03-01,21.2137,21.3863,21.1406,21.3066,29800,0.2921,1.39
2004-03-02,21.2668,21.3863,20.9481,21.2203,48700,-0.0874,-0.41
2004-03-03,21.041,21.2203,20.7821,21.0145,24900,-0.2058,-0.97
2004-03-04,20.9879,21.0809,20.895,21.0477,30200,0.0336,0.16
2004-03-05,20.9813,21.3,20.9813,21.1871,19100,0.1389,0.66
2004-03-07,21.1207,21.1738,20.9481,20.9547,12800,-0.2331,-1.1
2004-03-08,21.1207,21.1738,20.9481,20.9547,12800,0.3725,1.81
2004-03-09,21.3465,21.6386,21.3,21.3332,23700,-0.3381,-1.56
2004-03-10,21.1672,21.1672,20.8684,21.0012,13500,-0.523,-2.43
2004-03-11,20.5829,20.6891,20.4368,20.4899,25600,-0.3099,-1.49
2004-03-12,20.1912,20.324,19.9322,20.1845,63700,,
2004-03-14,19.9721,19.9721,19.3878,19.6069,63500,-0.5773,-2.86
2004-03-15,19.9721,19.9721,19.3878,19.6069,63500,0.0859,0.44
2004-03-16,19.7928,19.899,19.5604,19.6932,18900,0.2815,1.45
2004-03-17,19.8857,20.0584,19.8326,19.9787,32700,-0.0742,-0.37
2004-03-18,19.8791,19.9455,19.7065,19.9083,39300,-0.1202,-0.6
2004-03-19,19.7662,19.8857,19.6534,19.7861,29400,,
2004-03-21,19.5604,19.9189,19.4409,19.5073,153600,-0.279,-1.41
2004-03-22,19.5604,19.9189,19.4409,19.5073,153600,0.2427,1.26
2004-03-23,19.6799,19.7529,19.5737,19.7529,42500,-0.2419,-1.21
2004-03-24,19.6401,19.7861,19.4874,19.5139,18800,0.8332,4.46
2004-03-25,20.0916,20.4833,20.0916,20.3837,42600,-0.2288,-1.11
2004-03-26,20.231,20.324,20.0185,20.158,31800,,
2004-03-28,20.5364,20.7821,20.4899,20.5763,55200,0.4193,2.08
2004-03-29,20.5364,20.7821,20.4899,20.5763,55200,0.0062,0.03
2004-03-30,20.5763,20.6161,20.4169,20.5829,30900,0.3778,1.87
2004-03-31,20.7157,21.1141,20.7157,20.968,20300,0.2691,1.3
2004-04-01,21.0942,21.2402,20.9813,21.2402,27000,-0.1886,-0.88
2004-04-02,21.061,21.1738,20.875,21.0543,44000,,
2004-04-05,20.6958,20.9282,20.5829,20.8551,46700,-0.2,-0.95
2004-04-06,20.6028,20.8153,20.3439,20.6759,55800,-0.1794,-0.86
2004-04-07,20.6626,20.8618,20.6626,20.8618,319900,0.1861,0.9
2004-04-08,20.7688,20.8286,20.6227,20.6891,80500,-0.1732,-0.83
2004-04-12,20.7555,20.8352,20.5032,20.8352,25200,0.1469,0.71
2004-04-13,20.7555,20.8153,20.6294,20.6692,11800,-0.1667,-0.8
2004-04-14,20.4501,20.7821,20.4501,20.563,23400,-0.1054,-0.51
2004-04-15,20.8419,21.0543,20.8153,20.9348,62000,0.3722,1.81
2004-04-16,21.0543,21.3265,21.0543,21.134,23400,0.1989,0.95
