日期,开盘价,最高价,最低价,收盘价,成交量(股),涨跌额,涨跌幅(%)
2018-03-16,10.01,10.03,10.0,10.02,1555555,0.02,0.2
2018-03-19,10.02,10.03,10.0,10.01,138242,-0.01,-0.1
2018-03-20,10.01,10.04,10.01,10.04,16248,0.03,0.3
2018-03-21,10.0329,10.06,10.03,10.0444,30053,0.0044,0.04
2018-03-22,10.06,10.06,10.0278,10.0278,15200,-0.0322,-0.32
2018-03-23,10.05,10.05,10.0331,10.0331,12000,-0.0269,-0.27
2018-03-26,10.0418,10.07,10.03,10.07,18315,0.01,0.1
2018-03-27,10.0,10.1,10.0,10.1,45569,0.03,0.3
2018-04-02,10.08,10.09,10.07,10.07,11014,-0.03,-0.3
2018-04-03,10.02,10.02,10.02,10.02,300,-0.05,-0.5
2018-04-04,10.05,10.08,10.05,10.08,310,0.01,0.1
2018-04-05,10.01,10.08,10.01,10.08,305,0.01,0.1
2018-04-09,10.08,10.08,10.08,10.08,12400,0.0,0.0
2018-04-10,10.08,10.14,10.09,10.12,947114,0.04,0.4
2018-04-11,10.1,10.12,10.1,10.11,395390,-0.01,-0.1
2018-04-12,10.075,10.096,10.075,10.096,6000,-0.014,-0.14
2018-04-13,10.0961,10.13,10.0823,10.1299,32000,0.0199,0.2
2018-04-20,10.0622,10.1,10.06,10.1,9000,-0.01,-0.1
2018-04-24,10.12,10.14,10.11,10.11,315900,0.01,0.1
2018-04-25,10.06,10.06,10.06,10.06,800,-0.05,-0.49
2018-04-26,10.0501,10.14,10.0501,10.14,153203,0.03,0.3
2018-04-27,10.1,10.13,10.1,10.13,25490,-0.01,-0.1
2018-04-30,10.13,10.13,10.08,10.08,1133,-0.05,-0.49
2018-05-01,10.06,10.14,10.06,10.14,967,0.06,0.6
2018-05-02,10.03,10.09,10.03,10.09,13048,0.04,0.4
2018-05-09,10.08,10.08,10.08,10.08,500,-0.01,-0.1
2018-05-10,10.1,10.1,10.0501,10.1,2500,0.02,0.2
2018-05-11,10.1,10.14,10.1,10.12,5559,0.02,0.2
2018-05-14,10.1,10.1,10.1,10.1,1100,-0.02,-0.2
2018-05-17,10.1,10.1022,10.1,10.1,2400,0.0,0.0
2018-05-18,10.11,10.11,10.11,10.11,500,0.01,0.1
2018-05-22,10.15,10.15,10.05,10.074,3497,-0.036,-0.36
2018-05-24,10.09,10.09,10.09,10.09,2300,0.016,0.16
2018-05-29,10.1,10.18,10.1,10.12,356644,0.03,0.3
2018-06-04,10.1,10.1,10.1,10.1,1000,-0.02,-0.2
2018-06-05,10.0301,10.15,10.02,10.1,30649,0.0,0.0
2018-06-06,10.02,10.15,10.02,10.11,25614,0.01,0.1
2018-06-08,10.1,10.12,10.1,10.1,35977,-0.01,-0.1
2018-06-11,10.19,10.19,10.11,10.11,1200,0.01,0.1
2018-06-13,10.15,10.15,10.11,10.11,500,0.0,0.0
2018-06-15,10.1,10.1,10.1,10.1,200,-0.01,-0.1
2018-06-21,10.1,10.13,10.07,10.13,44300,0.03,0.3
2018-06-22,10.14,10.18,10.14,10.18,237200,0.05,0.49
2018-06-28,10.12,10.12,10.12,10.12,100,-0.06,-0.59
2018-06-29,10.13,10.15,10.07,10.07,1700,-0.05,-0.49
2018-07-06,10.17,10.17,10.17,10.17,329,0.1,0.99
2018-07-12,10.08,10.08,10.08,10.08,200,-0.09,-0.88
2018-07-20,10.08,10.11,10.08,10.1,2650,0.02,0.2
2018-07-23,10.15,10.15,10.15,10.15,1450,0.05,0.5
2018-07-31,10.15,10.15,10.15,10.15,50784,0.0,0.0
2018-08-01,10.15,10.151,10.13,10.15,127016,0.0,0.0
2018-08-02,10.15,10.15,10.15,10.15,5000,0.0,0.0
2018-08-03,10.07,10.161,10.07,10.161,3300,0.011,0.11
